url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00593v1,Gas distribution from clusters to filaments in IllustrisTNG,"centric distances and cluster masses. This allowed us to
Given these ﬁndings, one can ask oneself whether the gas          identify the most relevant gas phases and radial apertures
azimuthal distribution can also trace the overall cluster dy-     to further study the azimuthal distribution of the gas in
namics and its recent mass-assembly history, as well as DM. clusters. ",astro-ph.CO,C,-0.07600915,0.12498388,0.1861817
http://arxiv.org/pdf/2201.00593v2,Gas distribution from clusters to filaments in IllustrisTNG,"We relate this to the fact that the hot gas does
cluster-centric distance and the mass. This allowed us to             not represent the overall gas distribution inside groups,
identify the most relevant gas phases and radial apertures            but is rather concentrated in group cores and must be
to further study the azimuthal distribution of the gas in             subject to distortion by anisotropic accretion processes. clusters. ",astro-ph.CO,C,-0.019079853,-0.0010868125,0.16317031
http://arxiv.org/pdf/2201.00739v1,Kinematic Lensing with the Roman Space Telescope,"(2015a,b) proposed to estimate the direction of the        spectra as the only observable, however we note that an ex-
shear ﬁeld from the orientation of lens galaxies or clusters,     tension to a multi-probe analysis is straightforward and a
and Gurri et al. (2020) obtained the ﬁrst measurement from        topic of future work. low redshift galaxy-galaxy lensing systems, with an aver-
aged measurement of tangential shear γt = 0.020 ± 0.008                 The paper is structured as follows: In Sect. ",astro-ph.CO,B,0.26284882,0.14200993,-0.031754628
http://arxiv.org/pdf/2201.00739v2,Kinematic Lensing with the Roman Space Telescope,"These selection also eﬀects pose an
                                                                     interesting optimization avenue for a suitable KL sample. θ(θmajor) = r             eobs − (g1ˆ1 + g2ˆ2)      + O(g2)          We leave a more rigorous discussion on sample selection ef-
                 eobs  ( 1+e2obs − 1)(g2ˆ1 − g1ˆ2)  + O(g2)          fects to future work. θ(θminor) = r              2eint                              (A23)        (2) For each Xmodel realization, we calculate a data vec-
                 eobs                                                tor of observables Y =(ˆ, vmajor, vminor, MB) out of equa-
                       ( 1+e2obs + 1)(g1ˆ2 − g2ˆ1)                   tion (A4), (A13) and (8). ",astro-ph.CO,A,-0.24155582,0.030845683,-0.0838117
http://arxiv.org/pdf/2201.00758v1,Modifications of CMB spectrum by nonextensive statistical mechanics,"In principle, one can investigate the eﬀect of nonextensive statistical
mechanics by comparing the results in the standard statistical mechanics and Tsallis sta-
tistical mechanics. Future work can be directed along at least three lines of further research. Firstly, black-
body radiation satiﬁes Bose-Einstein distribution, it is natural to investigate Fermi-Dirac
distribution in nonextensive statistical mechanics. ",astro-ph.CO,A,-0.1404171,-0.19100067,-0.0037783035
http://arxiv.org/pdf/2201.01545v1,AMICO galaxy clusters in KiDS-DR3: Measurement of the halo bias and power spectrum normalization from a stacked weak lensing analysis,"(Diemer 2018) and cluster toolkit4. Data analysis has been

      For future work, we are interested in combining the inference    carried out with Fornax Physics Department computing cluster of
on σ8 with Ωm to constrain the parameter S8 ≡ σ8√︁Ωm/0.3,
which would compliment the study on σ8 in this paper and Ωm in         the University Federico II of Naples. Giocoli et al. ",astro-ph.CO,A,-0.10112971,-0.09583278,-0.00595681
http://arxiv.org/pdf/2201.02167v1,The effect of selection -- a tale of cluster mass measurement bias induced by correlation and projection,"olution at the 10% or ideally 5% level. Thus we exclude the central
200 cKpc/ℎ regions of the halo proﬁles during the further analysis. (1)

   Our investigation of projection depth sets the outer radius. ",astro-ph.CO,C,-0.06638503,0.09366419,0.10976539
http://arxiv.org/pdf/2201.02202v1,Cosmology with one galaxy?,"This does not look like the fraction of outliers we have seen in all models in the main text. We defer
to future work the exploration of the properties of these galaxies and whether they exhibit more similarities with the
ones from the IllustrisTNG simulations. C. SHAP VALUES

  In order to identify the most important features of our networks we have computed the SHAP (SHapley Additive
exPlanation) value of each galaxy property. ",astro-ph.CO,B,0.207742,0.06844133,0.05793998
http://arxiv.org/pdf/2201.02204v1,Finding Evidence for Inflation and the Origin of Galactic Magnetic Fields with CMB Surveys,"full frequency range of upcoming CMB experiments. We
leave detailed investigation of this to future work. [5] A. Neronov and I. Vovk, Science 328, 73 (2010),
                                                                 arXiv:1006.3504 [astro-ph.HE]. ",astro-ph.CO,B,0.0722901,-0.0066895727,-0.22778964
http://arxiv.org/pdf/2201.02204v2,Finding Evidence for Inflation and the Origin of Galactic Magnetic Fields with CMB Surveys,"A CMB-HD survey would
full frequency range of upcoming CMB experiments. We         have the capability of detecting these inﬂationary PMFs
leave detailed investigation of this to future work. at about the 3σ level or higher. ",astro-ph.CO,C,-0.04383029,0.13893369,-0.21509916
