url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00022v1,The Formation of Intermediate Mass Black Holes in Galactic Nuclei,"We consider other
all of the star’s mass depending on the details of the       observationally motivated distributions in Section 2.8,
collision. We demonstrate that this channel can create       but reserve a more detailed examination of the distribu-
IMBHs with masses as large as 104 M , depending on           tion’s impact for future work. the density proﬁle of the surrounding stars. ",astro-ph.GA,C,-0.17267427,0.17591076,0.013637479
http://arxiv.org/pdf/2201.00022v2,The Formation of Intermediate Mass Black Holes in Galactic Nuclei,"As a result,
during the time it takes them to diﬀuse to these small                    the BH-BH collision timescale, discussed in Section 2.2,
radii, 0.01 pc, and may reduce the BH growth in the                       will become relevant to our simulations, allowing the
innermost region. We reserve the inclusion of star-star                   BHs to grow through this channel in addition to stel-
collisions for future work. We also note that the disrup-                 lar collisions. ",astro-ph.GA,C,-0.101490706,0.2788307,-0.1392042
http://arxiv.org/pdf/2201.00463v1,The APEX Large CO Heterodyne Orion Legacy Survey (ALCOHOLS). I. Survey overview,"splitting up into two components, coinciding with regions of op-
                                                                        tical nebulosities (most prominently in the NGC 2024 H ii re-
5. Summary and future work                                              gion). We interpret this behaviour as being due to expanding
                                                                        bubbles driven by early-type stars into the molecular clouds. ",astro-ph.GA,C,-0.27352285,0.0043182634,0.004202049
http://arxiv.org/pdf/2201.00566v1,The multifarious ionization sources and disturbed kinematics of extraplanar gas in five low-mass galaxies,"The Hα ﬁlter #49 has central wavelength of 661 nm and
rowband imaging for two additional galaxies (PGC 28308 and          a FWHM of 5 nm. The exact on-target exposure times for all
PGC 30591), which will be included in future work. galaxies are presented in Table 1. ",astro-ph.GA,B,-0.063120306,-0.31096837,-0.040205166
http://arxiv.org/pdf/2201.00882v1,"The dynamics and outcome of star formation with jets, radiation, winds, and supernovae in concert","through the ITC Post-doctoral Fellowship. This work used compu-
The remaining major massive SF scenario – competitive accretion                tational resources provided by Frontera allocations AST20019 and
– is not ruled out in the simulation, but will require further analysis        AST21002, and additional resources provided by the University of
to characterize. The latency of massive star formation has various             Texas at Austin and the Texas Advanced Computing Center (TACC;
important implications for observational diagnostics and modeling              http://www.tacc.utexas.edu). ",astro-ph.GA,C,-0.19649026,0.217437,0.012551546
http://arxiv.org/pdf/2201.00882v2,"The dynamics and outcome of star formation with jets, radiation, winds, and supernovae in concert","through the ITC Post-doctoral Fellowship. This work used compu-
The remaining major massive SF scenario – competitive accretion                tational resources provided by Frontera allocations AST20019 and
– is not ruled out in the simulation, but will require further analysis        AST21002, and additional resources provided by the University of
to characterize. The latency of massive star formation has various             Texas at Austin and the Texas Advanced Computing Center (TACC;
important implications for observational diagnostics and modeling              http://www.tacc.utexas.edu). ",astro-ph.GA,C,-0.19649026,0.217437,0.012551546
http://arxiv.org/pdf/2201.00970v1,Osaka Feedback Model II: Modeling Supernova Feedback Based on High-Resolution Simulations,"Note that our method is
discrepancy could be resolved by our stronger thermal        similar to, but diﬀerent in detail from that of Hopkins
feedback. In future works, we will investigate the impact    et al. (2018) (See Section 3.1). ",astro-ph.GA,A,0.31915867,0.1531182,-0.19509813
http://arxiv.org/pdf/2201.00970v2,Osaka Feedback Model II: Modeling Supernova Feedback Based on High-Resolution Simulations,"outﬂow component in more detail, but this is beyond the
                                                                scope of current paper and we will study these issues in
  Fig. 22 shows the outﬂow proﬁles of the Fiducial and          our future work. High-reso runs up to 200 kpc in spherical radius. ",astro-ph.GA,A,0.2317914,0.17723803,-0.044435807
http://arxiv.org/pdf/2201.01175v1,Studies on slow radio transients,"(2021). hypothesis requires further research on weaker radio objects in
                                                                  the early stages of evolution which is our research plan now
with renewed AGN activity. The ﬁnal selected sample con-          (see the next section). ",astro-ph.GA,A,0.05071572,-0.027715296,0.14793724
http://arxiv.org/pdf/2201.01311v1,MUSE crowded field 3D spectroscopy in NGC 300 II. Quantitative spectroscopy of BA-type supergiants,"For
newly found supergiants (blue squares in Fig. 9), we obtained             future work, longer exposures and use of the currently avail-
a = −3.40±0.04 and b = 8.02±0.14. The results from this work              able AO mode of MUSE should be aimed at boosting the S /N
are also in accordance with the new FGLR distance to NGC 300              and improving the spatial resolution. ",astro-ph.GA,C,-0.07779038,-0.06555354,0.075482726
