url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00369v1,Gravitational Wave Emission from a Primordial Black Hole Inspiraling inside a Compact Star: a Novel Probe for Dense Matter Equation of State,"Structure of Compact Stars

  The dynamical friction and accretion explicitly depend on ρ and cs. Therefore, we shall obtain the compact
star structure before further studying the equations of motion of the PBH. The structure of a non-rotating
compact star is available by solving the Tolman-Oppenheimer-Volkoff equation (Tolman 1939; Oppen-
heimer & Volkoff 1939)

dP     Mr                                P     4πr3P   2Mr −1
dr = − r2 ρ 1 + ρ 1 + Mr 1 − r , (7)
4     ZOU & HUANG

   8               1

                                                                             0.8
   6

                                                                             0.6
   4

                                                                             0.4

   2
                                                                             0.2

                  0
                                    3 6 9 RSS 12 RNS

Figure 1. ",astro-ph.HE,C,0.30592465,-0.18359107,0.18002962
http://arxiv.org/pdf/2201.00369v2,Gravitational Wave Emission from a Primordial Black Hole Inspiraling inside a Compact Star: a Novel Probe for Dense Matter Equation of State,"Structure of Compact Stars

   The dynamical friction and accretion explicitly depend on ρ and cs. Therefore, we shall obtain the compact

star structure before further studying the equations of motion of the PBH. The structure of a non-rotating

compact star is available by solving the Tolman-Oppenheimer-Volkoff equation (Tolman 1939; Oppen-

heimer & Volkoff 1939)

                        dP               Mr  P  4πr3P                         2Mr −1
                        dr = − r2 ρ 1 + ρ 1 + Mr 1 − r , (7)

where P is the pressure, and Mr is the mass within the radius r so that dMr/dr = 4πr2ρ. ",astro-ph.HE,C,0.32258064,-0.17340899,0.21399882
http://arxiv.org/pdf/2201.00369v3,Gravitational-wave Emission from a Primordial Black Hole Inspiraling inside a Compact Star: a Novel Probe for Dense Matter Equation of State,"Structure of Compact Stars

   The dynamical friction and accretion explicitly depend on ρ and cs. Therefore, we shall obtain the compact

star structure before further studying the equations of motion of the PBH. The structure of a non-rotating

compact star is available by solving the Tolman-Oppenheimer-Volkoff equation (Tolman 1939; Oppen-

heimer & Volkoff 1939)

                        dP               Mr  P  4πr3P                         2Mr −1
                        dr = − r2 ρ 1 + ρ 1 + Mr 1 − r , (7)

where P is the pressure, and Mr is the mass within the radius r so that dMr/dr = 4πr2ρ. ",astro-ph.HE,C,0.32258064,-0.17340899,0.21399882
http://arxiv.org/pdf/2201.01075v1,Confirmation of intermediate-mass black holes candidates with X-ray observations,"Aproximation results

                                Line        a                                                          b        error

                                [OIII] 0.339 ± 0.045 25.950 ± 1.898 0.475

                                Hα 0.344 ± 0.039 25.680 ± 1.642 0.411

    It turned out that for low-mass black holes the slope of the regression is much
smaller than for the sample of supermassive black holes. It could be caused by
a change in the geometry of the region of X-ray radiation - this and other
possible hypotheses requires further research. However, it is already clear that
these correlations are extremely useful - it can be used to estimate the X-ray
luminosity for calculating the exposures necessary to accumulate a suﬃcient
number of photons for spectral analysis. ",astro-ph.HE,A,-0.32885605,-0.122221544,0.035541035
http://arxiv.org/pdf/2201.01217v2,Differentiating between sharp and smoother phase transitions in neutron stars,"quasi-periodic oscillations and lightcurves. We leave such
                                                                    studies for future works. Other quantities worth exploring in order to single out
aspects of the mixed state would be the moment of inertia                                      VI. ",astro-ph.HE,C,0.12883928,0.022673655,-0.11371283
http://arxiv.org/pdf/2201.01265v1,Limits on primordial black holes detectability with Isatis: A BlackHawk tool,"First, please en-
(in)direct electron/positron, neutrino, graviton or (pu-    sure that BH launcher.c contains the correct path to
tative) DM particle yield. This is left for future work,    your BlackHawk version and that the BlackHawk pro-
but a thorough list of references can be found on the       grams BlackHawk inst and BlackHawk tot are them-
BlackHawk website (for those who rely on the code) or in    selves compiled. We advise to compile it with #define
the latest review [4]. ",astro-ph.HE,C,0.0820203,0.010303001,0.1430176
http://arxiv.org/pdf/2201.01265v2,Limits on primordial black holes detectability with Isatis: A BlackHawk tool,"The BH launcher program
neutrino, graviton or (putative) DM particle yield. This
is left for future work, but a thorough list of references     The folder /BH launcher contains another BlackHawk
can be found on the BlackHawk website (for those who        add-on: an automatic comprehensive launcher adapted
rely on the code) or in the latest review [4]. Finally, we  to Isatis. ",astro-ph.HE,C,0.07922095,0.024233863,0.22074956
http://arxiv.org/pdf/2201.01302v3,Evidence of large recoil velocity from a black hole merger signal,"In this case, while the spin  ics in the surrogate models due to extrapolation to large
magnitudes are equal, the directions are not. In fact,       spins, which we leave for future work. 10

χ1                                            0.8                                  SXS:BBH:0178 (tref/M =−100)                                  χ1                                            0.8                                  SXS:BBH:2439 (tref/M =−100)
                                              0.4                                       q = 1.00, M = 70.0 M                                                                                  0.4                                       q = 1.00, M = 70.0 M
                                                                                         χ1 = [0.00, 0.00, 0.99]                                                                                                                         χ1 = [0.08, 0.90, 0.29]
vf [km/s] φ2 [rad] φ1 [rad] cos θ2 cos θ1 χ2  0.8                                        χ2 = [0.00, 0.00, 0.99]                                vf [km/s] φ2 [rad] φ1 [rad] cos θ2 cos θ1 χ2  0.8                                      χ2 = [−0.07, −0.90, 0.29]
                                              0.4                                       dL=400 Mpc, SNR=72                                                                                    0.4                                       dL=400 Mpc, SNR=63
                                                                                          θJN=π/3, φref=π/3                                                                                                                               θJN=π/3, φref=π/3
                                              0.8                                              vf = 0 km/s                                                                                    0.8                                            vf = 1183 km/s

                                              0.0                      0.4 0.8 −0.8 0.0 0.8 −0.8 0.0 0.8 −2.5 0.0 2.5 −2.5 0.0 2.5 0 1000 2000                                                0.0                      0.4 0.8 −0.8 0.0 0.8 −0.8 0.0 0.8 −2.5 0.0 2.5 −2.5 0.0 2.5 0 1000 2000

                                               0.8                     χ2 cos θ1 cos θ2 φ1 [rad] φ2 [rad] vf [km/s]                                                                            0.8                     χ2 cos θ1 cos θ2 φ1 [rad] φ2 [rad] vf [km/s]
                                              −0.8                                                                                                                                            −0.8

                                              0.0                                                                                                                                             0.0

                                               0.8                                                                                                                                             0.8
                                              −2.5                                                                                                                                            −2.5

                                              0.0                                                                                                                                             0.0

                                               2.5                                                                                                                                             2.5
                                              −2.5                                                                                                                                            −2.5

                                              0.0                                                                                                                                             0.0

                                              −2.5                                                                                                                                            −2.5
                                              2000                                                                                                                                            2000

                                              1000                                                                                                                                            1000

                                              0                                                                                                                                               0
                                                  1.2 1.6 2.0 0.4 0.8                                                                                                                             1.2 1.6 2.0 0.4 0.8

                                                    q  χ1                                                                                                                                           q  χ1

Figure S1. ",astro-ph.HE,B,0.15417722,0.21910255,-0.045926124
http://arxiv.org/pdf/2201.01397v1,Inferring Astrophysical Parameters of Core-Collapse Supernovae from their Gravitational-Wave Emission,"The best results    CoCoNuT code. As there are some diﬀerences in results
are obtained at times when the gravitational-wave ampli-     between diﬀerent simulation codes, in future work we will
tude is highest. The results may be improved further as      need to test the robustness of our results by using CCSN
work on universal relations between the source properties    waveforms from other simulation codes. ",astro-ph.HE,B,-0.026037274,0.13201196,0.14071397
http://arxiv.org/pdf/2201.01397v2,Inferring Astrophysical Parameters of Core-Collapse Supernovae from their Gravitational-Wave Emission,"As there are some diﬀerences in results
to the astrophysical parameters of the source. We show            between diﬀerent simulation codes, in future work we will
how the signal frequency in our reconstructed spectro-            need to test the robustness of our results by using CCSN
grams can be converted into posterior distributions on            waveforms from other simulation codes. It may also be
the mass and radius of the PNS. ",astro-ph.HE,A,-0.15358189,-0.06287695,-0.023948846
http://arxiv.org/pdf/2201.01696v1,Adiabatic-radiative shock systems in YSO jets and novae outflows,"A detailed modeling is         reprocessed into optical emission. needed to quantify the viability of the adiabatic-radiative shock
scenario and this will be addressed in future works. Below we             In Figure 11 we show the relevant time scales involved in
analyse the case of RS Oph, recently detected at gamma-rays. ",astro-ph.HE,A,-0.15190756,-0.1554032,-0.2102302
http://arxiv.org/pdf/2201.01905v2,Divergence in mass ratio distributions between low-mass and high-mass coalescing binary black holes,"The parameterized/semi-parameterized models considered here are still limited
and may not be able to describe the BBH populations completely (Mandel & Broekgaarden 2021). For example, it
would be beneﬁcial to construct a mass-dependent spin model together with the mass ratio distribution, and we leave
this for future work. Meanwhile, the BBH sample is expected to increase rapidly in the near future (Abbott et al. ",astro-ph.HE,C,0.1349048,0.19459292,0.2993831
http://arxiv.org/pdf/2201.01905v3,Divergence in mass ratio distributions between low-mass and high-mass coalescing binary black holes,"For example, it would be beneﬁcial to construct a
                                                                         mass-dependent spin model together with the mass ratio
          4. CONCLUSION AND DISCUSSION                                   distribution, and we leave this for future work. Mean-
                                                                         while, the BBH sample is expected to increase rapidly
  We have investigated the population of BBHs with                       in the near future (Abbott et al. ",astro-ph.HE,C,0.14873634,0.20173039,0.29707664
http://arxiv.org/pdf/2201.02379v1,The prototype X-ray binary GX 339-4: using TeV gamma-rays to assess LMXBs as Galactic cosmic ray accelerators,"We aim to
on the population-synthesis results of Olejak, A. et al. (2020) and on        further study the impact of the pair-to-proton ratio to jet evolution
the recent X-ray observations of Hailey et al. (2018) and Mori et al. ",astro-ph.HE,A,-0.05727901,-0.13399218,0.050685354
http://arxiv.org/pdf/2201.02508v1,A spectral hardening in the Fermi-LAT Data of 1ES 0502+675,"2log(𝐿/𝐿0), where 𝐿 is the maximum likelihood of the model with          Looking at the spectrum in P3, it is noticed that the energy ﬂux in the
a point source at the target position, and 𝐿0 is the maximum like-       ﬁrst bin has an excess over the modeled PL ﬂux. A further analysis
lihood without the source (Mattox et al. 1996). ",astro-ph.HE,B,-0.027755925,0.107863314,-0.124579094
http://arxiv.org/pdf/2201.03085v1,Disk Tearing Leads to Low and High Frequency Quasi Periodic Oscillations in a GRMHD Simulation of a Thin Accretion Disk,"However it is also apparent that the spectra shown
here seem to have stronger harmonics at two times the Keplerian
frequency. A more detailed investigation is left for future work. This paper has been typeset from a TEX/LATEX ﬁle prepared by the author. ",astro-ph.HE,A,-0.07550201,-0.010316313,-0.20407441
http://arxiv.org/pdf/2201.03218v1,Evidence for Gamma-Ray Pulsations from the Classical Nova ASASSN-16ma,"corrected by gtbary. For a further analysis, we investigated the evolutions
                                                                    of Hw forward and backward in time. While the two
                                                                    methods give the same value of Hw ≈ 30 at the end, the
                                                                    reverse evolutionary track yields a high peak of ≈ 60 on
                                  Gamma-Ray Pulsations from ASASSN-16ma                                                           3

a 60                                                                          b +5.77e4

                           50                                                      8

Weighted H-Test Statistic  40                                                      6

                           30                                                      4Time (MJD)

                           20                                                      2

                           10                                                      00.00 0.25 0.50 0.75 1.00 1.25 1.50 1.75 2.00
                                                                                                             Phase
     0                         2  4           6  8
         0                        Time (MJD)     +5.77e4                      d 9.0 +5.77e4

c 60                                                                             8.5
                                                                                 8.0
Weighted H-Test Statistic  50                                                    7.5
                                                                                 7.0
                           40                                       Time (MJD)   6.5
                                                                                 6.0
                           30                                                    5.5
                                                                                 5.0
                           20
                                                                                   0.00 0.25 0.50 0.75 1.00 1.25 1.50 1.75 2.00
                           10                                                                                Phase

                           0

                               5.0 5.5 6.0 6.5 7.0 7.5 8.0 8.5 9.0
                                  Time (MJD)     +5.77e4

Figure 2. ",astro-ph.HE,A,-0.1199963,-0.05025113,-0.12302649
http://arxiv.org/pdf/2201.03260v1,Investigating the observational properties of Type Ib supernova SN 2017iro,"2013) and may suﬀer a considerable    0.27 ± 0.04 mag. For further analysis we adopt a total
amount of reddening. Several photometric and spectro-       extinction E(B − V )MW +host = 0.28 ± 0.04 mag (Milky
scopic techniques have been proposed to determine the       Way + host) and Cardelli et al. ",astro-ph.HE,A,-0.15256011,-0.2877227,0.020420758
http://arxiv.org/pdf/2201.03526v1,Formation of Magnetically Truncated Accretion Disks in 3D Radiation-Transport Two-Temperature GRMHD Simulations,"These        Fishbone L. G., Moncrief V., 1976, ApJ, 207, 962
stem from the intrinsic challenges associated with quantifying the         Fukumura K., Kazanas D., 2007, ApJ, 664, 14
dissipation rate in a highly magnetized plasma, and from the inher-        Gardiner T. A., Stone J. M., 2005, Journal of Computational Physics, 205,
ent limitations related to our two-moment (M1) radiation scheme,
which works best in regions of high optical depth where emission            509
and scattering of photons is localized. We will address these and          Igumenshchev I. V., 2008, ApJ, 677, 317
other uncertainties in future work. Igumenshchev I. V., 2009, ApJ, 702, L72
                                                                           Igumenshchev I. V., Narayan R., Abramowicz M. A., 2003, ApJ, 592,
6 ACKNOWLEDGMENTS
                                                                            1042
We thank Michiel van der Klis, Adam Ingram, Sera Markoﬀ,                   Ingram A., Done C., Fragile P. C., 2009, MNRAS, 397, L101
Ramesh Narayan, and Eliot Quataert for insightful discussions. ",astro-ph.HE,A,-0.017757429,-0.09593172,-0.23596114
http://arxiv.org/pdf/2201.03526v2,Formation of Magnetically Truncated Accretion Disks in 3D Radiation-Transport Two-Temperature GRMHD Simulations,"discussions. An award of computer time was provided by the
We will explore this possibility in future work. Innovative and Novel Computational Impact on Theory and
                                                                   Experiment (INCITE) program under award PHY129. ",astro-ph.HE,B,0.1022076,0.3860759,0.056227967
http://arxiv.org/pdf/2201.03526v3,Formation of Magnetically Truncated Accretion Disks in 3D Radiation-Transport Two-Temperature GRMHD Simulations,"Both of these outﬂows move out radially or
vertically from the disk’s midplane. In future work we plan to          7.3. Effect of Comptonization and density ﬂoors
address the mass and energy ejection rates of these outﬂows
and if these outﬂows indeed become gravitational unbound. ",astro-ph.HE,C,0.28753126,-0.10740082,0.19531134
http://arxiv.org/pdf/2201.03547v1,Magnetic field amplification by a plasma cavitation instability in relativistic shock precursors,"The beam has comoving tem-        antimatter asymmetries, including the galactic positron
perature Tb = mec2 and mean Lorentz factor γbe = 1000.        excess. The transverse magnetic ﬁeld amplitude (a), background ion
density (b), and beam charge density (c) are reported at        Finally, it would be interesting for future work to con-
t = 12000 ωp−1, the saturation time of the cavitation insta-  sider the possibility of studying this cavitation instabil-
bility. The opacity scales linearly with the value. ",astro-ph.HE,C,0.038008753,-0.15584594,-0.19137478
http://arxiv.org/pdf/2201.03576v1,Systematic exploration of heavy element nucleosynthesis in protomagnetar outflows,"tragalactic magnetic ﬁeld will be coupled to the composition
                                                                   of heavy nuclei that are synthesized near the source. Each
                                                                   stage requires further study and is left for future work. 5 SUMMARY AND CONCLUSION                                           ACKNOWLEDGEMENTS

We performed a numerical study of the nucleosynthe-                We thank Kohta Murase, David Radice and Yudai Suwa
sis of protomagnetar outﬂows to systematically probe the           for useful discussions. ",astro-ph.HE,C,0.21039635,-0.18626907,0.006010715
http://arxiv.org/pdf/2201.03576v2,Systematic exploration of heavy element nucleosynthesis in protomagnetar outflows,"Uncertainties in features like the ex-          physical Journal, 919, 59
tragalactic magnetic ﬁeld will be coupled to the composition   Cybert R. H., et al., 2010, The Astrophysical Journal Supplement
of heavy nuclei that are synthesized near the source. Each          Series, 189, 240
stage requires further study and is left for future work. Côté B., et al., 2018, The Astrophysical Journal, 855, 99
                                                               Drenkhahn G., 2002, A&A, 387, 714
ACKNOWLEDGEMENTS                                               Drenkhahn G., Spruit H. C., 2002, A&A, 391, 1141
                                                               Duncan R. C., Thompson C., 1992, ApJL, 392, L9
We thank Kohta Murase, David Radice and Yudai Suwa             Fang K., Kotera K., Olinto A. V., 2012, The Astrophysical Jour-
for useful discussions. ",astro-ph.HE,C,0.07043757,-0.23633993,0.05398991
http://arxiv.org/pdf/2201.03589v1,4FGL J1120.0-2204: A Unique Gamma-ray Bright Neutron Star Binary with an Extremely Low Mass Proto-White Dwarf,"This
from our observations. The “best” model is shown with a                                                           system may be especially valuable for further study due
thick blue line, where all the model values are consistent with                                                   to its precise parallax, allowing an unusually accurate
the observations at a single age (vertical shaded region). determination of the luminosity of the source. ",astro-ph.HE,A,-0.2737145,0.05488503,0.056815267
http://arxiv.org/pdf/2201.03594v1,Characterizing the breakdown of quasi-universality in the post-merger gravitational waves from binary neutron star mergers,"We leave such detailed        at Princeton University. This work also used the Ex-
explorations to future work. treme Science and Engineering Discovery Environment
                                                             (XSEDE) under grant TG-PHY210053, which is sup-
                  ACKNOWLEDGEMENTS                           ported by National Science Foundation grant number
                                                             ACI-1548562. ",astro-ph.HE,B,0.013394972,0.2504084,0.17121027
http://arxiv.org/pdf/2201.03594v2,Characterizing the breakdown of quasi-universality in the post-merger gravitational waves from binary neutron star mergers,"Intuitively, this               and simulations of a wide class of binary masses and

is consistent with the fact that the post-merger rem-             mass ratios. We leave such detailed explorations to

nant itself is a massive neutron star, and thus probes            future work. higher densities than are present in the inspiral. ",astro-ph.HE,C,0.14184795,-0.20443726,0.38012612
http://arxiv.org/pdf/2201.03632v1,Impact of extreme spins and mass ratios on the post-merger observables of high-mass binary neutron stars,"Lett., 115, 091101
the components. This study thus highlights that a number of hints                                     Bernuzzi S., et al., 2020, arXiv e-prints, p. arXiv:2003.06015
on binaries with extreme spins and mass ratios can be found in their                                  Bishop N. T., Rezzolla L., 2016, Living Reviews in Relativity, 19, 2
electromagnetic counterparts, which we will model in future work. Bona C., Ledvinka T., Palenzuela C., Zácek M., 2003, Phys. ",astro-ph.HE,C,0.09793019,-0.118196376,0.13145238
