url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00178v1,Imaging the Sun's near-surface flows using mode-coupling analysis,"In this work, we have developed inversions to show that the Cartesian approximation of mode-coupling can be used
with great conﬁdence to investigate ﬂows near the surface. Careful inversions of mode-coupling measurements, built
using a suﬃciently large modeset that penetrates into the deeper layers of the convection zone, can also enable probing
of the depth structure and time-evolution of supergranules, part of future work. With enough modes to improve
signal-to-noise through larger observation sizes, we suggest that Cartesian mode-coupling can ﬁnd local helioseismic
applications to investigate other depth- and time-varying features such as giant cell ﬂows (see Hathaway et al. ",astro-ph.SR,B,0.24854872,-0.1544401,-0.16490471
http://arxiv.org/pdf/2201.00712v1,Multi-instrument STIX microflare study,"The light travel time diﬀerences between       STIX data, pre-event levels were subtracted for the construction
Solar Orbiter and Earth are 250.3 and 251.8 seconds for the          of AIA lightcurves. events on June 6th and 7th respectively and are added to the
STIX observations in the further analysis. 2.2.1. ",astro-ph.SR,C,-0.07374524,0.073442414,-0.22361508
http://arxiv.org/pdf/2201.00891v1,Detailed Chemical Abundances for a Benchmark Sample of M Dwarfs from the APOGEE Survey,"This work abundance
In this study the derived metallicities are the mean of                                       results can be used to study the star-planet connection
the iron abundances from the Fe I and FeH lines, while                                        and geophysical properties of these likely rocky exoplan-
Souto et al. (2020) used only Fe I lines as their metal-                                      ets in future works. licity indicator (see discussion in Souto et al. ",astro-ph.SR,C,-0.19034827,-0.1032154,-0.02951211
http://arxiv.org/pdf/2201.01156v1,Focusing of nonlinear eccentric waves in astrophysical discs. II. Excitation and damping of tightly-wound waves,"This
is particularly important for strongly nonlinear waves where G is a                                                                                                  (80)
steep function of 𝑞. A more complete study of the eﬀects of tightly-
wound eccentric waves on the background accretion ﬂow is beyond                        where we have made use of the dispersion relation to simplify the
the scope of this paper, and is thus left for future work. spatial component of the ﬂux. ",astro-ph.SR,B,0.4112754,-0.060442314,0.03459835
http://arxiv.org/pdf/2201.01243v1,"Eclipsing Binaries in Dynamically Interacting Close, Multiple Systems","40 of 40

236. Kemp, J. C.; Barbour, M. S.; McBirney, R. E.; Rudy, R. J. Algol : a further study of the optical polarization. ApJ 1981, 243, 557–566. ",astro-ph.SR,A,0.049661882,0.06144833,-0.20608702
http://arxiv.org/pdf/2201.02160v1,A new photometric study of M14 (NGC 6402): An interpretation of the Horizontal Branch and beyond,"Although the
are discussed in § A2. amplitude of V175 suggests modulations, we have refrained from a
                                                                             further analysis given the likely light contamination from V43. This paper has been typeset from a TEX/LATEX ﬁle prepared by the author. ",astro-ph.SR,A,0.152894,0.21504429,-0.14445645
http://arxiv.org/pdf/2201.02293v2,A model of double coronal hard X-ray sources in solar flares,"2019), the electron distribution shows that the higher the electron energy, the source size is smaller
and the source is located closer the termination shock (in higher location). In our future work, we
will further examine this issue by using time-dependent MHD data and consider other mechanisms
that can aﬀect the acceleration and transport of energetic electrons, e.g., magnetic mirroring and
Coulomb collision. The high-resolution synthetic HXR images suggest that if the future X-ray instruments can achieve
both high dynamic range (>50:1) and spatial resolution (<2 ), some faint and ﬁne structures, e.g.,
                                                                                                                              11

a cusp-shaped structure as observed in soft X-ray and EUV wavelengths, and separated sources
related to the plasmoids, may be revealed. ",astro-ph.SR,B,0.095795386,-0.030791594,-0.07982849
http://arxiv.org/pdf/2201.02388v1,The Dynamic Coupling of Streamers and Pseudostreamers to the Heliosphere,"In panel (a) ﬁeld lines       it would in reality. Relaxing this assumption will be
are traced down to the solar surface from selected points     undertaken in future work. One way that connectiv-
on the trajectories. ",astro-ph.SR,B,0.19511318,-0.1188982,-0.31096786
http://arxiv.org/pdf/2201.02645v1,Angular momentum transport in a contracting stellar radiative zone embedded in a large scale magnetic field,"2009, Annual Review of Astronomy and Astro-
to apply to stars, especially in the viscous regime where the MRI
has been observed. A question that remains to be addressed in                    physics, 47, 333
future works concerns the occurrence of the MRI in more re-                   Dormy, E., Cardin, P., & Jault, D. 1998, Earth and Planetary Science Letters,
alistic Eddington-Sweet regimes which will require to explore
the strongly non-linear regime corresponding to very large ratio                 160, 15
τc/τν. Eggenberger, P., Deheuvels, S., Miglio, A., et al. ",astro-ph.SR,B,0.057180654,-0.22363941,-0.09739988
http://arxiv.org/pdf/2201.02894v1,Influence of the heliospheric current sheet on the evolution of solar wind turbulence,"σr decreases,
wave packets as ﬁrst described by Kraichnan (1965), and           and the Els¨asser ratio |zout|/|zin| increases, contradict-
                                                                  ing our simulation results that σc declines and σr in-
hence it is determined by the background magnetic ﬁeld            creases at SIRs (Figure 2). The reason for this contra-
                                                                  diction is unknown and needs further study. strength along the wave propagation direction. ",astro-ph.SR,B,0.37175113,0.08666586,0.0190171
