url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00032v1,Supervised versus unsupervised learning: approaching optimal memory retrieval in Hopfield networks,"path right to the optimal region of the space of interac-
                                                              tions. Another direction for future work would be the
   By empirically measuring the overlap between memory        veriﬁcation of the results on other types of models, such
patterns and glassy patterns we have established that the     as more biologically reliable Hopﬁeld-like networks [33],
HU rule in Eq. (8) represents a valid, yet counterintuitive,  random neural networks [34, 35], or continuous attractor
transformation that mimics the linear regression opera-       neural networks [36]. ",cond-mat.dis-nn,B_centroid,0.496383,-0.175782,0.042908896
http://arxiv.org/pdf/2201.00032v2,Supervised perceptron learning vs unsupervised Hebbian unlearning: Approaching optimal memory retrieval in Hopfield-like networks,"Hence a very close        path right to the optimal region of the space of interac-
analogy between the eﬀects of these two formally diﬀer-      tions. Another direction for future work would be the
ent rules has emerged. veriﬁcation of the results on other types of models, such
                                                             as more biologically reliable Hopﬁeld-like networks [38],
   We conclude by some highly speculative considerations     random neural networks [39, 40], or continuous attractor
on possible implications of our work. ",cond-mat.dis-nn,B,0.43634543,-0.17795976,0.024917573
http://arxiv.org/pdf/2201.01208v1,Competition between Barrier- and Entropy-Driven Activation in Glasses,"lines, and results from full-memory dynamics (N < 30) are           sition oneself in the entropic metastable branch. We will
                                                                    extensively characterize these issues in future work [? ],
shown as markers. ",cond-mat.dis-nn,B,0.15797779,-0.18276231,0.113724366
http://arxiv.org/pdf/2201.02085v1,Exponential size scaling of Liouvillian gap in boundary-dissipated systems with Anderson localization,"The quasiperiodic op-     localization. To conﬁrm the validity of the exponential
                                                 tical lattices have provided an ideal platform for studying  scale relation, we further study a quasiperiodical model
                                                                                                                                      2

with mobility edge and the 1D Anderson lattice, which                         the underlying phase diagram in Fig.1(a), which indicates
also display similar scale relation of Liouvillian gap. the Liouvillian gap exhibiting diﬀerent features in diﬀer-
                                                                              ent phase regions. ",cond-mat.dis-nn,C,-0.2033973,-0.05879952,0.19679561
http://arxiv.org/pdf/2201.02085v2,Exponential size scaling of the Liouvillian gap in boundary-dissipated systems with Anderson localization,"While ∆g ∝ L−3 in the
extended phase, the Liouvillian gap scales with L in an          L−1                                   L
exponential way e−aL in the localized phase, where a is
identiﬁed to be identical to the Lyapunov exponent κ of      H=       Ji(c†i ci+1 + c†i+1ci) + Vic†i ci,                    (3)
the localized state. To conﬁrm the validity of the ex-
ponential scaling relation, we further study a quasiperi-        i=1                                   i=1
odical model with mobility edge and the 1D Anderson
lattice, in which the localization length of a localized     where Ji represents the hopping amplitude between the
eigenstate is energy dependent. Our numerical results        i-th and (i+1)-th sites and Vi denotes the chemical poten-
show that the Liouvillian gap displays similar exponen-      tial on the i-th site. ",cond-mat.dis-nn,C_centroid,-0.34377903,-0.10850072,0.16053371
http://arxiv.org/pdf/2201.03012v1,Localization properties of the sparse Barrat-Mézard trap model,"sent entropic eﬀects. In this limit, each mode with associ-
ated eigenvalue −k/c corresponds to a local conﬁguration          In future work it will be worth investigating the phase
in which the total probability mass is concentrated in a       diagram of the model studied here down to T = 0: as
single node with k neighbours that lie at greater depth        in the zero temperature limit all eigenstates are fully
in the energy landscape. Thus, the origin of localization      localized, one might expect that the isolated localized
is linked strongly to the energetic disorder here, rather      modes at λ = −k/c that we found broaden into mul-
than merely to the structure of the network. ",cond-mat.dis-nn,C,-0.16400087,-0.21547002,0.1457302
http://arxiv.org/pdf/2201.03012v2,Localization properties of the sparse Barrat-Mézard trap model,"for conﬁrmation of this statement at the level of the den-
sity of states of the Bouchaud trap model. Finally, the           In future work it will be worth investigating the phase
point sets λ ∈ {−1/3, −2/3} have localized eigenmodes          diagram of the model studied here down to T = 0: as
for low enough temperatures; we discuss these separately       in the zero temperature limit all eigenstates are fully
below. Notice that we left out of our analysis the mobil-      localized, one might expect that the isolated localized
ity edges near λ = 0 and λ = −1, where there is a more         modes at λ = −k/c that we found broaden into mul-
conventional transition to localized states (see Ref. ",cond-mat.dis-nn,C,-0.35704678,-0.18533902,0.12651625
http://arxiv.org/pdf/2201.03760v1,Quantum criticality and universality in the $p$-wave paired Aubry-André-Harper model,"QCPs Vc2 = 2|J + ∆| belong to the same universality
                                                               class as the quasiperiodic Ising chain [19]. In order to extract the dynamical exponent z of CP-
LP transitions, we further study the ﬁnite-size scaling
of χ4. One can easily heed that χ4 displays much
more divergent peaks than χ2 in the vicinity of QCP
Vc2 = 3, as is disclosed in Fig.6. ",cond-mat.dis-nn,C,-0.2534506,-0.043766238,-0.06728913
http://arxiv.org/pdf/2201.04669v1,On neural network kernels and the storage capacity problem,"This connection yields
an intuitive explanation for the varying behavior of the storage capacity in terms of input discriminabil-
ity (Baldassi et al., 2019; Barkai et al., 1992; Engel et al., 1992; Gardner, 1988; Gardner and Derrida, 1988;
Zavatone-Veth and Pehlevan, 2021), as well as a more precise description of the relationship of this line of
research to work on kernel limits of neural networks (Cho and Saul, 2009; Hron et al., 2020; Jacot et al., 2018;
Lee et al., 2018; Matthews et al., 2018; Neal, 1996; Panigrahi et al., 2020; Poole et al., 2016; Williams, 1997). Yet, further research will be required to fully understand the connections between studies of the
storage capacity problem in statistical physics and results on the NNGP limit. Though both lines of
research focus on Bayesian inference of network weights, they consider diﬀerent settings. ",cond-mat.dis-nn,B,0.3254432,-0.07314794,-0.18260628
http://arxiv.org/pdf/2201.06388v1,Emergence of a random field at the yielding transition of a mean-field Elasto-Plastic model,"Since our purpose
here is to describe the sample-to-sample ﬂuctuations near yielding, we will consider the simpler model with a uniform
positive redistribution. Studying these ﬂuctuations in the random-kick model is much more involved and we defer it
to future work. Consider now the AQS evolution of the mean-ﬁeld EPM under strain. ",cond-mat.dis-nn,C,0.038583685,-0.073147416,-0.1978203
http://arxiv.org/pdf/2201.06388v2,Emergence of a random field at the yielding transition of a mean-field Elasto-Plastic model,"Since our purpose
here is to describe the sample-to-sample ﬂuctuations near yielding, we will consider the simpler model with a uniform
positive redistribution. Studying these ﬂuctuations in the random-kick model is much more involved and we defer it
to future work. Consider now the AQS evolution of the mean-ﬁeld EPM under strain. ",cond-mat.dis-nn,C,0.038583685,-0.073147416,-0.1978203
http://arxiv.org/pdf/2201.07857v1,Transient Nature of Fast Relaxation in Metallic Glass,"The spatial visualization confirms our results that the NCL relaxation evolves
in time by involving different groups of atoms showing a stochastic behavior. 3.3 Subtle nature of Nearly Constant Loss (NCL)

    We performed further analysis to characterize the intrinsic nature of atoms responsible for
NCL relaxation in terms of various factors which have been used in literature, including non-affine
displacement, atomic-level shear stress, atomic-level volume, and coordination number, which
are summarized in Table 1. In a defect view, the NCL relaxation may be caused by local regions
of low density, high stresses or over/under coordination of neighbors. ",cond-mat.dis-nn,C,-0.015625898,-0.18744537,0.15786341
http://arxiv.org/pdf/2202.00285v3,Evolution of spectral topology in one-dimensional long-range nonreciprocal lattices,"cal hopping existing in the nearest rd neighboring sites. We further study the spectral properties of 1D lattices
We show that, in the oﬀ-diagonal models without on-         with power-law decaying nonreciprocal hopping. Finally,
site potentials, the PBC spectra always form loops that     we propose a practical scheme by using electrical circuits
are characterized by winding numbers up to rd. ",cond-mat.dis-nn,C,-0.2424834,0.07467414,0.15552577
http://arxiv.org/pdf/2202.00350v2,Network Hierarchy and Pattern Recovery in Directed Sparse Hopfield Networks,"if the out-degree of a few nodes were so large that they
                                                                                directly aﬀected much of the network. These network
                                                                                properties can interplay in a variety of ways and may be
                                                                                the subject of future work. Figure 5: Performance of Networks of varying degree for                            C. Structural Properties of Networks Aﬀecting
    ﬁxed generation temperature, TGEN = 1, showing                                                             Performance
    patterns to the 20% lowest nodes by trophic level. ",cond-mat.dis-nn,B,0.22388263,0.031517666,0.1307792
http://arxiv.org/pdf/2202.00565v1,Data-driven emergence of convolutional structure in neural networks,"However, as receptive elds are starting to form, indicated by the rise of the IPR (2)
of the neurons, the GET-based predictions start to deviate from the actual loss. The breakdown of the
GET to describe the learning dynamics in our model is a result of independent interest, whose further
investigation we leave to future work. The network learns the moments of the data sequentially. ",cond-mat.dis-nn,B,0.5464525,-0.21306548,-0.003164015
http://arxiv.org/pdf/2202.00565v2,Data-driven emergence of convolutional structure in neural networks,"We note that as D increases (for constant
correlation length ξ) the sample uctuations increase at the transition. A better understanding of this
transition and similar other properties of higher-order cumulants represents an interesting direction for
further study. We expect that typical-case studies of the decomposition of large random tensors [83–87]

                                                              9
and approaches based on random matrix theory [88] will prove fruitful in this direction, similar to the
progress in understanding the spectral properties of random covariance matrices [89–91]. ",cond-mat.dis-nn,C,-0.027243584,-0.033288836,-0.22121061
http://arxiv.org/pdf/2202.04925v1,Decomposing neural networks as mappings of correlation functions,"APPENDIX A DISORDER AVERAGE FOR
   Outlook Tracing transformations of data correlations                          WIDE NETWORKS
through layers of a neural network allows the investiga-
tion of mechanisms for both information encoding and         The application of a non-linear activation function φ
processing; in this manner, it presents a handle towards
interpretability of deep networks. The availability of       in each network layer generates higher-order cumulants
tractable expressions describing the transformations of
data correlations within neural networks is therefore an     from Gaussian distributed layer input, as discussed in
interesting prospect for future work seeking to dissect
how networks learn and perform tasks. In this context,       Section III B. ",cond-mat.dis-nn,B,0.6099607,-0.19597736,0.0265885
http://arxiv.org/pdf/2202.04925v2,Decomposing neural networks as mappings of correlation functions,"Outlook Tracing transformations of data correlations     APPENDIX A HIGHER-ORDER CUMULANTS
through layers of a neural network allows the investiga-    OF POST-ACTIVATIONS CAUSED BY WEAKLY
tion of mechanisms for both information encoding and
processing; in this manner, it presents a handle towards              CORRELATED PRE-ACTIVATIONS
interpretability of deep networks. The availability of
tractable expressions describing the transformations of     We study how weak correlations between pre-
data correlations within neural networks is therefore an
interesting prospect for future work seeking to dissect     activations aﬀect higher-order cumulants of the post-
how networks learn and perform tasks. In this context,
the theory we propose assumes data statistics of the input  activations. ",cond-mat.dis-nn,B,0.6297952,-0.17483065,-0.08917656
