url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00988v1,Topological Anderson insulators with different bulk states in quasiperiodic chains,"[30–35]. It would be in-
                                                   ∗ danweizhang@m.scnu.edu.cn                                  teresting to further study the disorder-induced TAIs in
                                                                                                                non-Hermitian quasiperiodic systems. In this work, we explore the interplay of topology and
                                                                                                               2

localization in the Hermitian and non-Hermitian SSH         (a)               (b)
chains with quasiperiodic hopping disorders. ",cond-mat.mes-hall,B,-0.282601,-0.22548291,-0.09182161
http://arxiv.org/pdf/2201.00988v2,Topological Anderson insulators with different bulk states in quasiperiodic chains,"[31–36]. It would be in-
                                                                                                                 teresting to further study the disorder-induced TAIs in
                                                    ∗ danweizhang@m.scnu.edu.cn                                  non-Hermitian quasiperiodic systems. In this work, we explore the interplay of topology and
                                                                                                               2

localization in Hermitian and non-Hermitian SSH chains      (a)               (b)
with quasiperiodic hopping disorders. ",cond-mat.mes-hall,B,-0.2808634,-0.22233582,-0.088472
http://arxiv.org/pdf/2201.00988v3,Topological Anderson insulators with different bulk states in quasiperiodic chains,"In our model, the quasiperiodic disorder follows       B. Localization properties of bulk states
the form V (n)σx with V (n) = W cos(2παn), thus the
eﬀective Hamiltonian Heﬀ = Hq(k) + V (n)σx. Consid-             In this section, we further study the localization prop-
ering the symmetry of the Hamiltonian, the self-energy       erties of bulk states in this quasiperiodic SSH chain. Fol-
is simpliﬁed as Σ(W ) = Σx(W )σx. ",cond-mat.mes-hall,B,-0.24913743,-0.2447142,-0.117799014
http://arxiv.org/pdf/2201.01329v2,"Information geometry of quantum critical submanifolds: relevant, marginal and irrelevant operators","Since our intent is not to solve
change of the parameter φ is precisely tangent to the crit-            particular models, but rather to communicate the idea
ical manifold, showing that the tangent directions have                that tangent directions to critical manifolds are special,
decreased distinguishability. Just like the case of the XY             we decided to leave these technical details to future work. model, the points (M, φ) = (0, 0) and (0, π) behave as
isolated critical points, and the metric blows up in all                                      VI. ",cond-mat.mes-hall,B,0.03432586,-0.3525586,-0.100924
http://arxiv.org/pdf/2201.01467v1,Tunable Topology and Berry Curvature Dipole in Transition Metal Dichalcogenide Janus Monolayers,"Two methods were employed to characterise the topological nature of the monolayers –
direct calculation of the Z2 topological invariant and a computation of edge states. The
calculation and further analysis of edge spectrum was performed using the WannierTools
code [65], employing the method of calculating surface Green’s function using the iterative
Green’s function approach [66–68]. A computationally feasible method to calculate the Z2
topological invariant was proposed by Rui et al. ",cond-mat.mes-hall,B,-0.040611256,-0.050322622,-0.13566923
http://arxiv.org/pdf/2201.01572v1,Magnetic sensitivity distribution of Hall devices in antiferromagnetic switching experiments,"This consistency strongly supports the presence of a magnetic SMR
signal in the transverse resistance changes associated with current-induced switching of the
antiferromagnetic Néel vector. Our results can thus motivate further research to reduce non-
magnetic signals in the electrical readout and enable the reliable, all-electrical control of the
antiferromagnetic Néel order, which is key to develop future spintronic devices based on
AFMs. Acknowledgments

L.B acknowledges the European Union’s Horizon 2020 research and innovation program
under the Marie Skłodowska-Curie grant agreements ARTES number 793159. ",cond-mat.mes-hall,A,0.034987073,0.3339576,0.43046504
http://arxiv.org/pdf/2201.01667v1,Magnetoelectric classification of skyrmions,"malism is general and can be extended to other spin tex-

We compute the response αij for the skyrmion as a func-                          tures. Our work opens the door for future works ex-
tion of γ and show our results in Fig. 4 (d). ",cond-mat.mes-hall,B,-0.22233535,-0.24385104,0.18221352
http://arxiv.org/pdf/2201.01779v1,Controllable Nonreciprocal Optical Response and Handedness-Switching in Magnetized Spin Orbit Coupled Graphene,"Through extensive parameter sweeps, general rela-
                                                                                                                             8

tionships between the magnetization, chemical potential and                               ACKNOWLEDGMENTS
frequency can be found at the crossover point, which can be
beneﬁcial for device fabrication. Although, such an effort is        Part of the calculations were performed using HPC re-
outside the scope of this paper, we defer this interesting topic  sources from the DOD High Performance Computing Mod-
as a project for future works. ernization Program (HPCMP). ",cond-mat.mes-hall,C,0.34794796,0.23246738,0.30200964
http://arxiv.org/pdf/2201.01779v2,Controllable nonreciprocal optical response and handedness-switching in magnetized spin orbit coupled graphene,"Through extensive parameter sweeps, general rela-
                                                                                                                             8

tionships between the magnetization, chemical potential, and                              ACKNOWLEDGMENTS
frequency can be found at the crossover point, which can be
beneﬁcial for device fabrication. Although such an effort is         Part of the calculations were performed using HPC re-
outside the scope of this paper, we defer this interesting topic  sources from the DOD High Performance Computing Mod-
as a project for future works. ernization Program (HPCMP). ",cond-mat.mes-hall,C,0.34838754,0.22419453,0.29503214
http://arxiv.org/pdf/2201.03060v1,Intrinsic Nonlinear Spin Magnetoelectricity in Centrosymmetric Magnets,"The induced out-of-plane nonlin-               ation time parameter. A systematic study of the extrinsic
ear spin polarization takes the form of δsz = αzinxtxE2,               eﬀect is an interesting topic to explore in future works. which is independent of the ﬁeld direction. ",cond-mat.mes-hall,A,-0.12966114,0.015985427,0.18986544
http://arxiv.org/pdf/2201.03577v1,Topological space-time crystal,"The exploration of topo-              298–305 (2017). logical phases that are stable in the presense of electron       [13] Zhida Song, Tiantian Zhang, Zhong Fang, and Chen
interactions will be left for future work. On the practical            Fang, “Quantitative mappings between symmetry and
side, it is important to have experimentally feasible ways             topology in solids,” Nature communications 9, 1–7
to detect the boundary modes in topological space-time                 (2018). ",cond-mat.mes-hall,A,-0.23296961,-0.04091771,-0.10795937
http://arxiv.org/pdf/2201.03577v2,Topological space-time crystal,"4 (a), the phase diagram as a function of δkx      logical phases that are stable in the presense of electron
and δky at ﬁxed w/Ω = 0.3 and ∆/Ω = 0.2 is shown. interactions will be left for future work. On the practical
Apart from a large gapless region, the quasienergy spec-      side, it is important to have experimentally feasible ways
trum is found to be gapped at Ω/2 (mod Ω), at which           to detect the boundary modes in topological space-time
the topological invariant C can be computed by sum-           crystals. ",cond-mat.mes-hall,A,-0.29517758,-0.08389452,-0.102629885
http://arxiv.org/pdf/2201.04925v1,Key points in the determination of the interfacial Dzyaloshinskii-Moriya interaction from asymmetric bubble domain expansion,"The rougher the bubble DW, the more        therefore that this can be due to the sensitivity to local nm-scale
diﬃcult is it to identify the DW velocity and its minimum. For      defects or inhomogeneities, not observed in the micrometer-
rough bubbles it might be convenient to try the MOKAS soft-         scale averaged BLS measurements, an issue worth to be inves-
ware, openly available, which oﬀers an automatic evaluation of      tigated in future works. the velocity curve. ",cond-mat.mes-hall,C,0.42593443,0.09066564,-0.0018343143
http://arxiv.org/pdf/2201.06060v1,Ferromagnetic resonance modulation in $d$-wave superconductor/ferromagnetic insulator bilayer systems,"Under the low temperature condition that                                                metallic states, which are outside the scope of the theory
                                                                                                    presented here. The FMR modulation caused by ferro-
                                                                                                    magnetic metals is another subject that will have to be
                                                                                                    clariﬁed theoretically in future work. Furthermore, our work provides the most fundamental                                                                                    5
basis for application to analysis of junctions with vari-
ous anisotropic SCs. ",cond-mat.mes-hall,A,-0.09285402,0.1886428,0.036275975
http://arxiv.org/pdf/2201.06060v2,Ferromagnetic resonance modulation in $d$-wave superconductor/ferromagnetic insulator bilayer systems,"The FMR modulation caused by ferromag-           as Hex = HT + HZ. netic metals is another subject that will have to be clar-
iﬁed theoretically in future work. Now we consider the roughness eﬀect of the interface. ",cond-mat.mes-hall,C,0.13782,0.14833957,-0.03629135
http://arxiv.org/pdf/2201.06131v1,Non-equilibrium phase transition in a single-electron micromaser,"Furthermore, since
exhibits a non-equilibrium phase transition for α = 1. A      Γ/κ 1, the non-equilibrium phase transition should be
further analysis is carried out in Figs. 6(b,c), where we     rather sharp and visible. ",cond-mat.mes-hall,B,-0.036904454,-0.20705454,-0.06693286
http://arxiv.org/pdf/2201.06131v2,Nonequilibrium phase transition in a single-electron micromaser,"A       rather sharp and visible. Altogether, these considerations
further analysis is carried out in Figs. 6(b,c), where we     show that our predictions should be within experimental
examine the convergence points for values of α that are       reach using current technology. ",cond-mat.mes-hall,C,0.35940984,-0.04530871,0.049776137
http://arxiv.org/pdf/2201.06547v1,Mode attraction in Floquet systems with memory: application to magnonics,"[17, 18]. These experiments demon-            crete magnetic breather modes [51], and will be explained
strated level attraction at substantially large driving ﬁeld    in future work. strengths. ",cond-mat.mes-hall,A,0.041545615,0.13368283,0.12585464
http://arxiv.org/pdf/2201.06547v2,Mode attraction in Floquet systems with memory: application to magnonics,"with non-equilibrium excited steady states such as dis-
However, a detailed discussion requires additional analy-      crete magnetic breather modes, and will be explained in
sis since the driving ﬁeld used in Refs. [17, 18] is linearly  future work. polarized. ",cond-mat.mes-hall,A,-0.017199814,0.027525315,0.15123369
http://arxiv.org/pdf/2201.07991v1,Chiral anomaly in non-relativistic systems: Berry curvature and chiral kinetic theory,"It would be also interesting
function which depends only on the energy ε p, f =         to make a ﬁeld-theoretical analysis for Hamiltonians (1)
f (εp),                                                    and (2) to reveal the connection of chiral anomaly with
                                                           ultraviolet divergence in ﬁeld theory. Such an analy-
∑ jCME = ∓ 4πh¯ 2 B ∗ Np∗ F(εp∗ ), (53)                    sis has been performed for Hamiltonian (1) without K0
                            p                              term [55] and will be presented for the case with K0 in a
                                                           future work. where F(ε p) satiesﬁes F′(ε p) = f (ε p) and the boundary
condition F(ε p) → 0 for p → ∞. ",cond-mat.mes-hall,B,-0.016827943,-0.24451436,-0.12808362
http://arxiv.org/pdf/2201.08947v1,Mode conversion and resonant absorption in inhomogeneous materials with flat bands,"We will present a detailed analysis on the con-
magnetic ﬁeld strength. We conclude that the mode con-           sequences of mode conversion in experimentally relevant
version between a strongly dispersive band and a nearly          systems in a future work. ﬂat band can occur, but its eﬃciency decreases rapidly
as the nearly ﬂat band becomes less and less ﬂat. ",cond-mat.mes-hall,A,-0.072300896,0.2621547,0.123604715
http://arxiv.org/pdf/2201.09092v1,Microwave-free dynamic nuclear polarization via sudden thermal jumps,"When assessing this response, it is worth emphasizing that the use of rf pulses is

not mandatory as the protocol could equally exploit small dc field pulses (e.g., few gauss) designed to

transiently match the energy levels required for the generation of nuclear polarization. We postpone the

discussion of this strategy to future work. Based on the above considerations, Fig. ",cond-mat.mes-hall,C,0.21680053,0.1383265,0.20850274
