url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00212v1,"The Impact of Nitrogen Doping on Structural and Electronic Properties of Titanium Sesquioxide, Ti 2 O 3 : An ab-initio Study","This         were employed to study the structures. Therefore, the P
is as well considered and viewed at three diﬀerent angles     structures are considered for further analysis of the band
of projection in Fig 4. Twelve out of eighteen oxygen         structures and projected density of state (PDOS) shown
atoms are replaced by nitrogen in seven diﬀerent ways         in Fig 7. ",cond-mat.mtrl-sci,C,-0.12648046,0.17296672,0.01003646
http://arxiv.org/pdf/2201.00297v1,AutoDisk: Automated Diffraction Processing and Strain Mapping in 4D-STEM,"The 2D lattice in the
diffraction pattern corresponds to the atomic structure at the electron probe position. Applying this
method to the entire 4D data set results in the map of local lattice for all probe locations, allowing
for further analysis of strain and structure distortion. Results and Discussion
Robustness against Noise and Change in Sample Thickness

         Both sample thickness and noise may affect the accuracy in analysis of the diffraction data,
here we test the robustness of AutoDisk using simulated diffraction patterns. ",cond-mat.mtrl-sci,A,0.06893103,-0.042546403,-0.1286234
http://arxiv.org/pdf/2201.00396v1,First Principles Investigation of Transition Metal Doped WSe$_{2}$ Monolayer for Photocatalytic Water Splitting,"The adsorption energies for
pristine WSe2, Mo doped WSe2, and Ta doped WSe2 are -0.1184, -0.1174, and -0.0439
respectively, indicating stable but weak water adsorption. Some of the future works can consider calculating spin-orbital coupling, predicting the
reaction barrier, and using alternative methods such as the Heyd–Scuseria–Ernzerhof(HSE)
exchange–correlation functional and GW approximation(GWA) to calculate the electronic
structures, which can then be compared to the PBE exchange–correlation functional method. V. CONCLUSION

       Aiming to improve the band gap of previously reported photocatalytic materials, we
studied a new TMD material, WSe2, as a monolayer. ",cond-mat.mtrl-sci,C,-0.2316325,-0.17753492,0.15757263
http://arxiv.org/pdf/2201.00901v2,Nonlocal Pseudopotential Energy Density Functional for Orbital-Free Density Functional Theory,"equilibrating the system. The data for further analysis were             [19] Constantin, L. A. & Ruzsinszky, A. ",cond-mat.mtrl-sci,A,0.24578384,0.33909434,0.03095182
http://arxiv.org/pdf/2201.01141v1,Magnetization reversal of a ferromagnetic Pt/Co/Pt film by helicity dependent absorption of visible to near-infrared laser pulses,"Ab-initio calculations may

8
be useful to more accurately discuss the contribution of the IFE to the AO-HDS since it is
anticipated from equation (2) and the ab-initio calculations [37] that Beff from the IFE diverges for
increasing λ with a constant fluence. Investigating AO-HDS with infrared pulses in a free-electron
laser facility [38,39] is a future work planned to gain more insight into the possibility of using IFE
to achieve AO-HDS. To summarize, we have investigated the spectral dependence of AO-HDS in a Pt/Co/Pt
multilayered stack, in the visible to the near-infrared spectral regime, to ascertain the dominant
mechanism that drives the process. ",cond-mat.mtrl-sci,C,-0.15107612,0.11651042,0.26839778
http://arxiv.org/pdf/2201.01932v1,A machine learning-based classification approach for phase diagram prediction,"To achieve this, phase diagram data for
various systems will have to be collected by performing CALPHAD calculations. These ideas
are being considered for future work. Furthermore, we intend to add more elements to the
python script DesPD, so that the descriptors introduced in this work can benefit future
materials informatics studies. ",cond-mat.mtrl-sci,A,0.17854796,0.025986966,-0.0950792
http://arxiv.org/pdf/2201.01932v2,A machine learning-based classification approach for phase diagram prediction,"To achieve this, the phase diagram data for various systems must be
collected by performing CALPHAD calculations. These potential research directions are
being considered for future works. 22
Conclusions

Phase diagram prediction using ML was investigated by focusing on the ternary subsystems
of the Al-Cu-Mg-Si-Zn quinary. ",cond-mat.mtrl-sci,B,0.0710551,-0.08776118,-0.14833754
http://arxiv.org/pdf/2201.01999v1,Growth-related formation mechanism of I$_3$-type basal stacking fault in epitaxially grown hexagonal Ge-2H,"No defects are observed with a continuous step-flow growth mode when
surface diffusion is high enough. The last point requires further examination of the cause of step-flow destabilisation and the
identification of the missing dangling bond at the origin of the nucleation of I3-BSFs. This
new configuration of the m-plane growth surface for Ge and Si requires a global study of
dangling bonds and surface reconstruction. ",cond-mat.mtrl-sci,B,0.06940722,-0.25116673,-0.07280965
http://arxiv.org/pdf/2201.02467v1,Octahedral tilting in Prussian blue analogues,"Naturally, it cannot be excluded that even these higher-energy modes may
condense under certain conditions. Our results identify avenues for further research within the PBA community. Correct tilt
assignment can be challenging—tilt patterns manifest in the position of the linkers and due to the
low X-ray scattering power of light elements, locating cyanide using X-ray diffraction is difﬁcult. ",cond-mat.mtrl-sci,A,0.033655077,0.09455127,0.0280019
http://arxiv.org/pdf/2201.02956v1,How Grain Boundaries and Interfacial Electrostatic Interactions Modulate Water Desalination Via Nanoporous Hexagonal Boron Nitride,"Moreover,
these results support the observation that, even after accounting for differences in nanopore
areas, the 13.2°-misoriented bicrystalline hBN allows increased water flux through the hBN
membrane. In this regard, future work could investigate the coupled role of temperature and
grain boundaries on modulating water and ion transport through 2D nanopores, by simulating
the desalination process at various system temperatures. Such an approach would enable the
estimation of activation barriers for water permeation using an alternative method and the
ensuing results could be compared with the PMF-based approach presented here. ",cond-mat.mtrl-sci,B,0.22094318,-0.32006896,0.12113167
