url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.04998v1,Quantum rotator and Josephson junction: compact vs. extended phase and dissipative quantum phase transition,"Dissipation
                                                            can suppress quantum tunneling [26]. Then the parti-
   The further analysis is similar to that for the quantum  cle (virtual particle in the JJ case) becomes localized in
rotator (Sec. III C). ",cond-mat.other,C,-0.35195118,-0.22352622,-0.18716775
http://arxiv.org/pdf/2201.04998v2,Quantum rotator and Josephson junction: compact vs. extended phase and dissipative quantum phase transition,"This is the
                                                            superconducting state of the JJ. The transition from the
   The further analysis is similar to that for the quantum  superconducting to the insulating state is the DQPT. rotator (Sec. ",cond-mat.other,C_centroid,-0.43622583,-0.43394524,0.03676677
http://arxiv.org/pdf/2202.02753v1,Triple-meron crystal in high-spin Kitaev magnets,"Sec. III: Some formal analysis on the TmX phase

Once we know the magnetic unit cell and the corresponding magnetic order, we can do further analysis. As demon-
strated in Sec. ",cond-mat.other,C,-0.18607739,-0.17511955,0.1342262
http://arxiv.org/pdf/2202.06501v1,Gradient models of moving heat sources for powder bed fusion applications,"In general, it seems, that there may exist other variants of the simpliﬁed
theories that allow to obtain a closed form representation of general solution
similar to (9), (10). Development of such more general theories is the subject
for the authors future work as well as the further eﬀorts for the experimental
identiﬁcation of the length scale parameters for diﬀerent powder materials. 24
6 References

 [1] Hitesh Arora, Rupinder Singh, and Gurinder Singh Brar. ",cond-mat.other,A,0.31454733,0.40986532,0.03136583
http://arxiv.org/pdf/2202.07810v3,Another type of anomalous velocity caused by the singularity of the magnetic Bloch function in the magnetic Brillouin zone,"This is because
all other terms appearing in Eq (22) except for vb (κ) are independent of Sb . Since the
Chern number is derived from this kind of surface integral, it is expected that a certain number
describing the phase discontinuity of the magnetic Bloch function may appear for vb (κ) , but
such an investigation would be a subject of future work. In order to understand another type of anomalous velocity, we rewrite Eq. ",cond-mat.other,A,-0.3622687,-0.10146767,0.05343455
http://arxiv.org/pdf/2203.02633v1,Bistability in orbital trajectories of a chiral self-propelled particle interacting with an external field,"The experimental results suggest that sensor location aﬀects the emergent trajectories
by imposing a preferential direction of rotation and, in addition, the stochastic component
introduces a bistability eﬀect. To further study these behaviors, a model was designed to
include the following factors: (i) alignment between sensor orientation and external ﬁeld,
and (ii) a correlated noise term to account for stochastic steps. The evolution of the position
r and the orientation n = (cos α, sin α) are

r˙ = v0 n ,                    (1)

τ0α˙ zˆ = s × ∇rI(r) + ξ zˆ ,  (2)

where v0 is the constant velocity of the particle, α is the orientation angle of the particle
n, s = (cos α + β, sin α + β) is the orientation of the sensor, τ0 is a characteristic relaxation
time, I(r) the ﬁeld intensity at distance r, and ξ Gaussian colored noise with correlation
 ξ(t)ξ(t ) = 2τDξ exp −| t−τξt | that models the stochastic steps. ",cond-mat.other,C,0.021112552,0.0469786,0.91604006
http://arxiv.org/pdf/2204.06557v1,Exciton nature of plasma phase transition in warm dense fluid hydrogen,"sumed. In our further study [60], we showed the dissocia-
                                                                                                                tion of such bound electron-hole (e-h) pairs. Excitons in
                                                    Initially, the transition of ﬂuid hydrogen from the         liquids are not unusual, e.g. ",cond-mat.other,C,0.006827086,-0.13507009,-0.33435965
http://arxiv.org/pdf/2205.06638v1,An \textit{ab initio} study of shock-compressed copper,"CONCLUSION                          We thank Emma McBride, Luke Fletcher and Siegfried
                                                              Glenzer for helpful discussions. The DFT-MD and NN-
   In this work, we performed an extensive analysis           MD simulations and further analysis were performed
of shock-compressed copper using DFT-MD simulations           at the North-German Supercomputing Alliance (HLRN)
and MD simulations driven by high-dimensional neural          and the ITMZ of the University of Rostock. MS and
network potentials. ",cond-mat.other,B_centroid,0.68389916,-0.3698197,-0.057694748
http://arxiv.org/pdf/2205.06638v2,An \textit{ab initio} study of shock-compressed copper,"15
                     ACKNOWLEDGMENTS                                                                                                                                                                                            15

   We thank Emma McBride, Luke Fletcher and Siegfried         10
Glenzer for helpful discussions. The DFT-MD and NN-                                                                                                                                                                             10
MD simulations and further analysis were performed
at the North-German Supercomputing Alliance (HLRN)            5
and the ITMZ of the University of Rostock. MS and                                                                                                                                                                             5
RR thank the Deutsche Forschungsgemeinschaft (DFG)            Normalized ENN
for support within the Research Unit FOR 2440. ",cond-mat.other,B,0.5396583,-0.31082737,-0.06761682
http://arxiv.org/pdf/2205.06693v1,Rare-earth monopnoctides -- family of antiferromagnets hosting magnetic Fermi arcs,"Band dispersion of surface states. For the further analysis of the new states, we
measured detailed data sets for the parts of the BZ where they are located. Fig. ",cond-mat.other,A,-0.11754551,0.046541844,-0.2179937
