url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00704v1,Susceptibility of Polar Flocks to Spatial Anisotropy,"couples—or not—to the aligning dynamics would surely           [17] Y. B. Dor, E. Woillez, Y. Kafri, M. Kardar, and A. P.
deserve a further study, possibly revealing a relevance at           Solon, Physical Review E 100, 052610 (2019), publisher:
an even larger scale, out of reach of our numerical simu-            APS. lations. ",cond-mat.stat-mech,C,-0.12922528,-0.11790263,-0.21438462
http://arxiv.org/pdf/2201.00704v2,Susceptibility of Polar Flocks to Spatial Anisotropy,"couples—or not—to the aligning dynamics would surely           [17] Y. B. Dor, E. Woillez, Y. Kafri, M. Kardar, and A. P.
deserve a further study, possibly revealing a relevance at           Solon, Physical Review E 100, 052610 (2019), publisher:
an even larger scale, out of reach of our numerical simu-            APS. lations. ",cond-mat.stat-mech,C,-0.12922528,-0.11790263,-0.21438462
http://arxiv.org/pdf/2201.01691v1,Local accumulation time for diffusion in cells with gap junction coupling,"In particular, they found that clustered gap junctions lead to a much
smaller eﬀective diﬀusion coeﬃcient De for given gap junctional permeability µ. In future work it would be interesting to investigate how such clustering aﬀects
the corresponding local accumulation times. An alternative generalization of
one-dimensional diﬀusion would be to consider diﬀusion on a tree-like structure
with stochastically-gated nodes [21]. ",cond-mat.stat-mech,C,0.028879434,-0.19683224,-0.02323341
http://arxiv.org/pdf/2201.01829v3,Diffusion processes with Gamma-distributed resetting and non-instantaneous returns,"Indeed, it has been

shown [41, 54] that for returns at constant acceleration a, with v(x, x0) = 2a|x0 − x|,

in the case of Poissonian resetting the steady state is completely unaﬀected by the

return motion, being indeed described by the same stationary distribution observed

for instantaneous returns. Generalizing this result to time-dependent resetting rates is

however not straightforward and may represent a tempting challenge for future work. 5. ",cond-mat.stat-mech,A,-0.30246195,0.34544265,0.11129104
http://arxiv.org/pdf/2201.01896v1,Thermodynamic Precision Equality for Current and Work in Short Time,"(19)
                                                                                                    β
Hence, TPE holds for the work done (3)                                                                                                4

                             W (τ ) 2 = σ , (20)             distribution. It is an interesting future work to generalize
                          Var[W (τ )] 2                      and to experimentally verify TPE. where σ = β W (τ ) is called entropy production[13]. ",cond-mat.stat-mech,A,-0.12055349,0.1149836,0.014624771
http://arxiv.org/pdf/2201.01896v2,Thermodynamic Precision Equality for Current and Work in Short Time,"Practically, if the net current quickly con-
To explore TPE, note that the mean and the variance of                                              verges to the normal distribution, TPE holds with a suf-
the work done are                                                                                   ﬁcient accuracy without taking the limit τ → 0 as in
                                                                                                    Examples 1 and 2. It is an interesting future work to
                    τ            t1            −  k  (  t1  −  t2  )  f˙(t     )f˙                  generalize and to experimentally verify TPE. γ
W =k                  dt1            dt  2  e                               1       (t  2  )           This work was supported by the Grant-in-Aid for Sci-
                                                                                                    entiﬁc Research (C) (No. ",cond-mat.stat-mech,C,-0.12875983,0.009439252,-0.034302615
http://arxiv.org/pdf/2201.02073v1,Theory of synchronisation and pattern formation on time varying networks,"To set
                                                    grids [6]. Moreover, spatial non homogenous stationary        the stage for further analysis, we will begin our discus-
                                                    stable motifs can spontaneously emerge following a sym-       sion by inspecting the spectral characteristics of a time
                                                    metry breaking mechanism [7], the analogue of a Turing        dependent discrete Laplacian. instability for reaction-diﬀusion systems anchored on net-
                                                    works [8], which ampliﬁes small perturbations acting on          Consider a symmetric time varying network made by
                                                    a uniform background. ",cond-mat.stat-mech,C,-0.047182027,-0.20067015,0.116413474
http://arxiv.org/pdf/2201.02073v2,Theory of synchronisation and pattern formation on time varying networks,"II. MATERIALS AND METHODS

   To set the stage for further analysis, we will begin our discussion by inspecting the spectral characteristics of a time
dependent discrete Laplacian operator. Consider a symmetric time varying network made by n nodes, characterised by
the adjacency matrix A(t): Aij(t) = Aji(t) = 0 whenever nodes i and j are connected at time t and Aij(t) = Aji(t) = 0
otherwise. ",cond-mat.stat-mech,C,-0.13701332,-0.039816123,0.110996634
http://arxiv.org/pdf/2201.02081v4,The Bellman equation and optimal local flipping strategies for kinetic Ising models,"In
                                                               this sense, a natural extension of our work is the one in
                                                               which a kobold is “trained” via a reinforcement learning
                                                               algorithm, learning the strategy by testing the results of
                                                               actions on the phase space, and updating iteratively the
                                                               strategy. This will be the focus of future works. ACKNOWLEDGMENTS

                                                                  This work was carried out under the auspices of the
                                                               NNSA of the U.S. DoE at LANL under Contract No. ",cond-mat.stat-mech,C,-0.23976338,-0.14349622,0.19898382
http://arxiv.org/pdf/2201.02613v1,A route to the hydrodynamic limit of a reaction-diffusion master equation using gradient structures,"Coarse-graining and
limit, indeed, are two ingredients of the same recipe and ﬁt well together in a variational framework
[DLPS17, HPST20]. In a future work, we will demonstrate how the variational framework of these
two papers can be applied to the hydrodynamic limit of reaction-diﬀusion systems. 5 Conclusions

The hydrodynamic limit of reaction-diﬀusion master equations to corresponding PDEs is rather clear
from the formal standpoint, but a rigorous proof is still lacking. ",cond-mat.stat-mech,A,-0.21754907,0.19752324,-0.050942536
