url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00088v1,Could Negative Pressures Turn Bismuth into a Metal? The Case of the Expanded,"Next,
we present the results of our investigation, to go sequentially to analyze such
results and infer possible consequences of our predictions. Finally, we elabo-
rate on the conclusions as to what the implications are and to further our
speculations for future work. 2 Methodology

When dealing with materials that have not been experimentally realized one
has to very careful not to create science ﬁction. ",cond-mat.supr-con,A,0.074298196,0.36266106,0.040055826
http://arxiv.org/pdf/2201.00298v1,Role of surface functional groups to superconductivity in Nb$_2$C-MXene: Experiments and density functional theory calculations,"It should be pointed out that the
diamagnetic shielding volume fraction estimated by their magnetic measurements was
only about 0.12%, and the zero resistivity (ρ) data of the superconductor was absent. To further study the physical properties of Nb2CFx, it is necessary to measure the
resistivity curves with temperature. Figure 2c illustrates the temperature-dependent
resistivity of Nb2CFx prepared by the hydrothermal method. ",cond-mat.supr-con,B,-0.34531868,0.115463674,0.21621335
http://arxiv.org/pdf/2201.00831v1,Universal Josephson diode effect,"This phase shift is not small in a long junc-
                                                                           tion [7]. Most of the experiments so far concern the long
                                                                           junction limit, but the miscroscopic theory of the JDE in
                                                                           long junctions is a matter of future work. FIG. ",cond-mat.supr-con,A,0.12659302,-0.04629405,0.018287791
http://arxiv.org/pdf/2201.01317v1,Subgap two-particle spectral weight in disordered $s$-wave superconductors: Insights from mode coupling approach,"23. The extension of this
                                                                   framework to stronger disorder strengths by going beyond the
   We have thus obtained a generic framework to obtain two-        simple Born approximation is left for future work. ACKNOWLEDGMENTS                                                                                                             14
   P.P.P and R.S. ",cond-mat.supr-con,C,0.2532534,0.044139013,0.08357716
http://arxiv.org/pdf/2201.02512v2,Anisotropic vortex squeezing in synthetic Rashba superconductors: a manifestation of Lifshitz invariants,"A possible explanation for this overestimate
is the suppression of the order parameter in the proximitized 2DEG, which recent experiments showed to take place precisely
in this magnetic ﬁeld range [9]. At the moment this is just an hypothesis, further study is needed to elucidate the relative
contribution of 2DEG and Al to the superﬂuid density, as well as the role of the unconventional pairing to the vortex inductance,
as discussed in the main text. ISOTROPY OF THE KINETIC INDUCTANCE IN THE ABSENCE OF VORTICES

   Figure 4 focuses on the inductance measurements at Bip = 0.5 T for Bz = 0 mT (blue) and Bz = 2 mT (green). ",cond-mat.supr-con,C,-0.10097833,-0.20642059,0.03381324
http://arxiv.org/pdf/2201.02512v3,Anisotropic vortex squeezing in synthetic Rashba superconductors: a manifestation of Lifshitz invariants,"A possible explanation for this overestimate
is the suppression of the order parameter in the proximitized 2DEG, which recent experiments showed to take place precisely
in this magnetic ﬁeld range [9]. At the moment this is just an hypothesis, further study is needed to elucidate the relative
contribution of 2DEG and Al to the superﬂuid density, as well as the role of the unconventional pairing to the vortex inductance,
as discussed in the main text. INDUCTANCE PER VORTEX IN THE LINEAR REGIME OF Lv(Bz)

   Figure 1c of the main text shows the dependence of the vortex inductance Lv on the out-of-plane ﬁeld Bz. ",cond-mat.supr-con,C,-0.06728214,-0.2957146,0.08457753
http://arxiv.org/pdf/2201.02643v2,Chiral excitonic order from twofold van Hove singularities in kagome metals,"Sec-
ond, experiments also report the breaking of threefold
rotational symmetry and onset of nematic order around
Tc 50 K. Coupling between excitons and CDW natu-
rally results in a phase consisting of nodal d-wave excitons
and a nematic CDW, however our analysis of the free
energy found this phase was only ever a local minimum
in our model. Coupling to phonons may promote this
phase to the dominant ground state, and we leave further
examination of this scenario to future work. Third, su-
perconductivity emerges generically as an instability of
the TvHS minimal model. ",cond-mat.supr-con,B,0.0071008857,-0.09767248,-0.16269353
http://arxiv.org/pdf/2201.06400v1,Epitaxial stabilization of an orthorhombic Mg-Ti-O superconductor,"3d transition metal compounds. Thus, study on a reference         Therefore, further study on TOS is desired to thoroughly un-
                                                    system, of which superconductivity also originates from 3d        derstand the mechanism of superconductivity originated from
                                                    electrons, will provide valuable perspectives for further com-    3d electrons. prehension of unconventional superconductivity. ",cond-mat.supr-con,B,-0.3658809,0.022374138,0.041096456
http://arxiv.org/pdf/2201.06400v2,Epitaxial stabilization of an orthorhombic Mg-Ti-O superconductor,"3d transition metal compounds. Thus, study on a reference         Therefore, further study on TOS is desired to thoroughly un-
                                                    system, of which superconductivity also originates from 3d        derstand the mechanism of superconductivity originated from
                                                    electrons, will provide valuable perspectives for further com-    3d electrons. prehension of unconventional superconductivity. ",cond-mat.supr-con,B,-0.3658809,0.022374138,0.041096456
http://arxiv.org/pdf/2201.07397v1,Supercurrent-induced Weyl superconductivity,"Therefore, we expect that
per may appear in the thicker systems. Furthermore, a small          further promising experimental setups are proposed and such
sample is necessary to realize the uniform supercurrent con-         a topological phase is observed in future works. sidered in our theory. ",cond-mat.supr-con,B,-0.19228789,-0.24202853,0.056307457
http://arxiv.org/pdf/2201.07397v2,Supercurrent-induced Weyl superconductivity,"Therefore, we expect that
conductivity with line nodes, while they show an itinerant          further promising experimental setups are proposed and such
antiferromagnetic order at ambient pressure. Another promis-        a topological phase is observed in future works. ing candidate is few-layered cuprates fabricated on substrates. ",cond-mat.supr-con,B,-0.157837,0.117107585,-0.030088859
http://arxiv.org/pdf/2201.07397v3,Supercurrent-Induced Weyl Superconductivity,"In the above candidate superconductors,           cal studies have suggested topological superconductivity with
the London penetration depth 𝜆 or the Pearl length Λ = 2𝜆2/𝑑             a ﬁnite COM momentum [57–69]. Therefore, we expect that
(𝑑: the sample thickness) are estimated to 0.1–1µm [114–                 further promising experimental setups are proposed and such
                                                                         a topological phase is observed in future works. ACKNOWLEDGMENTS

                                                                            The authors are grateful to Youichi Yanase and Akito Daido
                                                                         for fruitful discussions and comments. ",cond-mat.supr-con,B,-0.4377081,-0.04502285,0.16554798
http://arxiv.org/pdf/2201.07747v1,Dissipation by surface states in superconducting RF cavities,"(1) at the surface of a superconduc-
slope. Finally, in Section V we oﬀer concluding remarks      tor in a parallel magnetic ﬁeld: A = A0 sin(ωt)e−z/λyˆ,
and possibilities for further study. where λ is the London penetration depth of the super-
                                                             conductor. ",cond-mat.supr-con,B,-0.24235791,-0.20342779,0.33059758
http://arxiv.org/pdf/2201.07747v2,Dissipation by surface states in superconducting RF cavities,"slope. Finally, in Section V we oﬀer concluding remarks
and possibilities for further study. II. ",cond-mat.supr-con,C,0.45166624,-0.03044213,0.10641584
http://arxiv.org/pdf/2201.07747v3,Dissipation by surface states in superconducting RF cavities,"For simplicity we impose the vector poten-
slope. Finally, in Section V we oﬀer concluding remarks      tial externally, rather than using the current density and
and possibilities for further study. Maxwell’s equations to solve for a new vector potential
                                                             after each iteration of the self-consistency process. ",cond-mat.supr-con,C,0.26847696,-0.21641937,0.07495919
http://arxiv.org/pdf/2201.10088v2,Effective minimal model and unconventional spin-singlet pairing in Kagome superconductor CsV3Sb5,"In summary, we have obtained an eﬀective low-energy six-              Whether the van Hove singularity related Pomeranchuk ﬂuc-
band model for CsV3Sb5 by ﬁtting the the ﬁrst-principles elec-           tuations could survive in the present intermediate correlated
tronic structures. Within the random phase approximation and             compounds deserves further study. on the basis of the eﬀective minimal model, we have found

 ∗ These authors contributed equally. ",cond-mat.supr-con,A,0.10285644,-0.05959718,-0.29728848
