url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00180v1,IoT-based Route Recommendation for an Intelligent Waste Management System,"Amal et al. have proposed a GIS-
future work and conclusions are presented in Section V.           based Genetic Algorithm for optimizing the route of solid
                                                                  waste collection. They use a modiﬁed version of the original
                         II. ",cs.AI,C,0.26575905,-0.20558108,-0.06494494
http://arxiv.org/pdf/2201.00304v1,Informed Multi-context Entity Alignment,"Extensive experiments
                                                                                                                                                                                                                                               on the OpenEA dataset verify the superiority of IMEA over existing
producer(0.16), Wyclef Jean (o)                                                                                                                                                                                                         - 0.8  state-of-the-art baselines. As future work, we will include extra side
                                                                                                                                                                                                                                               information of KGs to enhance embedding learning in IMEA, and
        producer(0.16), Baby face (o)                                                                                                                                                                                                          generate human-understandable interpretations of entity alignment
     producer(0.16), Rodney Jerkins (o) - 0.6                                                                                                                                                                                                  results based on the informed holistic reasoning, thus achieving
      producer(0.16), Missy Elliott (o)                                                                                                                                                                                                        explainability of embedding-based EA models. - 0.4
       artist(0.29), Whitney Houston (o)

           genre(0.03), R & B (o)
                                                                                                                                                  - 0.2

     Album(0.85), When you believe (s)
Album(0.85), It’s not right but it’s okay (s)

                                                                                                                                                  - 0.0
                                                                                    Jerkri(n0.22)         s (o)                    (o)                         Rngenre
                                                                                                                                                                   B (o (0. ",cs.AI,B,-0.31891945,0.052153066,-0.036315564
http://arxiv.org/pdf/2201.00548v1,Hybrid intelligence for dynamic job-shop scheduling with deep reinforcement learning and attention mechanism,"Experimental results based on Gymjsp show
that our proposed method can outperform traditional rule-based decision systems,
meta-heuristic techniques, and SOTA RL algorithms, with great potential in the ﬁeld
of smart manufacturing. As to future work, it is worthwhile to extend our framework to other variants of
JSP, such as the FJSP. Due to the ﬂexibility of our framework, it is also possible
to investigate various novel JSP scenarios where the machines or jobs may exhibit
unprecedented levels of dynamics. ",cs.AI,C,0.28699192,-0.009771966,0.014904682
http://arxiv.org/pdf/2201.00716v1,Modeling Associative Reasoning Processes,"We have given a brief insight into how associative reasoning with large amounts of
knowledge also play an important role in the ﬁeld of creativity. In future work, we will not
only consider selection of background knowledge in the area of creativity, but also
investigate how automated reasoning can be used in this area. Finally we broadend our view by discussing the associative reasoning system as a
conscious system in the sense of the Integrated Information Theory and the Global
MODELING ASSOCIATIVE REASONING PROCESSES                                             38

Workspace Theory. ",cs.AI,B,-0.12494096,0.2386975,0.19423603
http://arxiv.org/pdf/2201.00716v2,Modeling Associative Reasoning Processes,"We have given a brief insight into how associative reasoning with large amounts of
knowledge also play an important role in the ﬁeld of creativity. In future work, we will not
only consider selection of background knowledge in the area of creativity, but also
investigate how automated reasoning can be used in this area. Finally we broadend our view by discussing the associative reasoning system as a
conscious system in the sense of the Integrated Information Theory and the Global
MODELING ASSOCIATIVE REASONING PROCESSES                                             38

Workspace Theory. ",cs.AI,B,-0.12494096,0.2386975,0.19423603
http://arxiv.org/pdf/2201.01027v1,A integrating critic-waspas group decision making method under interval-valued q-rung orthogonal fuzzy enviroment,"From the formula of the IVq-ROFYWA operator, we can see that there is also p that affects

the aggregation. So we further study the influence of the change of p under the interval-value
generalized orthogonal fuzzy environment on the group decision-making method in this paper. When q=3 and p takes 1, 2, 3, 4, and 5 respectively, calculate the changed values of 𝛼 and 𝛽
multiple times , The score ranking and the ranking results of the schemes are shown in Table 17. ",cs.AI,C,0.1884759,-0.21499757,0.13068095
http://arxiv.org/pdf/2201.01375v1,Open Geometry Prover Community Project,"In §3 a short description of the GATP currently incorporated in the
OGPCP is given. Finally, in §4, conclusions are drawn and future work is discussed. 2 OGPCP Implementation Status

The OGPCP framework is a never-ending project in the sense that new GATP can be proposed and
incorporated in the project at any given moment. ",cs.AI,A,0.09545932,-0.17865476,0.08128534
http://arxiv.org/pdf/2201.02135v1,Deep Reinforcement Learning,"In the elds of image recognition and natural language processing it has become
common practice to use networks that are pretrained on ImageNet [191, 236]
or BERT [193] or other large pretrained networks [547, 92]. Optimization-based
methods such as MAML learn better initial network parameters for new tasks, and
have spawned much further research. Zero-shot learning is a meta-learning approach where outside information is
learned, such as attributes or a textual description for image content, that is then
used to recognize individuals from a new class [635, 718, 850, 10]. ",cs.AI,B,-0.19450033,0.28930297,-0.38517985
http://arxiv.org/pdf/2201.02135v2,"Deep Reinforcement Learning, a textbook","In the elds of image recognition and natural language processing it has become
common practice to use networks that are pretrained on ImageNet [191, 237]
or BERT [193] or other large pretrained networks [548, 92]. Optimization-based
methods such as MAML learn better initial network parameters for new tasks, and
have spawned much further research. Zero-shot learning is a meta-learning approach where outside information is
learned, such as attributes or a textual description for image content, that is then
used to recognize individuals from a new class [636, 719, 851, 10]. ",cs.AI,B,-0.20028752,0.2920961,-0.37951863
http://arxiv.org/pdf/2201.02135v3,"Deep Reinforcement Learning, a textbook","In the elds of image recognition and natural language processing it has become
common practice to use networks that are pretrained on ImageNet [191, 237]
or BERT [193] or other large pretrained networks [548, 92]. Optimization-based
methods such as MAML learn better initial network parameters for new tasks, and
have spawned much further research. Zero-shot learning is a meta-learning approach where outside information is
learned, such as attributes or a textual description for image content, that is then
used to recognize individuals from a new class [636, 719, 851, 10]. ",cs.AI,B,-0.20028752,0.2920961,-0.37951863
