url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.08895v1,On the Satisfaction Probability of $k$-CNF Formulas,"It is,
    however, not clear whether such a family exists as the natural way of searching for packings
    or sunﬂowers involves color coding, which seems to need a quadratic size for derandomization. While these considerations will not be important for the complexity-theoretic statements of
    the main theorem, further research on the complexity of ksat-prob≥δ could address these
    questions. 4.2 Lower Complexity Bounds for the Strictly-Greater-Than Problem

    We now show that ksat-prob>δ is NL- or NP-hard for certain values of k and δ. ",cs.CC,A_centroid,-0.105366774,-0.14153722,-0.22846925
http://arxiv.org/pdf/2201.08895v2,On the Satisfaction Probability of $k$-CNF Formulas,"It is,
    however, not clear whether such a family exists as the natural way of searching for packings
    or sunﬂowers involves color coding, which seems to need a quadratic size for derandomization. While these considerations will not be important for the complexity-theoretic statements of
    the main theorem, further research on the complexity of ksat-prob≥δ could address these
    questions. 4.2 Lower Complexity Bounds for the Strictly-Greater-Than Problem

    We now show that ksat-prob>δ is NL- or NP-hard for certain values of k and δ. ",cs.CC,A,-0.105366774,-0.14153722,-0.22846925
http://arxiv.org/pdf/2201.08988v2,Faster Algorithms for Sparse ILP and Hypergraph Multi-Packing/Multi-Cover Problems,"To handle the problems with multiplicities, we just take the com-
plexity bound (13). We also mention that the existence of algorithms for the
problems Count-IP and Opt-And-Count-IP in the form Standard-Form with
multiplicities, parameterized by k and polynomial by n, is open, and it is a
good direction for further research. Sparse ILP and Applications                                      13

Table 2: New complexity bounds for ILP problems in the form Standard-Form

           Problems:                                               T ime : 1
   Opt-IP without mult. ",cs.CC,A,-0.3719654,-0.017081544,0.044587087
http://arxiv.org/pdf/2201.08988v3,Faster Algorithms for Sparse ILP and Hypergraph Multi-Packing/Multi-Cover Problems,"To handle the problems with multiplicities, we just take the com-
plexity bound (13). We also mention that the existence of algorithms for the
problems Count-IP and Opt-And-Count-IP in the form Standard-Form with
multiplicities, parameterized by k and polynomial by n, is open, and it is a
good direction for further research. Table 2: New complexity bounds for ILP problems in the form Standard-Form

           Problems:                                               T ime : 1
   Opt-IP without mult. ",cs.CC,A,-0.3695431,-0.014097417,0.052125715
http://arxiv.org/pdf/2202.08357v1,On the Complexity of Some Variations of Sorting by Transpositions,"The complexity of the ﬁrst set of problems remains open when w2/w1 > 1.5,
and the complexity of the fragmentation-weighted problems remains open for
the model with only reversals. Another future work direction is to study the
hardness of approximation for the optimization problems of genome rearrange-
ments, including models with only transpositions and transpositions alongside
reversals. Acknowledgments

This work was supported by the National Council of Technological and Scien-
tiﬁc Development, CNPq (grants 400487/2016-0 and 425340/2016-3), the Coor-
denac¸a˜o de Aperfei¸coamento de Pessoal de N´ıvel Superior - Brasil (CAPES) -
Finance Code 001, and the Sa˜o Paulo Research Foundation, FAPESP (grants
2013/08293-7, 2015/11937-9, 2017/12646-3, and 2019/27331-3). ",cs.CC,B,0.11183232,0.06489285,0.0046290504
http://arxiv.org/pdf/2202.08909v1,"Proofs, Circuits, and Communication","We note that, in contrast to [BEGJ00], for this application it is indeed important that the
communication model of the lifting theorem is real communication protocols and not triangle-dags. 5 Perspectives and Open Problems

In this ﬁnal section, we discuss directions for further research inspired by the themes of this survey. Our main conceptual message is this: We advocate to foster the interplay between the diﬀerent
subﬁelds of complexity theory—circuit complexity, proof complexity, query/communication com-
plexity, and the theory of total search problems. ",cs.CC,A,-0.07058536,-0.11141481,0.2024627
http://arxiv.org/pdf/2202.09495v1,Sorting Balls and Water: Equivalence and Computational Complexity,"That
is, these transparent balls are just used for arranging balls, and their ﬁnal positions do not
matter in the ﬁnal state. Those extensions seems to be reasonable future work. References

1 Michael R. Garey and David S. Johnson. ",cs.CC,B,0.26791996,0.29963574,0.14433363
http://arxiv.org/pdf/2203.05019v1,Quantum and Classical Algorithms for Bounded Distance Decoding,"Elsewhere in the paper, they proved the opposite direction of the reduction as well, meaning
that the conjectured hardness of γ-GAP-SVP is equivalent to the hardness of BDD. It is precisely
because of this link between the security of LWE and BDD that further study of Eldar and Hallgren’s
algorithm for BDD is so important. 2.4 Survey of Quantum Approaches to Lattice Problems

Before Eldar and Hallgren’s algorithm for BDD, a number of other quantum algorithms have been

proposed for diﬀerent lattice problems. ",cs.CC,A,-0.10554798,0.073586,-0.12538911
http://arxiv.org/pdf/2203.05207v1,Computing Whittle (and Gittins) Index in Subcubic Time,"One might expect to have more efficient algorithms if the process has a sparse

structure. We leave this question for future work. 7

 In fact, Whittle index was first introduced as a generalization of Gittins index to restless bandit in [47]. ",cs.CC,A,0.1414499,0.1379533,-0.20126528
http://arxiv.org/pdf/2203.05207v2,Computing Whittle (and Gittins) Index in Subcubic Time,"One might expect
to have more eﬃcient algorithms if the arm has a sparse structure. We leave
this question for future work. Acknowledgments. ",cs.CC,A,-0.016838396,0.18699887,0.09057967
