url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00099v1,Differential Privacy Made Easy,"PyDP, OpenMined                                                                                                                                                                   It will help users to understand which type of sensitivity is
                                                                                                                                                                                                                                            better for their project. One of the future work could be to
                   186                                                                                                          PerceRnotoatgeMeEarrnorS (quRaMrSePdE) [%] Mean S(quMaSrEe)d Error  40                                      create more queries for GRAM-DP, so far we added all basic
                   184                                                                                                                                                                                                                      queries, but the addition of more queries will give strength to
Average DP         182                                                                                                                                                                              30                                      this project. In our DP-framework we included Python based
                   180                                                                                                                                                                                                                      DP libraries but we are planning to include DP libraries of
                   178                                                                                                                                                                              20                                      different programming languages in this project. ",cs.CR,A,0.019640122,0.16704406,-0.16195807
http://arxiv.org/pdf/2201.00757v1,Rank-1 Similarity Matrix Decomposition For Modeling Changes in Antivirus Consensus Through Time,"To understand the cause of these community-wide disturbances in correlation requires further

research, but should immediately impact how industry design their label aggregation pipelines. We would recommend any training data labeled during these time periods be regarded as po-

Proceedings of the Conference on Applied Machine Learning for Information Security, 2021
R1SM Decomposition For Modeling Antivirus Consensus R. Joyce, E. Raﬀ, and C. Nicholas

tentially suspect, and such data should undergo further analysis to conﬁrm label quality. Sudden Variations: Individual changes to an antivirus within a short period of time also

indicate notable events. ",cs.CR,A,0.27747637,-0.07454166,-0.19319245
http://arxiv.org/pdf/2201.00763v1,DeepSight: Mitigating Backdoor Attacks in Federated Learning Through Deep Model Inspection,"For                 Recently, different secure aggregation schemes have been

                                                                   13
proposed preventing the aggregation server from accessing the                            [17] Y. Liu, W.-C. Lee, G. Tao, S. Ma, Y. Aafer, and X. Zhang, “Abs: Scan-
individual model updates [5], [9]. Although, DeepSight does                                      ning neural networks for back-doors by artiﬁcial brain stimulation,” in
not reduce the privacy level compared to FedAvg [21] as it                                       ACM SIGSAC Conference on Computer and Communications Security,
also anonymizes the individual contributions and smoothens                                       2019.
the parameter updates by aggregating them, future work needs
to implement a privacy-preserving version of DeepSight to                                [18] Y. Liu, S. Ma, Y. Aafer, W.-C. Lee, J. Zhai, W. Wang, and X. Zhang,
combine the privacy gains of secure aggregations with the                                        “Trojaning attack on neural networks,” in NDSS, 2018.
backdoor mitigation algorithm of DeepSight. [19] S. Lloyd, “Least squares quantization in pcm,” IEEE transactions on
                         ACKNOWLEDGMENT                                                          information theory, vol. ",cs.CR,C,0.16565424,-0.14841537,0.3392607
http://arxiv.org/pdf/2201.00858v1,Blockchain Nash Dynamics and the Pursuit of Compliance,"Introducing such transfers would enrich
the strategy set, e.g., allowing a party to temporarily reduce its rewards in order to receive
increased rewards in the long term, possibly also aﬀecting compliance, especially in terms of
coalition forming. Finally, Section 7 assumes that the exchange rate and protocol rewards are

25
independent random variables; future work could explore possible correlations between the two
and produce an analysis that can be (arguably) closer to the real world. References

 [1] Hamza Abusalah, Jo¨el Alwen, Bram Cohen, Danylo Khilko, Krzysztof Pietrzak, and Leonid
      Reyzin. ",cs.CR,B,-0.2420891,0.19484785,0.019989947
http://arxiv.org/pdf/2201.00858v2,Blockchain Nash Dynamics and the Pursuit of Compliance,"Introducing transfers would enrich
the strategy set, e.g., allowing a party to temporarily reduce its rewards for long term proﬁts,
possibly aﬀecting compliance in terms of coalition forming. Finally, Section 7 assumes that
the exchange rate and protocol rewards are independent random variables; future work could
explore possible correlations between the two and produce an analysis that can be (arguably)
closer to the real world. In addition, our analysis treated changes in the market price as an
eﬀect of infractions; an interesting question is whether price volatility (e.g., as examined in [78])
can be the cause of non-compliance. ",cs.CR,B,-0.26930806,0.09578848,0.02135853
http://arxiv.org/pdf/2201.00864v1,Secret Sharing Sharing For Highly Scalable Secure Aggregation,"[20]. Thus our technology has potentially broad              Investigation of these threads are future work. 13
                       REFERENCES                                       [12] Peter Kairouz, H Brendan McMahan, Brendan Avent,
                                                                              Aure´lien Bellet, Mehdi Bennis, Arjun Nitin Bhagoji, Keith
 [1] Amazon EC2 z1d instances, 2021. ",cs.CR,B,-0.142607,0.09710355,-0.20547894
http://arxiv.org/pdf/2201.00864v2,Secret Sharing Sharing For Highly Scalable Secure Aggregation,"Investigation of these
well in the case with no dropouts, adding a few dropouts drastically
harms the server computation time of the masking based approach. threads are future work. These amounts of dropouts are substantial in the smaller federations
used in [8], but both prospective numbers of dropouts are far more          REFERENCES
realistic considering the much larger federations we consider here
as they are well less than 1%. ",cs.CR,B,-0.21880928,0.10584418,0.03709068
http://arxiv.org/pdf/2201.00900v1,"A Survey on DNS Encryption: Current Development, Malware Misuse, and Inference Techniques","Those works provide solid starting points
and valuable references for malware detection potentially applicable to encrypted DNS. Inspired by prior works in
the literature, we identified directions for future works, including performance enhancement, managing security and
privacy issues, understanding the misuse of encrypted DNS by malware, and developing host profiling techniques to
detect malware activities over encrypted DNS protocols. REFERENCES

  [1] “Google Public DNS,” https://dns.google/. ",cs.CR,A,-0.014707513,-0.3024856,0.049375955
http://arxiv.org/pdf/2201.00900v2,"A Survey on DNS Encryption: Current Development, Malware Misuse, and Inference Techniques","Those works provide solid starting points
and valuable references for malware detection potentially applicable to encrypted DNS. Inspired by prior works in
the literature, we identified directions for future works, including performance enhancement, managing security and
privacy issues, understanding the misuse of encrypted DNS by malware, and developing host profiling techniques to
detect malware activities over encrypted DNS protocols. REFERENCES

  [1] 2018. ",cs.CR,A,-0.010217749,-0.2865678,0.0046576224
http://arxiv.org/pdf/2201.01051v1,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,"The high cross-day performance was
                                                                     consistent over multiple days, a necessary characteristic for
biometric authentication. Therefore, the presented dataset and [20]                P. Kaczmarek, T. Mańkowski, and J. Tomczyński, ""putEMG—a
                                                                                   surface electromyography hand gesture recognition dataset,""
findings could facilitate further research on EMG-based                            Sensors, vol. 19, no. ",cs.CR,C,0.19529238,0.150042,-0.25003275
http://arxiv.org/pdf/2201.01051v2,Open Access Dataset for Electromyography based Multi-code Biometric Authentication,"biometric authentication. Therefore, the presented dataset and
                                                                     findings could facilitate further research on EMG-based
2) Biometric identification                                          biometrics and other gesture recognition-based applications. Another major biometric application is the identification              References
mode where the system predicts the identity of the presenting
user by finding the closest match. ",cs.CR,C,0.18535599,0.08429551,-0.24494344
http://arxiv.org/pdf/2201.01130v1,Reusing Verification Assertions as Security Checkers for Hardware Trojan Detection,"timing) goes under comparison. Based on this strategy, only 2      Nevertheless, more convoluted strategies can be deﬁned and
out of 13 assertions of the Alert Handler IP are removed from      this remains as future work. the candidate list. ",cs.CR,A,0.06211041,-0.13270597,-0.16240045
http://arxiv.org/pdf/2201.01153v1,On the Influence of the FPGA Compiler Optimization Options on the Success of the Horizontal Attack,"In          is achieved in unexpected clock cycles. We cannot explain this
addition and eventually even more important due to the              fact but are planning additional investigations such as analysing
capacitors used on the different boards (see TABLE VI. ). ",cs.CR,B,-0.1015095,0.27863866,-0.2620815
http://arxiv.org/pdf/2201.01326v1,OConsent -- Open Consent Protocol for Privacy and Consent Management with Blockchain,"RBAC      Role Based Access Control

                     IV. FURTHER WORK                         REST      Representational State Transfer

As a future work, I intend setup a working solution of the    S3        Simple Storage Service
OConsent platform. The implementation would be open-
sourced, contributions are welcomed -                         SC        Smart Contracts
https://github.com/OConsent
                                                              SDK       Software Development Kit
Other alternatives to a sidechain implementation, e.g.,
Plasma and Hyperledger Besu – would be explored, as           TSA       Time Stamping Authority
well as designing of an adaptive intelligent scheduler for
fingerprinting on Bitcoin/Ethereum at the most optimal        XACML     Extensible Access Control Markup
time of lower Ether costs. ",cs.CR,B,-0.40087584,0.071532145,-0.03416787
http://arxiv.org/pdf/2201.01574v1,Reinforcing Cybersecurity Hands-on Training With Adaptive Learning,"Finally, the decision component (PD) was provided by the
complementary software that required us to do some analytical                    [13] T. Effenberger and R. Pelánek, “Measuring Students’ Performance
tasks manually. In our future work, we will enhance this                               on Programming Tasks,” in Proceedings of the Sixth (2019) ACM
component to be fully automated and integrate it with the                              Conference on Learning @ Scale, ser. L@S ’19. ",cs.CR,A,0.13569513,0.20615256,-0.2876066
http://arxiv.org/pdf/2201.01621v1,ROOM: Adversarial Machine Learning Attacks Under Real-Time Constraints,"Our results
because of the resulting noise distribution, which is likely       show that using an ofﬂine adversarial pattern as a starting point
to be different from online only attacks. Our future work          for the online exploration accelerated conventional adversarial
will also explore ROOM on different learning structures and        attacks. For instance, our proposed PGD-based attack achieves
applications such as audio/NLP processing. ",cs.CR,C,0.35210073,-0.18543383,0.21116969
http://arxiv.org/pdf/2201.01649v1,WebSpec: Towards Machine-Checked Analysis of Browser Security Mechanisms,"They also lack support for most of the Web features considered
in our invariants, e.g., CORS, CSP, service workers. As a future work, besides expanding the model to encom-
                                                                  pass more Web platform components, we are planning to
      b) Models of the Web: In their seminal work, Akhawe         develop a generic library of relevant browser conﬁgurations
et al. [8] developed in Alloy the ﬁrst formal model of the
Web ecosystem. ",cs.CR,B,-0.15936016,0.025238434,-0.04265561
http://arxiv.org/pdf/2201.01649v2,WebSpec: Towards Machine-Checked Analysis of Browser Security Mechanisms,"Concerning the other models, WebSpec essentially supports
all the features implemented by them. Currently we only
support the Origin and Access-Control-Allow-Origin
HTTP headers for CORS, while the Alloy model supports
all of them2: although the headers supported in WebSpec are
sufﬁcient to implement the fundamental CORS functionalities,
the remaining ones allow a more careful treatment of CORS
and we plan to implement them as future work. 2For space reasons, in Table IV we let ACA stand for
Access-Control-Allow, AC for Access-Control and
ACR for Access-Control-Request. ",cs.CR,B,-0.21379113,0.013698272,-0.05198826
http://arxiv.org/pdf/2201.02236v1,Detecting Anomalies using Overlapping Electrical Measurements in Smart Power Grids,"are excluded from the overall data, a Denial-of-service (DoS)
attack can be inserted. A DoS attack is one of the most com-       Evaluating our approach using overlapping measurements
mon threats to synchrophasor systems [33] and overwhelms        on a labeled data set to conﬁrm the effectiveness is another
a PMU with bogus frames so that legitimate frames are lost,     direction of future work. One possible approach is generating
delayed, denied, or dropped [34]. ",cs.CR,A,-0.09925774,-0.14761728,-0.09818687
http://arxiv.org/pdf/2201.02351v1,Asymptotic Security using Bayesian Defense Mechanisms with Application to Cyber Deception,"independent of the reaction, and hence any strategy becomes
passively blufﬁng. Note that, this modiﬁcation increases the                    Important future work includes an extension to inﬁnite state
probability of the abnormal state, and hence it would not                    spaces because the state space in a control system typically
improve the performance at all if the recognitions of the                    is a subset of the Euclidean space. Moreover, although it
players are symmetric. ",cs.CR,B,0.009421686,0.15042765,-0.04496318
