url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00561v1,Zero-Shot Cost Models for Out-of-the-box Learned Cost Prediction,"For creating the work-
knob tuning. However, while all these directions are interesting,       load, the generator supports three modes: a standard mode where
they are beyond the scope of this paper and represent avenues of        Select-Project-Aggregate-Join (SPAJ) queries with conjunctive pred-
future work. icates on numeric and categorical columns similar to the ones used
                                                                        by Kipf et al. ",cs.DB,C,-0.03793205,0.088671446,0.055529036
http://arxiv.org/pdf/2201.00618v1,Jekyll RDF: Template-Based Linked Data Publication with Minimized Effort and Maximum Scalability,"As we extended Jekyll for our prototype we can benefit from the big ecosys-
tem of plugins to enrich the created site. For the future work the performance of
the generation process can be improved by an incremental build process to reuse
pages from previous builds. To increase the usability of the presented method
as a SCMS a set of predefined themes to be used with Jekyll RDF can support
users, as shown by JOD. ",cs.DB,C,-0.10991292,0.06040226,-0.17593175
http://arxiv.org/pdf/2201.01209v1,Speech-to-SQL: Towards Speech-driven SQL Query Generation From Natural Language Question,"To further improve the performance, an
                                                                          advanced rescoring mechanism named L2RS [54, 55], integrated
speech-to-SQL, over complicated SQL cases are not included and            with BERT [17], is also adopted in the 𝑁 -best rescoring step. We
we leave them for future work. employ the widely-used metric, Word Error Rate (WER), as the
                                                                          main indicator for the performance of the constructed ASR model. ",cs.DB,C,-0.084088586,0.056358866,-0.16487531
http://arxiv.org/pdf/2201.03643v1,Designing a Visual Tool for Property Graph Schema Extraction and Refinement: An Expert Study,"Finally, we found that a simple graph visualization was deemed su cient to explore the
schema in most cases. Our results may stimulate future work on the design, implementation, and analysis of schema
extraction tools. The world of graph data management is evolving quickly, and we believe
that more tools around graph schema are necessary to meet the needs of data engineers,
data scientists, and knowledge scientists everywhere. ",cs.DB,C,-0.3148688,0.24996975,-0.074349046
http://arxiv.org/pdf/2201.04166v1,Degree Sequence Bound For Join Cardinality Estimation,"Assume that each 𝒂𝑝 is some (𝑠𝑝, 𝑘𝑝 )-
   For the second result we will restrict our discussion to the case                                  polynomial, and each 𝐹𝑝 is some (𝑡𝑝, 1)-polynomial, then we show
when the max tuple multiplicity is 𝐵 (𝑅) = ∞, and describe a simple                                   in Appendix A.6 that 𝒘ˆ is an (𝑠, 𝑘)-polynomial, where 𝑠 = 𝑝 𝑠𝑝 +

formula for approximating the main step of Algorithm 2; we leave                                        𝑝 𝑡𝑝 and 𝑘 = 𝑝 𝑘𝑝 . More generally, we prove the following in

the case 𝐵 (𝑅) < ∞ for future work. In the rest of this section                                       Appendix A.6:

we denote a vector element by 𝐹 (𝑖) rather than 𝐹𝑖 , and set, by                                      7      define   it  as  follows:  if  ∃𝑖  s.t. ",cs.DB,A,0.10245931,-0.04761433,0.44546145
http://arxiv.org/pdf/2201.04233v1,Finding Your Way Through the Jungle of Big Data Architectures,"html (visited on 11/19/2021). In future work, we want to cover further architecture

paradigms such as Lambda and Kappa architectures, ex-

tend the model to clearly show the dependencies and

shared elements – leading ultimately to a pattern system

similar to the GoF’s software design patterns [11]. This

will involve introducing also other common elements of

pattern templates like “context”, “problem” and “solution”,

which will then provide guidance for choosing the right

architecture paradigms. ",cs.DB,C,-0.11788235,0.1040948,-0.11047767
http://arxiv.org/pdf/2201.04409v1,Enlightening Flash Storage to Stream Writes by Objects,"We  stream-write-by-time for normal writes. leave such an interesting optimization topic as future work. Read While FlashAlloc aims at reducing WAF by controlling                                                              Jong-Hyeok Park Gihwan Oh Sang-Won Lee
the placement of writes into different blocks by objects, its read
operation will proceed exactly same as in the conventional page-         one region grows while the other shrinks. ",cs.DB,B,0.40419883,-0.13305421,-0.16188096
http://arxiv.org/pdf/2201.04899v1,An outline of multi objective optimization in databases with focus on flexible skyline queries,"This technique
consists in ranking queries with a particular scoring function which, considering a tuple t consists in the
count of tuples dominated by t. An optimized algorithm has been provided too. A further study [13] has presented uncertain top-k queries (UTK) in which, instead of avoiding the
weighted approach, the provided algorithm takes into account the weight uncertainties. The resulting query
works using the concept of dominance and tries to include in the result set also interesting results within a
certain range from the combination of weights. ",cs.DB,A,-0.029796738,-0.016406486,0.35459256
http://arxiv.org/pdf/2201.04905v1,A Formal Category Theoretical Framework for Multi-model Data Transformations,"Informally, the
natural transformation in the example could be understood so that for each
object in the relational schema category, we have a mapping that tells how the
corresponding relational data object in the category Set is mapped to the graph
data object in the category Set. 5 Conclusions and future work

When the variety and amount of data grows, the need for polystores and multi-
model databases is urgent. The efficient utilization of the systems requires a pre-
cise theory of how the systems operate and how they are modeled. ",cs.DB,C,-0.26819018,0.31468785,-0.07756977
http://arxiv.org/pdf/2201.05021v1,Robustness against Read Committed for Transaction Templates with Functional Constraints,"As argued in Section 2,
    incorporating functional constraints can detect larger sets of templates to be robust and
    requires less R-operations to be promoted to U-operations. In future work, we plan to look
    at lower bounds, restrictions that lower complexity, and consider other referential integrity
    constraints to further enlarge the modelling power of transaction templates. B. Vandevoort, B. Ketsman, C. Koch, and F. Neven                                                  17

      References

 1 Atul Adya, Barbara Liskov, and Patrick E. O’Neil. ",cs.DB,C,-0.018439973,0.1060338,0.10241227
