url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00613v1,Squeeze: Efficient Compact Fractals for Tensor Core GPUs,"Future improvements to tensor cores, both in
quantity and performance, would provide an even higher improvement. As future work, it would
be useful to come up with a way to build arbitrary fractal structures by combining diﬀerent NBB
fractals at each scale level, as well as to extend Squeeze to support compact processing on 3D and
higher-dimensional fractals. As a ﬁnal conclusion, the proposed approach can be adopted by the
community to accelerate simulations on NBB fractals and understand phenomena at larger scales. ",cs.DC,B,-0.27031696,0.14180976,-0.10458835
http://arxiv.org/pdf/2201.01366v1,RTNN: Accelerating Neighbor Search Using Hardware Ray Tracing,"Speedups from
the bundling algorithm tends to be overly aggressive under                                this approximation would be significant, given that Step 2 is
a larger 𝐾. We leave it to future work to investigate a better                            much more costly than Step 1.
bundling algorithm under large 𝐾s. General-Purpose Irregular Processor Given the suc-
7 Related Work                                                                            cess of today’s GPGPUs for regular algorithms, one would
                                                                                          naturally wonder how a ray tracing-based GPU can be used
Section 2.1 provides an overview of neighbor search. ",cs.DC,B,-0.35097873,-0.017114088,-0.052926883
http://arxiv.org/pdf/2201.01366v2,RTNN: Accelerating Neighbor Search Using Hardware Ray Tracing,"Speedups from
the bundling algorithm tends to be overly aggressive under                                this approximation would be significant, given that Step 2 is
a larger 𝐾. We leave it to future work to investigate a better                            much more costly than Step 1.
bundling algorithm under large 𝐾s. General-Purpose Irregular Processor Given the suc-
7 Related Work                                                                            cess of today’s GPGPUs for regular algorithms, one would
                                                                                          naturally wonder how a ray tracing-based GPU can be used
Section 2.1 provides an overview of neighbor search. ",cs.DC,B,-0.35097873,-0.017114088,-0.052926883
http://arxiv.org/pdf/2201.01446v1,Extending the limit of molecular dynamics with ab initio accuracy to 10 billion atoms,"2021. Reactive uptake of N2O5 by
code still has accuracy problems and will be our future work. atmospheric aerosol is dominated by interfacial processes. ",cs.DC,A,-0.040570576,-0.0014600754,0.2332221
http://arxiv.org/pdf/2201.02179v1,wCQ: A Fast Wait-Free Queue with Bounded Memory Usage,"Though Kogan-Petrank’s method can be used to create wait-free queues with CAS [14], wCQ addresses unique chal-
lenges since it avoids dynamic allocation and uses F&A. We hope that wCQ will spur further research in creating better
performing wait-free data structures with F&A. Availability

We provide code for wCQ at https://github.com/rusnikola/wfqueue. ",cs.DC,A,0.020673145,-0.003419729,-0.18558191
http://arxiv.org/pdf/2201.02179v2,wCQ: A Fast Wait-Free Queue with Bounded Memory Usage,"queues with CAS [18], wCQ addresses unique challenges since it
                                                                          avoids dynamic allocation and uses F&A. We hope that wCQ will
   Though SimQueue [7] uses F&A and outperforms Michael &                 spur further research in creating better performing wait-free data
Scott’s FIFO queue by aggregating concurrent operations with one          structures with F&A. CAS, it is still not that performant. ",cs.DC,A,0.006579661,-0.054177538,-0.08236569
http://arxiv.org/pdf/2201.02460v1,A SIMD algorithm for the detection of epistatic interactions of any order,"Finally, Section 5                  ory that measures the amount of information obtainable from
discusses the conclusions extracted from this study, reﬂects on             one variable through the observation of another. Subsection 2.3
its limitations and comments on some lines of future work. covers the calculation of this metric. ",cs.DC,C,0.074338324,0.27017716,0.39486763
http://arxiv.org/pdf/2201.03331v1,Fiuncho: a program for any-order epistasis detection in CPU clusters,"The main limitation of Fiuncho is its computational complexity, which
makes its cost prohibitive for large-scale studies and high interaction orders. For this reason, future work should focus on improving the exhaustive strategy
so that its computational complexity can be reduced while not losing the
epistasis detection capabilities characteristic of these methods. Fiuncho is distributed as open-source software, available to all the scientiﬁc
community in its Github repository1. ",cs.DC,C,-0.00652752,0.18469335,0.2244555
http://arxiv.org/pdf/2201.03331v2,Fiuncho: a program for any-order epistasis detection in CPU clusters,"The main limitation of Fiuncho is its computational complexity, which
makes its cost prohibitive for large-scale studies and high interaction orders. For this reason, future work should focus on improving the exhaustive strategy
so that its computational complexity can be reduced while not losing the
epistasis detection capabilities characteristic of these methods. Fiuncho is distributed as open-source software, available to all the scientiﬁc
community in its Github repository1. ",cs.DC,C,-0.00652752,0.18469335,0.2244555
http://arxiv.org/pdf/2201.03331v3,Fiuncho: a program for any-order epistasis detection in CPU clusters,"The main limitation of Fiuncho is its computational complexity, which
makes its cost prohibitive for large-scale studies and high interaction orders. For this reason, future work should focus on improving the exhaustive strategy
so that its computational complexity can be reduced while not losing the
epistasis detection capabilities characteristic of these methods. Fiuncho is distributed as open-source software, available to all the scientiﬁc
community in its Github repository1. ",cs.DC,C,-0.00652752,0.18469335,0.2244555
