url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00682v1,Scientific Paper Recommendation Systems: a Literature Review of recent Publications,"We also revisited known open challenges in
so users are not always modelled but this also prevents    the current time frame and highlighted possibly under-
privacy issues. Accuracy seems to still be the main focus  observed problems which future works could focus on. of recommendation systems. ",cs.DL,C,0.052417997,0.09294006,0.006310505
http://arxiv.org/pdf/2201.00682v2,Scientific Paper Recommendation Systems: a Literature Review of recent Publications,"proaches. We also revisited known open challenges in                    URL https://doi.org/10.1016/j.knosys.2020.106438
the current time frame and highlighted possibly under-
observed problems which future works could focus on. 6. ",cs.DL,A,0.09719009,0.02201345,-0.19904108
http://arxiv.org/pdf/2201.06564v1,Sharing Begins at Home,"How the Data Lifecycle Goes off the Road

The scientific data lifecycle has long been viewed as a linear, directed path that starts with an
experiment or simulation, proceeds through analysis and review phases, and ultimately
terminates with a publication in an archival journal (Wing, 2019). During this final publication
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman, 2008;
Berman, Kleywegt, Nakamura, & Markley, 2013), or in lightly structured repositories provided
by journal publishers (2017) or other organizations (Blaiszik et al., 2016; Foster & Deardorff,
2017) —from where they will, ideally, be retrieved by other researchers to enable meta-
analyses or further research studies. Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors. ",cs.DL,A,0.24066272,-0.35989678,0.076596536
http://arxiv.org/pdf/2201.06564v2,Sharing Begins at Home,"How the Data Lifecycle Goes off the Road

The scientific data lifecycle has long been viewed as a linear, directed path that starts with an
experiment or simulation, proceeds through analysis and review phases, and ultimately
terminates with a publication in an archival journal (Wing, 2019). During this final publication
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman,
2008; Berman, Kleywegt, Nakamura, & Markley, 2013) or in lightly structured repositories
provided by journal publishers (Editorial, 2017) or other organizations (Blaiszik et al., 2016;
Foster & Deardorff, 2017)—from where they will, ideally, be retrieved by other researchers for
meta-analyses or further research studies. Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors. ",cs.DL,A,0.23638791,-0.35166454,0.07076372
http://arxiv.org/pdf/2201.06564v3,Sharing Begins at Home,"How the Data Lifecycle Goes off the Road

The scientific data lifecycle has long been viewed as a linear, directed path that starts with an
experiment or simulation, proceeds through analysis and review phases, and ultimately
terminates with a publication in an archival journal (Wing, 2019). During this final publication
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman,
2008; Berman, Kleywegt, Nakamura, & Markley, 2013) or in lightly structured repositories
provided by journal publishers (Editorial, 2017) or other organizations (Blaiszik et al., 2016;
Foster & Deardorff, 2017) —from where they will, ideally, be retrieved by other researchers for
meta-analyses or further research studies. Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors. ",cs.DL,A,0.23638791,-0.35166454,0.07076372
http://arxiv.org/pdf/2201.06564v4,Sharing Begins at Home,"During this final publication

1 As a case in point, a resource sharing form provided by the National Institutes of Health for
research funded under the BRAIN initiative provides a checklist of repositories to which data
must be deposited. Yet the documentation for one of the sanctioned repositories states that
instructions on how to publish a dataset are a “work in progress.”
process, supporting data may be deposited in domain-specific repositories such as the Gene
Expression Omnibus (GEO) (Clough & Barrett, 2016) or Protein Data Bank (PDB) (Berman,
2008; Berman et al., 2013) or in lightly structured repositories provided by journal publishers
(Editorial, 2017) or other organizations (Blaiszik et al., 2016; Foster & Deardorff, 2017) —from
where they will, ideally, be retrieved by other researchers for meta-analyses or further research
studies. Despite the high importance assigned to the submission of data to such repositories, the data
themselves are not valued adequately; they are often rife with errors. ",cs.DL,A,0.32121342,-0.2917603,0.14550622
http://arxiv.org/pdf/2201.09488v1,Comparative Verification of the Digital Library of Mathematical Functions and Computer Algebra Systems,"However, for identifying differences in the DLMF and
CAS, especially for analyzing the positioning of branch cuts, an automatic evaluation
of these particular values would be very beneficial and can be used to collect a
comprehensive, inter-system library of branch cuts. Therefore, we will further study
the possibility of linking semantic macros with numeric regions of interest. 24 https://lacast.wmflabs.org [accessed 01/01/2022]
Comparative Verification of the DLMF and CAS  17

Acknowledgements

We thank Jürgen Gerhard from Maplesoft for providing access and support for Maple. ",cs.DL,A,0.41572687,0.25710192,-0.27616176
http://arxiv.org/pdf/2201.09488v2,Comparative Verification of the Digital Library of Mathematical Functions and Computer Algebra Systems,"However, for identifying differences in the DLMF and
CAS, especially for analyzing the positioning of branch cuts, an automatic evaluation
of these particular values would be very beneficial and can be used to collect a
comprehensive, inter-system library of branch cuts. Therefore, we will further study
the possibility of linking semantic macros with numeric regions of interest. 24 https://lacast.wmflabs.org [accessed 01/01/2022]
25 https://github.com/ag-gipp/LaCASt [accessed 04/01/2022]
Comparative Verification of the DLMF and CAS  17

Acknowledgements

We thank Jürgen Gerhard from Maplesoft for providing access and support for Maple. ",cs.DL,A,0.43689132,0.24875696,-0.27211624
http://arxiv.org/pdf/2201.11232v1,Assessment of Sustainable Funding Impact by Exploiting Research Performance Indicators and Semantic Techniques,"These analyses when combined with funding
agency's data become very helpful in understanding flow of funding as well as researchers and
organizations research trends with respect to grants. Funding impacts on research organizations
have also assessed during this study but are made limited to only productivity analysis (increase
or decrease in research output) for the sake of simplicity and limitations of scope (future works
can cover other indicators including quality of research etc.). The Figure 1 lists all the funded
organizations along with the information of total assigned projects by the funding agency, total
allotted funds by the agency, and the productivity (in terms of average increase in publications
w.r.t grant). ",cs.DL,B,-0.17269872,-0.117247745,0.21776819
http://arxiv.org/pdf/2202.00069v1,"""How trustworthy is this research?"" Designing a Tool to Help Readers Understand Evidence and Uncertainty in Science Journalism","As demonstrated by our final evaluation, the indicator is
effective in helping readers identify whether the study they are reading about has been
subjected to scientific peer review - a central aim for the project. We see much potential for future work in designing tools for journalists, both to help
them assess the evidence strength and uncertainty of studies they are considering to write
about, but also to help them present and visualize such issues for the readers of their news
stories. One important concern in such an endeavor would be to find the right balance between
providing automated assessments and leaving sufficient room to let the work be guided by the
                                                                                                                                      39

journalists’ qualitative, in-depth considerations. ",cs.DL,A,-0.047162555,0.101642996,-0.046344966
