url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.03880v1,Long induced paths in minor-closed graph classes and beyond,"For every graph H there is an integer k ∈ N such that every
graph not containing H as a topological minor has a tree representation (T, {Tv}v∈V (G))
such that for every t ∈ V (T ) the torso at t is either (k, k, k, k)-almost embeddable or

has (k, k)-almost bounded degree. 6 Open problems

A ﬁrst direction for future work is to investigate how widely the results proved in this
paper could be generalized. What are the most general graph classes where the bound
for property (⋆) is (at least) polylogarithmic? ",cs.DM,B,-0.4075955,-0.17678182,0.051655695
http://arxiv.org/pdf/2201.05332v1,Performance Guaranteed Evolutionary Algorithm for Minimum Connected Dominating Set,"Experiments are done in Section 5, which are
compared with greedy algorithm. Section 6 concludes the paper with some discussions
on future work. 2 Preliminaries

In this paper, small bold letters (such as x, y, z) are used to represent vectors. ",cs.DM,C,0.12627316,0.34365657,-0.121639565
http://arxiv.org/pdf/2201.05764v1,Self-Adaptive Binary-Addition-Tree Algorithm-Based Novel Monte Carlo Simulation for Binary-State Network Reliability Approximation,"Therefore, from computational, pragmatic, and theoretical perspectives, the proposed BAT-MCS is
superior to the BAT, MCS, and reliability-bound algorithms for calculating the reliability of binary-
state networks. The future work is to extend the proposed algorithm to the multi-state flow networks
reliability problems [44-54]. ACKNOWLEDGMENT
                                                                                                                      30
     This research was supported in part by the Ministry of Science and Technology, R.O.C. ",cs.DM,A,0.27923602,-0.12889488,-0.27812308
http://arxiv.org/pdf/2202.00845v1,Random Processes with High Variance Produce Scale Free Networks,"Exponential networks of the Erdos-Renyi model
are the unnatural exception, encountered only when outcomes are narrowly banded within a
single outcome probability. Realizing that preferential attachment is not the only mechanism to generate scale free
networks, future work in applied network science should seek to identify mechanisms in
specific, real-world networks that follow the general pattern of Bernoulli trials with high
variance. Also, this research focused on degree distribution, which is only one important
network characteristic. ",cs.DM,A,0.4956317,-0.27240595,-0.14605267
http://arxiv.org/pdf/2202.01103v1,A New Temporal Interpretation of Cluster Editing,"In addition to providing substantial insight into the structure
of (∆1, ∆2)-cluster temporal graphs, Theorem 6.1 also gives rise to a simple search tree algorithm, which is an
FPT algorithm parameterised simultaneously by the number k of permitted modiﬁcations and the lifetime of
the input temporal graph. An interesting direction for further research would be to investigate whether this
result can be strengthened: does there exist a polynomial kernel with respect to this dual parameterisation,
and is ETC in FPT parameterised by the number of permitted modiﬁcations alone? Acknowledgements

Meeks and Sylvester gratefully acknowledge funding from the Engineering and Physical Sciences Research
Council (ESPRC) grant number EP/T004878/1 for this work, while Meeks was also supported by a Royal
Society of Edinburgh Personal Research Fellowship (funded by the Scottish Government). ",cs.DM,C,-0.12753196,-0.17894268,0.22536388
http://arxiv.org/pdf/2202.01103v2,A New Temporal Interpretation of Cluster Editing,"In addition to providing substantial insight into the structure
of (∆1, ∆2)-cluster temporal graphs, Theorem 6.1 also gives rise to a simple search tree algorithm, which is an
FPT algorithm parameterised simultaneously by the number k of permitted modiﬁcations and the lifetime of
the input temporal graph. An interesting direction for further research would be to investigate whether this
result can be strengthened: does there exist a polynomial kernel with respect to this dual parameterisation,
and is ETC in FPT parameterised by the number of permitted modiﬁcations alone? Acknowledgements

Meeks and Sylvester gratefully acknowledge funding from the Engineering and Physical Sciences Research
Council (ESPRC) grant number EP/T004878/1 for this work, while Meeks was also supported by a Royal
Society of Edinburgh Personal Research Fellowship (funded by the Scottish Government). ",cs.DM,C,-0.12753196,-0.17894268,0.22536388
http://arxiv.org/pdf/2202.04746v1,Weighted Connected Matchings,"Our last contributions are in parameterized complexity, where
we show that the problem admits a 2O(t) time algorithm when parameterized
by treewidth, but does not admit a polynomial kernel when parameterized by
vertex cover and the minimum required weight even with binary weights unless
NP ⊆ coNP/poly. Possible directions for future work include determining the complexity of the
problem for diﬀerent combinations of graph classes and allowed edge weights. In
particular, we would like to know the complexity of Weighted Connected
Matching for diameter 3 bipartite graphs when weights are non-negative, and
for planar graphs of maximum degree at least 3 under the same constraint. ",cs.DM,B,-0.34993315,-0.07310049,-0.119076
http://arxiv.org/pdf/2202.08068v1,A Polyhedral Study of Lifted Multicuts,"Finally,
we establish the ﬁrst non-canonical facet-deﬁning inequalities for the lifted multicut polytope for
arbitrary graphs that arise from cycles in that graph. Directions for future work arise from two conjectures concerning cutting planes originating from
speciﬁc structures. The ﬁrst involves the generalized intersection inequalities. ",cs.DM,B,-0.34707576,-0.12952673,-0.0260114
http://arxiv.org/pdf/2202.12560v1,Kron Reduction and Effective Resistance of Directed Graphs,"We have proved that the resistance distance on ergodic Markov chain
is the same with the eﬀective resistance in this paper in the doubly stochastic case,
and the hitting probability metric is the logarithm of the eﬀective resistance in the
stochastic case. Since the eﬀective resistance and the induced metric are insensitive
to shortest path distances, we believe that they can provide new information for ap-
plications such as graph visualization, data exploration, and cluster detection, which
will be a topic of future work. REFERENCES

  [1] C. Altafini, Investigating stability of Laplacians on signed digraphs via eventual positivity, in
             2019 IEEE 58th Conference on Decision and Control (CDC), 2019, pp. ",cs.DM,A,0.15523416,-0.22320557,-0.035677012
http://arxiv.org/pdf/2203.04250v1,Edge Intersection Graphs of Paths on a Triangular Grid,"The
complexity of recognizing Bk-EPGt graphs is open, for all k ≥ 1. A proposal for future work is to investigate whether there are graph problems that can be solved more efﬁciently if
the input graph is Bk-EPGt, for some ﬁxed k ≥ 1. In addition, we would like to know if there are examples of graphs
having rectangular bend-number k that are Bk -EPGt for k ≤ k − 2. ",cs.DM,B,-0.19031525,-0.08673966,-0.026629327
