url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00234v1,Asymptotic Experiments with Data Structures: Bipartite Graph Matchings and Covers,"By sig-
                                                                                niﬁcantly outperforming a state-of-the-art algo-
The roots for this article have been provided by the rather                     rithm designed to search for optimum solutions
unexpected empirical result in December 2020, as a follow-                      – not only in runtime but more importantly, in
up on the just completed CSC316 Java project in a junior-                       delivering signiﬁcantly better solutions – these
level course in data structures and algorithms [5]. This                        greedy solutions provide a strong basis and mo-
result is summarized with two asymptotic plots, Figure 2a                       tivation for future work. and Figure 2b. ",cs.DS,C_centroid,0.1243209,-0.03331585,0.008868827
http://arxiv.org/pdf/2201.00724v1,Submodular Maximization with Limited Function Access,"For each n, the algorithms execution times were recorded on
each of the 12 subsets of data and then averaged over 5 trials. The coloured     In future work, we plan on extending these results to
ﬁlled sections are the maximum and minimum execution for each of the          scenarios in distributed systems where a team of agents can
algorithms for each n.                                                        only observe a subset of the other agents’ decisions as well as
                                                                              partially observe the objective values. We also are exploring
   Figure 7 summarizes the results from the execution time                    how k-wise information can be leveraged in similar style as
experiment. ",cs.DS,A,0.35572436,-0.0007697963,-0.22986749
http://arxiv.org/pdf/2201.00724v2,Submodular Maximization with Limited Function Access,"For each n, the algorithms execution times were recorded on
each of the 12 subsets of data and then averaged over 5 trials. The coloured     In future work, we plan on extending these results to
ﬁlled sections are the maximum and minimum execution for each of the          scenarios in distributed systems where a team of agents can
algorithms for each n.                                                        only observe a subset of the other agents’ decisions as well as
                                                                              partially observe the objective values. We also are exploring
   Figure 7 summarizes the results from the execution time                    how k-wise information can be leveraged in similar style as
experiment. ",cs.DS,A,0.35572436,-0.0007697963,-0.22986749
http://arxiv.org/pdf/2201.00874v1,Technical Report: Bundling Linked Data Structures for Linearizable Range Queries,"must wait for them to finish. Exploring whether bundling
      Bundling localizes overhead by waiting for pending entries,                 can exploit a similar behavior is an interesting future work. limiting the impact of concurrent updates on range query
      performance. ",cs.DS,A,0.2649452,0.31927818,-0.21432504
http://arxiv.org/pdf/2201.00874v2,Technical Report: Bundling Linked Data Structures for Linearizable Range Queries,"must wait for them to finish. Exploring whether bundling
      Bundling localizes overhead by waiting for pending entries,             can exploit a similar behavior is an interesting future work. limiting the impact of concurrent updates on range query
      performance. ",cs.DS,A,0.2649452,0.31927818,-0.21432504
http://arxiv.org/pdf/2201.01285v1,Dynamic Suffix Array with Polylogarithmic Queries and Updates,"In the technical

paste operation cannot be within O(n1−ε) for any ε > 0. Thus, the trade-oﬀ similar to the one achieved by Amir
and Boneh [AB20] (O( nk )-time query and O(k)-time update) may still be possible for a dynamic suﬃx array with
copy-pastes; we leave proving such upper bound as a possible direction for future work. 4
overview, we sketch the main ideas of this reduction, but we remark that the details of this approach
are nontrivial and require multiple technical results (see, e.g., Section 6.3.2–6.3.8). ",cs.DS,C,-0.011861179,-0.021406021,0.15771186
http://arxiv.org/pdf/2201.02914v1,A Knapsack Intersection Hierarchy Applied to All-or-Nothing Flow in Trees,"In the remainder of the paper we introduce the well-known “bad gap instances” for ANF: in particular,
the so-called staircase and Friggstad-Gao instances (in Section 3). We then prove our results (in Sections 2,
4 and 5), and discuss future work (in Section 6). 2 Preliminary Proofs

We begin by showing Theorem 1, establishing tractability of our hierarchy for constant t.

Proof (Theorem 1). ",cs.DS,B,-0.29859805,-0.13604,0.072239816
http://arxiv.org/pdf/2201.02914v2,A Knapsack Intersection Hierarchy Applied to All-or-Nothing Flow in Trees,"In the remainder of the paper we introduce the well-known “bad gap instances” for ANF: in particular,
the so-called staircase and Friggstad-Gao instances (in Section 3). We then prove our results (in Sections 2,
4 and 5), and discuss future work (in Section 6). 2 Preliminary Proofs

We begin by showing Theorem 1, establishing tractability of our hierarchy for constant t.

Proof (Theorem 1). ",cs.DS,B,-0.29859805,-0.13604,0.072239816
http://arxiv.org/pdf/2201.03318v1,Detours in Directed Graphs,"Section 4 is devoted to Longest Path above

                                                              4
Diameter. The concluding Section 5 provides open questions for further research. 2 Preliminaries

Parameterized Complexity. ",cs.DS,B,-0.18688662,0.06390096,-0.04544484
http://arxiv.org/pdf/2201.03813v1,Asymptotic Optimality of the Greedy Patching Heuristic for Max TSP in Doubling Metrics,"4 Conclusion

We prove that the simple greedy patching heuristic gives asymptotically optimal so-

lutions of Max TSP in doubling metrics. An interesting direction for future work is

comparing this heuristic with the asymptotically exact algorithm from [16] in practice,

e.g., on random data. Another possible subject of further investigation is improving

the estimate for the relative error of GPH in the case of d-dimensional Euclidean space

(Rd, ℓ2). ",cs.DS,C,0.020077424,-0.17232223,-0.019759227
