url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.10409v1,Stochastic dendrites enable online learning in mixed-signal neuromorphic processing systems,"As our circuits show that single neurons can adapt based
                                                                         on their incoming activity, they represent a valid candidate
                                                                         for adaptive “edge computing” applications that require online
                                                                         learning. To this end, future work will include interfacing the
                                                                         chip with signals that need to be classiﬁed at the edge, such
                                                                         as biomedical or industrial signals. ACKNOWLEDGMENT

                                                                            The authors would like to thank Junren Chen for support
                                                                         during the last steps in the chip layout. ",cs.ET,A,-0.28602943,0.063152306,0.18018821
http://arxiv.org/pdf/2201.12673v1,The Challenges Ahead for Bio-inspired Neuromorphic Event Processors: How Memristors Dynamic Properties Could Revolutionize Machine Learning,"3) show that the addition of noise to the memristor dynamics does not signiﬁcantly affect the classiﬁcation
accuracy. Even though the results did not suggest any clear effect of device stochasticity on recognition rate, further analysis
shows that the noise affected both Time-Surface based feature generation [Fig. 5(b)] and cluster assignment [Fig. ",cs.ET,C,-0.32887322,0.049729936,-0.13272585
http://arxiv.org/pdf/2201.12965v1,Inverse design of photonic devices with strict foundry fabrication constraints,"We expect that optimal hy-                                                                                                                                                         101
perparameters of the Adam algorithm used to drive our
optimization are somewhat problem-dependent, and in           Figure 10. Fraction of independent randomly-initialized opti-
future work it would be interesting to explore various        mization runs achieving the Table I target performance as a
conﬁgurations. In particular, reducing the learning rate      function of the optimization step, for each component. ",cs.ET,A,-0.08550906,0.124581955,0.5578669
http://arxiv.org/pdf/2201.12965v2,Inverse design of photonic devices with strict foundry fabrication constraints,"We attribute this to the fact that the
                                                                            notched square is relatively larger in area, limiting the
                 10 2                                                       design space accessible to the optimizer and making the
                                                                            problem more challenging. We expect that optimal hy-
                 10 3                                                       perparameters of the Adam algorithm used to drive our
                                                                            optimization are somewhat problem-dependent, and in
                       0    50            Step  100                150      future work it would be interesting to explore various
                                                                            conﬁgurations. In particular, reducing the learning rate
Figure 8. ",cs.ET,A,-0.13382715,0.14914045,0.56059736
http://arxiv.org/pdf/2202.09551v1,Implementing Boolean Functions with switching lattice networks,"In future efforts, it is possible to make

                                                         62
the tool efficient to synthesize functions with larger lattices. The implementation of the
systematic procedure we discussed in chapter 5 is also a good scope for future works. 63
                                                REFERENCES
[1] Dubash, M. Moore’s Law is dead, says Gordon Moore. ",cs.ET,C,-0.07457904,-0.26947814,0.0551279
http://arxiv.org/pdf/2202.09551v2,Implementing Boolean Functions with switching lattice networks,"In future efforts, it is possible to make

                                                          62
the tool efficient to synthesize functions with larger lattices. The implementation of the
systematic procedure we discussed in chapter 5 is also a good scope for future works. 63
                                                 REFERENCES
[1] Dubash, M. Moore’s Law is dead, says Gordon Moore. ",cs.ET,C,-0.07457904,-0.26947814,0.0551279
http://arxiv.org/pdf/2202.12409v1,"Internet of Nano, Bio-Nano, Biodegradable and Ingestible Things: A Survey","In this work, we
   ensuring the conﬁdentiality, integrity and availability of     comprehensively present all emerging nanonetwork paradigms
   the data stored and circulating on the network is more         in a single survey paper, and we hope that the paper will shed
   critical than other application areas. The weakness that       light on future works. will arise in this regard may harm individuals and soci-
   eties by laying the groundwork for negative situations
   such as data manipulation, theft, espionage and even
   bioterrorism [49]. ",cs.ET,C,0.10237353,0.1830818,-0.2026828
http://arxiv.org/pdf/2202.12896v1,Photonic reinforcement learning based on optoelectronic reservoir computing,"The reservoir that
incorporates past information to train the Q function could perform better on the tasks that require long-term memory. Therefore, the investigation of the memory effect of the reservoir on the performance of reinforcement learning is another
research topic in future work. To summarize our study, we numerically and experimentally demonstrated the on-line implementation of reinforcement
learning based on optoelectronic reservoir computing, which consists of a laser diode, a Mach-Zehnder modulator, and a
fiber delay line. ",cs.ET,A,-0.23269604,0.07523425,0.11515513
http://arxiv.org/pdf/2203.06147v1,"Memristors, Spintronics and 2D Materials for Future Computing Systems","Memeristive implementations of data-       prerequisite for wide-scale implementation of neuromor-
intensive tasks would not only eliminate the need to send     phic computing [217]. Furthermore, additional research is
data to the server, but also ensure low-power operation       required to increase the capability of the proposed devices. and high speed. ",cs.ET,C,-0.355626,0.16571264,-0.2470415
http://arxiv.org/pdf/2203.06147v2,"Memristive, Spintronic and 2D-Materials-Based Devices to Improve and Complement Computing Hardware","16
prerequisite for wide-scale implementation of neuromor-       and zirconium-based multilayer TMDs to form high-κ di-
phic computing [212]. Furthermore, additional research is     electrics HfO2 and ZrO2 [217, 218]. This approach is of
required to increase the capability of the proposed devices. ",cs.ET,C,-0.30059743,-0.14588735,-0.37113404
