url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00549v1,Efficient enumeration algorithms for annotated grammars,"In data complexity, this improves over the result of [29] for unambiguous extraction
grammars, whose preprocessing time is O(92k ⋅ H 2 ⋅ s 5), i.e., our data complexity is
cubic instead of quintic. We leave to future work a study of enumeration results for
restricted classes of extraction grammars via Theorems 3 and 8. 7. ",cs.FL,C,0.1330157,0.21301487,0.36091843
http://arxiv.org/pdf/2201.00549v2,Efficient Enumeration Algorithms for Annotated Grammars,"In data complexity, this improves over the result of [30] for unambiguous extraction
grammars, whose preprocessing time is O(92k ⋅ H 2 ⋅ s 5), i.e., our data complexity is
cubic instead of quintic. We leave to future work a study of enumeration results for
restricted classes of extraction grammars via Theorems 3 and 8. 7. ",cs.FL,C,0.13230014,0.21610144,0.36013386
http://arxiv.org/pdf/2201.01670v1,Finite-Word Hyperlanguages,"Just as Bu¨chi automata can express LTL, such a model can express the
entire logic of HyperLTL [13]. As future work, we plan on studying non-regular hyperlanguages (e.g., context-
free), and object hyperlanguages (e.g., trees). Another direction is designing learning
algorithms for hyperlanguages, by exploiting known canonical forms for the underly-
ing models, and basing on existing learning algorithms for them. ",cs.FL,C,0.123231106,-0.009177847,-0.31393772
http://arxiv.org/pdf/2201.05075v1,"Completely reachable automata: an interplay between automata, graphs, and trees","7. FURTHER WORK

   The results of the present paper suggest several directions for further research. Here we
brieﬂy outline two such directions; many further open problem about completely reachable
automata can be found in the ﬁnal sections of [7, 8]. ",cs.FL,C,0.25362778,-0.06565009,-0.13653374
http://arxiv.org/pdf/2201.09825v2,Supported Sets -- A New Foundation For Nominal Sets And Automata,"Supported sets have a
functor for name binding, which even lifts to the abstraction functor in nominal sets. It
remains for future work whether a similar name binding functor can be found for other data
alphabets, most notably for the total order symmetry on Q, and whether multiple atoms can
be bound simultaneously, as it is possible in nominal sets [10]. It can be conjectured that
such generalizations are not possible on the level of supported sets. ",cs.FL,A,0.058492187,-0.15185022,0.17820597
http://arxiv.org/pdf/2202.04340v1,Efficient Construction of Reversible Transducers from Regular Transducer Expressions,"9 Conclusion

We conclude with some interesting avenues for future work. An immediate future work is
to adapt our parser-evaluator construction to work for SDRTE. We believe that this can
be done with some eﬀort, preserving our complexity bounds. ",cs.FL,C,0.16353476,0.045713693,0.20603833
http://arxiv.org/pdf/2202.05701v1,Minimality Notions via Factorization Systems and Examples,"The tree unravelling of an automaton is an instance of minimization for a non-proper
factorization system. It remains for future work to relate the eﬃcient algorithmic approaches to the mini-
mization tasks: reachability is computed by breadth-ﬁrst search [WMKD19, BKR19] and
observability is computed by partition reﬁnement algorithms [KK14, WDMS20, DMSW17]. Even though their run-time complexity diﬀers – reachability is usually linear, whereas
partition reﬁnement algorithms are quasilinear or slower – they have striking similarities. ",cs.FL,C,0.17751497,0.46002665,-0.20275265
http://arxiv.org/pdf/2202.05701v2,Minimality Notions via Factorization Systems and Examples,"The tree unravelling of an automaton is an instance of minimization for a non-proper
factorization system. It remains for future work to relate the eﬃcient algorithmic approaches to the mini-
mization tasks: reachability is computed by breadth-ﬁrst search [WMKD19, BKR19] and
observability is computed by partition reﬁnement algorithms [KK14, WDMS20, DMSW17]. Even though their run-time complexity diﬀers – reachability is usually linear, whereas
partition reﬁnement algorithms are quasilinear or slower – they have striking similarities. ",cs.FL,C,0.17751497,0.46002665,-0.20275265
http://arxiv.org/pdf/2202.05701v3,Minimality Notions via Factorization Systems and Examples,"The tree unravelling of an automaton is an instance of minimization for a non-proper
factorization system. It remains for future work to relate the eﬃcient algorithmic approaches to the mini-
mization tasks: reachability is computed by breadth-ﬁrst search [WMKD19, BKR19] and
observability is computed by partition reﬁnement algorithms [KK14, WDMS20, DMSW17]. Even though their run-time complexity diﬀers – reachability is usually linear, whereas
partition reﬁnement algorithms are quasilinear or slower – they have striking similarities. ",cs.FL,C,0.17751497,0.46002665,-0.20275265
http://arxiv.org/pdf/2203.03404v1,Weakness Makes Muller Delay Games Hard,"Thus,
the succinctness of weak Muller conditions (encoded by formulas) yields an exponential
increase in comparison to both safety and parity conditions. There are two immediate directions for further research: Try to lift our results to (strong)
Muller conditions and to strengthen the lower bounds by proving them for less succinct
representations of F.

   Recall that our lower bounds for weak Muller conditions rely on gadgets comparing n-bit
strings for some ﬁxed n. This is possible for a ﬁxed number of comparisons by having one
gadget for each string to be compared and then using the formula deﬁning F to implement
the actual comparison. A natural way to lift, say the bad j-pair lower bound game is to just
play this game inﬁnitely often. ",cs.FL,B,0.011914004,-0.070451364,0.5154446
http://arxiv.org/pdf/2203.03404v2,Weak Muller Conditions Make Delay Games Hard,"Thus, the succinctness of weak Muller
conditions (encoded by formulas) yields an exponential increase in comparison to both safety and parity
conditions. There are two immediate directions for further research: Try to lift our results to (standard) Muller
conditions and to strengthen the lower bounds by proving them for less succinct representations of F.

   Recall that our lower bounds for weak Muller conditions rely on gadgets comparing n-bit strings for
some ﬁxed n. This is possible for a ﬁxed number of comparisons by having one gadget for each string
to be compared and then using the formula deﬁning F to implement the actual comparison. A natural
way to lift, say, the bad j-pair lower bound game is to just play this game inﬁnitely often. ",cs.FL,B_centroid,0.012989299,-0.059995443,0.51334226
http://arxiv.org/pdf/2203.03943v1,mwp-Analysis Improvement and Implementation: Realizing Implicit Computational Complexity,"While we suppose one approach could be used to derive
the result obtained by the other, we do believe the originality of our pioneering ICC-based
approach may inspire new and original directions in static program analysis. 6 Conclusion: limitations, strengths and future work

This work attempts to illustrate the usefulness and applicability of ICC results, but also the
need to reﬁne and adapt them. We showed that the mwp-ﬂow analysis as originally described
cannot scale to programs in a real programming language: while the considered analysis
is deﬁnitely powerful and elegant, its mathematical nature let some costly operations go
unchecked. ",cs.FL,B,-0.07194361,0.018006561,0.12683068
http://arxiv.org/pdf/2203.10193v1,Between SC and LOGDCFL: Families of Languages Accepted by Logarithmic-Space Deterministic Auxiliary Depth-k Storage Automata,"Since we have discussed in this work
       no closure property of kSDA. We expect that a further study on closure properties will reveal a
       diﬀerent feature of kSDA. 5. ",cs.FL,A,0.007573342,-0.30304468,0.13312533
http://arxiv.org/pdf/2203.13173v1,Zone extrapolations in parametric timed automata,"Considering the diﬃculty of pa-
rameter synthesis for timed models, we consider it a non-trivial and promising
step. 7.2 Future works

We now discuss future works. A main limitation of our implementation in IMITATOR (discussed in Sec-

tion 6) is that it only handles convex parametric zones. ",cs.FL,A,-0.26999867,-0.18786845,-0.04790277
http://arxiv.org/pdf/2203.13247v1,Exemplifying parametric timed specifications over signals with bounded behavior,"A more eﬃcient way
of handling these issues could be to only add the clock when reconstructing the
symbolic run. This is future work. C.2 Reconstructing predecessors

Algorithm 6 computes a predecessor, and simply computes a discrete predeces-
sor: by ﬁrst ﬁring backwards the transition (line 1) using the dedicated function
exhibitPredDisc, and second by canceling time elapsing, i. e., computing a val-
uation from which another transition can be ﬁred backwards (line 2) using the
dedicated function exhibitPredCont. ",cs.FL,A,-0.090287335,0.105509706,0.10680626
http://arxiv.org/pdf/2203.14614v3,Sublinear-Time Probabilistic Cellular Automata,"LLT∪∩ is properly contained in LTT. Some relations between the classes are still open (see Figure 4) and are left as a topic for
future work. Proof. ",cs.FL,A,-0.09931637,-0.28016728,0.12993073
http://arxiv.org/pdf/2204.01603v1,Looking for winning strategies in two-player games on Petri nets with partial observability,"This makes our model suitable to represent distributed system, where different
components may be physically distant from each other. In future works we plan to exploit even more
the concurrent structure of the net, by looking for strategies directly on the unfolding. In Sec. ",cs.FL,A,-0.40961242,-0.15606427,-0.19690298
