url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00746v1,Coherence of probabilistic constraints on Nash equilibria,"PCE-Coherence may be seen as an addition to this list by
Theorem 8 in Section 5 if one glimpses it as the problem of deciding whether there are at most
K + 1 mixed equilibria for which there is an associated vector π that satisﬁes conditions in (3). 7 Conclusions and future work

By means of observable games, we have modeled the scenario of uncertainty about exactly what
equilibrium is to be reached in a situation that will certainly reach one. To avoid the possible
hardness of computing and enumerating all equilibria in order to assign probabilities to them,
the proposed model instead allows the observer to assign probabilities to the possible actions of
the players involved. ",cs.GT,A,-0.2682744,-0.15666702,0.091130115
http://arxiv.org/pdf/2201.01163v1,Finding General Equilibria in Many-Agent Economic Simulations Using Deep Reinforcement Learning,"B REPRODUCIBILITY STATEMENT

We discuss speciﬁc training details for all experiments such as hyperparameters in the Appendix. Upon acceptance, all code for this project will be made open source and publicly available for
reproducibility purposes and further research. Upon request, we will share our code with reviewers
and area chairs for review. ",cs.GT,B,-0.08675832,0.3213532,0.26676893
http://arxiv.org/pdf/2201.01450v1,Offsetting Unequal Competition through RL-assisted Incentive Schemes,"Despite there exists recent work on the stability        balancing economic equality and productivity, where the agents
of mixed-strategy learning algorithms [43] or the conditions          are trained through deep reinforcement learning. The present
for the convergence to Nash equilibria in continuous action           work adds to the domain at the intersection of mechanism
spaces [44], we postpone such theoretical exploration to a            design, reinforcement learning and fair machine learning
future work. by considering competition between unequal teams and build
                                                                      RL agents for devising dynamic incentives for fair outcomes. ",cs.GT,A,-0.25666347,-0.22340584,0.030688688
http://arxiv.org/pdf/2201.01810v1,Privacy-Friendly Peer-to-Peer Energy Trading: A Game Theoretical Approach,"Sellers’ sensitive data                  [11] T. Dimitriou and G. Karame, “Privacy-friendly tasking and trading
is protected from buyers and vice versa. As a future work,                          of energy in smart grids,” in Proceedings of the 28th Annual ACM
we plan to extend PFET by (i) considering network costs and                         Symposium on Applied Computing, 2013, pp. 652–659. ",cs.GT,C,0.19643575,0.09673554,-0.09517661
http://arxiv.org/pdf/2201.01810v2,Privacy-Friendly Peer-to-Peer Energy Trading: A Game Theoretical Approach,"Sellers’ sensitive data                  [11] T. Dimitriou and G. Karame, “Privacy-friendly tasking and trading
is protected from buyers and vice versa. As a future work,                          of energy in smart grids,” in Proceedings of the 28th Annual ACM
we plan to extend PFET by (i) considering network costs and                         Symposium on Applied Computing, 2013, pp. 652–659. ",cs.GT,C,0.19643575,0.09673554,-0.09517661
http://arxiv.org/pdf/2201.03398v1,Multiplayer Performative Prediction: Learning in Decision-Dependent Games,"This suggests that modeling performative eﬀects due to competition can be beneﬁcial for
both players. 8 Discussion

The new class of games in this paper motivates interesting future work at the intersection of statistical learning
theory and game theory. For instance, it is of interest to extend the present framework to handle more general
parametric forms of the distributions Di. ",cs.GT,A,-0.33545044,-0.24724449,0.3087693
http://arxiv.org/pdf/2201.03398v2,Multiplayer Performative Prediction: Learning in Decision-Dependent Games,"This suggests that modeling
performative eﬀects due to competition can be beneﬁcial for both players. 8 Discussion

The new class of games in this paper motivates interesting future work at the intersection of
statistical learning theory and game theory. For instance, it is of interest to extend the present
framework to handle more general parametric forms of the distributions Di. ",cs.GT,A,-0.33545044,-0.24724449,0.3087693
http://arxiv.org/pdf/2201.04662v1,Beyond Cake Cutting: Allocating Homogeneous Divisible Goods,"On the other hand, their approach allows for more expressive constraint

structures over the feasible allocations of goods to agents. We believe that investigating the degree

to which the two approaches can be combined is an interesting question for future work. 6 Additional Observations and Future Work

In this section, we provide some auxiliary results in our model and suggest several interesting related

open questions. ",cs.GT,C,0.1323686,-0.1067297,-0.19850439
http://arxiv.org/pdf/2201.05976v1,Cost Sharing for Connectivity with Budget,"From the proof of Theorem 5, we can get v(S ∪ {i}) −
  v(S) ≥ 0. One interesting future work is to characterize all possible
                                                                                                                            cost share mechanisms to incentivize them to share their con-
From the analysis above together, we can know for node i ∈                                                                  nections. Since we have different solutions for the same prob-
g(θ), φi is non-negative and xi(θ ) = Bi − φi. ",cs.GT,C,0.08448397,0.14322715,-0.3013581
http://arxiv.org/pdf/2201.06597v1,Adjudication with Rational Jurors,"We considered two classes of jurors
       fi(λ∗i ) = βi +         1              exp(−αiλ∗) = 1 + δ.                   and gave bounds on the size of the payments to ensure the
                               2 − βi                     i2                        adjudication has bounded error rate. Not considering the degenerate cases where no such λ∗i exists                          As future work, it would be interesting to instantiate the
                    1                                λ∗i                            mechanism using a different voting rule such as surprisingly
(e.g. if  βi  <    2  +  δ),  we  can   solve  for       to  yield:                popular voting by Prelec [2004], as this might enable the
                                                                                    mechanism to recover the ground truth even if most jurors are
                       λ∗ = 1 ln 1 − 2βi . ",cs.GT,B,0.0060734665,0.17263976,0.11847046
http://arxiv.org/pdf/2201.07546v1,Welfare vs. Representation in Participatory Budgeting,"Our results provide a deeper understanding of the trade-oﬀs between welfare and
representation for voting rules in Participatory Budgeting and can lead to more
eﬃcient outcomes that will satisfy the citizens. There are several directions that are interesting to explore in future work. First, extending our analysis to consider additional voting rules from the litera-
ture, and considering more families of rules (e.g. ",cs.GT,C,0.48888052,-0.07964079,0.27033907
http://arxiv.org/pdf/2201.07546v2,Welfare vs. Representation in Participatory Budgeting,"Our results provide a deeper understanding of the trade-oﬀs between welfare and
representation for voting rules in Participatory Budgeting and can lead to more
eﬃcient outcomes that will satisfy the citizens. There are several directions that are interesting to explore in future work. First, extending our analysis to consider additional voting rules from the litera-
ture, and considering more families of rules (e.g. ",cs.GT,C,0.48888052,-0.07964079,0.27033907
http://arxiv.org/pdf/2201.07546v3,Welfare vs. Representation in Participatory Budgeting,"Our results provide a deeper understanding of the trade-oﬀs between welfare and
representation for voting rules in Participatory Budgeting and can lead to more
eﬃcient outcomes that will satisfy the citizens. There are several directions that are interesting to explore in future work. First, extending our analysis to consider additional voting rules from the litera-
ture, and considering more families of rules (e.g. ",cs.GT,C,0.48888052,-0.07964079,0.27033907
http://arxiv.org/pdf/2201.07700v1,Anytime Optimal PSRO for Two-Player Zero-Sum Games,"In Proceedings of the 20th International Conference
size of these worst-case sequences is still an open question,      on Machine Learning (ICML-03), 536–543. an interesting direction for future work. This issue is a po-
tential problem for both AODO and DO. ",cs.GT,B,-0.100219205,0.35295135,0.12365929
http://arxiv.org/pdf/2201.07700v2,Anytime PSRO for Two-Player Zero-Sum Games,"How one could reduce the size of these worst-
(Lanctot et al., 2019) with 13 cards and simultaneous moves. case sequences is still an open question, and an interesting
As shown in ﬁgure 6b, APSRO with deep RL best responses         direction for future work. outperforms PSRO and has a slightly smoother exploitability
curve. ",cs.GT,A,-0.21062446,0.17205566,-0.05053644
