url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00338v1,Compressed Sensing of Indirect Data,"Our
results have been illustrated on a simple numerical example for combined CS and numer-
ical diﬀerentiation. In future work further detailed numerical investigations are in order
comparing our models with standard CS approaches in practical important applications
demonstrating strengths and limitations of diﬀerent methods. Potential applications
include magnetic resonance imaging [2, 15] or photoacoustic tomography [17, 16]. ",cs.IT,C,0.015212063,-0.38554442,-0.25494432
http://arxiv.org/pdf/2201.00338v2,Convergence rates for the joint solution of inverse problems with compressed sensing data,"Our
results have been illustrated on a simple numerical example for combined CS and numer-
ical diﬀerentiation. In future work further detailed numerical investigations are in order
comparing our models with standard CS approaches in practical important applications
demonstrating strengths and limitations of diﬀerent methods. Potential applications
include magnetic resonance imaging [2, 15] or photoacoustic tomography [17, 16]. ",cs.IT,C,0.015212063,-0.38554442,-0.25494432
http://arxiv.org/pdf/2201.00344v1,"A Bound on the Minimal Field Size of LRCs, and Cyclic MR Codes That Attain It","Thus, ﬁnding out whether it is tight for cases in which r 3, or improving it, remains widely open. We
leave these questions and others for future work. APPENDIX

   In this appendix, we shall prove Theorem 4. ",cs.IT,C,0.36605385,-0.23207426,0.077369235
http://arxiv.org/pdf/2201.00344v2,"A Bound on the Minimal Field Size of LRCs, and Cyclic MR Codes That Attain It","Thus, ﬁnding out whether it is tight for cases in which r 3, or improving it, remains widely open. We
leave these questions and others for future work. APPENDIX

   In this appendix, we shall prove Theorem 7. ",cs.IT,C,0.36450183,-0.23032853,0.0704748
http://arxiv.org/pdf/2201.01113v2,Noisy Sensor Scheduling in Wireless Networked Control Systems: Freshness or Precision,"321–325,
policies. The application of the proposed evaluation method to                                                                                                     IEEE, 2017.
complicated communication systems, such as packet dropouts
and power constraints, will be left for future work. Besides, the                                                                                            [11] K. Huang and et al, “Wireless feedback control with variable packet
generalization to vector-form systems is also of future interest. ",cs.IT,A,-0.2976758,0.08353717,0.088926464
http://arxiv.org/pdf/2201.01339v1,Fast Decoding of Interleaved Linearized Reed-Solomon Codes and Variants,"It would also be interesting to derive a Berlekamp–Massey-like decoding algorithm for ILRS codes (in the spirit of [37] for
interleaved Gabidulin codes), which could potentially be implemented efﬁciently using the fast skew-feedback shift-register
synthesis from [38]. Another interesting direction of future work could be to consider decoding of interleaved variants of the codes from [9],
which can be constructed using smaller ﬁeld sizes. REFERENCES

 [1] H. Bartz and S. Puchinger, “Decoding of Interleaved Linearized Reed-Solomon Codes with Applications to Network Coding,” in IEEE International
      Symposium on Information Theory (ISIT). ",cs.IT,B,0.16870758,0.29813915,-0.29145783
http://arxiv.org/pdf/2201.01339v2,Fast Decoding of Interleaved Linearized Reed-Solomon Codes and Variants,"It would also be interesting to derive a Berlekamp–Massey-like decoding algorithm for ILRS codes (in the spirit of [39] for
interleaved Gabidulin codes), which could potentially be implemented efﬁciently using the fast skew-feedback shift-register
synthesis from [40]. Another interesting direction of future work could be to consider decoding of interleaved variants of the codes from [9],
which can be constructed using smaller ﬁeld sizes. So far, no results on the list-decodability of random (linear) sum-rank-metric codes like, e.g. ",cs.IT,B,0.22961637,0.27885553,-0.24949248
http://arxiv.org/pdf/2201.01422v2,On the Performance of Uplink ISAC Systems,"A more detailed discussion on the inﬂuence of the SIC order        complete gamma function [12, eq. 8.350.2], and γ (s, x) =
on the performance of the ISAC will be left to our future works. 3

 0x ts−1e−tdt denotes the lower incomplete gamma function                      Remark 5. ",cs.IT,C,0.07543973,-0.18911561,-0.12427475
http://arxiv.org/pdf/2201.01930v1,Codes from symmetric polynomials,"Furthermore we know from Proposition 2.1, as for general

m, that there are precisely q(q − 1) codewords of minimal weight, namely

τ (c(x1 − b) · · · (xm − b)), for q choices of b, and q − 1 choices of non-zero c.

    The case q = 4 is a special case of the trivial case m = q − 1 mentioned

at the end of Section 4, with dr(C3) = 6r for all r.
                        CODES FROM SYMMETRIC POLYNOMIALS                                  13

    In order to illustrate the complexity, we give our only example below, of
a more non-trivial result for m = 3. We leave it to further research to ﬁnd
good results for m ≥ 3 in general. Example 6.1. ",cs.IT,B,0.54014623,0.19140562,-0.17141357
http://arxiv.org/pdf/2201.01930v2,Codes from symmetric polynomials,"Furthermore we know from Proposition 2.1, as for general

m, that there are precisely q(q − 1) codewords of minimal weight, namely

τ (c(x1 − b) · · · (xm − b)), for q choices of b, and q − 1 choices of non-zero c.

    The case q = 4 is a special case of the trivial case m = q − 1 mentioned

at the end of Section 4, with dr(C3) = 6r for all r.
                        CODES FROM SYMMETRIC POLYNOMIALS                                  13

    In order to illustrate the complexity, we give our only example below, of
a more non-trivial result for m = 3. We leave it to further research to ﬁnd
good results for m ≥ 3 in general. Example 6.1. ",cs.IT,B,0.54014623,0.19140562,-0.17141357
http://arxiv.org/pdf/2201.01930v3,Codes from symmetric polynomials,"Furthermore we know from Proposition 2.1, as for general

m, that there are precisely q(q − 1) codewords of minimal weight, namely

ev(c(x1 − b) · · · (xm − b)), for q choices of b, and q − 1 choices of non-zero c.

The case q = 4 is a special case of the trivial case m = q − 1 mentioned

at the end of Section 4, with dr(C3) = 6r for all r.
14                                     DATTA AND JOHNSEN

    In order to illustrate the complexity, we give our only example below, of
a more non-trivial result for m = 3. We leave it to further research to ﬁnd
good results for m ≥ 3 in general. Example 6.1. ",cs.IT,B,0.5377773,0.19174239,-0.10097772
http://arxiv.org/pdf/2201.02035v1,"On the Performance of Reed-Muller Codes Over $(d,\infty)$-RLL Input-Constrained BMS Channels","1 𝑚−2 𝑅
                         lim                               =. There is much scope for future work in this line of inves-
                      𝑚→∞ 2𝑚 ≤ 𝑟𝑚 4                                                tigation. Firstly, following the close relationship between the
                                                                                   size of (1, ∞)-RLL subcodes and the weight distribution of RM
Hence, for small 𝛿 > 0, and for 𝑚 large enough, it holds that                      codes established in this work, a more sophisticated analysis
                                                                                   of achievable rates can be performed with the availability of
                      𝑚 − 2 ≤ (1 + 𝛿) · 2𝑚−2 · 𝑅.                                  better lower bounds on the weight distribution of RM codes. ",cs.IT,B,0.30294248,0.20066123,0.0368746
http://arxiv.org/pdf/2201.02053v1,Cyclic-Prefixed Single-Carrier Transmission for RIS-Empowered Broadband Wireless Systems,"Here, the channels associated with different reﬂecting groups are approximately

considered as independent and identically distributed fading. We note that the practical case of

correlated Nakagami-m fading [35] will be considered in future work. A. Transmitter Design
   For each transmission, the CPSC transmitter modulates b = N log2(M ) information bits into

a symbol vector x = [x(1), . ",cs.IT,A,-0.26138565,0.31650734,-0.053369775
http://arxiv.org/pdf/2201.02053v2,Channel Estimation and Multipath Diversity Reception for RIS-Empowered Broadband Wireless Systems Based on Cyclic-Prefixed Single-Carrier Transmission,"Here, the channels associated with different reﬂecting groups are approximately considered

as independent and identically distributed fading. We note that the practical case of correlated

Nakagami-m fading [46] will be considered in future work. A. Transmitter Design

   For each transmission, the CPSC transmitter modulates b = N log2(M ) information bits into
a symbol vector x = [x(1), . ",cs.IT,A,-0.258613,0.31663588,-0.05275801
http://arxiv.org/pdf/2201.02129v1,Spectral and Energy Efficient User Pairing for RIS-assisted Uplink NOMA Systems with Imperfect Phase Compensation,"In Section IV, we present the simulation results for various
                                                                                                            scenarios. Section V presents some concluding remarks and
                                          Unlike the spatial multiplexing in orthogonal multiple ac-        possible future works. cess (OMA), NOMA is beneﬁcial in situations where the
                                       channel vectors of users are in the same direction [4]. ",cs.IT,A,-0.36560673,0.083788276,-0.09407535
http://arxiv.org/pdf/2201.02758v1,Self-orthogonal generalized twisted Reed-Solomon codes,"In section 4, a suﬃcient
and necessary condition for the GTRS code with h + t ≤ k − 1 to be self-orthogonal is
obtained, and then several classes of self-orthogonal GTRS codes are constructed. In
section 5, we conclude the whole paper and give the further study. 2 Preliminaries

      Throughout this paper, we ﬁx some nonations as follows for convinience. ",cs.IT,B,0.21784471,0.17132156,-0.14402655
http://arxiv.org/pdf/2201.02913v1,Intelligent Reflecting Surface-Aided LEO Satellite Communication: Cooperative Passive Beamforming and Distributed Channel Estimation,"4, we let (ϑˆ[XT0], ϕˆ[XT0]) with X ∈ {G, I1, S, I2}
denote the initially estimated AoA pair of node X at the beginning of each data transmission

frame (or equivalently, by the end of each channel training period), where we let T0 and TE

denote the start and end time of one data transmission frame of interest. During each data
transmission frame, we propose to model/approximate the variation of the AoA pair (ϑ[Xt], ϕ[Xt])
(due to the relative motion between the GN and SAT sides) as a linear time-varying process.6

   5Note that the robust passive beamforming design highly depends on the adopted CSI error model, which, however, is beyond
the scope of this paper and will be considered in our future work. 6Note that since the GN and IRS 1 have a ﬁxed geometric relationship, the corresponding phase-shift difference ∆ρ1 =
∠ (ρ¯G) − ∠ (ρ¯I1 ) at the GN side remains almost unchanged during each data transmission frame, regardless of the Doppler
effect (induced by the high-mobility satellite) on both ρ¯G and ρ¯I1 . ",cs.IT,A,-0.30086118,-0.024830047,-0.12029308
http://arxiv.org/pdf/2201.02972v1,Performance Analysis and Power Allocation of Joint Communication and Sensing Towards Future Communication Networks,"Similarly, the outage event generates at Dn when: Case iii) R cannot decode xf or xn
successfully and Dn cannot decode xf or xn over the direct link; Case iv) R decodes and
forwards the signals to Dn, while Dn fails to decode the signals over the direct link or with the

   6In this paper, the selection combining (SC) scheme is adopted to calculate the outage probabilities of the IoT devices, since
it has low implementation cost and does not reduce the diversity gain. Our analysis can be extended to the maximal ratio
combining (MRC) scheme, which will be set aside for our future work. 11

aid of the MiBS. ",cs.IT,A,-0.22151701,0.15487987,0.09398123
http://arxiv.org/pdf/2201.02981v1,A New Constructions of Minimal Binary Linear Codes,"Basing on this condition and exponential sums, Section 4 obtains a new class of minimal

binary linear codes violating the Ashikhmin-Barg condition from partial spread, and then determines their

weight enumerators. Section 5 concludes the whole paper and gives the further study. 2 Preliminaries

       In this section we give some deﬁnitions and notations for minimal linear codes. ",cs.IT,B,0.45669213,0.27963108,-0.21087024
http://arxiv.org/pdf/2201.03166v1,Spatiotemporal 2-D Channel Coding for Very Low Latency Reliable MIMO Transmission,"Still there are implementation issues
coding. required further research. One issue is the implementation of
                                                                     iterative decoder of the spatiotemporal 2-D codes. ",cs.IT,B,0.0952853,0.09875351,-0.1987825
