url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00005v1,A Literature Review on Length of Stay Prediction for Stroke Patients using Machine Learning and Statistical Approaches,"The authors reduced the features from 273 to 40 based on consultation with domain
experts (anesthesiologists). After preprocessing the dataset, 715,143 patient records were
selected for further analysis. The patients were categorized using their medical group into the
following nine surgical categories: (1) general surgery, (2) vascular, (3) urology, (4) plastics,
(5) otolaryngology, (6) orthopedics, (7) gynecology, (8) neurosurgery, and (9) other surgical
conditions (including thoracic, cardiac surgery, and interventional radiology patients). ",cs.LG,A,0.08414028,-0.3952855,0.036092304
http://arxiv.org/pdf/2201.00006v1,Knowledge intensive state design for traffic signal control,"Section 6 concludes the paper      than queue length as a reward representation. MPLight intro-
and discusses future work. duces pressure into state design and ﬁnds the improvement
                                                                 in the model. ",cs.LG,B,0.15848276,0.24878883,-0.09035659
http://arxiv.org/pdf/2201.00006v2,AttentionLight: Rethinking queue length and attention mechanism for traffic signal control,"With the number of vehicles and current phase as
and demonstrates the results. Section 6 summarizes this pa-     the state and queue length as the reward, FRAP [32] builds
per and discusses future work. a novel network to construct phase features and phase com-
                                                                petition relation. ",cs.LG,B,0.13367635,0.12806307,-0.019199835
http://arxiv.org/pdf/2201.00009v1,Augmentative eXplanation and the Distributional Gap of Confidence Optimization Score,"Furthermore, recall that we illustrated using the 2D
example the reason we avoid sigmoid function: suppressed change in the CO score due to its asymptotic part. We have
avoided Softmax for similar reason, and a further study can be conducted to characterize the scores with Softmax or other
modiﬁcations. From here, the ideal vision is to develop a model that scales with CO score in not only a computationally
relevant way, but also in a human relevant way: we want a model that increases predictive probability when the heatmap
highlights exactly the correct localization of the objects or highly relevant features related to the objects. ",cs.LG,C,-0.17886855,-0.07593982,-0.012545089
http://arxiv.org/pdf/2201.00009v2,Improving Deep Neural Network Classification Confidence using Heatmap-based eXplainable AI,"Furthermore, recall that we illustrated using the 2D
example the reason we avoid sigmoid function: suppressed change in the CO score due to its asymptotic part. We have
avoided Softmax for similar reason, and a further study can be conducted to characterize the scores with Softmax or other
modiﬁcations. From here, the ideal vision is to develop a model that scales with CO score in not only a computationally
relevant way, but also in a human relevant way: we want a model that increases predictive probability when the heatmap
highlights exactly the correct localization of the objects or highly relevant features related to the objects. ",cs.LG,C,-0.17886855,-0.07593982,-0.012545089
http://arxiv.org/pdf/2201.00012v1,MORAL: Aligning AI with Human Norms through Multi-Objective Reinforced Active Learning,"However, MO-MPO requires explicit prefer-           input. We suppose further research in AIRL will be necessary to
ences over objectives, which is not always feasible when combining     prevent overfitting of the reward network. Similarly to Gleave and
learned rewards that are inherently difficult to compare. ",cs.LG,B,-0.03872841,0.28174412,-0.19982499
http://arxiv.org/pdf/2201.00044v1,Transformer Embeddings of Irregularly Spaced Events and Their Participants,"On RoboCup,
the training time of NDTT and A-NDTT was 62 and 149 seconds per sequence, respectively. See
Appendix D.4 for future work on improving the latter time by exploiting GPU parallelism. For the NHP and A-NHP models in section 8.2, we ran the specialized code for these models on CPU
as well, rather than on GPU as in section 8.1, since the RoboCup sequences were too long to ﬁt in
the memory of our K80 GPU. ",cs.LG,B,-0.10111554,0.08141614,0.23018286
http://arxiv.org/pdf/2201.00044v2,Transformer Embeddings of Irregularly Spaced Events and Their Participants,"On RoboCup,
the training time of NDTT and A-NDTT was 62 and 149 seconds per sequence, respectively. See
Appendix F.4 for future work on improving the latter time by exploiting GPU parallelism. For the NHP and A-NHP models in section 7.2, we ran the specialized code for these models on CPU
as well, rather than on GPU as in section 7.1, since the RoboCup sequences were too long to ﬁt in
the memory of our K80 GPU. ",cs.LG,B,-0.10091387,0.0835468,0.22506025
http://arxiv.org/pdf/2201.00044v3,Transformer Embeddings of Irregularly Spaced Events and Their Participants,"On RoboCup,
the training time of NDTT and A-NDTT was 62 and 149 seconds per sequence, respectively. See
Appendix F.4 for future work on improving the latter time by exploiting GPU parallelism. For the NHP and A-NHP models in section 7.2, we ran the specialized code for these models on CPU
as well, rather than on GPU as in section 7.1, since the RoboCup sequences were too long to ﬁt in
the memory of our K80 GPU. ",cs.LG,B,-0.10091387,0.0835468,0.22506025
http://arxiv.org/pdf/2201.00057v1,Optimal Representations for Covariate Shift,"Thus, we showed that it is
possible to learn robust representations using only large sources of inputs X and augmentations A. 9
Preprint

There are caveats that need to be addressed in future work. First, we studied an idealized DG,
which assumes access to the population distributions. ",cs.LG,C,-0.14165816,0.031872474,-0.10006001
http://arxiv.org/pdf/2201.00057v2,Optimal Representations for Covariate Shift,"Thus, we showed that it is
possible to learn robust representations using only large sources of inputs X and augmentations A. There are caveats that need to be addressed in future work. First, we studied an idealized DG,
which assumes access to the population distributions. ",cs.LG,C,-0.13166136,0.04971157,-0.11753797
http://arxiv.org/pdf/2201.00058v1,Representation Topology Divergence: A Method for Comparing Neural Network Representations,"We used the RTD to gain insights on neural networks representations in

                             9
computer vision and NLP domains for various problems: training dynamics analysis, data distribu-
tion shift, transfer learning, ensemble learning, disentanglement assessment. RTD correlates strikingly well with the disagreement of models’ predictions; this is an intriguing
topic for further research. Finally, R-Cross-Barcode and RTD are general tools and which are not
limited only to representations comparison. ",cs.LG,C,-0.31807828,-0.1319,-0.12405353
http://arxiv.org/pdf/2201.00147v1,High-dimensional Bayesian Optimization Algorithm with Recurrent Neural Network for Disease Control Models in Time Series,"Section
4 demonstrates the effectiveness of the RNN-BO algorithm and makes comparison with the standard Bayesian
Optimization algorithm and a high-dimensional Bayesian Optimization algorithm through numerical simulation
experiments. Finally, conclusions and future works are drawn in Section 5. 2. ",cs.LG,B,-0.0563602,0.2598433,0.043371893
http://arxiv.org/pdf/2201.00171v1,Multi-view Subspace Adaptive Learning via Autoencoder and Attention,"The
experiments on several real-world datasets showed that the proposed MSALAA
mostly outperformed the other baseline methods, which validate that our pro-
posed MSALAA can use self-representation of multi-views to subspace adaptive
learning. In future work, we will investigate some variants for MLRSSC. We will try
to build a common self-representation matrix C∗ and align C∗ with all views to
see the inﬂuence of performance for multi-view subspace Learning. ",cs.LG,C,-0.1460265,-0.0115677565,-0.10550268
http://arxiv.org/pdf/2201.00199v1,The GatedTabTransformer. An enhanced deep learning architecture for tabular modeling,"Dataset                            Gain over           Gain over    Gain over
                                        MLP     TabTransformer         TabNet
bank_marketing
1995_income                                1.3                 1.0          3.1
blastchar                                  0.9                 0.7          2.5
                                           0.4                 0.5          1.6

Figure 3: AUROC gain charts for the 3 datasets - comparison between baseline TabTransformer (blue) and
the proposed GatedTabTransformer (orange). 6 Future work

A fruitful direction for further research would be to investigate the effects of combining our current solutions
with some of the recent breakthroughs in regularization, feature engineering, etc. 6
Radostin Cholakov and Todor Kolev  The GatedTabTransformer. ",cs.LG,A,0.06588806,-0.10559286,0.0876292
http://arxiv.org/pdf/2201.00232v1,Towards Robust Graph Neural Networks for Noisy Graphs with Sparse Labels,"Various
  convolution with spectral analysis. GNNs can be used in RS-GNN and we leave it as a future work. • SuperGAT [21]: This extends GAT [34] with self-supervised            5.2 Performance on Noisy Graphs
  learning. ",cs.LG,C,-0.34081322,-0.11113615,0.2191794
http://arxiv.org/pdf/2201.00236v1,Operator Deep Q-Learning: Zero-Shot Reward Transferring in Reinforcement Learning,"In this way, we can incorporate more reference
points into the network design. We will leave this to future work once the codebase of random feature
attention in Peng et al. (2021) is available. ",cs.LG,C,-0.03698813,-0.04948562,0.024222748
http://arxiv.org/pdf/2201.00308v1,"DiffuseVAE: Efficient, Controllable and High-Fidelity Generation from Low-Dimensional Latents","The results suggest that ﬁxing DDPM latents across samples can improve or
degrade the sample quality and can be unpredictable in this regard. Thus, design of stronger conditioning formulations
to alleviate stochasticity in DDPM generated samples can be an interesting direction for future work. 5.4 Generalization to downstream tasks

Recently, [47] showed impressive image super-resolution results using diffusion models. ",cs.LG,B,-0.010582892,0.09215135,0.049843647
http://arxiv.org/pdf/2201.00354v1,Toward Causal-Aware RL: State-Wise Action-Refined Temporal Difference,"As the hyper-parameters for
curriculum are not elaborated in our experiments, direct combining the two curriculum may hinder
the performance. The design for curriculum fusion is left to the future work. C Environment Details

FourRewardMaze The FourRewardMaze is a 2-D navigation task where an agent need to ﬁnd all
four solutions to achieve better performance. ",cs.LG,B,-0.021056345,0.0045821182,-0.13817692
http://arxiv.org/pdf/2201.00354v2,Toward Causal-Aware RL: State-Wise Action-Refined Temporal Difference,"As the hyper-parameters for
curriculum are not elaborated in our experiments, direct combining the two curriculum may hinder
the performance. The design for curriculum fusion is left to the future work. C Environment Details

FourRewardMaze The FourRewardMaze is a 2-D navigation task where an agent need to ﬁnd all
four solutions to achieve better performance. ",cs.LG,B,-0.021056345,0.0045821182,-0.13817692
http://arxiv.org/pdf/2201.00355v1,Experiment Based Crafting and Analyzing of Machine Learning Solutions,"Include available features in the
       data record, e.g., age of the customer, if available even if it is not required as input
       to the ML based system and it is not identiﬁed as an independent variable. This will
       allow for further analysis aimed at discovering the latent variables Xjl. • Avoid bias. ",cs.LG,A,0.18025005,-0.2780518,-0.13647875
http://arxiv.org/pdf/2201.00355v2,Theory and Practice of Quality Assurance for Machine Learning Systems An Experiment Driven Approach,"Include available features in the
       data record, e.g., age of the customer, if available even if it is not required as input
       to the ML based system and it is not identiﬁed as an independent variable. This will
       allow for further analysis aimed at discovering the latent variables Xjl. • Avoid bias. ",cs.LG,A,0.18025005,-0.2780518,-0.13647875
http://arxiv.org/pdf/2201.00363v1,Semi-Supervised Graph Attention Networks for Event Representation Learning,"The GNEE source code is available in https:                       [9] Z. Zhang, P. Cui, and W. Zhu, “Deep learning on graphs: A survey,”
//github.com/joaopedromattos/GNEE, as well as the datasets                             IEEE Transactions on Knowledge and Data Engineering, 2020.
and source code to reproduce the experiments. [10] B. Perozzi, R. Al-Rfou, and S. Skiena, “Deepwalk: Online learning
   Directions for future work involve investigating how the                            of social representations,” in Proceedings of the 20th ACM SIGKDD
attention mechanisms act on event graphs using an explainable                          international conference on Knowledge discovery and data mining,
AI methodology. The general idea is to incorporate the re-                             2014, pp. ",cs.LG,C,-0.14902279,-0.2326886,-0.11208283
http://arxiv.org/pdf/2201.00382v1,ECOD: Unsupervised Outlier Detection Using Empirical Cumulative Distribution Functions,"We provide
an easy-to-use Python implementation of ECOD for both                              [4] X. Yang, L. Tan, and L. He, “A robust least squares support vector
single- and multi-thread support. We leave accounting for                                machine for regression and classiﬁcation with noise,” Neurocom-
how features are related for future work. For instance, we                               puting, vol. ",cs.LG,B,-0.058012884,0.030000266,-0.08958662
http://arxiv.org/pdf/2201.00382v2,ECOD: Unsupervised Outlier Detection Using Empirical Cumulative Distribution Functions,"We provide
an easy-to-use Python implementation of ECOD for both                              [4] X. Yang, L. Tan, and L. He, “A robust least squares support vector
single- and multi-thread support. We leave accounting for                                machine for regression and classiﬁcation with noise,” Neurocom-
how features are related for future work. For instance, we                               puting, vol. ",cs.LG,B,-0.058012884,0.030000266,-0.08958662
http://arxiv.org/pdf/2201.00382v3,ECOD: Unsupervised Outlier Detection Using Empirical Cumulative Distribution Functions,"Additionally,
CBLOF 7.1500                                                 6.3333 kNN              ECOD ranks ﬁrst in 12 out of 30 datasets, and ranks in the
                                                                                     top three places on 20 datasets. The further analysis with
   PCA 6.9167                                                                        the critical difference plot in Fig. 4 corroborates that ECOD
                                                                                     outperforms the baselines. ",cs.LG,A,0.24441221,-0.19782397,0.18280163
http://arxiv.org/pdf/2201.00384v1,Randomized Signature Layers for Signal Extraction in Time Series Data,"6, the ﬁlter weights do not depend on time. These represent
two strong limitations which pave the way to several enhancements in future work. Despite these
drastic shortcomings, the resulting algorithm outperforms several deep learning baselines on 128
TSC datasets from the UCR archive, as shown in Fig. ",cs.LG,C,-0.2932881,-0.048244752,0.12918119
http://arxiv.org/pdf/2201.00384v2,Randomized Signature Layers for Signal Extraction in Time Series Data,"Model is only trained on SSBMs,
so the input in the middle and right panels is Out-of-Distribution. number of limitations and, since our aim is mainly to show-
                                                                      case the versatility of Randomized Signatures, we leave
                                                                      to future works further algorithmic enhancements likely
                                                                      leading to performance improvements. Figure 8. ",cs.LG,B,0.008550579,0.03404767,0.013277795
http://arxiv.org/pdf/2201.00426v1,The DONUT Approach to EnsembleCombination Forecasting,"This section oﬀers some thoughts on
possible improvements for the weighting model and the Autoencoder. The relationship between
the post facto optimal solution and the ﬁnal prediction result could also oﬀer appealing topics for
further study. Firstly, one can do considerable optimization of the weighting model, DONUT. ",cs.LG,B,-0.13758552,0.011643988,-0.054292224
http://arxiv.org/pdf/2201.00426v2,Deep Learning and Linear Programming for Automated Ensemble Forecasting and Interpretation,"This section offers some thoughts on possible improvements
for the weighting model and the Autoencoder. The relationship between the post-facto optimal solution and the ﬁnal
prediction result could also offer appealing topics for further study. Firstly, one can do considerable optimization of the weighting model, DONUT. ",cs.LG,B,-0.14486869,0.015586758,-0.05499138
http://arxiv.org/pdf/2201.00437v1,Artificial Intelligence and Statistical Techniques in Short-Term Load Forecasting: A Review,"between 1% and 2%. Therefore, any future work on
The following are the answers to these research questions    STLF should target less than 1% prediction error to be
based on the review:                                         competitive with existing works in the literature. RQ1: What are the techniques used for STLF in the          • Most standalone ANN implementations achieved a
literature? ",cs.LG,A,0.13538243,-0.03678038,-0.050199002
http://arxiv.org/pdf/2201.00519v2,Stochastic Weight Averaging Revisited,"5: Run the SWA procedure again with input wˆ, c, n/3. De-
                                                                                                      5 Conclusions and future works
     note the output to be wtswa. 6: return wtswa                                                                                      We investigate extensively the function of WA for DNN model
                                                                                                      training, through the lens of revisiting SWA. ",cs.LG,C,-0.25582987,-0.08835308,0.05759633
http://arxiv.org/pdf/2201.00519v3,Stochastic Weight Averaging Revisited,"Right: VGG16. As we demonstrate here, there are indeed global scale ge-
                                                                      ometric structures in the DNN loss landscape that can be
5 Conclusions and future works                                        encountered by an SGD at an early stage of its life cycle, and
                                                                      such structures can be efﬁciently exploited by a WA operation. We investigate extensively the function of WA for DNN model           This insight inspires a new algorithm design, namely PSWA,
training, through the lens of revisiting SWA. ",cs.LG,C,-0.34537017,-0.003079163,0.08344572
http://arxiv.org/pdf/2201.00565v1,Swift and Sure: Hardness-aware Contrastive Learning for Low-dimensional Knowledge Graph Embeddings,"2021. RETA: A Schema-Aware, End-to-End Solution for Instance Completion in
   These positive results encourage us to explore further research                              Knowledge Graphs. In Proceedings of the WWW ’21: The Web Conference 2021,
                                                                                                Virtual Event / Ljubljana, Slovenia, April 19-23, 2021. ",cs.LG,C,0.04437037,-0.24792957,-0.14871563
http://arxiv.org/pdf/2201.00565v2,Swift and Sure: Hardness-aware Contrastive Learning for Low-dimensional Knowledge Graph Embeddings,"A       faster convergence speed in limited training time. pre-trained high-dimensional KGE model generates soft labels
for each training sample and accelerates the convergence of               These positive results encourage us to explore further research
the small student model. MulDE [29] is a multi-teacher knowl-          activities in the future. ",cs.LG,B,-0.09297406,-0.008479967,-0.055401094
http://arxiv.org/pdf/2201.00570v1,Asymptotic Convergence of Deep Multi-Agent Actor-Critic Algorithms,"The impact of communication losses on the data in
experience replays has so far not been considered. This is on our agenda for
future work. A Proof of Lemma 2

We deﬁne [t] for t ≥ 0 as [t] := tsup{n|tn≤t}. ",cs.LG,A,0.21281645,0.1977956,-0.07005692
http://arxiv.org/pdf/2201.00570v2,3DPG: Distributed Deep Deterministic Policy Gradient Algorithms for Networked Multi-Agent Systems,"Our numerical experiments
show that 3DPG is highly robust to the use of this old information, which makes it attractive
for distributed online multi-agent learning. For future work, we plan to analyze the trade off between using network resources for policy
communication vs. using network resources for data communication. In addition, we are working
on an analysis of 3DPG an its variants under a traditional two-timescale step-size schedule. ",cs.LG,B,-0.10750392,0.24111113,-0.20727667
http://arxiv.org/pdf/2201.00604v1,An analysis of over-sampling labeled data in semi-supervised learning with FixMatch,"The explicit setting is sig-     ways some direct supervision from true labels for
niﬁcantly more eﬃcient in the beginning but the           each task, in each mini-batch. Studying these and
diﬀerence between both settings is reduced over           other possible sampling methods will be an inter-
training and both perform on par when more la-            esting direction for future work. beled data is available and for longer training runs. ",cs.LG,B,-0.029020604,-0.034428746,-0.016593581
http://arxiv.org/pdf/2201.00604v2,An analysis of over-sampling labeled data in semi-supervised learning with FixMatch,"The explicit setting is sig-     ways some direct supervision from true labels for
niﬁcantly more eﬃcient in the beginning but the           each task, in each mini-batch. Studying these and
diﬀerence between both settings is reduced over           other possible sampling methods will be an inter-
training and both perform on par when more la-            esting direction for future work. beled data is available and for longer training runs. ",cs.LG,B,-0.029020604,-0.034428746,-0.016593581
http://arxiv.org/pdf/2201.00641v1,VDPC: Variational Density Peak Clustering Algorithm,"The data points in the top-left region are not identiﬁed as ﬁnal clusters because they are identiﬁed as boundary

points. (d) The remaining |D| − |Clow| data points that require further analysis. (e) Results of applying aDBSCAN on the
remaining |D|−|Clow| data points, the black points represents noises, and the red, green and orange clusters are three identiﬁed
micro-clusters. ",cs.LG,A,0.26124167,-0.14509822,0.30842498
http://arxiv.org/pdf/2201.00650v1,Deep Learning Interviews: Hundreds of fully solved job interview questions from a wide range of key topics in AI,"A note about Bibliography                                                                            ACKNOWLEDGEMENTS. The book provides a carefully curated bibliography to guide further study, whether
for interview preparation or simply as a matter of interest or job-relevant research. A                    The thanks and acknowledgements of the publisher are due to the following:
comprehensive bibliography would be far too long to include here, and would be of                      My dear son, Amir Ivry, Matthew Isaac Harvey, Sandy Noymer, Steve foot and Velimir
little immediate use, so the selections have been made with deliberate attention to the                Gayevskiy. ",cs.LG,A,0.2533705,-0.30678827,-0.14786065
http://arxiv.org/pdf/2201.00650v2,Deep Learning Interviews: Hundreds of fully solved job interview questions from a wide range of key topics in AI,"It will
       inevitably prove more successful at handling some of them than others, but it
       has at least made a sincere and devoted effort. A note about Bibliography
The book provides a carefully curated bibliography to guide further study, whether
for interview preparation or simply as a matter of interest or job-relevant research. A
comprehensive bibliography would be far too long to include here, and would be of
little immediate use, so the selections have been made with deliberate attention to the
value of each included text. ",cs.LG,A,0.21046871,-0.32430208,-0.20102468
http://arxiv.org/pdf/2201.00680v1,"A Comprehensive Survey on Radio Frequency (RF) Fingerprinting: Traditional Approaches, Deep Learning, and Open Challenges","less protocol classiﬁcation. Although there has been numerous        6) We motivate further research in this realm by presenting
articles on deep learning for other RF signal intelligence               open research challenges and future directions. approaches (modulation and wireless protocol classiﬁcation)
[4]–[14], a comprehensive presentation spanning conventional          We emphasize here that unlike existing surveys, our article
principled approaches as well as supervised deep learning for      is comprehensive in presenting all aspects of RF ﬁnger-
RF ﬁngerprinting is lacking. ",cs.LG,C,-0.37958372,-0.050606597,-0.034905
http://arxiv.org/pdf/2201.00680v2,"A Comprehensive Survey on Radio Frequency (RF) Fingerprinting: Traditional Approaches, Deep Learning, and Open Challenges","less protocol classiﬁcation. Although there has been numerous        6) We motivate further research in this realm by presenting
articles on deep learning for other RF signal intelligence               open research challenges and future directions. approaches (modulation and wireless protocol classiﬁcation)
[4]–[14], a comprehensive presentation spanning conventional          We emphasize here that unlike existing surveys, our article
principled approaches as well as supervised deep learning for      is comprehensive in presenting all aspects of RF ﬁnger-
RF ﬁngerprinting is lacking. ",cs.LG,C,-0.37958372,-0.050606597,-0.034905
http://arxiv.org/pdf/2201.00680v3,"A Comprehensive Survey on Radio Frequency (RF) Fingerprinting: Traditional Approaches, Deep Learning, and Open Challenges","less protocol classiﬁcation. Although there has been numerous        6) We motivate further research in this realm by presenting
articles on deep learning for other RF signal intelligence               open research challenges and future directions. approaches (modulation and wireless protocol classiﬁcation)
[4]–[14], a comprehensive presentation spanning conventional          We emphasize here that unlike existing surveys, our article
principled approaches as well as supervised deep learning for      is comprehensive in presenting all aspects of RF ﬁnger-
RF ﬁngerprinting is lacking. ",cs.LG,C,-0.37958372,-0.050606597,-0.034905
http://arxiv.org/pdf/2201.00723v2,A Mixed-Integer Programming Approach to Training Dense Neural Networks,"We consider a full Binary MIP training, greedy layer-wise MIP training, greedy layer-wise
MIP training as pre-training for SGD, SGD applied on binary and ReLU ANNs, greedy layer-
wise SGD applied to ReLU and binary ANNs, and greedy SGD as pre-training for ReLU and
binary ANNs that are then trained fully with SGD. Due to computation resources constraints,
experimentation for our ReLU MIP formulation is beyond the scope of this work and will be
validated in future work. We also evaluate the eﬀectiveness of using MIP in a greedy layer-wise
                                                    Patil and Mintz: A Mixed-Integer Programming Approach to Training Dense Neural Networks

14

Table 1  List of models and minimum number of layers and units needed to train to
                                      85% testing accuracy

Model                    Number of Layers   Number of Units
Binary MIP                        1 layer             NaN
Greedy Binary MIP                 1 layer
Greedy Binary MIP + SGD                              5 units
Binary SGD                      > 5 layers          10 units
Greedy Binary SGD               > 5 layers        > 50 units
Greedy Binary SGD + SGD         > 5 layers        > 50 units
ReLU SGD                        > 5 layers        > 50 units
ReLU Greedy SGD                 > 5 layers          50 units
ReLU Greedy SGD + SGD           > 5 layers        > 50 units
                                > 5 layers        > 50 units

algorithm to obtain pre-training parameters for SGD training. ",cs.LG,B,-0.40961897,0.186373,0.09740322
http://arxiv.org/pdf/2201.00766v1,Class-Incremental Continual Learning into the eXtended DER-verse,"E.         We ﬁnally envision several directions for future works:
                                                                          we strongly believe that overcoming the standard schema
                                                                          (embodied in the stability vs. plasticity dilemma) with the
                                                                          guess of incoming tasks can favorably foster new ideas
                                                                          and advances in the ﬁeld. Due to its potential applicability
                                                                          to a variety of CL approaches, we feel there is room for
the proposals of novel strategies for mimicking future data                                                                                                                         15
distributions, which will be the scope of our future works. [20] D. J. Bridge and J. L. Voss, “Hippocampal binding of novel infor-
ACKNOWLEDGMENTS                                                                  mation with dominant memory traces can support both memory
                                                                                 stability and change,” J. ",cs.LG,C,-0.01519087,-0.07034273,-0.26268387
http://arxiv.org/pdf/2201.00766v2,Class-Incremental Continual Learning into the eXtended DER-verse,"We ﬁnally envision several directions for future works:
we strongly believe that overcoming the standard schema                   [16] R. Aljundi, E. Belilovsky, T. Tuytelaars, L. Charlin, M. Caccia,
(embodied in the stability vs. plasticity dilemma) with the                     M. Lin, and L. Page-Caccia, “Online continual learning with
guess of incoming tasks can favorably foster new ideas                          maximal interfered retrieval,” in Adv Neural Inf Process Syst, 2019.
and advances in the ﬁeld. Due to its potential applicability
to a variety of CL approaches, we feel there is room for                  [17] P. Buzzega, M. Boschini, A. Porrello, and S. Calderara, “Rethinking
the proposals of novel strategies for mimicking future data                     Experience Replay: a Bag of Tricks for Continual Learning,” in
distributions, which will be the scope of our future works. ICPR, 2020. ",cs.LG,B,-0.097227335,0.16911581,-0.2932459
http://arxiv.org/pdf/2201.00818v1,Multivariate Time Series Regression with Graph Neural Networks,"After that, Section 4 introduces the used datasets, presents our results and
discusses these in context of a model-based comparison. Finally, Section 5
concludes with a summary and outlines interesting directions for future work. 4 Multivariate Time Series Regression with Graph Neural Networks

2 Background and Related Work

In the following, we brieﬂy outline background and related work on graphs
and Deep Learning in general, CNNs, GNNs and its utilization in time series,
as well as the implementation of Deep Learning for seismic analysis. ",cs.LG,C,-0.2858971,-0.30833918,0.10644823
http://arxiv.org/pdf/2201.00818v2,Multivariate Time Series Regression with Graph Neural Networks,"After that, Section 4 introduces the used datasets, presents our results and
discusses these in context of a model-based comparison. Finally, Section 5
concludes with a summary and outlines interesting directions for future work. 4 Multivariate Time Series Regression with Graph Neural Networks

2 Background and Related Work

In the following, we brieﬂy outline background and related work on graphs
and Deep Learning in general, CNNs, GNNs and its utilization in time series,
as well as the implementation of Deep Learning for seismic analysis. ",cs.LG,C,-0.2858971,-0.30833918,0.10644823
http://arxiv.org/pdf/2201.00818v3,Graph Neural Networks for Multivariate Time Series Regression with Application to Seismic Data,"Finally, Sect. 5     the i-th ﬁlter kernel in layer l, M l(j) the j-th local
   concludes with a summary and outlines interesting
   directions for future work. region in layer l and bli the respective bias. ",cs.LG,C,-0.01701183,0.024948258,0.288516
http://arxiv.org/pdf/2201.00849v1,Delving into Sample Loss Curve to Embrace Noisy and Imbalanced Data,"proach is generic and could be ﬂexibly applied to training
Effects of Embedding Dimension. We test our model with            models with biased data on other tasks, which will be put in
different embedding dimension P on the synthetic Cifar10,         future work. and the results are putted in Table 9. ",cs.LG,C,-0.11452621,-0.0912056,-0.07822207
http://arxiv.org/pdf/2201.00879v1,Monitoring and Anomaly Detection Actor-Critic Based Controlled Sensing,"1                performance and ﬂexibility than the model-based algorithms. and 2 and Table I are as follows:                                            An interesting direction for future work is to extend our

1) Role of regularizer λ: From Figs. 1b, 1c, 2b and 2c,                      algorithm to detect when the anomalies exceed the threshold

we see that as λ increases, the detection delay of our RL-                   and to concurrently estimate the anomalous processes. ",cs.LG,A,0.1635676,0.17138782,0.13378674
http://arxiv.org/pdf/2201.00971v1,Submix: Practical Private Prediction for Large-Scale Language Models,"10 total
epochs), we do see modest improvements with DP-SGD. It is possible that more epochs of training
could further improve DP-SGD, but we leave that exploration for future work. We use the PyTorch Opacus5 library for DP-SGD training. ",cs.LG,B,-0.29422534,0.058724612,0.15801105
http://arxiv.org/pdf/2201.00976v1,Survey on the Convergence of Machine Learning and Blockchain,"368-375, doi: 10.1109/Blockchain.2019.00057. a) As proposed by the authors of [1], future work can
be done to not submit data directly to the smart contract by      [2] B. McMahan, E. Moore, D. Ramage, S. Hampson, and B. A. y Arcas,
using complex models. ",cs.LG,A,0.24602908,-0.013081674,-0.015297098
http://arxiv.org/pdf/2201.00976v2,Survey on the Convergence of Machine Learning and Blockchain,"That is to say, any user can access the model weights
submitted on the DanKu contracts. A possible way to solve this issue is to include
homomorphic encryption in the protocol to anonymize the models submitted on the
smart contracts;

   Furthermore, many of the protocols or marketplaces so far do not consider
transaction privacy, and so the further study may be necessary for conjunction with
[15]. 4.3 Cost Control

The organizers of the protocol and marketplace also need to take into account the
control of the cost e.g. ",cs.LG,A,0.14972118,-0.0064834394,-0.019721603
http://arxiv.org/pdf/2201.01139v1,Generating synthetic mobility data for a realistic population with RNNs to improve utility and privacy,"One limitation is size. Obtained datasets often represent a                 We conclude with a summary and future work. small sample of the population, making them less useful for analyses
                                       that are meant to address the full population. ",cs.LG,A,0.3246199,-0.30130577,-0.10949385
