url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00221v1,Event structure semantics for multiparty sessions,"Notably, typability is independent from the use of our preorder or of the standard
       one, as proved in [BDLT21]. As regards future work, we plan to deﬁne an asynchronous transition system (ATS) [Bed88]
for our calculus, along the lines of [BC94], and show that it provides a noninterleaving oper-
ational semantics for networks that is equivalent to their FES semantics. This would enable
us also to investigate the issue of reversibility, jointly on our networks and on their FES
representations, since the ATS semantics would give us the handle to unwind networks,
while the corresponding FESs could be unrolled following one of the methods proposed in
existing work on reversible event structures [PU15, CKV16, GPY19, GPY21, Gra21]. ",cs.LO,B,-0.035645224,0.019543123,-0.20049036
http://arxiv.org/pdf/2201.00221v2,Event structure semantics for multiparty sessions,"Notably, typability is independent from the use of our preorder or of the
       standard one, as proved in [4]. As regards future work, we plan to deﬁne an asynchronous transition system
(ATS) [5] for our calculus, along the lines of [10], and show that it provides a
noninterleaving operational semantics for networks that is equivalent to their FES
semantics. This would enable us also to investigate the issue of reversibility, jointly
on our networks and on their FES representations, since the ATS semantics would
give us the handle to unwind networks, while the corresponding FESs could be
unrolled following one of the methods proposed in existing work on reversible
event structures [52, 25, 35, 36, 34]. ",cs.LO,B,-0.050428916,0.047615174,-0.17975837
http://arxiv.org/pdf/2201.00233v1,"A new criterion for $\mathcal{M}, \mathcal{N}$-adhesivity, with an application to hierarchical graphs","In particular, we have
been able to tackle the adhesivity problem for several categories of hierarchical
(hyper)graphs, including Milner’s bigraphs, bigraphs with sharing, and a new
version of bigraphs with recursion. As future work, we plan to analyse other categories of graph-like objects using
our criterion; an interesting case is that of directed bigraphs [12,3,4]. Moreover, it
is worth to verify whether the M, N -adhesivity that we obtain from the results
of this paper is suited for modelling speciﬁc rewriting systems, e.g. ",cs.LO,B,-0.059160255,-0.06883092,0.046690978
http://arxiv.org/pdf/2201.00233v2,"A new criterion for $\mathcal{M}, \mathcal{N}$-adhesivity, with an application to hierarchical graphs","In particular, we have
been able to tackle the adhesivity problem for several categories of hierarchical
(hyper)graphs, including Milner’s bigraphs, bigraphs with sharing, and a new
version of bigraphs with recursion. As future work, we plan to analyse other categories of graph-like objects using
our criterion; an interesting case is that of directed bigraphs [12,3,4]. Moreover, it
is worth to verify whether the M, N -adhesivity that we obtain from the results
of this paper is suited for modelling speciﬁc rewriting systems, e.g. ",cs.LO,B,-0.059160255,-0.06883092,0.046690978
http://arxiv.org/pdf/2201.00233v3,"A new criterion for $\mathcal{M}, \mathcal{N}$-adhesivity, with an application to hierarchical graphs","In particular, we have been able to tackle the
adhesivity problem for several categories of hierarchical (hyper)graphs, including Milner’s
bigraphs, bigraphs with sharing, and a new version of bigraphs with recursion. As future work, we plan to analyse other categories of graph-like objects using our
criterion; an interesting case is that of directed bigraphs [GM07, BGM09, BMP20]. Moreover,
it is worth to verify whether the M, N -adhesivity that we obtain from the results of this
paper is suited for modelling speciﬁc rewriting systems, e.g. ",cs.LO,B,-0.07258108,-0.068262845,0.018078707
http://arxiv.org/pdf/2201.00538v1,The Area Method in the Wolfram Language,"While this
approach could potentially require much more computational power than the standard area method, it
might lead to the discovery of new theorems or simplify proofs of existing results. Less “theoretical” directions of future work include integrating this package into existing geometrical
functionality available within the Wolfram Language and improving it’s performance in the Wolfram
cloud. This last item in particular is of note, as it makes it possible for anyone to experiment with the
area method in a browser, without installing a local Wolfram environment or buying a license. ",cs.LO,A,0.34630257,0.20787045,0.26889855
http://arxiv.org/pdf/2201.00540v1,Automated Generation of Illustrations for Synthetic Geometry Proofs,"For instance, the visual counterpart for the
famous Euclid’s proposition 1 (on existence of a equilateral triangle on a given segment), can be like the
following:

     procedure proposition_01 { A B X } {
        circle c1 A B
        drawcircle c1
        circle c2 B A
        drawcircle c2
        intersec2 X2 X c1 c2
        cmark X

     }

In this visual interpretation, the point X is obtained (in the Cartesian model) as an intersection of two
circles – one with the center A with B on it, and one the center B with A on it (the command cmark X
annotates the point X by a small circle). Of course, one could have chosen the other intersection of two

    7This LATEX proof presentation is still very verbatim and it provides much more information than a traditional proof; for
future work we are planning to produce a more natural output. 98  Automated Generation of Illustrations for Synthetic Geometry Proofs

circles. ",cs.LO,A,0.09152691,0.13082346,0.04871489
http://arxiv.org/pdf/2201.05716v1,Mechanizing Matching Logic in Coq,"Berlin Heidelberg, Berlin, Heidelberg, 2004. We discuss some areas for future work below. [3] Denis Bogdanas and Grigore Rosu. ",cs.LO,A,0.22318296,0.5032688,0.30688262
http://arxiv.org/pdf/2201.05716v2,Mechanizing Matching Logic in Coq,"Berlin Heidelberg, Berlin, Heidelberg, 2004. We discuss some areas for future work below. [3] Denis Bogdanas and Grigore Rosu. ",cs.LO,A,0.22318296,0.5032688,0.30688262
http://arxiv.org/pdf/2201.05716v3,Mechanizing Matching Logic in Coq,"As mentioned in Section 7, the K framework
   is a matching logic (speciﬁcally Kore) implementation with the advantage
   of being able to naturally deﬁne real large-scale programming languages. As future work, we plan to formalize Kore as a matching logic theory
   inside Coq and write a translator from Kore ﬁles to Coq ﬁles using this
   theory, thus giving K framework a Coq-based backend. This would allow
   languages deﬁned in K and properties of those languages proved in K to
   be automatically translated to Coq deﬁnitions and theorems. ",cs.LO,C,-0.16156612,-0.09034241,-0.20648146
