url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.01247v1,Value Functions Factorization with Latent State Information Sharing in Decentralized Multi-Agent Policy Gradients,"We further analyze the key factors contributing to the performance in our
framework by a set of ablation studies. In future works, we plan to focus on expand-
ing the proposed method to a continuous action space with different policy gradient
methods. References

[1] Alemi, A. ",cs.MA,B,-0.11529407,-0.115842625,0.23086315
http://arxiv.org/pdf/2201.04126v1,A Negotiating Strategy for a Hybrid Goal Function in Multilateral Negotiation,"58  Alon Stern et al. We see several interesting extension of this work to be carried out in future work. Among these
we emphasize the need to evaluate our strategy with non-linear utility functions and non-linear
tradeoﬀ functions (which should not change much in terms of agent design, but requires further
evaluation), extending the design to support settings where the agent has partial information about
its own utility function, and domains with an extremely large solution space. ",cs.MA,C,-0.110612616,0.11289884,-0.016763425
http://arxiv.org/pdf/2201.04944v1,Peer-to-Peer Energy Trading in a Microgrid Leveraged by Smart Contracts,"These cost analyses would provide an insight into whether
blockchain technologies are effective in integrating necessary components to constitute a micro-
market setup. Last, we reﬂect on the assumptions made, the challenges yet to be addressed, and
point out directions for future work in these emerging applications. Organization. ",cs.MA,A,0.27354813,0.30965608,-0.1840154
http://arxiv.org/pdf/2201.04962v1,Distributed Cooperative Multi-Agent Reinforcement Learning with Directed Coordination Graph,"The

                       -10                                                                 algorithm was applied to a distributed resource allocation

             W( k, *)  -20                                                                 problem. For our future work we would like to investigate

                       -30                                                                 how to reduce the number of required communication links

                              Centralized, one-point                                       using graph-theoretic reduction techniques. -40    Distributed, one-point                                                                   REFERENCES

                              Centralized, two-point                                        [1] S. Kar, J. M. Moura, and H. V. Poor, “QD-learning: A collaborative
                                                                                                 distributed strategy for multi-agent reinforcement learning through
                              Distributed, two-point                                             consensus + innovations,” IEEE Transactions on Signal Processing,
                                                                                                 vol. ",cs.MA,B,-0.026865952,-0.3632716,-0.15638466
http://arxiv.org/pdf/2201.06619v1,Planning Not to Talk: Multiagent Systems that are Robust to Communication Loss,"While the
ing through the valley without colliding. By contrast, 𝜋𝑀𝐷 results                   policy synthesis algorithm directly operates on the joint state space,
in agent 𝑅1 navigating through the top valley while 𝑅0 takes the                     future work will aim to use abstractions of the joint state-action
bottom valley. Intuitively, by navigating through separate valleys,                  space to scale the policy synthesis to larger problems. ",cs.MA,B,-0.16058914,-0.09567282,-0.023340452
http://arxiv.org/pdf/2201.07305v1,Proportional Ranking in Primary Elections: A Case Study,"Nevertheless, our unique dataset provides a
rare opportunity to investigate the matter in question. In future work, we plan
to seek additional primaries data, potentially from other countries, in order to

                                                  18
further strengthen, and hopefully generalize, our results. Speciﬁcally, primaries
data from parties of diﬀerent ideological, social, and cultural societies may pro-
vide additional insights. ",cs.MA,C,0.006374076,0.24710464,-0.015085313
http://arxiv.org/pdf/2201.08227v1,Multi-agent Covering Option Discovery based on Kronecker Product of Factor Graphs,"More precisely, the Laplacian spectrum of the factor graphs
Then, in Line 10 of Algorithm 1, we split each joint state into a       can be estimated using neural networks, and then leveraged by
list of individual states. For example, after getting a pair of joint   our proposed algorithm to ﬁnd the Fiedler vector of the joint
states (smin, smax), we convert them into ((s1min, · · · , snmin),      state transition graph, which will be considered as future work. (s1max, · · · , snmax)), so that we can connect (smin, smax) in
the joint state space by connecting each (simin, simax) in the          D. Adopting Multi-agent Options in MARL
corresponding individual state space. ",cs.MA,B,-0.13936849,-0.24159232,-0.2311165
http://arxiv.org/pdf/2201.08227v2,Learning Multi-agent Options for Tabular Reinforcement Learning using Factor Graphs,"More precisely, the Laplacian spectrum of the factor graphs
on individual agents’ state spaces, so that we can enjoy the           can be estimated using neural networks, and then leveraged by
                                                                       our proposed algorithm to ﬁnd the Fiedler vector of the joint
ease of decomposition. state transition graph, which will be considered as future work. In the following sections, we will formalize our algorithm

– Multi-agent Covering Option Discovery through Kronecker

Product of Factor Graphs, and show empirically the signiﬁcant

performance improvement brought by integrating multi-agent

options in MARL. ",cs.MA,B,-0.1146065,-0.1961166,-0.16973114
http://arxiv.org/pdf/2201.09467v1,CTRMs: Learning to Construct Cooperative Timed Roadmaps for Multi-agent Path Planning in Continuous Spaces,"Improving the overall
better than when the number of samples for the baseline methods           performances by replacing the multi-agent path planner from PP is
is limited. This is primarily because our approach learns where to        a promising direction for future work. sample vertices from the solution paths of MAPP demonstrations. ",cs.MA,B_centroid,-0.063335344,-0.31762868,0.03461687
http://arxiv.org/pdf/2201.12891v1,Learning Collective Action under Risk Diversity,"While all agents are equally wealthy in our scenario, we do

intend to examine mixtures of heterogeneities in future works, such as the combination of wealth

inequality with risk diversity. With that in mind, to better compare our results with future works, we

decide to also adopt a log-utility function. The payoffs of the game are expressed as the difference

in the log of agents’ wealth before and after a game was played. ",cs.MA,C,-0.032351457,0.3428653,0.048906922
http://arxiv.org/pdf/2202.00941v1,CTMSTOU driven markets: simulated environment for regime-awareness in trading policies,"the executed quantity of order oi and Pi its price. In the          We hope this work will encourage further research in the
                                                                 direction of regime detection in ﬁnancial markets and the
case of a buy execution parent order, we aim to minimize         study of regime-awareness impact on policies to achieve ﬁ-
                                                                 nancial tasks. this quantity. ",cs.MA,C,0.063269146,0.45428377,-0.097455055
http://arxiv.org/pdf/2202.00941v2,CTMSTOU driven markets: simulated environment for regime-awareness in trading policies,"the executed quantity of order oi and Pi its price. In the          We hope this work will encourage further research in the
                                                                 direction of regime detection in ﬁnancial markets and the
case of a buy execution parent order, we aim to minimize         study of regime-awareness impact on policies to achieve ﬁ-
                                                                 nancial tasks. this quantity. ",cs.MA,C,0.063269146,0.45428377,-0.097455055
