url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.04488v1,ECAS-ML: Edge Computing Assisted Adaptation Scheme with Machine Learning for HTTP Adaptive Streaming,"Results show that ECAS-ML outperforms other ABR
algorithms: client-based (BBA, TBA and SARA) and edge-based ones (GBBA
and EADAS). In future work, the parameter prediction part of ECAS-ML can be
improved using diﬀerent ML techniques such as reinforcement learning. References

 1. ",cs.MM,C,-0.10701834,-0.20513515,0.27017066
http://arxiv.org/pdf/2201.04557v1,Federated AirNet: Hybrid Digital-Analog Neural Network Transmission for Federated Learning,"1–13, 2021.
channels. We will leave how to satisfy the narrow-band
limitation in the proposed scheme as the future work. [12] L. Yu, H. Li, and W. Li, “Wireless scalable video coding using a hybrid
                                                                                     digital-analog scheme,” IEEE Transactions on Circuits and Systems for
                          IV. ",cs.MM,B,-0.47523153,-0.12923902,-0.08302683
http://arxiv.org/pdf/2201.07738v1,Nebula: Reliable Low-latency Video Transmission for Mobile Cloud Gaming,"NASA-task load index (NASA-TLX); 20 years later. In
   We aim to focus on multiplayer streaming in our future work,                                Proceedings of the human factors and ergonomics society annual meeting, Vol. 50.
where several devices share a given scene. ",cs.MM,B,0.04725249,0.24044546,0.017530944
http://arxiv.org/pdf/2202.02177v1,Generalised Score Distribution: A Two-Parameter Discrete Distribution Accurately Describing Responses from Quality of Experience Subjective Experiments,"recommendations. There are two directions our future work may take. First, we
                                                                         would like to build a ML-based perceptual quality predictor. ",cs.MM,B,-0.05838099,0.15289752,-0.13176963
http://arxiv.org/pdf/2202.04298v1,Image Difference Captioning with Pre-training and Contrastive Learning,"However, these pre-trained models are not       tecture is ﬂexible to accommodate more data of different
applicable to the IDC task as they lack the ability of com-      forms. In the future work, we will further explore automatic
paring, and the learned representations are too coarse. We       construction of large-scale feasible data to enhance the pre-
follow these works to tailor self-supervised tasks for IDC to    training stage and improve model generalization ability. ",cs.MM,C,0.157856,-0.33193177,0.30458635
http://arxiv.org/pdf/2202.09772v1,Context-aware adaptation of mobile video decoding resolution,"Finally, our
work indicates that aside from the viewer’s physical activity, the content of the
video and the viewer’s personality, there are also other dimensions that impact
the quality requirements and which must be further explored in order to enable
accurate prediction of the appropriate quality settings for video playback. To
facilitate further research along this front we make our study data available
at https://gitlab.fri.uni-lj.si/lrk/approximate_video_study/. References

1. ",cs.MM,B_centroid,-0.22429708,0.38457,-0.19241507
http://arxiv.org/pdf/2202.11038v1,Banding vs. Quality: Perceptual Impact and Objective Assessment,"[3] Pulkit Tandon, Mariana Afonso, Joel Sole, and Luka´sˇ
    Even though the presented results suggest good robust-                Krasula, “CAMBI: Contrast-aware multiscale band-
ness of VMAFBA, we are planning to further investigate the                ing index,” in 2021 Picture Coding Symposium (PCS). speciﬁc cases with low VMAF and high CAMBI and the con-                   IEEE, 2021.
secutive strong interaction between banding and other arti-
facts as part of our future work. [4] Ji Won Lee, Bo Ra Lim, Rae-Hong Park, Jae-Seung
                                                                          Kim, and Wonseok Ahn, “Two-stage false contour de-
                                                                          tection using directional contrast and its application to
                                                                          adaptive false contour reduction,” IEEE Transactions
                                                                          on Consumer Electronics, vol. ",cs.MM,B,-0.31801856,-0.2537762,-0.36048722
http://arxiv.org/pdf/2203.03091v1,Modeling Field-level Factor Interactions for Fashion Recommendation,"Multimedia, 2021.
fashion domain on recommendation performance. [12] S. Goswami and S. Khan, “Impact of consumer decision-making styles
    In future work, we shall focus on the several directions                      on online apparel consumption in india,” Vision, vol. 19, no. ",cs.MM,C,-0.10980693,0.2137089,0.16807483
http://arxiv.org/pdf/2203.06935v1,"A Systematic Review on Affective Computing: Emotion Models, Databases, and Recent Advances","[14] presented extensive reviews
on different frameworks and SOTA techniques using textual, audio, and visual modalities combining with
physiological modalities, and critical analysis of their performances. In the end, nine applications of
affective analysis are discussed followed by their trends and future works. All these recent works listed in Table 2 have included relatively general aspects related to affective
computing including emotion models, unimodal affect recognition and multimodal fusion for affective
analysis as well as ML-based and DL-based models. ",cs.MM,A_centroid,0.5400484,0.122242466,-0.21300216
http://arxiv.org/pdf/2203.06935v2,"A Systematic Review on Affective Computing: Emotion Models, Databases, and Recent Advances","[14] presented extensive reviews
on different frameworks and SOTA techniques using textual, audio, and visual modalities combining with
physiological modalities, and critical analysis of their performances. In the end, nine applications of
affective analysis are discussed followed by their trends and future works. All these recent works listed in Table 2 have included relatively general aspects related to affective
computing including emotion models, unimodal affect recognition and multimodal fusion for affective
analysis as well as ML-based and DL-based models. ",cs.MM,A,0.5400484,0.122242466,-0.21300216
http://arxiv.org/pdf/2203.06935v3,"A Systematic Review on Affective Computing: Emotion Models, Databases, and Recent Advances","[14] reviewed different frameworks and lasted
techniques using textual, audio, visual and physiological signals, and extensive analysis of their
performances. In the end, various applications of affective analysis were discussed followed by their trends
and future works. All these recent works listed in Table 2 have reviewed general aspects related to affective computing
including emotion models, unimodal affect recognition and multimodal fusion for affective analysis as well
as ML-based and DL-based models. ",cs.MM,A,0.5297277,0.11160002,-0.18414381
http://arxiv.org/pdf/2203.12692v1,Affective Feedback Synthesis Towards Multimodal Text and Image Data,"There is a need to design
an automatic evaluation metric specifically for evaluating multimodal feedbacks that would aid or
replace the human evaluation process. We will focus on that as well in our future work. ACKNOWLEDGEMENTS
Ministry of Education INDIA has supported this research through grant reference no. ",cs.MM,A,0.2636882,0.38445967,-0.1343259
http://arxiv.org/pdf/2203.12692v2,Affective Feedback Synthesis Towards Multimodal Text and Image Data,"There is a need to design
an automatic evaluation metric specifically for evaluating multimodal feedbacks that would aid or
replace the human evaluation process. We will focus on that as well in our future work. ACKNOWLEDGEMENTS
Ministry of Education INDIA has supported this research through grant reference no. ",cs.MM,A,0.2636882,0.38445967,-0.1343259
http://arxiv.org/pdf/2204.03063v1,Late multimodal fusion for image and audio music transcription,"corresponding unimodal standard recognition frameworks. [10] V. Pitsikalis, A. Katsamanis, S. Theodorakis, and P. Maragos, “Multi-
   As future work, we plan to follow different research av-               modal gesture recognition via multiple hypotheses rescoring,” in Gesture
enues. For instance, while the approaches described in this               recognition. ",cs.MM,A,0.23779339,-0.27302784,-0.46390656
