url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00042v2,Avoiding Catastrophe: Active Dendrites Enable Multi-Task Learning in Dynamic Environments,"As such, dendrite mediated contextual integration
and gating may be a more general phenomenon of biological neural systems. Modeling other neuron types is an
interesting area for future work. 5.2 Comparison to Other Multi-Task RL Systems

Many techniques in multi-task RL make manual changes to the network structure or learning scheme in order to
account for the learning of new tasks. ",cs.NE,C,0.34579927,0.026165973,0.18598142
http://arxiv.org/pdf/2201.00563v1,Using Fitness Dependent Optimizer for Training Multi-layer Perceptron,"outperform other models in terms of convergence speed
and avoiding convergence to local optima. The high                   For future work, this technique can be employed for
exploration of the FDO algorithm produces high local             other datasets in different fields. The applications of this
optima avoidance. ",cs.NE,A,-0.0827717,-0.24257532,-0.07764472
http://arxiv.org/pdf/2201.02119v1,"An Opinion Mining of Text in COVID-19 Issues along with Comparative Study in ML, BERT & RNN","In figure-9, the word cloud is a mental health condition during the Covid-19 situation
where the most significant words of this topic are mentioned and the words collect
from our dataset showed in the word cloud. 5 Conclusion and future work

From this experiment, the proposed model can predict the sentiment of a Bangla sen-
tence whether it’s depressed or not. This model is proposed on only 443 data which was
collected by Google form. ",cs.NE,B,0.10923524,0.19018571,0.13245818
http://arxiv.org/pdf/2201.02262v1,A unified software/hardware scalable architecture for brain-inspired computing based on self-organizing neural models,"3) Online learning, acting and spiking neural networks: The ability to process signals and act in real time is an important
feature of living systems that we have not discussed in this work. In future work, we will address aspects of our architecture
that will allow it to develop into a full-ﬂedged online acting agent. Some previously cited works [41]–[44] show a signiﬁcant
potential for the development of self-organizing maps as a method for robots to navigate the surrounding space. ",cs.NE,C,0.3129101,0.0058726687,0.23615688
http://arxiv.org/pdf/2201.04286v1,Evolutionary Action Selection for Gradient-based Policy Learning,"Especially in the Humanoid environment, the                                                       tions. As future work, we can integrate the idea of Quality-
learning curve rises fastest at 300000 to 400000 timesteps                                                    Diversity (QD) (Cully et al., 2015; Pugh et al., 2016), which
while the Q value growth is also greatest, which reveals                                                      not only evolve high-quality actions but also evolve diverse
that the performance improvement does come from EAS. In                                                       actions to deal with the environment with deceptive rewards. ",cs.NE,B,0.06844445,0.008160733,0.29875374
http://arxiv.org/pdf/2201.04286v2,Evolutionary Action Selection for Gradient-based Policy Learning,"Especially in the Humanoid environment, the                                                       tions. As future work, we can integrate the idea of Quality-
learning curve rises fastest at 300000 to 400000 timesteps                                                    Diversity (QD) (Cully et al., 2015; Pugh et al., 2016), which
while the Q value growth is also greatest, which reveals                                                      not only evolve high-quality actions but also evolve diverse
that the performance improvement does come from EAS. In                                                       actions to deal with the environment with deceptive rewards. ",cs.NE,B,0.06844445,0.008160733,0.29875374
http://arxiv.org/pdf/2201.04286v3,Evolutionary Action Selection for Gradient-based Policy Learning,"Deep
to address several interesting open questions. As future work, we                               q-learning from demonstrations. In Thirty-second AAAI conference on artificial
can integrate the idea of Quality-Diversity (QD) [10, 47], which                                intelligence. ",cs.NE,B,0.11799401,-0.02530626,0.39142227
http://arxiv.org/pdf/2201.04286v4,Evolutionary Action Selection for Gradient-based Policy Learning,"We believe that our
work can trigger follow-up studies to address several interesting open questions. In future work, we
can integrate the idea of Quality-Diversity (QD) [8, 32], which not only evolve high-quality actions
but also evolve diverse actions to deal with the environment with deceptive rewards. References

 [1] David Ackley. ",cs.NE,B,-0.010063518,0.20571181,0.45754606
http://arxiv.org/pdf/2201.04361v1,Evolutionary Optimization for Proactive and Dynamic Computing Resource Allocation in Open Radio Access Network,"Experimental studies are presented in Section 5. Section 6 summarizes this paper and gives an outlook of
the future work. 2. ",cs.NE,B,0.037671313,0.42545047,0.01829448
http://arxiv.org/pdf/2201.06877v1,Frequent Itemset-driven Search for Finding Minimum Node Separators in Complex Networks,"As
and f (S). The former was original proposed in [21], i.e.,           future work, the following two potential research directions
                                                                     can be pursued. To further improve FIS, it is worth studying
T                                                                    some advanced population management strategies to reinforce
                                                                     population diversity and improve the search. ",cs.NE,B,-0.23067826,0.115302235,0.32870537
http://arxiv.org/pdf/2201.06993v1,FPGA-optimized Hardware acceleration for Spiking Neural Networks,"focused on a speciﬁc dataset, the MNIST. The future work
consists of generalizing the structure to apply it to other                      [15] Lina Abdul Kadir, Michael Stacey, and Richard Barrett-Jolley. datasets. ",cs.NE,C,0.1894288,0.01757469,0.055422824
http://arxiv.org/pdf/2201.06993v2,Spiker: an FPGA-optimized Hardware acceleration for Spiking Neural Networks,"a competitive energy consumption and a limited impact on
the accuracy. This sets a good starting point for future work,                    [10] Filipp Akopyan et al. “Truenorth: Design and tool ﬂow of a 65 mw
which aims to improve the structure of the network itself, in                             1 million neuron programmable neurosynaptic chip”. ",cs.NE,C,0.3515662,-0.0677571,-0.21550804
http://arxiv.org/pdf/2201.06993v3,Spiker: an FPGA-optimized Hardware acceleration for Spiking Neural Networks,"146–158. ISSN: 0925-2312.
starting point for future work, in which different and deeper
network structures will be considered. The main goal will be                   [12] De Ma et al. ",cs.NE,C,0.12668121,0.12788124,-0.11606695
http://arxiv.org/pdf/2201.07208v1,Enhanced Self-Organizing Map Solution for the Traveling Salesman Problem,"Secondly, we combined two different modiﬁcations to the benchmark technique,
leading to consistent route length results. For future work, we suggest additional improve-
ments, mainly considering the stochastic aspects of the method, and advanced techniques
to choose the best hyperparameters, which may bring better results to the SOM algorithm. References

Brocki, Ł. and Korzˇinek, D. (2007). ",cs.NE,A,-0.18030268,-0.06932349,-0.30049652
http://arxiv.org/pdf/2201.07211v1,Human-Level Control through Directly-Trained Deep Spiking Q-Networks,"[Online]. Available: https://doi.org/10.24963/ijcai.2021/240
in-depth, we could continue to improve it in the future work. Moreover, based on the present work, and in order to better                      [14] V. Mnih, K. Kavukcuoglu, D. Silver, A. Graves, I. Antonoglou, D. Wier-
stimulate the potential of SNNs, we plan to conduct further                            stra, and M. Riedmiller, “Playing Atari with Deep Reinforcement
research on actual neuromorphic hardware in the future. ",cs.NE,C,0.43595827,-0.03423616,0.12233929
