url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00184v1,Secure Information Flow Typing in LUSTRE,"The motivations and discussions have been expanded, and fortiﬁed with worked-out examples. Additional formalisation and proof details have been added, as well as directions for future work. 2. ",cs.PL,C,-0.07041561,-0.050924215,0.0054751714
http://arxiv.org/pdf/2201.00495v1,"let (rec) insertion without Effects, Lights or Magic","MetaOCaml Implementation

Formal semantics is not the end, but the means; it is developed to be used. One application,
the subject of future work, is reasoning about generating programs and making sure the
generated code is not only well-formed and well-typed but also intended. Another application,
the subject of the present paper, is to clarify edge cases, and attempt to minimize them once
exposed. ",cs.PL,B,0.09129149,0.13328964,-0.319995
http://arxiv.org/pdf/2201.03473v1,"Macroprogramming: Concepts, State of the Art, and Opportunities of Macroscopic Behaviour Modelling","More
 motivation is given by the urge of the following research questions. Research goals and questions

 The goal of this article is to explore the literature on macroprogramming in breadth, synthe-
 sise the major contributions, and provide a basis for further research. The focus is on the
 programming perspective, rather than e.g. ",cs.PL,B,-0.23115954,-0.15122715,-0.27109703
http://arxiv.org/pdf/2201.03641v1,A Compositional Proof Framework for FRETish Requirements,"In [15], the equivalence between Fret generated future-
                                                                   time and past-time formulas is checked on finite traces of
                                                                   specified length. As future work, the authors plan to prove
A Compositional Proof Framework for FRETish Requirements                                                  CPP ’22, January 17–18, 2022, Philadelphia, PA, USA

the correctness of the algorithm also for future-time formu-                    [11] A. W. Fifarek, L. G. Wagner, J. A. Hoffman, B. D. Rodes, M. A. Aiello, and
las over traces of arbitrary length. ",cs.PL,C,0.10170268,0.09244807,0.1374842
http://arxiv.org/pdf/2201.04804v1,"MCAD: Beyond Basic-Block Throughput Estimation Through Differential, Instruction-Level Tracing","measure cycle counts directly using the facilities provided by
                                                                       the device [3, 19]. While in theory this yields the most precise
   Looking ahead to future work we anticipate that research            results and should also be reasonably fast, in practice this
into analysis of multi-process executions should be feasible           is often not the case: the target architecture might be a pro-
within MCAD in principle. As introduced in Section 3 we                duction system that is not readily available to the developer
collect execution traces using QEMU and a custom plugin                running the test and in a collaborative environment each team
and certain recently-added QEMU plugin interfaces would al-            would require their own physical device to test their changes
low us to distinguish traces originating from different virtual        against. ",cs.PL,B,-0.40221858,0.3562585,0.11044553
http://arxiv.org/pdf/2201.04919v1,Translation Certification for Smart Contracts,"This is diﬀerent for Step (4), where
16  Krijnen et al. we anticipate the need for further research work. This includes more composi-
tional deﬁnitions of the translation relations, such that we can generate at least
part of the decision procedures (semi-)automatically. ",cs.PL,C,0.17748713,-0.24188423,0.13772883
http://arxiv.org/pdf/2201.04919v2,Translation Certification for Smart Contracts,"The ﬁrst three steps pose a signiﬁcant amount of work, but we do not expect
major new conceptual questions or obstacles. This is diﬀerent for Step (4), where
we anticipate the need for further research work. This includes more composi-
tional deﬁnitions of the translation relations, such that we can generate at least
part of the decision procedures (semi-)automatically. ",cs.PL,C,0.05912044,-0.26917207,0.10592968
http://arxiv.org/pdf/2201.05860v1,View-Based Owicki-Gries Reasoning for Persistent x86-TSO (Extended Version),"However, our
assertions are ﬁne-tuned to cope with the other types of view present in Px86view,
such as those corresponding to the persistent and the asynchronous views. It is
interesting that some of the principles of view-based reasoning apply to diﬀerent
memory models, and future work could look at unifying reasoning across models. Dalvandi et al. ",cs.PL,C,-0.030253602,0.018360738,0.05395412
http://arxiv.org/pdf/2201.06753v1,BINGO: Pinpointing Concurrency Bugs in Go via Binary,"IEEE Transactions on Software Engineering,
acceptance. As our future work, we will extend BINGO to                   40(3):266–281, 2014.
detect non-blocking bugs in Go applications, such as data
races. Moreover, we will explore the techniques to feed the         [23] Trevor E. Carlson, Wim Heirman, and Lieven Eeckhout. ",cs.PL,B,-0.23666386,0.21987058,-0.025995571
http://arxiv.org/pdf/2201.06753v2,BinGo: Pinpointing Concurrency Bugs in Go via Binary Analysis,"IEEE Transactions on Software Engineering,
acceptance. As our future work, we will extend BINGO to                   40(3):266–281, 2014.
detect non-blocking bugs in Go applications, such as data
races. Moreover, we will explore the techniques to feed the         [23] Trevor E. Carlson, Wim Heirman, and Lieven Eeckhout. ",cs.PL,B,-0.23666386,0.21987058,-0.025995571
http://arxiv.org/pdf/2201.09268v1,Two-level Just-in-Time Compilation with One Interpreter and One Engine,"JIT compilation has enough potential to work as a startup
compilation if we carefully adjust the threshold to enter a                  The Jikes Java Research VM (originally called Jalapeño) [1],
baseline JIT compilation. This is left as future work. which was developed by IBM Research, is a research-oriented
                                                                          VM that is written in Java. ",cs.PL,B,-0.34644818,-0.0016625542,-0.27732933
http://arxiv.org/pdf/2201.09448v1,Cobol2Vec: Learning Representations of Cobol code,"We designed an in house dataset and demonstrated that our hypothesis of treating code as a sequence of
tokens rather than a bag of root to leaf paths is a valid one and showed that we can discover structure and retrieve
closely related samples with our neural network. This direction of research opens up interesting avenues for future work. First, it presents an opportunity to build deep
neural networks for learning a representation of old mainframe languages with a hugely different syntax than modern
langauges. ",cs.PL,B,-0.09781957,-0.43696803,-0.20957154
http://arxiv.org/pdf/2201.10213v1,Probabilistic Total Store Ordering,"However, we
emphasize that our results carry-over to policies satisfying faithfulness and left-
orientedness, which are fairly weak conditions. Hence we believe that developing
more reﬁned models that better capture behaviours of TSO implementations,
using techniques such as parameter estimation, is interesting future work. General Cost Models Similar can be said for cost models: our algorithm works
for all cost functions such that the cost of a path is exponentially bounded by
its length. ",cs.PL,C,-0.06949548,-0.023564976,0.2966009
http://arxiv.org/pdf/2201.10485v1,"Concurrent NetKAT: Modeling and analyzing stateful, concurrent networks","It is worth investigating whether
CNetKAT also supports other weak memory models, such as linearizability. Another exciting direction for future work is the development of a library of
litmus tests for networking in the spirit of [1]. Litmus tests are carefully crafted
concurrent programs operating on shared memory locations that expose subtle
bugs in memory models of hardware. ",cs.PL,B,-0.36450076,0.21378472,-0.06934623
http://arxiv.org/pdf/2201.10485v2,"Concurrent NetKAT: Modeling and analyzing stateful, concurrent networks","To accommodate this in the
semantics, we will have to allow partially deﬁned packet ﬁelds and determine
the missing ﬁeld values at the end (when we check for guarded traces). Another exciting direction for future work is the development of a library of
litmus tests for networking in the spirit of [1]. Litmus tests are carefully crafted
concurrent programs operating on shared memory locations that expose subtle
bugs in memory models of hardware. ",cs.PL,B,-0.20517796,0.509983,0.08381253
http://arxiv.org/pdf/2201.10485v3,"Concurrent NetKAT: Modeling and analyzing stateful, concurrent networks","To accommodate this in the
semantics, we will have to allow partially deﬁned packet ﬁelds and determine
the missing ﬁeld values at the end (when we check for guarded traces). Another exciting direction for future work is the development of a library of
litmus tests for networking in the spirit of [1]. Litmus tests are carefully crafted
concurrent programs operating on shared memory locations that expose subtle
bugs in memory models of hardware. ",cs.PL,B,-0.20517796,0.509983,0.08381253
http://arxiv.org/pdf/2201.10627v3,Scalable Typestate Analysis for Low-Latency Environments,"We conjecture that “must
call” property can be encoded as bit-vectors in a complementary way to our BFA
approach. We leave this extension for future work. Our annotations could be mimicked by having a local DFA attached to each
method. ",cs.PL,C,0.11513591,0.07573434,-0.04749556
http://arxiv.org/pdf/2201.10816v1,50 Years of Prolog and Beyond,"Another predecessor of Prolog was Ed Elcock’s Aberdeen System, Absys, from 1967, even if
it did not directly inﬂuence the development of Prolog (Elcock, 1990). 2.3 The Birth of Prolog

By 1972, Colmerauer’s aim of creating a human-machine communication system in logic had
led him to further research French language analysis with Pasero (1973), and to numerous ex-
periments with Philippe Roussel and Jean Trudel on automated theorem proving methods. Ex-
changes with Kowalski during Kowalski’s visits to Marseille in 1971 and 1972 determined the
choice of SL-resolution for Roussel’s thesis on formal equality in automated theorem-proving
(1972), since it seemed to be the most interesting resolution system to manage procedural calls
and to deal with backtracking a` la Floyd. ",cs.PL,C,0.19864723,-0.06714493,-0.012357371
http://arxiv.org/pdf/2201.10816v2,Fifty Years of Prolog and Beyond,"The semantics of Horn
clauses was explored by Kowalski and van Emden (1976). 2.3 The Birth of Prolog

Colmerauer’s aim of creating a human-machine communication system in logic had led him to
further research French language analysis with Pasero (1973), and to numerous experiments with
Philippe Roussel and Jean Trudel on automated theorem proving methods. Having learned about
SL-resolution, he invited Kowalski to visit Marseille in the summer of 1971. ",cs.PL,C,0.25363386,-0.14395311,-0.05753211
