url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00383v1,Integrating Artificial Intelligence and Augmented Reality in Robotic Surgery: An Initial dVRK Study Using a Surgical Education Scenario,"6 (a). Finally, we ﬁnd the average latency is around 161
milliseconds with standard deviation of 17 milliseconds from                      In our future work, we shall further exploit how to
100 samples. Which need to be mentioned is that the latency                    design and incorporate more AI and AR modules into the
may vary when given different video capture equipment                          system, such as ghost tool guidance, overlaying the result of
or monitor. ",cs.RO,A,0.19407974,0.050780337,0.22034407
http://arxiv.org/pdf/2201.00383v2,Integrating Artificial Intelligence and Augmented Reality in Robotic Surgery: An Initial dVRK Study Using a Surgical Education Scenario,"milliseconds with standard deviation of 17 milliseconds from
100 samples. Which need to be mentioned is that the latency                       In our future work, we shall further exploit how to
may vary when given different video capture equipment                          design and incorporate more AI and AR modules into the
or monitor. According to some studies [77], [78] and our                       system, such as virtual tool guidance, overlaying the result of
                                                                               surgical workﬂow recognition and instrument segmentation. ",cs.RO,C,0.12476175,-0.02934565,0.40302718
http://arxiv.org/pdf/2201.00393v1,ros2_tracing: Multipurpose Low-Overhead Framework for Real-Time Tracing of ROS 2,"87–93. in future work to analyze the internal handling of ROS 2
                                                                                 [24] M. Gebai and M. R. Dagenais, “Survey and analysis of kernel and
messages. userspace tracers on linux: Design, implementation, and overhead,”
                                                                                       ACM Computing Surveys (CSUR), vol. ",cs.RO,A,0.30654246,0.1793174,-0.007759658
http://arxiv.org/pdf/2201.00393v2,ros2_tracing: Multipurpose Low-Overhead Framework for Real-Time Tracing of ROS 2,"Analyzing the combined trace data, from a ROS 2 appli-                               html
cation and the operating system, can help ﬁnd the cause
of performance bottlenecks and other issues. We plan on                        [19] T. Kronauer, J. Pohlmann, M. Matthe, T. Smejkal, and G. Fettweis,
leveraging ros2 tracing in future work to analyze the                                “Latency overhead of ros2 for modular time-critical systems,” arXiv
internal handling of ROS 2 messages. preprint arXiv:2101.02074, 2021. ",cs.RO,A,0.37897587,0.13137816,-0.041344475
http://arxiv.org/pdf/2201.00393v3,ros2_tracing: Multipurpose Low-Overhead Framework for Real-Time Tracing of ROS 2,"issues. We plan on leveraging ros2_tracing in future work                             html
to analyze the internal handling of ROS 2 messages. [19] T. Kronauer, J. Pohlmann, M. Matthe, T. Smejkal, and G. Fettweis,
                             REFERENCES                                               “Latency overhead of ros2 for modular time-critical systems,” arXiv
                                                                                      preprint arXiv:2101.02074, 2021. ",cs.RO,A,0.3699736,0.1409541,-0.088803634
http://arxiv.org/pdf/2201.00393v4,ros2_tracing: Multipurpose Low-Overhead Framework for Real-Time Tracing of ROS 2,"issues. We plan on leveraging ros2_tracing in future work                             html
to analyze the internal handling of ROS 2 messages. [19] T. Kronauer, J. Pohlmann, M. Matthe, T. Smejkal, and G. Fettweis,
                             REFERENCES                                               “Latency overhead of ros2 for modular time-critical systems,” arXiv
                                                                                      preprint arXiv:2101.02074, 2021. ",cs.RO,A,0.3699736,0.1409541,-0.088803634
http://arxiv.org/pdf/2201.00761v1,A Case Study Analysis for Designing a Lunar Navigation Satellite System with Time-Transfer from Earth-GPS,"We designed a timing
Kalman ﬁlter [22, 23] to update the LNSS satellite clock with the intermittently available Earth-GPS signals and formulated the
lunar UERE metric to characterize the ranging accuracy of transmitted navigation signals. We additionally provide an overview
on the aspects of further analysis conducted in this work. In particular, we analyze the sensitivity of the lunar UERE metric in
diﬀerent simulated case studies, including modiﬁcations of the measurement update rate for our proposed timing Kalman ﬁlter. ",cs.RO,A,0.119208485,0.0861139,0.051248148
http://arxiv.org/pdf/2201.00932v1,"Learning Safe, Generalizable Perception-based Hybrid Control with Certificates","our approach from Lidar to image data, as it is much more                             Available: http://arxiv.org/abs/2010.16001
difﬁcult to construct an approximate model for image updates. In future work, we hope to replace this model-based update                      [15] Anonymous, “Robust obstacle avoidance via vision-based hybrid
with a generative model learned from data. Using a learned,                           learning control,” in Submitted to 5th Annual Conference on
generative update might also allow us to relax the assumption                         Robot Learning, 2021, under review. ",cs.RO,C,-0.051353406,-0.38758242,0.06974689
http://arxiv.org/pdf/2201.00956v1,Primitive Shape Recognition for Object Grasping,"Meanwhile, current state-of-the-
                                       associated to speciﬁc robot hand designs. Deep learning has      art grasping methods using deep networks relegate shape
                                       emerged as a strong approach for addressing these issues,        to an implicitly derived internal concept captured through
                                       however additional research can hopefully better illuminate      training. how to design grasping strategies for robotic manipulators. ",cs.RO,C,-0.11159286,-0.09589974,0.21424915
http://arxiv.org/pdf/2201.01349v1,RASS: Risk-Aware Swarm Storage,"It performed well in experiments on physical robots. An interesting direction for future work could be to
                                                                             conduct experiments in more diverse scenarios, for example
                                                                             in search and rescue applications where image storage and
                                                                             processing is required, therefore increasing the system’s
                                                                             workload. Fig. ",cs.RO,B,-0.13258031,-0.11166884,0.08814586
