url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.01194v1,What's Trending in Difference-in-Differences? A Synthesis of the Recent Econometrics Literature,"Shaikh and Toulis (2021) propose a
method for observational settings where treatment timing is random conditional on ﬁxed ob-
servable characteristics. We think that developing methods for observational settings where
treatment timing is approximately random, possibly conditional on covariates and lagged
outcomes, is an interesting area for further study in the years ahead. Sequential random assignment. ",econ.EM,C,0.19232273,0.08805657,-0.21024226
http://arxiv.org/pdf/2201.01194v2,What's Trending in Difference-in-Differences? A Synthesis of the Recent Econometrics Literature,"Shaikh and Toulis (2021) propose a
method for observational settings where treatment timing is random conditional on ﬁxed ob-
servable characteristics. We think that developing methods for observational settings where
treatment timing is approximately random, possibly conditional on covariates and lagged
outcomes, is an interesting area for further study in the years ahead. 41
Sequential random assignment. ",econ.EM,C_centroid,0.20151827,0.08500707,-0.21520759
http://arxiv.org/pdf/2201.02532v1,"Dynamic Factor Model for Functional Time Series: Identification, Estimation, and Prediction","A Monte Carlo study and an em-
pirical illustration to yield curves show that our method provides an attractive modeling
and predictive framework. Several methodological problems await further analysis. The ﬁrst is to develop the
distributional and inferential theory for estimated factors and loading functions beyond
the consistency results obtained in this paper. ",econ.EM,A,-0.17975648,0.18027563,-0.047643006
http://arxiv.org/pdf/2201.02532v2,Approximate Factor Models for Functional Time Series,"The results from the DNS model are given in the last two columns. 30
    Several methodological problems await further analysis. The ﬁrst is to develop the distri-
butional and inferential theory for the estimators beyond the consistency results obtained in
this paper. ",econ.EM,B,-0.19275671,-0.03439995,0.0916268
http://arxiv.org/pdf/2201.05139v1,"Generalized Kernel Ridge Regression for Long Term Causal Inference: Treatment Effects, Dose Responses, and Counterfactual Distributions","Since only one of the two sets of kernels in a product rate condition needs to have
polynomial spectral decay, this amounts to multiple spectral robustness. Reversing the norms of the

other product rate conditions would require a mean square rate on ν0, which I pose as a question

for future work. 29
F Tuning

F.1 Simpliﬁed setting

I propose a family of novel estimators that are combinations of kernel ridge regressions. ",econ.EM,B,0.022449223,-0.18592973,0.2506202
http://arxiv.org/pdf/2201.05430v1,Efficiently Detecting Multiple Structural Breaks in Systems of Linear Regression Equations with Integrated and Stationary Regressors,"This also means that the most diﬃcult cases (leading to a
non-rejection of the sequential test’s hypothesis) are not considered for the evaluation of the
precision of the likelihood-based approach because in columns two to six of Table 2 only those
cases with the correctly estimated number of breaks can be properly evaluated. We further study the performance of the two-step estimator in settings with structural
breaks of smaller or larger magnitude. For instance, we apply the factor c = 1.5 to increase
the break magnitude in Equation (11). ",econ.EM,A,-0.046119895,0.009466251,-0.37179768
http://arxiv.org/pdf/2201.05430v2,Efficiently Detecting Multiple Structural Breaks in Systems of Linear Regression Equations with Integrated and Stationary Regressors,"This also means that the most diﬃcult cases (leading to a
non-rejection of the sequential test’s hypothesis) are not considered for the evaluation of the
precision of the likelihood-based approach because in columns two to six of Table 2 only those
cases with the correctly estimated number of breaks can be properly evaluated. We further study the performance of the two-step estimator in settings with structural
breaks of smaller or larger magnitude. For instance, we apply the factor c = 1.5 to increase
the break magnitude in Equation (11). ",econ.EM,A,-0.046119895,0.009466251,-0.37179768
http://arxiv.org/pdf/2201.06140v1,Nonparametric Identification of Random Coefficients in Endogenous and Heterogeneous Aggregate Demand Models,"This approach may allow us to relax some of the support conditions. To
keep a tight focus on nonparametric identiﬁcation, we leave this extension for future work. Remark 3.3. ",econ.EM,B,0.12333151,-0.20081806,0.22061795
http://arxiv.org/pdf/2201.06605v1,Inferential Theory for Granular Instrumental Variables in High Dimensions,"T

Proof of Lemma 3: The terms, a1, b1, and c1 follow very similarly as the proof for Lemma 2 and hence

are omitted and the terms a2, b2 and c2 follow symmetrically to the proof of Lemma 2 and thus, they

are also omitted. The term c3 is novel and warrants some further analysis. Recall c3 is given by c3 =

T −1z M η (uE − uE). ",econ.EM,A,0.02508244,0.052125756,0.2576332
http://arxiv.org/pdf/2201.06647v1,An Entropy-Based Approach for Nonparametrically Testing Simple Probability Distribution Hypotheses,"In particular, the
functional specification of the moment constraints used in the definition of the ET statistic
deserves further exploration. How many moment constraints to incorporate in the
maximum entropy problem, and of what type, is a question worthy of further research. In
addition, rather than converting composite hypotheses to simple hypotheses through
sample data transformations, as illustrated in this paper, the possibility of formulating an
ET statistic that applies to composite hypotheses directly is worth contemplating. ",econ.EM,B,-0.09669661,-0.118106425,-0.055107526
