url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00345v1,Robust Algorithmic Collusion,"But it continues to take a long time for
algorithms to converge, making it likely infeasible in practice (see Figure A3 in
the Appendix). We further study a policies’ performance in a new context when the context
diﬀers in the parameterization of the environment. Suppose two pairs of algo-
rithms train in contexts that diﬀer in the marginal cost level. ",econ.GN,C,0.015710365,-0.32291618,0.025054533
http://arxiv.org/pdf/2201.00345v2,Robust Algorithmic Collusion,"But it continues to take a long time for
algorithms to converge, making it likely infeasible in practice (see Figure A3 in
the Appendix). We further study a policies’ performance in a new context when the context
diﬀers in the parameterization of the environment. Suppose two pairs of algo-
rithms train in contexts that diﬀer in the marginal cost level. ",econ.GN,C,0.015710365,-0.32291618,0.025054533
http://arxiv.org/pdf/2201.01321v1,Preparing urban mobility for the future of work,"3.4 Organizational behavior

Organizational behavior is a critical component of ﬂexible work. As stated by Brewer and Hensher
(2002), “Individual work arrangements are inﬂuenced by the internal constraints of organisations
such as organisational structure and managerial policies, including human resource management,
work organisation, and external constraints such as union policies and agreements.” The authors
go on to provide an excellent overview of the ways in which organizational behavior aﬀect travel
behavior, and oﬀer a call to action for additional research into the links between the two ﬁelds. Their work builds on previous work by Brewer (1998), who notes that ﬂexible work requires both
willingness and capacity from employers. ",econ.GN,C,-0.08109518,-0.20397826,0.20880213
http://arxiv.org/pdf/2201.01356v1,A hybrid approach to targeting social assistance,"It is nevertheless unclear whether
our method is more or less costly than PMT or CBT, as a detailed understanding of relative
costs will depend on the context and speciﬁcs of the implementation.27 Finally, we have relied
on linear functional forms in all the models presented in this paper, which likely restricts
the predictive performance of our method. In future work, we hope to extend the model to
accommodate more ﬂexible functional forms (e.g., regression trees). 27We are speciﬁcally referring to total costs, including administrative costs, data collection costs, and the
costs imposed on potential beneﬁciaries. ",econ.GN,C,-0.09744925,-0.21483964,-0.12075301
http://arxiv.org/pdf/2201.02760v1,Bibliometric analysis of the scientific production found in Scopus and Web of Science about business administration,"Business
research requires routines that use statistical and mathematical formulas to process and forecast data. The findings in business administration need transparent research methods and data analyses,
justifications of the research methodology and empirical context, a clear description of the process for
obtaining findings, suggestions for further research, acknowledgment of limitations, and others. Although statistical tools should use the same formulas, the practice with which they execute the data
processing and visualizing, the results do not always ease the researcher. ",econ.GN,B,0.12457855,-0.06531085,-0.1201874
http://arxiv.org/pdf/2201.05574v1,"Empirical Analysis of EIP-1559: Transaction Fees, Waiting Time, and Consensus Security","significantly negative effect. These estimates present evidence that
EIP-1559 affects sibling appearance mainly through block size with                                                  sibling indicator
other unknown channels for further research. block size (kbyte)      (3)               (4)
                                                                                        London Hardfork     0.0034∗∗∗
                                                                                        EIP-1559 adoption    (0.0003)         0.0036∗∗∗
                                                                                        Intercept                              (0.0003)
                                                                                                            -3.2573∗∗∗         0.0704∗
                                                                                                             (0.0249)          (0.0400)
                                                                                                                              -0.2257∗∗∗
                                                                                                                               (0.0764)
                                                                                                                              -3.2608∗∗∗
                                                                                                                               (0.0263)

5.4.2 Network load. ",econ.GN,A,-0.11980876,0.37328774,0.39005077
http://arxiv.org/pdf/2201.05574v2,"Empirical Analysis of EIP-1559: Transaction Fees, Waiting Time, and Consensus Security","The data frequency is by block. EIP-1559 affects sibling appearance mainly through block size with
other unknown channels for further research. sibling indicator

                                                                                        block size (kbyte)      (3)               (4)
                                                                                        London Hardfork     0.0034∗∗∗
                                                                                        EIP-1559 adoption    (0.0003)         0.0036∗∗∗
                                                                                        Intercept                              (0.0003)
                                                                                                            -3.2573∗∗∗         0.0704∗
                                                                                                             (0.0249)          (0.0400)
                                                                                                                              -0.2257∗∗∗
                                                                                                                               (0.0764)
                                                                                                                              -3.2608∗∗∗
                                                                                                                               (0.0263)

5.4.2 Network load. ",econ.GN,A_centroid,-0.10700636,0.32800877,0.3864539
http://arxiv.org/pdf/2201.05574v3,"Empirical Analysis of EIP-1559: Transaction Fees, Waiting Time, and Consensus Security","is negative with three asterisks) has a significantly negative effect. These estimates present evidence that EIP-1559 affects sibling ap-                                                       sibling indicator
pearance mainly through block size with other unknown channels
to be investigated in further research. block size (kbyte)         (3)                (4)
                                                                                             London Hardfork        0.0034∗∗∗
5.4.2 Network load. ",econ.GN,A,-0.120502636,0.25115913,0.3845687
http://arxiv.org/pdf/2201.08444v1,Profit Shifting of Multinational Corporations Worldwide,"Our ﬁndings imply that revenue losses total approximately
$200–300 billion. This is comparable with recent leading estimates of revenue losses which range
from $100 to $600 billion, as reviewed by Cobham and Janský (2020) and compared in Table A11
with additional studies. Furthermore, it is important to keep in mind that some aspects of our
methodological approach are conservative. ",econ.GN,B,0.087276705,-0.018512795,-0.15669435
http://arxiv.org/pdf/2201.09064v1,An Intergenerational Issue: The Equity Issues due to Public-Private Partnerships. The Critical Aspect of the Social Discount Rate Choice for Future Generations,"Hence, one cannot be definite about the decision-
making process during the selection stage of PPPs. Investigating this stage is essential to
know the quantitative measures taken into account in selecting projects other than the
PSC; further research is needed in this area. Second, this study did not apply the
suggested analytical framework of forming public policies to a genuine life case, but that
seems much outside the present paper size (and aims). ",econ.GN,C,-0.08210726,-0.114290394,-0.056671713
