url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00496v1,A Taxonomy of Non-dictatorial Unidimensional Domains,"We exhaustively classify all unidimensional, non-dictatorial domains using the

                                                     25
class of semi-single-peaked domains and the class of semi-hybrid domains, which are
two weakenings of single-peaked domains that complement each other, and expand
the scope of applications to models where the restriction of single-peakedness is too
demanding (see for instance, multidimensional voting under constraints and allocation
of public goods on a transportation network). We leave the detailed exploration of
these applications to future work. This methodology also may be useful beyond the
speciﬁc issue of classiﬁcation of non-dictatorial domains that we studied here; for
instance, within the voting model it could be used to explore the structure of locally
strategy-proof rules or ordinally Bayesian incentive compatible rules. ",econ.TH,A,-0.20156941,0.03530539,0.017495811
http://arxiv.org/pdf/2201.00496v2,A Taxonomy of Non-dictatorial Unidimensional Domains,"
                        
f (a, b) = g(a, b) =

                        
                        
                        

    The characterization of g provided above constitutes an essential ingredient of a full charac-
terization of f . We leave the task of fully characterizing a rule on a multidimensional domain and
extracting the domain implications of the strategy-proofness of such a rule for future work.50

  50All our analysis so far is based on strategy-proof SCFs which are only concerned with unilateral de-
viations at a preference proﬁle. The investigation on multidimensional domains can be enriched when we
expand to SCFs that are immune to group deviations. ",econ.TH,C,-0.15878075,-0.3293173,-0.10367746
http://arxiv.org/pdf/2201.00496v3,A Taxonomy of Non-dictatorial Unidimensional Domains,"
                        
f (a, b) = g(a, b) =

                        
                        
                        

    The characterization of g provided above constitutes an essential ingredient of a full charac-
terization of f . We leave the task of fully characterizing a rule on a multidimensional domain and
extracting the domain implications of the strategy-proofness of such a rule for future work.49

  49All our analysis so far is based on strategy-proof SCFs which are only concerned with unilateral de-
viations at a preference proﬁle. The investigation on multidimensional domains can be enriched when we
expand to SCFs that are immune to group deviations. ",econ.TH,C,-0.15563141,-0.3263151,-0.109864935
http://arxiv.org/pdf/2201.02804v1,A study on bribery networks with a focus on harassment bribery and ways to control corruption,"Becker (1968)
concluded that ""crime would not pay is an optimality condition and not an implication about the eﬃciency
of the police or courts; indeed it holds for any level of eﬃciency, as longs as optimal values of p (i.e., the
overall probability that an oﬀense is cleared by conviction) and f (i.e., punishment for oﬀense) appropriate to
each level are chosen"". This foundation work in the ﬁeld of law and economics by Gary Becker construct the
layout for further analysis on crime and punishment through the lens of economics. The crime, punishment,
and probability of detection of crime give rise to the incidents of bribery to the law enforcement oﬃcers to
avoid crime. ",econ.TH,A,0.06006964,0.09166496,-0.064278856
http://arxiv.org/pdf/2201.03483v1,Simultaneous Optimal Transport,"(c) Duality, equilibrium, uniqueness, and decomposition results in Sec-
          tions 5 and 6 are obtained only in the balanced setting. Whether
          analogous results hold in the unbalanced case requires diﬀerent tech-
          niques and further study. 34
References

Ambrosio, L. (2003). ",econ.TH,C,-0.09748748,-0.1380601,-0.21276021
http://arxiv.org/pdf/2201.09182v1,Consolidating Marginalism and Egalitarianism: A New Value for Transferable Utility Games,"It is not clear to what extent one can argue that it represents some social criterion. It is a matter
of further study that, why and how a player without being a member of a coalition of size p can inﬂuence
that coalition to generate the same worth as that of the grand coalition! The k-nullifying null player on
the other hand divides the class of coalitions into two groups, in one group it acts as a nullifying player
and in the other, as a null player. ",econ.TH,C,-0.04869833,-0.08184029,-0.2880211
http://arxiv.org/pdf/2202.02209v1,On Sustainability and Survivability in the Matchbox Two-Sector Model: A Complete Characterization of Optimal Extinction,"In an earlier analysis, Kamihigashi (2006) oﬀers suﬃcient conditions for almost sure
convergence to zero stock in the context of the stochastic aggregative growth model. But
this is just the tip of the iceberg: even on limiting oneself to an aggregative stochastic
environment, one has a rich literature to contend with.17 In recent work devoted to the
treatment of the aggregative growth model, Khan and Zhang (2021) present analysis of

  14Fujio and Khan (2006) use as their epigraph Amartya Sen’s sentiments that the two-sector model is
not for the faint-hearted, and even though relegated to supplementary material, the detailed calculations
may yield a mathematical insight that can be isolated as a lemma, and then oﬀer in future work, methods
that do rely quite as much on brute force in “guess and verify” analyses. 15Even Morishima’s matchbox model has two activities in each of its two sectors; see Morishima
(1965), and note the emphasis on von Neumann’s paper in Parts II and III, two parts out of four. ",econ.TH,A,0.04973043,0.010413331,0.10185605
http://arxiv.org/pdf/2202.03927v1,Asymptotic non-equivalence of affirmative actions: The top trading cycles mechanism case,"Compared with
the asymptotic equivalence of the SOSM with afﬁrmative actions in [10], an important policy
implication of our result is that the SOSM is more cost-effective against the TTCM if the poli-
cymaker considers a transition from one afﬁrmative action policy to the other, as it is unnec-
essary to compare the welfare effects of these two afﬁrmative actions under the SOSM when
the matching market contains sufﬁciently many schools. Last, since we can treat the afﬁr-
mative actions as a generic type-speciﬁc (capacity) constraint, questions like how to identify

                                                             7
the asymptotic equivalence conditions of different type-speciﬁc constraints in other large
market design problems may deserve further research attention. Acknowledgements

    This research is supported by The National Natural Science Foundation of China (No. ",econ.TH,C,-0.08455303,0.019121427,-0.15515518
http://arxiv.org/pdf/2202.04201v1,Efficiency with(out) intermediation in repeated bilateral trade,"There is limited understanding in dynamic mechanism design
on the nature of optimal or even feasible allocations under limited liability restrictions (see Chassang
and Kapon [2021] and Krasikov and Lamba [2021] for some recent work). This is also an interesting
direction for future work. 9 Appendix

9.1 Tight mechanisms

Since we operate in a discrete type space, standard Myersonian techniques are not readily available,
see for example Kos and Messner [2013] on this. ",econ.TH,C,-0.15980043,-0.119390845,0.10190523
http://arxiv.org/pdf/2202.05232v1,Matching with Transfers under Distributional Constraints,"2
connection between linear programming duality and the existence of stable arrangements. Finally,
we conclude the paper and provide directions for future work in Section 6. 2 Related Literature

Two-sided matching markets have been a cornerstone for market design ever since the seminal
work of Gale and Shapley [9], whose work has inﬂuenced the matching of individuals to institutions
across various markets, e.g., assigning students to schools [10, 11] or doctors to hospitals [12, 13]. ",econ.TH,C,-0.30407876,0.05314276,-0.4576692
