url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00480v1,TFCN: Temporal-Frequential Convolutional Network for Single-Channel Speech Enhancement,"We will further improve the performance                            Using TCN with Multiple Encoder-Decoder Layers,” in Proc. Inter-
and parameter-efﬁciency of TFCN in our future work. speech 2020, 2020, pp. ",eess.AS,C,-0.007201121,0.0034322534,-0.11753099
http://arxiv.org/pdf/2201.01461v1,Maximizing the Psycho-Acoustic Sweet Spot,"Finally, although we have not fully developed a theory for the convergence of SWEET-ReLU, our experiments show
that it converges in practice. Further analysis will be the subject of future work. 8 Conclusion

In this work, we considered the sweet spot as the region where the a sound scene is psycho-acoustically close to a
desired auditory scene. ",eess.AS,C,-0.00637192,0.23318431,0.095430404
http://arxiv.org/pdf/2201.01461v2,Towards Maximizing a Perceptual Sweet Spot,"Furthermore, our proof-of-concept implementation
avoids any potential issues arising from the discretization of the models, either due to numerical computation of the
Green function or transfer functions, or to the discretization of the integral that deﬁnes the weighted area. Further
analysis about this point will be the subject of future work. 13
8 Conclusion

In this work, we introduced a theoretical framework for spatial audio perception that allows the deﬁnition of a perceptual
sweet spot, that is, the region where the spatial auditory illusion is achieved when approximating one sound wave
by another. ",eess.AS,C,0.022492949,0.41006476,0.039916746
http://arxiv.org/pdf/2201.01669v1,Using Deep Learning with Large Aggregated Datasets for COVID-19 Classification from Cough,"391–394. to improving model performance, future work should focus
on collecting high-volumes of PCR-validated samples and             [9] I. Song, “Diagnosis of pneumonia from sounds collected using low cost
assessing the model generalizability to new datasets. ",eess.AS,C,-0.091260225,0.101857856,-0.112508014
http://arxiv.org/pdf/2201.01669v2,Using Deep Learning with Large Aggregated Datasets for COVID-19 Classification from Cough,"CONCLUSION
                                                                      [5] L. Kru¨ger, A. Tanuri, A. Lindner, M. Gaeddert, L. Ko¨ppel, F. Tobian,
   This study is a step forward toward an accurate, reliable, and          L. Bru¨mmer, J. Klein, F. Lainati, P. Schnitzler, O. Nikolai, F. Mock-
accessible audio-based COVID-19 diagnostic test, showing ad-               enhaupt, J. Seybold, V. Corman, T. Jones, C. Drosten, C. Gottschalk,
equate performance on a large and diverse dataset. In addition             S. Weber, S. Weber, O. Ferreira, D. Mariani, S. N. E. Dos, P. C. T.
to improving model performance, future work should focus                   Pereira, R. Galliez, D. Faffe, I. Leita˜o, S. R. C. Dos, T. Frauches,
on collecting high-volumes of PCR-validated samples and                    K. Nocchi, N. Feitosa, S. Ribeiro, N. Pollock, B. Knorr, A. Welker,
assessing the model generalizability to new datasets. Decision-            V. M. de, J. Sacks, S. Ongarello, and C. Denkinger, “Accuracy and
making errors should be closely studied to understand how                  ease-of-use of seven point-of-care SARS-CoV-2 antigen-detecting tests:
prediction performance is affected by audio recording condi-               A multi-centre clinical evaluation.” EBioMedicine, vol. ",eess.AS,C,0.055394974,0.06836602,-0.010290872
http://arxiv.org/pdf/2201.01669v3,Using Deep Learning with Large Aggregated Datasets for COVID-19 Classification from Cough,"This study is a step forward toward an accurate, reliable, and
accessible audio-based COVID-19 diagnostic test, showing ad-          [5] L. Kru¨ger, A. Tanuri, A. Lindner, M. Gaeddert, L. Ko¨ppel, F. Tobian,
equate performance on a large and diverse dataset. In addition             L. Bru¨mmer, J. Klein, F. Lainati, P. Schnitzler, O. Nikolai, F. Mock-
to improving model performance, future work should focus                   enhaupt, J. Seybold, V. Corman, T. Jones, C. Drosten, C. Gottschalk,
on collecting high-volumes of PCR-validated samples and                    S. Weber, S. Weber, O. Ferreira, D. Mariani, S. N. E. Dos, P. C. T.
assessing the model generalizability to new datasets. Decision-            Pereira, R. Galliez, D. Faffe, I. Leita˜o, S. R. C. Dos, T. Frauches,
making errors should be closely studied to understand how                  K. Nocchi, N. Feitosa, S. Ribeiro, N. Pollock, B. Knorr, A. Welker,
prediction performance is affected by audio recording condi-               V. M. de, J. Sacks, S. Ongarello, and C. Denkinger, “Accuracy and
tions, patient symptoms, and the time point during the course              ease-of-use of seven point-of-care SARS-CoV-2 antigen-detecting tests:
of COVID-19 infection. ",eess.AS,C,-0.006622893,0.027278163,-0.017093567
http://arxiv.org/pdf/2201.02184v1,Learning Audio-Visual Speech Representation by Masked Multimodal Cluster Prediction,"An audio-HuBERT model trained with targets gener-
ated by an AV-HuBERT model shows superior performance, achieving the SOTA in the audio-based
speech recognition in the LRS3 dataset. As future work, AV-HuBERT can be applied for multilin-
gual lip-reading in low-resource languages. Additionally, our approach can be extended to other
applications of visual speech representation, such as speech enhancement and generation. ",eess.AS,C,-0.27774158,0.022754356,-0.08936338
http://arxiv.org/pdf/2201.02184v2,Learning Audio-Visual Speech Representation by Masked Multimodal Cluster Prediction,"An audio-HuBERT model trained with targets gener-
ated by an AV-HuBERT model shows superior performance, achieving the SOTA in the audio-based
speech recognition in the LRS3 dataset. As future work, AV-HuBERT can be applied for multilin-
gual lip-reading in low-resource languages. Additionally, our approach can be extended to other
applications of visual speech representation, such as speech enhancement and generation. ",eess.AS,C,-0.27774158,0.022754356,-0.08936338
http://arxiv.org/pdf/2201.03211v1,Noisy Neonatal Chest Sound Separation for High-Quality Heart and Lung Sounds,"Addi-
                                                                     tionally, instead of reassignment post decomposition, there is
                                                                     the possibility of adding a temporal constraint or cost function,
                                                                     which would enable the decomposition of the components
                                                                     based on temporal activation. However, future work would be
                                                                     required to develop this temporal decomposition method. With regards to computational cost, the proposed NMCF
                                                                   11

method is not suitable for real-time processing, whereas the       to obtain clean reference sounds with a full frequency range is
proposed NMF method is. ",eess.AS,C,-0.08062621,0.33786702,-0.08013923
http://arxiv.org/pdf/2201.03881v1,Learning to Enhance or Not: Neural Network-Based Switching of Enhanced and Observed Signals for Overlapping Speech Recognition,"sources and mixtures for training, it can also be optimized for real
This is most likely because the issue of whether enhancement im-         data. In our future works, we plan to apply the switching to more
proves or harms ASR cannot be uniquely determined for each SIR           realistic data, including real-recorded mixtures as well as partially
and SNR condition as revealed in Fig. 2.                                 overlapping recordings. ",eess.AS,C,-0.07596139,0.12794453,-0.17454457
http://arxiv.org/pdf/2201.03943v3,Neural Architecture Search For LF-MMI Trained Time Delay Neural Networks,"V). The signiﬁcant WER differences observed         Gumbel-Softmax searched TDNN-F and CNN TDNN-F sys-
       between these two systems suggest further research is       tems (Sys (9) & (11)) on the CHM subset of Hub5’00 test set
       required to improve the transferability and generalization  and Rt03S test sets when compared with the other hybrid and
       of NAS methods across different data sets and quantities. end-to-end systems (Sys (1)-(7) in Tab. ",eess.AS,B,0.2519841,-0.05375291,-0.17074841
http://arxiv.org/pdf/2201.05771v1,"KazakhTTS2: Extending the Open-Source Kazakh TTS Corpus With More Data, Speakers, and Topics","pronunciation, word skipping, and incomplete words. Another challenge is that Kazakh is an agglutinative
This analysis indicates that there is still room for im-   language, with a very large vocabulary and many char-
provement and future work should focus on eliminating      acters per word. It is also susceptible to morphophone-
these errors. ",eess.AS,A,-0.02044165,-0.28766617,0.33446872
http://arxiv.org/pdf/2201.05771v2,"KazakhTTS2: Extending the Open-Source Kazakh TTS Corpus With More Data, Speakers, and Topics","Conclusion
common error types among all speakers are mispro-
nunciation, incomplete words, and word skipping. This      We have presented KazakhTTS2, a large-scale open-
analysis indicates that there is still room for improve-   source Kazakh text-to-speech corpus, which further ex-
ment and future work should focus on eliminating these     tends the previous work with more data, voices, and
errors. topics. ",eess.AS,A,-0.16370103,-0.2587207,0.30504256
http://arxiv.org/pdf/2201.05845v1,Recent Progress in the CUHK Dysarthric Speech Recognition System,"The last section draws          line 12 of Table II. This baseline system architecture was
the conclusions and discusses possible future works. For all        manually designed by applying a series of modiﬁcations on
results presented in this paper, matched pairs sentence-segment     top of the ﬁrst phonetic hybrid DNN system (Sys. ",eess.AS,A,-0.11974472,-0.10222024,0.101795234
