url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00163v1,Development of Diabetic Foot Ulcer Datasets: An Overview,"Other than DFU images, researchers have used
other imaging modalities such as infrared, Magnetic Resonance Imaging (MRI),
and ﬂuorescence imaging for the management of DFU. However, there are no
such public datasets of other imaging modalities available for further research
and development of AI solutions for multi-modality datasets. In many research studies, thermal infrared imaging has been proven to be a
useful technique in the clinical management of DFU. ",eess.IV,C,-0.12344247,-0.133066,-0.20668122
http://arxiv.org/pdf/2201.00169v1,Dynamic Scene Video Deblurring using Non-Local Attention,"The proposed model performs favorably against state-of-
the-art methods while being efﬁcient. Such a system can be extended to existing video deblurring methods or other
video-processing tasks and will be explored in our future works. Reﬁned and complete version of this work appeared in
CVPR 2021. ",eess.IV,A,0.3561686,-0.045670286,0.14978172
http://arxiv.org/pdf/2201.00259v1,Subspace modeling for fast and high-sensitivity X-ray chemical imaging,"The pro-
                                                                  posed approach can be easily extended to 3D chemical
                                                                  imaging by rotating the sample [16]. Another direction of
                                                                  our future work is to adaptively select the energy points to
                                                                  further reduce the acquisition time and enable efﬁcient au-
                                                                  tonomous experiments [31]. Moreover, the proposed algo-
                                                                  rithm is not limited to X-ray imaging. ",eess.IV,A,0.1893746,-0.26425254,-0.19938469
http://arxiv.org/pdf/2201.00895v1,A Gradient Mapping Guided Explainable Deep Neural Network for Extracapsular Extension Identification in 3D Head and Neck Cancer Computed Tomography Images,"Data preparation and experimental results are
illustrated in Section 4. The research ﬁndings and future work are concluded in
Section 5. 2. ",eess.IV,B,0.17792295,0.41689315,-0.1990717
http://arxiv.org/pdf/2201.00957v1,Stain Normalized Breast Histopathology Image Recognition using Convolutional Neural Networks for Cancer Detection,"With
accuracy attained on par with the state-of-the-art models in the literature, we can submit that our system
can reliably facilitate breast cancer detection by analysing biopsy images. As future work, devising
mechanisms to select most appropriate template images for stain normalization can enhance the whole
process significantly. To train and evaluate the system based on multiple datasets will enable better
evaluation of the effectiveness of the classification process. ",eess.IV,C,-0.34761488,-0.03380858,-0.1052475
http://arxiv.org/pdf/2201.01014v4,MoCoPnet: Exploring Local Motion and Contrast Priors for Infrared Small Target Super-Resolution,"change, the motion compensation by LSTAs in these cases
can be wrong and our approach may not be able to effectively                    [16] L. Wang, Y. Guo, Y. Wang, Z. Liang, Z. Lin, J. Yang, and W. An,
recover the targets. In future work, we aim to improve the                            “Parallax attention for unsupervised stereo correspondence learning,”
robustness of our method to large motion and sudden change. IEEE Transactions on Pattern Analysis and Machine Intelligence, 2020. ",eess.IV,A,0.10344416,-0.12626812,0.18778782
http://arxiv.org/pdf/2201.01034v1,What Hinders Perceptual Quality of PSNR-oriented Methods?,"However, due to the hardware memory constraints, the                     on Computer Vision and Pattern Recognition, pages 6070–
patch size cannot be reduced inﬁnitely; thus, how to ﬁnd                      6079, 2017. 1
this trade-off will be the key to our important future work. [13] Justin Johnson, Alexandre Alahi, and Li Fei-Fei. ",eess.IV,A,0.14427641,0.058104485,0.028305199
http://arxiv.org/pdf/2201.01426v1,Advancing 3D Medical Image Analysis with Variable Dimension Transform based Supervised 3D Pre-training,"Visual comparison of our proposed methods with competing pre-training methods and training from scratch on the LITS dataset. patches with a sliding stride of 12 × 128 × 128 to get the           To further study the impact of domain difference on the
prediction for the whole CT. Data augmentation in the training       performance of transfer learning, we conduct an ablation study
stage includes random cropping, ﬂipping and re-scaling, and          on our proposed SVD-Net. Speciﬁcally, by keeping the pre-
no test-time augmentation is implemented. ",eess.IV,C,-0.18113741,-0.15706742,0.116807446
http://arxiv.org/pdf/2201.01443v1,Neural KEM: A Kernel Method with Deep Coefficient Prior for PET Image Reconstruction,"advent of total-body PET scanners (e.g., [40]–[44]) has made
                                                                   it even more feasible to pursue low-dose dynamic imaging
C. Demonstration for Parametric Imaging                            and high-temporal resolution dynamic imaging, especially for
                                                                   the entire body simultaneously. Our future work will also
   Parametric imaging was also performed for the dynamic           implement and evaluate the proposed neural KEM on total-
images of the same subject. The descending aorta region            body PET for parametric imaging. ",eess.IV,C,-0.024479128,-0.25645718,-0.33463722
http://arxiv.org/pdf/2201.01443v2,Neural KEM: A Kernel Method with Deep Coefficient Prior for PET Image Reconstruction,"Computer
this paper can be also transferred into those methods that use    simulations and real patient data have demonstrated the im-
a modiﬁed or trained kernel. A detailed study will be reported    provement of the neural KEM over conventional KEM and
in our future work. DIP methods for dynamic PET imaging. ",eess.IV,C,-0.10033712,-0.17901406,-0.14371854
http://arxiv.org/pdf/2201.01586v1,Learning True Rate-Distortion-Optimization for End-To-End Image Compression,"This variant does not require
any RDO search. In future work, this approach can be extended to video compression, where adap-
tive block partitioning is ﬁrmly established in traditional coders. We therefore expect
similar gain in this ﬁeld, in particular we can thereby take the spatially varying inter
prediction quality into account. ",eess.IV,A,0.28900087,0.004368739,0.17773266
http://arxiv.org/pdf/2201.02226v1,Second-Order Ultrasound Elastography with L1-norm Spatial Regularization,"515–534, 2013.
rameters related to imaging physics. Since this automatic
parameter estimation strategy demands extensive investigation,     [4] H. Rivaz, E. M. Boctor, M. A. Choti, and G. D. Hager, “Real-time
we postpone it as future work. regularized ultrasound elastography,” IEEE Transactions on Medical
                                                                        Imaging, vol. ",eess.IV,B,0.016068276,-0.10522515,-0.34240693
http://arxiv.org/pdf/2201.02242v1,A Keypoint Detection and Description Network Based on the Vessel Structure for Multi-Modal Retinal Image Registration,"Thus, our method can be very beneﬁcial to support the long time analysis of
       retinal disease progression. As future work, we will investigate deep learning
       methods inspired by known operators for our registration pipeline. References

        1. ",eess.IV,C,-0.26561892,-0.12766455,0.13387224
http://arxiv.org/pdf/2201.02295v1,Persistent Homology for Breast Tumor Classification using Mammogram Scans,"Future
work will also focus on using other texture methods as landmark selections such as
center-symmetric LBP. Furthermore, testing proposed ULBP based PH on other med-
ical image modalities such as ultrasounds and other types of disease is included in our
list of future works. 7 References

[1] G. Carlsson, “TOPOLOGY AND DATA,” Bull. ",eess.IV,C,-0.047946773,-0.047003567,-0.36993238
http://arxiv.org/pdf/2201.02295v2,Persistent Homology for Breast Tumor Classification using Mammogram Scans,"Future work will also focus on using other texture methods as landmark selec-
tion procedure such as center-symmetric LBP or small image patches of high density. Furthermore, testing proposed ULBP based PH on other medical image modalities such
as ultrasounds and other types of disease is included in our list of future works. References

[1] G. Carlsson, “TOPOLOGY AND DATA,” Bull. ",eess.IV,C,-0.028650869,-0.08251266,-0.39248517
http://arxiv.org/pdf/2201.02309v1,A three-dimensional dual-domain deep network for high-pitch and sparse helical CT reconstruction,"4173–4185, Nov. 2008.
memory and isn’t ﬁt for deep learning. In our future work, we
will research how to solve this issue. [18] W. Yu and L. Zeng, “Iterative image reconstruction for limited-angle
                                                                                      inverse helical cone-beam computed tomography,” Scanning, vol. ",eess.IV,A,0.048964925,-0.38552284,-0.031844407
http://arxiv.org/pdf/2201.02420v1,Auto-Weighted Layer Representation Based View Synthesis Distortion Estimation for 3-D Video Coding,"6, pp. D video coding in our future work, such as optimizing 3-D                        953–966, 2016.

coding by ﬁguring out the exact contribution of S-VSDs to                        [20] T. Chen and C. Guestrin, “Xgboost: A scalable tree boosting system,”

the VSD, building a more efﬁcient deep codec by increasing                       in Proceedings of the 22nd acm sigkdd international conference on

and decreasing different levels of depth changes to bring in                     knowledge discovery and data mining, 2016, pp. 785–794. ",eess.IV,A,0.1380151,0.07372652,0.36663938
http://arxiv.org/pdf/2201.02656v1,GPU-Net: Lightweight U-Net with more diverse features,"We test our method on three dataset
                                                                    and visualize several feature maps to proof the effectiveness
                                                                    and efﬁciency of our method. Our plug-and-play GP-module
                                                                    can also be applied to existing segmentation methods to fur-
                                                                    ther improve their performance with fewer parameters and
                                                                    fewer FLOPs, which shed the light on the further research. 4.3. ",eess.IV,C,-0.033890605,0.1430183,0.22749841
http://arxiv.org/pdf/2201.02771v1,A Sneak Attack on Segmentation of Medical Images Using Deep Neural Network Classifiers,"1201–1214,
ﬁcation. In future works, we would test other techniques, such                 1995. [Online]. ",eess.IV,B,0.15532905,0.33663732,-0.17130482
http://arxiv.org/pdf/2201.02771v2,A Sneak Attack on Segmentation of Medical Images Using Deep Neural Network Classifiers,"Yang, and J. Emer, “Efﬁcient Processing
ﬁcation. In future works, we would test other techniques, such          of Deep Neural Networks: A Tutorial and Survey,” arXiv:1703.09039
as Saliency map [9], SHAP [13], and Activation map [10],                [cs], Mar. 2017, arXiv: 1703.09039. ",eess.IV,A,0.029933516,-0.08742091,0.28151894
http://arxiv.org/pdf/2201.02867v1,Deep Generative Modeling for Volume Reconstruction in Cryo-Electron Microscop,"While this review covers the statistical foundations for modern
reconstruction methods in cryo-EM, it does not address other topics related to statistics such as validation metrics or connections
with statistical thermodynamics. We leave these topics for future work. 1 Generative Modeling for Cryo-EM

The objective of cryo-EM imaging algorithms       Figure 2. ",eess.IV,A,0.24756998,-0.1967045,-0.14419872
http://arxiv.org/pdf/2201.02867v2,Deep Generative Modeling for Volume Reconstruction in Cryo-Electron Microscopy,"While this review covers the statistical foundations for modern
reconstruction methods in cryo-EM, it does not address other topics related to statistics such as validation metrics or connections
with statistical thermodynamics. We leave these topics for future work. 1 Generative Modeling for Cryo-EM

The objective of cryo-EM imaging algorithms       Figure 2. ",eess.IV,A,0.24756998,-0.1967045,-0.14419872
http://arxiv.org/pdf/2201.02973v1,MAXIM: Multi-Axis MLP for Image Processing,"popular MLP-based global models. Our work suggests                 Our future work includes exploring more efﬁcient models
an effective and efﬁcient approach for applying gMLP to            for extremely high-resolution image processing, as well as
                                                                   training large models that can adapt on multiple tasks. Broader impacts. ",eess.IV,A,0.09026484,-0.09706768,0.2831995
http://arxiv.org/pdf/2201.02973v2,MAXIM: Multi-Axis MLP for Image Processing,"We demonstrate a few applications, but
                                                                   there are many more possibilities beyond the scope of this

                                                                8
work which could signiﬁcantly beneﬁt by using MAXIM. Task          Dataset              #Train    #Test   Test Dubname
Our future work includes exploring more efﬁcient models           Denoising
for extremely high-resolution image processing, as well as        Deblurring    SIDD [2]                 320      40   SIDD
training large models that can adapt on multiple tasks. DND [72]                    0     50   DND
Broader impacts. ",eess.IV,A_centroid,0.08937998,-0.14204717,0.17743057
