url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00023v1,The landscape of massive black-hole spectroscopy with LISA and Einstein Telescope,"We also acknowledge sup-
ters can be measured in the HS shortDelays models. In                 port under the MIUR PRIN and FARE programmes
future work, it would be interesting to explore the possi-            (GW- NEXT, CUP: B84I20000100001). E.B. ",gr-qc,B,0.24781394,-0.052165665,-0.018586028
http://arxiv.org/pdf/2201.00027v1,Boltzmann Meets Lorentz: A Surrogate Model for Black Hole Echoes,"With this         regarding the width parameter. We also thank all the
new tool at hand, we anticipate the future work of apply-       members of our weekly group meetings for their support-
ing this physically motivated surrogate model, along with       ive discussion and continual patience through our many
variations accounting for uncertainties in the physics, to
conversations. We also thank Bob Holdom for invaluable                                                                                   18
discussion and advice. ",gr-qc,A,0.06651242,-0.14770502,-0.085555844
http://arxiv.org/pdf/2201.00599v1,The effect of quantum correction on Hawking radiation for Schwarzschild black holes,"In section 5, we brieﬂy discussed the bound on greybody factors for Schwarzschild black
holes to lowest order and found that the bound has a very small diﬀerence between classical
metric and quantum corrected metric. Future work can be directed along at least three lines of further research. Firstly, the
quantum corrected metric for other classical solutions of black holes should be obtained
using EFT methods. ",gr-qc,C,-0.24994396,0.11708787,0.11931676
http://arxiv.org/pdf/2201.00679v1,Deciphering signatures of Bardeen black holes from the observed quasi-periodic oscillations,"We perform a χ2 analysis to derive the observationally favored magnetic monopole charge
parameter. We conclude with a summary of our results with some scope for future work in Section 6. It
may be important to note that we work with mostly positive metric convention and consider geometrized
units i.e., G = 1 = c.

2 Basics of Bardeen rotating black holes

The line element corresponding to Bardeen black hole [27] in Boyer-Lindquist coordinates is given by,

        2  2m˜ (r)r 2 4am˜ (r)r 2                        Σ˜ 2
        ds = − 1 − Σ˜  dt −            sin θdtdφ + dr
                                   Σ˜                   ∆

           + Σ˜ dθ2 + r2 + a2 + 2m˜ (r)ra2 sin2 θ sin2 θdφ2                                            (1)
                               Σ˜

where,

           Σ˜ = r2 + a2 cos2 θ , ∆ = r2 + a2 − 2m˜ (r)r                                                (2)

and m˜ (r)r is the mass function such that limr→∞m˜ (r) = M˜ and a is the Kerr parameter. ",gr-qc,C,-0.22156969,0.07853358,0.33695143
http://arxiv.org/pdf/2201.00679v2,Deciphering signatures of Bardeen black holes from the observed quasi-periodic oscillations,"We perform a χ2 analysis to derive the observationally favored magnetic monopole
charge parameter. We conclude with a summary of our results with some scope for future work in Section 6. It may be important to note that we work with mostly positive metric convention and consider geometrized
units i.e., G = 1 = c.

2 Basics of Bardeen rotating black holes

The line element corresponding to Bardeen black hole [27] in Boyer-Lindquist coordinates is given by,

        2  2m˜ (r)r 2 4am˜ (r)r 2                        Σ˜ 2
        ds = − 1 − Σ˜  dt −            sin θdtdφ + dr
                                   Σ˜                   ∆

           + Σ˜ dθ2 + r2 + a2 + 2m˜ (r)ra2 sin2 θ sin2 θdφ2                                            (1)
                               Σ˜

where,

           Σ˜ = r2 + a2 cos2 θ , ∆ = r2 + a2 − 2m˜ (r)r                                                (2)

and m˜ (r)r is the mass function such that limr→∞m˜ (r) = M˜ and a is the Kerr parameter. ",gr-qc,C,-0.22156969,0.07853358,0.33695143
http://arxiv.org/pdf/2201.00697v1,All-sky search for continuous gravitational waves from isolated neutron stars using Advanced LIGO and Advanced Virgo O3 data,"Each cluster is characterized by its most signiﬁcant el-
   The SkyHough pipeline searches over the standard four    ement (the loudest element). From each 0.025 Hz sub-
parameters describing a CW signal from isolated NS: fre-    band, we retrieve the forty most signiﬁcant clusters for
quency f , spin-down f˙ and sky position, parametrized      further analysis. This results in a total of 456000 candi-
using equatorial coordinates α, δ.                          dates to follow-up. ",gr-qc,B,0.40382278,0.121831015,0.012389652
http://arxiv.org/pdf/2201.00822v1,On the detection of ringdown overtones in GW150914,"These results are in contrast with the           the European Union’s Horizon 2020 research and innova-
predictions of [58], which employed a diﬀerent detection         tion programme under the Marie Sklodowska-Curie grant
criterion. In future work we plan to investigate strate-         agreement No 101007855. We thank FCT for ﬁnancial sup-
gies for a robust modeling and measurement of higher             port through Project No. ",gr-qc,B,0.34075052,-0.004743104,-0.04356257
http://arxiv.org/pdf/2201.00822v2,Analysis of Ringdown Overtones in GW150914,"These results are in contrast with the         acknowledge ﬁnancial support provided by FCT/Portugal
predictions of [60], which employed a diﬀerent detection       through grants PTDC/MAT-APL/30043/2017 and
criterion. In future work we plan to investigate strate-       PTDC/FIS-AST/7002/2020. The authors would like to
gies for a robust modeling and measurement of higher           acknowledge networking support by the GWverse COST
overtones, and to revisit the BH spectroscopy horizon          Action CA16104, “Black holes, gravitational waves and
estimates of Refs. ",gr-qc,B,0.15615533,0.34408277,-0.029391484
http://arxiv.org/pdf/2201.01131v1,Kinematics and dynamics of null hypersurfaces in the Einstein-Cartan spacetime and related thermodynamic interpretation,"Another obvious projection component in the context of the EC theory, that is not discussed in
the analysis is Gˆablaqbc. We hope to return to this problem in a future work [85]. We believe that our
foray into this study of the connection between gravitational dynamics and thermodynamics in the
case of EC gravity is indeed an interesting one. ",gr-qc,C,-0.15669805,-0.05694323,-0.19644642
http://arxiv.org/pdf/2201.01131v2,Kinematics and dynamics of null hypersurfaces in the Einstein-Cartan spacetime and related thermodynamic interpretation,"in the absences of spin eﬀects. Thereafter, we aim to look at the teleparallel theory in
a future work as well. – 32 –
Acknowledgement:

The research of one of the authors (B.R.Majhi) is supported by Science and Engineering Research
Board (SERB), Department of Science & Technology (DST), Government of India, under the scheme
Core Research Grant (File no. ",gr-qc,A,0.0076619117,-0.24270108,-0.068311505
