url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00887v1,Lattice simulations of the QCD chiral transition at real $μ_B$,"In the left panel the value of the condensate at the crossover temperature
at µB = 0 is also shown by the horizontal line. The simulation data cross this line at
µB/T ≈ 2.2.

distributions of observables other than the pressure is an important direction for future work. Acknowledgements

The project was supported by the BMBF Grant No. ",hep-lat,A,0.14665052,-0.0028759278,0.10994929
http://arxiv.org/pdf/2201.01343v1,The hyperon spectrum from lattice QCD,"The other hyperon masses remain to be calculated. In future work we will use this EFT to calculate the hyperon axial charges and other transition form
factors, which will provide an orthogonal method for estimating |𝑉𝑢𝑠 |. 5. ",hep-lat,C,-0.13677962,-0.11655345,0.16984668
http://arxiv.org/pdf/2201.01692v1,Symmetries of Thirring models on 3d lattices,"One of the most pressing problem is the nature of the newly found (probably second
order) phase transition without order parameter. We hope to report on this issue in a future work. Acknowledgments

We would like to thank the organizers of the workshop ”Relativistic Fermions in Flatland: theory and
application” ”Quantum Theory and Symmetries”, Simon Hands, Holger Gies, John Gracey and Igor
Herbut for organizing an inspiring online meeting at ETC*-Trento. ",hep-lat,A,-0.0024298988,0.34909964,-0.110069975
http://arxiv.org/pdf/2201.01692v2,Symmetries of Thirring models on 3d lattices,"One of the most pressing problem is the nature of the newly found (probably second
order) phase transition without order parameter. We hope to report on this issue in a future work. Acknowledgments

We would like to thank the organizers of the workshop ”Relativistic Fermions in Flatland: theory and
application” ”Quantum Theory and Symmetries”, Simon Hands, Holger Gies, John Gracey and Igor
Herbut for organizing an inspiring online meeting at ETC*-Trento. ",hep-lat,A,-0.0024298988,0.34909964,-0.110069975
http://arxiv.org/pdf/2201.01789v1,Tensor renormalization of three-dimensional Potts model,"In this subsection, we discuss new results for Potts model with 10 < q < 20. Though this method can be eﬀectively used to explore the large q limit, we have left that for
future work. For each q, we studied the thermodynamic potentials as shown in Fig. ",hep-lat,A,0.13500965,0.108265534,-0.030385662
http://arxiv.org/pdf/2201.03332v1,Good and bad diquark properties and spatial correlations in lattice QCD,"2                                                                             As such, the good diquark is of hadronic size. where we deﬁned the diquark size parameter r0 through the                                           Finally, we further study the good diquarks by compar-
scale of the exponential decay of the spatial correlation be-                                   ing analogue deﬁnitions of the diquark sizes separately in the
tween the two quarks q and q constituting the diquark with                                      relative radial (r0, φ = π) and tangential (r0⊥, φ = π/2) ori-
rqq . Our results for all available R and mπ are shown in Fig-                                  entations. ",hep-lat,B,-0.16245371,-0.093120866,0.0373285
http://arxiv.org/pdf/2201.03874v1,"Properties, ensembles and hadron spectra with Stabilised Wilson Fermions","reads:                                                        𝑛=𝑁𝑠

                 𝐶 (𝑡, 𝑍𝑃,𝑛, 𝑍𝑆,𝑛, 𝐸𝑛) = ∑︁ 𝑍𝑆,𝑛 𝑍𝑆/𝑃,𝑛𝑒−𝐸𝑛𝑡 , (10)

                                                              𝑛=0

where 𝑍𝑃,𝑛 and 𝑍𝑆,𝑛 are the amplitudes for the point and smeared sources/sinks. We are postponing
a detailed study of the decay constants to future work and, therefore, do not include renormalisation
constants at this point. The ﬁt is performed in a combined way on both the PS and SS correlators. ",hep-lat,C,-0.12737498,-0.010463003,0.34489447
http://arxiv.org/pdf/2201.03874v2,"Properties, ensembles and hadron spectra with Stabilised Wilson Fermions","reads:                                                        𝑛=𝑁𝑠

                 𝐶 (𝑡, 𝑍𝑃,𝑛, 𝑍𝑆,𝑛, 𝐸𝑛) = ∑︁ 𝑍𝑆,𝑛 𝑍𝑆/𝑃,𝑛𝑒−𝐸𝑛𝑡 , (10)

                                                              𝑛=0

where 𝑍𝑃,𝑛 and 𝑍𝑆,𝑛 are the amplitudes for the point and smeared sources/sinks. We are postponing
a detailed study of the decay constants to future work and, therefore, do not include renormalisation
constants at this point. The ﬁt is performed in a combined way on both the PS and SS correlators. ",hep-lat,C,-0.12737498,-0.010463003,0.34489447
http://arxiv.org/pdf/2201.04000v1,Virtual Photon Emission in Leptonic Decays of Pseudoscalar Mesons,"3, the results are generally in reasonable
semi-quantitative agreement. Our future work will focus on controlling and reducing the systematic
uncertainties resulting from the absence of continuum, chiral and inﬁnite-volume extrapolations. We will also work to extend the method to heavier pseudoscalar mesons, for which the analytic
continuation to Euclidean time gives rise to enhanced ﬁnite-volume eﬀects due to the presence of
internal lighter states. ",hep-lat,C,-0.15381394,-0.051997155,0.0044009904
http://arxiv.org/pdf/2201.04269v1,Novel Algorithms for Computing Correlation Functions of Nuclei,"The bulk of the correlator cost for interpolating operators
of light nuclei remains in the hadron block evaluation. The construction of optimal evaluation
schemes through tensor e-graphs is a potential avenue for performance improvements for larger
nuclei, although rigorous demonstration of this possibility is left for future work. Acknowledgements

     We would like to thank Artur Avkhadiev and Phiala Shanahan for many helpful discussions. ",hep-lat,C,-0.051515322,-0.21144062,0.27222604
http://arxiv.org/pdf/2201.06519v1,Proton generalized parton distributions from lattice QCD,"fact, at x = ξ, these regions are separated by discontinuities
that are however non-physical, as twist-2 GPDs are expected          5. Conclusions and future work
to be continuous functions at the boundaries [42,43]. This ef-
fect arises from higher-twist contributions not yet computed         In this manuscript we report on our ﬁrst effort to comput-
in the matching procedure, that contains the leading twist-2         ing the isovector GPDs of the proton from lattice QCD. ",hep-lat,B,-0.14996538,0.020310905,-0.19470884
http://arxiv.org/pdf/2201.08862v1,Stochastic normalizing flows as non-equilibrium transformations,"More work is needed, for example, to understand how the training times needed by SNFs to reach
a plateau in the loss function behave when changing the volume of the system. Among possible directions of future work, our primary interest is to study the eﬀectiveness
of SNFs in systems close to criticality, in order to develop the most suitable strategy for SNFs
in this region of the parameter space of a theory. More generally, an analysis of the interplay
between Monte Carlo updates and diﬀerent types of neural-network architectures would be highly
insightful and could help one understand what exactly the neural networks are learning when
“coupled” to Monte Carlo algorithms in this way. ",hep-lat,A,0.8426866,-0.11746259,0.025686998
