url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00018v1,Relative Defects in Relative Theories: Trapped Higher-Form Symmetries and Irregular Punctures in Class S,"Then,

we can write r as

                              r= k                                      (9.37)
                                    b

for b = 2n − 2 and as         r = 2k + 1
                                       b
                                                                        (9.38)

for b = 2n. From this we ﬁnd

                       p= k                  if b = 2n − 2              (9.39)
                            gcd(k, b)        if b = 2n

                       p = 2k + 1
                            gcd(2k + 1, b)

and                     q= b                 if b = 2n − 2              (9.40)
We also compute              gcd(k, b)       if b = 2n                  (9.41)
                                              if b = 2n − 2
                        q= b
                             gcd(2k + 1, b)

                       s = gcd(k, b)

                       s = gcd(2k + 1, b)         if b = 2n

We divide the further analysis into the following three cases:

• Assume q is odd. Then µ1 = µ2 = 0, so we ﬁnd that

                                           LTP = 0                      (9.42)

• Assume q is even. ",hep-th,A,-0.34349778,0.082446516,0.15401636
http://arxiv.org/pdf/2201.00066v1,Thermodynamics of massless particles in curved spacetime,"Nevertheless, the covariance can be preserved by
the insertion of a dynamical vector ﬁeld uµ, i.e., the aether ﬁeld, in which has the constraint
of taking a nonzero timelike value, uµuµ = −1. In this way, we shall present a general
covariant form within the framework of the Einstein–aether theory [26, 46, 89] in order to
accomplish further analysis. Regarding the well-known semiclassical approximation, both the respective spacetime
metric gµν and the aether ﬁeld are considered to be classical ones. ",hep-th,B,0.2946686,0.108916074,-0.26517275
http://arxiv.org/pdf/2201.00123v1,Tadpoles and vacuum bubbles in light-front quantization,sector. Numerical calculations are postponed to future work. II. ,hep-th,A,-0.34716618,0.2956511,-0.021970965
http://arxiv.org/pdf/2201.00351v1,Integrability from supersymmetric duality: a short review,"(2.15)

Since this solution has an SL(3, Z) modular invariance, one can use this additional symme-
try in order to obtain some physical results. This remains an interesting guiding problem
for future works. There is also an issue of whether one can obtain the identity (2.14) from
supersymmetric gauge theory computations. ",hep-th,C,-0.04463321,-0.34668553,-0.0667904
http://arxiv.org/pdf/2201.00537v1,Physical Properties of Brane-World Black Hole Solutions via a Confining Potential,"Moreover, we have also studied the
eﬀect of the GUP on the entropies of the BWBHSCP black holes, up to the square order of
Planck length. Finally, whether the results are modiﬁed in other brane world black holes, such as the
rotating ones [59, 60], is an interesting question and will be investigated in our future work. [1] I. Antoniadis, M. Atkins and X. Calmet, JHEP 11, 039 (2011). ",hep-th,B,0.36121947,0.14794494,0.1258384
http://arxiv.org/pdf/2201.00562v1,Q-curvature and Path Integral Complexity,"extending [65] to higher
dim.) and we hope to return to this question in future works. 4 Holographic Path Integral Optimization and Higher

     Curvature on B

In this section we focus on the second question i.e., of higher curvature in the holographic
path integral optimization and discuss yet another way that such corrections may enter or be
tuned in the path integral optimization. ",hep-th,B,0.10320637,0.1162486,-0.38618106
http://arxiv.org/pdf/2201.00562v2,Q-curvature and Path Integral Complexity,"extending [68] to higher
dim.) and we hope to return to this question in future works. 4 Holographic Path Integral Optimization and Higher

     Curvature on B

In this section we focus on the second question i.e., of higher curvature in the holographic
path integral optimization and discuss yet another way that such corrections may enter or be
tuned in the path integral optimization. ",hep-th,B,0.102653496,0.1135734,-0.38857993
http://arxiv.org/pdf/2201.00658v1,Interacting Ghost Dark Energy in Complex Quintessence Theory,"[31] In the real model, ΩD and b2 are independent
parameters, whereas in the complex model, we found an interrelationship between these
two parameters. Future work can be directed along at least four lines of further research. Firstly, we can
establish the correspondence between the complex quintessence ﬁeld and other dark energy
scenarios. ",hep-th,B,-0.01013984,0.23665267,0.180507
http://arxiv.org/pdf/2201.00903v1,Comments on Summing over bordisms in TQFT,"(3.109)

                                i,j

Clearly to go further and produce an explicit formula for the HH vector we need to make
use of the ring structure aiaj = ckijak. We leave further analysis for another occasion. 4 d = 2 Open-Closed TQFT

We now come to the case of open-closed TQFT. ",hep-th,C,-0.15245481,-0.16397694,-0.14859709
http://arxiv.org/pdf/2201.00903v2,Comments on Summing over Bordisms in TQFT,"(3.109)

                                  i,j

Clearly to go further and produce an explicit formula for the HH vector we need to make
use of the ring structure aiaj = ckijak. We leave further analysis for another occasion. 22Assume for simplicity that the odd dimensional cohomology vanishes. ",hep-th,C,-0.12390006,-0.2017357,-0.15851963
http://arxiv.org/pdf/2201.00937v1,The post-Newtonian expansion in the effective theory of compact objects,"4.3 Dynamics of compact objects

     In this section we show the computation of the Feynman diagrams relevant to obtain
some of the very well known results for the PN expansion, and to derive new LO PN
corrections on charged spinning compact objects. The high order PN expansion due to
charge is left for a future work. Although throughout this work we have worked with units
c = 1, when showing the ﬁnal Lagrangian or diagram due to each eﬀect, we will include
the c, in order to stress the PN order at which the eﬀect enters into the dynamics. ",hep-th,C,-0.03366467,-0.008175276,0.05852976
http://arxiv.org/pdf/2201.01279v1,Hawking temperature and the bound on greybody factors in $D = 4$ double field theory,"For F-JNW solution, we found that σl(ω) monotonically
increases with the increase of a(b) for ﬁxed b(a). Future work can be directed along at least three lines of further research. Firstly, the
solutions of other metric in double ﬁeld theory should be obtained. ",hep-th,A,-0.03418278,0.12786603,-0.24908876
http://arxiv.org/pdf/2201.01280v1,The Effect of Rényi Entropy on Hawking Radiation,"(5.4)

                  2D−1πD/2Γ(D/2)                      j

Therefore, if x 1 and TBωH 1, then we obtain

                                      SR = xSBH . (5.5)

The meaning of this relationship and the eﬀect of Rényi entropy on Hawking radiation
should be studied in further research. 6 Summary and discussion

It is widely believed that Hawking radiation originates from the excitations near the horizons
of black holes. ",hep-th,B,0.10063995,0.17177004,0.08727249
