url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00545v1,Parametric Root Finding for Supporting Proving and Discovering Geometric Inequalities in GeoGebra,"Also our prototype implementation for the 1D explorations is in Mathematica [16]. Therefore, in our future work we will make statistics of the required computational times for the Gro¨bner
basis computation and for solving the NRA-SAT problems related to the harder exploration problems in
IT/RT. As a preliminary example, in Table 4 we give the number of cells reported by QEPCAD B, version
1.72 [2]. ",math.AG,A,0.44573104,-0.03422943,-0.029676462
http://arxiv.org/pdf/2201.00839v1,Koszul modules with vanishing resonance in algebraic geometry,"18        M. APRODU, G. FARKAS, C. RAICU, AND J. WEYMAN

Furthermore, for each EC ∈ SU C(2, ω, r + 2) \ j Wr1+2(C) the map
(19) H1 C, Symr+1 MEC → Symr+1 H0(C, EC ) ⊗ H1(C, OC )
is injective. The geometric meaning of the injectivity of the map (19) is mysterious and requires
further study. In what follows we will prove Theorem 1.5. ",math.AG,C,0.030605264,0.055360023,0.141878
http://arxiv.org/pdf/2201.03223v2,Degeneration of log Calabi-Yau pairs via log canonical places,"In the realm of Calabi-Yau variety, K-stability
                                         theory could be translated into singularity theory via [Oda13] (see also [BHJ17, Section 9]),
                                         in other words, people are mainly interested in Calabi-Yau varieties with log canonical or
                                         semi-log canonical singularities. Inspired by this, we aim to reformulate test conﬁgurations
                                         via valuations (more precisely via divisorial valuations induced by lc places) for Calabi-Yau
                                         varieties, and expect to further study the degeneration of Calabi-Yau varieties in the moduli
                                         theory. We say that a projective log pair (X, ∆) is a log canonical (resp. ",math.AG,B,-0.20022702,-0.0845282,-0.07196649
http://arxiv.org/pdf/2201.03223v3,Degeneration of log Calabi-Yau pairs via log canonical places,"In the realm of Calabi-Yau
                                          varieties, K-stability theory could be translated into singularity theory by [Oda13] (see also
                                          [BHJ17, Section 9]), in other words, people are mainly interested in Calabi-Yau varieties with
                                          log canonical or semi-log canonical singularities. Inspired by this, we aim to reformulate test
                                          conﬁgurations via valuations (more precisely via divisorial valuations induced by lc places) for
                                          Calabi-Yau varieties, and expect to further study the degenerations of Calabi-Yau varieties
                                          in the moduli theory. 2010 Mathematics Subject Classiﬁcation: 14E30, 14J17. ",math.AG,B,-0.19040567,-0.13805291,-0.070357695
http://arxiv.org/pdf/2201.03615v1,Geometric Rank and Linear Determinantal Varieties,"1 Introduction

                                          1.1 Geometric Rank

                                          Geometric rank of tensors is introduced in [11] as an extension of analytic rank from ﬁnite ﬁelds to
                                          algebraically closed ﬁelds, and as a tool to ﬁnd upper bounds on border subrank and lower bounds
                                          on slice rank. [9] took a step further studying geometric rank systematically, giving results on
                                          tensors with geometric rank at most 3. [6] showed that the partition rank is at most 2n−1 times of
                                          the geometric rank for n-part tensors. ",math.AG,A,0.2609292,0.15454799,-0.23763245
http://arxiv.org/pdf/2201.03615v2,Geometric Rank and Linear Determinantal Varieties,"Geometric rank was introduced in [13] as an extension of analytic rank from ﬁnite ﬁelds to alge-
                                          braically closed ﬁelds, and as a tool to ﬁnd upper bounds on border subrank and lower bounds on
                                          slice rank. [10] took a step further studying geometric rank systematically, giving results on tensors
                                          with geometric rank at most 3. [7] showed that the partition rank is at most 2n−1 times of the

                                              ∗Texas A&M University, ORCID: 0000-0003-3440-5148, runshi.geng@gmail.com

                                                                                                          1
geometric rank for n-part tensors. ",math.AG,A,0.2943693,0.17754255,-0.21108529
http://arxiv.org/pdf/2201.04268v1,Sparse trace tests,"As depicted in Example 27, triangularity
guarantees only one type of proper subset of V×(F) which causes the sparse trace tests to erro-

neously succeed (compare to Example 23). Understanding whether additional problematic subsets
of V×(F) always exist in the triangular setting is left to further research. Although the sparse trace tests may not be applied to lacunary or triangular supports, there are
settings in which these properties are advantageous. ",math.AG,A,0.39843822,0.21944839,-0.07355915
http://arxiv.org/pdf/2201.04585v1,Pseudostable Hodge integrals,"PSEUDOSTABLE HODGE INTEGRALS  3

1.2. Context, motivation, and future work. Throughout the last three decades, a size-
able body of work in mathematics and theoretical physics has centered around the investi-
gation of curve counting theories (see [PT14] for an introductory overview). ",math.AG,B,0.057517894,-0.08263766,0.0340891
http://arxiv.org/pdf/2201.04785v1,Geometric and Representation Theoretic Aspects of $p$-adic Motives,"We have not considered the corresponding imperfect setting of the corresponding period
rings with really big coefﬁcients along the corresponding style and fashions we established in
[T1] and [T2] in the context of reasonable towers in [KL1] and [KL2]. We would like to study
the corresponding commutative and noncommutative setting in future work along these tow-

                                                            562
ers going upside and down. There will be some consequences for some speciﬁc analytic spaces. ",math.AG,B,0.04558524,0.14259169,0.22774899
http://arxiv.org/pdf/2201.04821v1,Admissible metrics on compact Kähler varieties,"σ(µt)                   5t

This completes the proof of the corollary. For further study on the heat kernels, we will need the following parabolic inte-
rior Schauder estimate. For more details, see for example [Kry96, Theorem 8.12.1]. ",math.AG,C,0.24872562,-0.38159886,-0.24389386
