url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00087v1,Dynamic Persistent Homology for Brain Networks via Wasserstein Graph Clustering,"The average brain network in each state (Figure 6) does not follow similar
connectivity patterns observed in the previous studies [9]. But further research is
needed for independent validation. Acknowledgement

This study was supported by NIH grants EB022856, MH101504, P30HD003352,
U54HD09025, UL1TR002373 and NSF grant MDS-2010778. ",math.AT,A,-0.33276603,0.5048531,-0.072356686
http://arxiv.org/pdf/2201.00087v2,Dynamic Topological Data Analysis for Brain Networks via Wasserstein Graph Clustering,"The average brain network in each state (Figure 6) does not follow similar
connectivity patterns observed in the previous studies [9]. But further research is
needed for independent validation. Dynamic Topological Data Analysis via Wasserstein Graph Clustering                    23

Acknowledgement

This study was supported by NIH grants EB022856, MH101504, P30HD003352,
U54HD09025, UL1TR002373 and NSF grants MDS-2010778, 2112455. ",math.AT,A,-0.31393456,0.56109,-0.16968977
http://arxiv.org/pdf/2201.01122v1,From gravity to string topology,"vertices) skew-symmetrized for d
odd/symmetrized for d even. We conclude that the string topology properad H•(ST d) is highly non-trivial
and is worth of further study. It is also an interesting open problem to study the cohomology group of the
deformation complex of the morphism i discussed above,

                                                          Def(Lieb⋄d →i ST d),

as it comes equipped with a morphism from the cohomology group (cf. ",math.AT,B,0.16856202,-0.0365166,0.042434223
http://arxiv.org/pdf/2201.05190v1,Persistent Extension and Analogous Bars: Data-Induced Relations Between Persistence Barcodes,"Therefore, it may be useful to omit classes of bars based on length statistics for a
null model or domain knowledge. We have found this to be a useful strategy in practice, but leave
a detailed discussion for future work. 5. ",math.AT,A,-0.45798132,0.22965732,0.21026152
http://arxiv.org/pdf/2201.05190v2,Persistent Extension and Analogous Bars: Data-Induced Relations Between Persistence Barcodes,"Therefore, it may be useful to omit classes of bars based on length statistics for a
null model or domain knowledge. We have found this to be a useful strategy in practice, but leave
a detailed discussion for future work. 5. ",math.AT,A,-0.45798132,0.22965732,0.21026152
http://arxiv.org/pdf/2201.05542v1,The homotopy category of acyclic complexes of pure-projective modules,"But as
          we explain below, by the end of the paper we will show it to in fact be a
          compactly generated category. Note that the class V is a dual to the class of all K-ﬂat complexes, but
          we do not provide a further study of the complexes in V. Emmanouil
ACYCLIC COMPLEXES OF PURE-PROJECTIVE MODULES                                3

          and Kaperonis will provide an in depth look at the complexes in the class
          V, which they call K-absolutely pure. Indeed they are dual to the K-ﬂat
          complexes in many ways that will convince the reader in their forthcoming
          preprint [EK22]. ",math.AT,B,0.2461932,-0.22779627,0.16069217
http://arxiv.org/pdf/2201.05542v2,The homotopy category of acyclic complexes of pure-projective modules,"But as
          we explain below, by the end of the paper we will show it to in fact be a
          compactly generated category. Note that the class V is a dual to the class of all K-ﬂat complexes, but
          we do not provide a further study of the complexes in V. Emmanouil
ACYCLIC COMPLEXES OF PURE-PROJECTIVE MODULES                                3

          and Kaperonis will provide an in depth look at the complexes in the class
          V, which they call K-absolutely pure. Indeed they are dual to the K-ﬂat
          complexes in many ways that will convince the reader in their forthcoming
          preprint [EK22]. ",math.AT,B,0.2461932,-0.22779627,0.16069217
http://arxiv.org/pdf/2201.09589v1,2-Cartesian fibrations II: The Grothendieck construction,"We will not pursue this direction further in this document. A
detailed study of bicategorical adjunctions is part of the research program of the authors and will
appear in future work. Deﬁnition 4.17. ",math.AT,B,-0.00032944977,-0.04677834,0.5901079
http://arxiv.org/pdf/2201.09589v2,2-Cartesian fibrations II: Higher cofinality,"We will not pursue this direction further in this document. A
detailed study of bicategorical adjunctions is part of the research program of the authors and will
appear in future work. Deﬁnition 4.17. ",math.AT,B,-0.00032944977,-0.04677834,0.5901079
http://arxiv.org/pdf/2201.10537v1,"Trees, graphs and aggregates: a categorical perspective on combinatorial surface topology, geometry, and algebra","Set-valued monoidal functors like in the preceding section are then their operations which
often can be identiﬁed with operad-like structures. Our formalism permits a uniform treatment of
these structures, which is the basis of the further analysis. 4.1. ",math.AT,B,0.009820093,-0.22801399,0.3525921
http://arxiv.org/pdf/2201.12505v1,On string quasitoric manifolds and their orbit polytopes,"As a matter of fact, the
existence of quasitoric manifolds over a given simple polytope is related to Buchstaber invariant
problem, which remains unsolved in general case (see [14] for some partial results). Nevertheless, as long as the combinatorial type of the orbit polytope is clear, a complete
characterization of p1(M ) = 0 is available, which allows further study at the level of polytope
as well as manifold. Furthermore, in some speciﬁc cases, partial characterizations can impose
eﬀective restrictions on a string quasitoric manifold and its orbit polytope as well. ",math.AT,B,0.05853288,-0.04655753,0.165796
http://arxiv.org/pdf/2202.05312v1,Posets for which Verdier duality holds,"Then we prove Theorem D using our formulation. In future work,
we will study a relative variant. 6.1. ",math.AT,C,-0.23579744,-0.2865829,-0.27027255
http://arxiv.org/pdf/2202.07095v1,A Degree Formula for Equivariant Cohomology Rings,"The degree formula proven in this paper (without explaining now the meaning of the
various terms, which come directly from Quillen’s work)

deg(HG∗ (X)) =                      1 deg(H∗ (c))         (1)
                                    |WG(A, c)|  CG (A,c)

                [A,c]∈Q′max (G,X )

really falls in line with Quillen’s type of results, presenting a way to “compute” the degree
from subgroups of the group G associated to elementary p-abelian subgroups of G and ﬁxed
point sets of these elementary abelian subgroups, reducing the calculation of degree for an
arbitrary group G to calculations to hopefully simpler types of groups acting on spaces in a
simpler way: central extensions of an elementary abelian group A, with A acting trivially on a
connected space. This paper does not actually present the study of any sample computations
for these sorts of actions; we hope to return to this study in future work. However, see the
paper of Lynn [11] for an example when X is a point. ",math.AT,B,0.01931968,-0.20756298,-0.07039475
http://arxiv.org/pdf/2202.09187v1,Categorical symmetries of T-duality,"In order to further use this action, it would be good to have a geometric
interpretation of the group O±(n, n, Z), for example, as the automorphism group of some geometric
object. For the moment, this has to be left to further research. 6 Automorphisms and T-duality correspondences

As recalled in Section 1, the T-duality 2-group TDn classiﬁes topological T-duality correspondences of
Tn-bundles. ",math.AT,B,0.24616064,0.008484639,0.06100321
http://arxiv.org/pdf/2202.09187v2,Categorical symmetries of T-duality,"In order to further use this action, it would be good to have a geometric
interpretation of the group O±(n, n, Z), for example, as the automorphism group of some geometric
object. For the moment, this has to be left to further research. 6 Automorphisms and T-duality correspondences

As recalled in Section 1, the T-duality 2-group TDn classiﬁes topological T-duality correspondences of
Tn-bundles. ",math.AT,B,0.24616064,0.008484639,0.06100321
http://arxiv.org/pdf/2202.09591v1,Persistent homology of semi-algebraic sets,"In
6  SAUGATA BASU AND NEGIN KARISANI

Section 4, after introducing certain necessary preliminaries, we describe our algo-
rithm for computing barcodes of semi-algebraic ﬁltrations and analyze its complex-
ity (thereby proving Theorem 1). Finally, in Section 5 we state some open questions
and directions for future work in this area. 2. ",math.AT,C,-0.18991712,-0.363298,0.03675136
http://arxiv.org/pdf/2202.09591v2,Persistent homology of semi-algebraic sets,"In
Section 4, after introducing certain necessary preliminaries, we describe our algo-
rithm for computing barcodes of semi-algebraic ﬁltrations and analyze its complex-
ity (thereby proving Theorem 1). Finally, in Section 5 we state some open questions
and directions for future work in this area. 2. ",math.AT,C,-0.19668138,-0.39806128,-0.0011276079
http://arxiv.org/pdf/2202.12494v1,Configuration spaces on a wedge of spheres and Hochschild-Pirashvili homology,"Due to the restriction on the coeﬃcient Φ[n, n] given in Proposition 5.5, it fol-
lows that our deﬁnition of rλ agrees with theirs. We plan to investigate further this
coincidence in future work. Lemma 6.8. ",math.AT,C,-0.12894095,-0.37203187,-0.2874404
http://arxiv.org/pdf/2203.01720v1,Topological data analysis of truncated contagion maps,"The raw gene
The truncated contagion map (red disks; s = 20 steps considered)               expression matrix Count ∈ N(c×g) in which entry Counti, j in-
is for small network sizes N < 100 of similar computational cost               dicates the strength of expression of gene i in cell j is avail-
as the full contagion map (blue squares) but is considerably faster            able from GEO under GSE114822. For further analysis, we
for large networks. We estimate the computational complexity with              use SCANPY43 and follow current best practices44. ",math.AT,C,-0.37629706,0.14952865,-0.14676905
http://arxiv.org/pdf/2203.01720v2,Topological data analysis of truncated contagion maps,"We explain this behaviour with
dicates the strength of expression of gene i in cell j is avail-  the dominance of spreading along the manifold in early steps
able from GEO under GSE114822. For further analysis, we           of a contagion, whereas at later steps the spread along non-
use SCANPY51 and follow current best practices52. For exam-       geometric edges increases. ",math.AT,C,-0.18595123,0.14720385,-0.1425036
http://arxiv.org/pdf/2203.05727v1,Tracking Dynamical Features via Continuation and Persistence,"We leave a thorough examination to future work. 22
6 Conclusion

We conclude with discussing brieﬂy some directions for future work. In Step 2g of the
Tracking Protocol, there is a canonical choice of S . ",math.AT,C,-0.13928811,-0.12024467,-0.12020351
http://arxiv.org/pdf/2203.15650v1,The stable cohomology of self-equivalences of connected sums of products of spheres,"For the non-truncated directed graph complex an argument similar to this has
been sketched by Willwacher [Wil, Appendix K]. Related work and further research. In recent work of Ebert–Reinhold [ER], they com-
puted the stable cohomology of BDiﬀ ∂ Mgk,,1k+1 up to degree roughly k. To do this, they
actually use that the stable cohomology of Baut∂ Mgk,,1k+1 is trivial in that range. ",math.AT,C,0.09914775,-0.15815252,-0.19061038
http://arxiv.org/pdf/2203.15650v2,The stable cohomology of self-equivalences of connected sums of products of spheres,"For the non-truncated directed graph complex an argument similar to this has
been sketched by Willwacher [Wil14, Appendix K]. Related work and further research. In recent work of Ebert–Reinhold [ER22], they
computed the stable cohomology of BDiﬀ∂ Mgk,,1k+1 up to degree roughly k. To do this,
they actually use that the stable cohomology of Baut∂ Mgk,,1k+1 is trivial in that range. ",math.AT,C,0.08514376,-0.16673818,-0.20491138
http://arxiv.org/pdf/2204.00114v1,Generalized virtual polytopes and quasitoric manifolds,"However, in this paper we are interested only in the volumes of generalized virtual polytopes and
integrals over them, so it is enough for us to work with the chain ∆(h). We will study other valuations on the
space of generalized virtual polytopes in the future works. 5.1. ",math.AT,B,-0.089968204,-0.14298248,0.057151273
http://arxiv.org/pdf/2204.01910v1,Quasi-2-Segal sets,"But we also expect that the path space criterion and edgewise subdivision
criterion, which say that a simplicial set is quasi-2-Segal if and only if certain construc-
tions are quasi-categories, will allow for a direct application of quasi-category theory in
some situations. One avenue for future work, attempting to generalize our results to the
QUASI-2-SEGAL SETS  5

d-Segal case for d > 2, turns out to be somewhat of a dead end for reasons we explain
in Section 8. 1.1. ",math.AT,B,-0.13437837,-0.07341119,0.4944086
http://arxiv.org/pdf/2204.01910v2,Quasi-2-Segal sets,"But we also expect that the path space criterion and edgewise subdivision
criterion, which say that a simplicial set is quasi-2-Segal if and only if certain construc-
tions are quasi-categories, will allow for a direct application of quasi-category theory in
some situations. One avenue for future work, attempting to generalize our results to the
QUASI-2-SEGAL SETS  5

d-Segal case for d > 2, turns out to be somewhat of a dead end for reasons we explain
in Section 8. 1.1. ",math.AT,B,-0.13437837,-0.07341119,0.4944086
http://arxiv.org/pdf/2204.01910v3,Quasi-2-Segal sets,"But we also expect that the path space criterion and edgewise subdivision
criterion, which say that a simplicial set is quasi-2-Segal if and only if certain construc-
tions are quasi-categories, will allow for a direct application of quasi-category theory in
some situations. One avenue for future work, attempting to generalize our results to the
QUASI-2-SEGAL SETS  5

d-Segal case for d > 2, turns out to be somewhat of a dead end for reasons we explain
in Section A.2. 1.1. ",math.AT,B,-0.13697985,-0.06498079,0.4999915
http://arxiv.org/pdf/2204.04368v1,Homotopy of manifolds stabilized by projective spaces,"In Section 4
we specialize to prove Theorem 1.1 and show Example 1.2. Section 5 is devoted to further study the
homotopy type of the homotopy ﬁbre F under an additional hypothesis, and this is used in Section 6
to show Example 1.3. Acknowledgement Ruizhi Huang was supported in part by the National Natural Science Founda-
tion of China (Grant nos. ",math.AT,B,0.1672999,-0.17746872,-0.06552318
