url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.01319v2,Local Limit Theorems for Complex Functions on $\mathbb{Z}^d$,"The author suspects that the one-dimensional
problem is tractable in light of the methods of [19] and [5]; however, a more robust analysis of the
oscillatory integrals considered in this article would likely be needed to handle the case in which d > 1. Another direction of further research involves the condition µ < 1 appearing in Theorem 1.9, Theorem
2.4, and Theorem 3.8. For a local limit theorem to be valid for φ where Ω(φ) contains a point of
imaginary homogeneous type for φ, this condition is not necessary. ",math.CA,C,-0.13080248,0.086071916,-0.07865037
http://arxiv.org/pdf/2201.01909v1,Matrix representations for some self-similar measures on $\mathbb{R}^{d}$,"In the rest of this section, we deﬁne for each ∆ ∈ ξn (n ≥ 0) its characteristic
vector and symbolic expression. To this end, we ﬁrst introduce a linear order on
Φ∗ := {SI : I ∈ Σ∗}, which enables us to rewrite Λn(∆) and Nn(∆) as ordered
vectors and is important for our further analysis (cf. Lemma 2.10). ",math.CA,C,-0.29610094,-0.28831142,0.1135659
http://arxiv.org/pdf/2201.01909v2,Matrix representations for some self-similar measures on $\mathbb{R}^{d}$,"In the rest of this section, we deﬁne for each ∆ ∈ ξn (n ≥ 0) its characteristic
vector and symbolic expression. To this end, we ﬁrst introduce a linear order on
Φ∗ := {SI : I ∈ Σ∗}, which enables us to rewrite Λn(∆) and Nn(∆) as ordered
vectors and is important for our further analysis (cf. Lemma 2.10). ",math.CA,C,-0.29610094,-0.28831142,0.1135659
http://arxiv.org/pdf/2201.02371v1,The Green's function of the Lax-Wendroff and Beam-Warming schemes,"With no Gaussian factor, the very slow decay of the Airy function on R− would not ﬁt with the
observed fast decaying behavior of Gjn. However, we have not been able so far to obtain accurate bounds
for the diﬀerence Gjn − Hj n. This is postponed to a future work. We now give the proof of Theorem 1 in the case c3 > 0 and leave the case c3 < 0 to the interested
reader. ",math.CA,B,0.21801005,-0.19804719,-0.09901664
http://arxiv.org/pdf/2201.03838v1,On the equations of Poizat and Liénard,"z−a      z−b
Moreover we will show that it is ω-categorical. We now focus on the case when f (z) = g(z) and will further study the
condition f (ax + b) = f (x). Recall that f (z) is such that zz′′′ = f (z) is
strongly minimal. ",math.CA,C,-0.031929344,-0.053050924,0.0250937
http://arxiv.org/pdf/2201.05422v1,Rational spectral transformation of continued fractions associated to a perturbed $R_I$ type recurrence relations,"This observation raises a question that what assumptions on µk’s and
νk’s to be made such that the co-modiﬁed (or co-dilated) RI polynomials do show some
interlacing with the unperturbed polynomials. Although, this subject is not dealt in this
manuscript and attracts further research. 4. ",math.CA,C,0.0661219,-0.07046991,0.17053533
http://arxiv.org/pdf/2201.08493v1,Some new results for subsequences of Nörlund logarithmic means of Walsh-Fourier series,"In order not to disturb our
discussions later on some deﬁnitions and notations are given in Section
4. Finally, Section 5 is reserved for some open questions we hope can
be a source of inspiration for further research in this interesting area. 2. ",math.CA,C,-0.22365719,-0.06127833,0.15874653
http://arxiv.org/pdf/2201.11583v1,Weighted fractional calculus: a general class of operators,"Section 4 extends the results of the previous section to the larger class of operators given by weighted
fractional calculus with respect to functions; this larger class can again be characterised by conjugation
relations, and it includes examples such as the Hadamard-type and Erd´elyi–Kober fractional calculi. In
Section 5 we conclude with a summary and some pointers for future work on weighted fractional calculus. 2 Preliminaries

We ﬁrstly provide the deﬁnitions of the classical fractional integrals and derivatives of Riemann–Liouville
and Caputo, then state some basic composition results and examples concerning them. ",math.CA,A_centroid,-0.27335376,0.5458419,0.11529991
http://arxiv.org/pdf/2201.11583v2,Weighted fractional calculus: a general class of operators,"Section 4 extends the results of the previous section to the larger class of operators given by weighted
fractional calculus with respect to functions; this larger class can again be characterised by conjugation
relations, and it includes examples such as the Hadamard-type and Erd´elyi–Kober fractional calculi. In
Section 5 we conclude with a summary and some pointers for future work on weighted fractional calculus. 2 Preliminaries

We ﬁrstly provide the deﬁnitions of the classical fractional integrals and derivatives of Riemann–Liouville
and Caputo, then state some basic composition results and examples. ",math.CA,A,-0.27359807,0.54477024,0.11603095
http://arxiv.org/pdf/2202.00249v1,On modified second Paine-de Hoog-Anderssen boundary value problem,"While
                       the regular Sturm–Liouville problem was introduced by and the focus of Sturm’s and
                       Liouville’s works, the singular Sturm–Liouville problem was initiated by Hermann Weyl
                       from Göttingen, Germany, who investigated some ODEs with singularities and proposed
                       the topic of the essential spectrum in 1910 [20]. Indeed, the progressive development
                       of quantum theory in the 1920s and 1930s and a breakthrough in the general spectral
                       theorem for unbounded self-adjoint operators in the Hilbert space provided an impetus
                       for further examination into the spectral theory of Sturm–Liouville self-adjoint differential
                       operators [6,21]. The body of literature on Sturm–Liouville theory is overwhelmingly plentiful. ",math.CA,A,-0.13634026,0.24898891,0.028411679
