url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00980v1,Discrete and Continuous Welch Bounds for Banach Spaces with Applications,"In this paper we derive both discrete and continuous Welch bounds
for Banach spaces. We ask several open problems for further research. 2. ",math.FA,B,0.0001462046,-0.30901444,-0.08358195
http://arxiv.org/pdf/2201.03793v1,Microlocal properties of seven-dimensional lemon and apple Radon transforms with applications in Compton scattering tomography,"Thus, there
is a trade of to consider here, i.e., do we want higher Signal to Noise Ratio (SNR) and more
artifacts, or less SNR with less artifacts? We leave such practical concerns for future work. 5. ",math.FA,A,0.21670645,0.12769681,-0.07235289
http://arxiv.org/pdf/2201.04175v4,A generalization of the Moreau-Yosida regularization,"In addition, the authors studied the Lions–Lasry regularization for more
general kernels, i.e.,

   (fλ)µ(u) := sup inf f (w) + 1 g( v − w ) − 1 g( u − v )
               v∈X w∈X  λ                                    µ

for a convex, monotonically increasing, coercive, and continuously diﬀerentiable function
h : R+ → R+ with h(0) = 0. However, for non-convex functionals f , none of the previous results duplicate our results,
and it is subject to future work to reproduce our results for the non-convex case with the
aid of the previous results for non-convex functionals. We refer the interested reader to
[Ber10, BTZ11, JTZ14] and the references therein for more results in the non-convex case. ",math.FA,B,-0.05536917,0.08928645,-0.01940584
http://arxiv.org/pdf/2201.12350v1,Endpoint weak Schatten class estimates and trace formula for commutators of Riesz transforms with multipliers on Heisenberg groups,"For

example, following from [36, Corollary 1.5], one can apply the trace formula (1.2) to give an alternative proof of [22,

(2) in Theorem 1.1]. We highlight that the new approach that we develop opens the door for further study of the endpoint Schatten–

Lorentz class estimates of commutators [A, M f ] in various settings where Fourier analysis is not available (or not as
eﬀective as that in Rn). Potential developments includes the endpoint Schatten–Lorentz class estimates for commutators

[Rℓ, M f ], where Rℓ is the ℓ−th Riesz transforms on H-type groups or stratiﬁed Lie groups, which will be addressed in

our subsequent papers. ",math.FA,C,0.10545242,0.32281834,0.105610505
http://arxiv.org/pdf/2201.12350v2,Endpoint weak Schatten class estimates and trace formula for commutators of Riesz transforms with multipliers on Heisenberg groups,"For

example, following from [37, Corollary 1.5], one can apply the trace formula (1.2) to give an alternative proof of [22,

(2) in Theorem 1.1]. We highlight that the new approach that we develop opens the door for further study of the endpoint Schatten–

Lorentz class estimates of commutators [A, M f ] in various settings where Fourier analysis is not available (or not as
eﬀective as that in Rn). Potential developments includes the endpoint Schatten–Lorentz class estimates for commutators

[Rℓ, M f ], where Rℓ is the ℓ−th Riesz transforms on H-type groups or stratiﬁed Lie groups, which will be addressed in

our subsequent papers. ",math.FA,C_centroid,0.10420485,0.32301623,0.10415695
http://arxiv.org/pdf/2201.12881v4,Oscillating singular integral operators on graded Lie groups revisited,"Remark 2.15. It can be shown that a Lie group G is graded if and only if there exists
a diﬀerential Rockland operator on G.

   Next, we record for our further analysis some aspects of the functional calculus for
Rockland operators. Remark 2.16. ",math.FA,C,-0.058405884,0.1631816,0.14490259
http://arxiv.org/pdf/2202.00491v1,A Topological Approach to Mapping Space Signatures,"The path signature has recently become a powerful tool in both pure mathematics,
primarily through the development of rough paths [25], and applied mathematics. The
wide applicability of the path signature suggests further study into how the mapping
space signature can provide meaningful generalizations in these two domains. • Can we use the mapping space signature to deﬁne a higher dimensional ana-
  logue of rough paths? ",math.FA,C,-0.015311805,0.03887008,0.14895514
http://arxiv.org/pdf/2202.01853v1,Posinormal Composition Operators on $H^2$,"In Sections 5 and 6, respectively, we complete our
characterization work, handling, in Section 5 the case where ϕ has Denjoy-Wolﬀ point in D and its second
ﬁxed point outside of D− and then in Section 6 the case where ϕ has Denjoy-Wolﬀ point in D and its second
ﬁxed point on the unit circle. We conclude with questions for further research in Section 7. The most challenging ﬁxed-point scenario for our characterization work is that of Section 5, in which
ϕ is assumed to have Denjoy-Wolﬀ point in D and its second ﬁxed point outside of D−. ",math.FA,C,-0.027167905,-0.038014643,0.3119489
http://arxiv.org/pdf/2202.02536v4,Locally solid convergences and order continuity of positive operators,"We will say that a locally solid convergence η on F is idempotent if for any nets
(fα)α∈A , (gβ)β∈B ⊂ F+ such that gβ −→ 0F and (fα − gβ)+ −→ 0F , for every β, it follows that
                         β                   α

fα −→ 0F . Note that the corresponding notion of the product of locally solid convergences
      α

will be explored in the future works. Idempotent convergences come handy in the following

auxiliary result. ",math.FA,B,0.008328424,-0.07550674,0.002650069
http://arxiv.org/pdf/2202.03591v1,On some convexity and monotonicity inequalities of Elliott Lieb,"Nonetheless, Theorem 4.5, together with the Araki-Lieb Triangle Inequality, also proved in [6]

and discussed in the next section, were suﬃcient [6] to solve the quantum thermodynamic limit

problem that had motivated the conjecture of Lanford and Robinson in the ﬁrst place. Despite

this, interest in proving the original conjecture remained strong, and the progress of Araki and

Lieb inﬂuenced future work. Hence it is worthwhile to recall the simple proof of Theorem 4.5. ",math.FA,A,0.62219214,-0.35375643,0.11715241
