url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00054v1,Generalized Hyperbolic Spaces Associated with Arbitrary Quadratic Forms,"The Cayley

transform yields a ball model, and conjugating the special paravector Vahlen
group by an appropriate element of C(VU,F, qU,F)×+ yields the group denoted by
SD(V, q) in Section 5 of [EGM]. Once again obtaining bounded models in our

more general setting requires to work only with SV(V, q) and some additional
assumptions, so we leave its investigation for further research. We conclude by remarking that the Vahlen and paravector Vahlen groups
were deﬁned in [Mc] over more general commutative rings. ",math.GR,C,0.014768879,0.3215444,-0.05081578
http://arxiv.org/pdf/2201.00711v1,A taste of twisted Brin-Thompson groups,"However,
it seems likely that Vd(G) admits an action as in Theorem 4.2 and hence embeds in a ﬁnitely
presented simple group. We leave this for future work. As another remark, it would be nice to be able to only have to assume that the stabilizer
in G of any ﬁnite subset T ⊆ S is of type Fn−|T |, and still get to conclude that SVG is of type
Fn, but as remarked in the proof above there is not a convenient way to diﬀerentiate edge
12       M. C. B. ZAREMSKY

stabilizers from higher dimensional simplex stabilizers, so it is not clear whether something
like this is possible. ",math.GR,B,-0.15257648,0.11781185,0.13450588
http://arxiv.org/pdf/2201.03879v1,Stabilization of Bounded Cohomology for Classical Groups,"STABILIZATION OF BOUNDED COHOMOLOGY              5

1.2. Outlook and future work. The stability range we obtain for the families above is expo-
nential in the real rank, compared to a conjecturally linear stability range. ",math.GR,C,0.0434429,0.4334131,0.04994894
http://arxiv.org/pdf/2201.07504v3,Subgroup congruences for groups of prime power order,"4. S o m e p ro b l e m s a n d q u e s t i o n s

In this ﬁnal section we outline some open problems and questions, hoping thereby to
stimulate further research on this topic. The only instances of classes X for which Theorem I holds universally (i.e. ",math.GR,A,0.22313574,-0.27050102,0.005982822
http://arxiv.org/pdf/2201.08329v1,Rigidity and automorphisms of large-type Artin groups,"We now come to a ﬁrst study of the dihedral Artin subgroups of a large-type Artin group AΓ. In
this section we introduce some of the notions that will allow us to further study such subgroups
in Section 3 and Section 4. Deﬁnition 2.21. ",math.GR,B,-0.36875796,-0.07976713,-0.06968327
http://arxiv.org/pdf/2202.00822v1,"Houghton-like groups from ""shift-similar"" groups","It seems like one could also merge QVd with self-similar groups G to get groups
we could call quasi-R¨over–Nekrashevych groups QVd(G), which would also have elements
describable using a similar model to the ones we are using here. We will leave any further
analysis of QVd or QVd(G) (the latter of which has not been formally deﬁned anyway) for
future work. 3. ",math.GR,C,-0.26080066,0.06266835,-0.038002905
http://arxiv.org/pdf/2202.02123v1,Binary Subgroups of Direct Products,"In Section 5 we discuss the general construction
of binary subgroups, the process of pushing them forward and pulling them back, and certain
redundancies in the general construction. In the ﬁnal section we discuss possible variations,
open questions, and directions for future work, including an enticing connection with coding
theory. Acknowedgements: I thank Ben Green and Yonathan Fruchter for helpful discussions con-
cerning the connection to coding theory described in Section 6. ",math.GR,B,-0.18570155,-0.45373493,-0.16183417
http://arxiv.org/pdf/2202.02123v2,Binary Subgroups of Direct Products,"In Section 5 we discuss the general construction
of binary subgroups, the process of pushing them forward and pulling them back, and certain
redundancies in the general construction. In the ﬁnal section we discuss possible variations,
open questions, and directions for future work, including an enticing connection with coding
theory. Acknowedgements: I thank Ben Green and Yonathan Fruchter for helpful discussions con-
cerning the connection to coding theory described in Section 6. ",math.GR,B,-0.18570155,-0.45373493,-0.16183417
http://arxiv.org/pdf/2202.06607v1,"Entropy, Ultralimits and the Poisson boundary","Note that in the inﬁmum Iλ,f (X) we only take measures in the measure class of νµ. In a future work, the ﬁrst named author discusses the problem of minimal entropy over all measures
on X, and it will turn out that the inﬁmum remains the same, although this requires considerable
more eﬀort. 26
    We would next like to show that we indeed cover in our analysis all the measures λ which are
symmetric and supported on the set of free generators ∆d. ",math.GR,B,0.5178609,-0.094813794,0.6310329
http://arxiv.org/pdf/2202.06607v2,"Entropy, Ultralimits and the Poisson boundary","Note that in the inﬁmum Iλ,f (X) we only take measures in the measure class of νµ. In a future work, the ﬁrst named author discusses the problem of minimal entropy over all measures
on X, and it will turn out that the inﬁmum remains the same, although this requires considerable
more eﬀort. We would next like to show that we indeed cover in our analysis all the generating measures λ
which are symmetric and supported on the set of free generators and their inverses. ",math.GR,B,0.49864864,-0.082143694,0.6296931
