url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.05150v1,Mathematics of 2-dimensional lattices,"8 New mathematical structures on lattices, conclusions and discussion

This section ﬁrst connects the recent invariants of more general periodic point
sets with complete invariants of lattices. Then we discuss linear operations, scalar
products, CAT(0) property of LIS(R2) and ﬁnally describe future work. Below we prove that other continuous isometry invariants AMD (average min-
imum distances) and PDD (pointwise distance distribution) are complete for lat-
tices, though they make sense for general periodic and ﬁnite point sets [27, 28]. ",math.MG,C,-0.39761907,-0.51330876,-0.14664401
http://arxiv.org/pdf/2201.05150v2,Mathematics of 2-dimensional lattices,"46                                          Vitaliy Kurlin

8 New mathematical structures on lattices, conclusions and discussion

This section ﬁrst connects the recent invariants of more general periodic point

sets with complete invariants of lattices. Then we discuss linear operations, scalar
products, CAT(0) property of LIS(R2) and ﬁnally describe future work. Below we prove that other continuous isometry invariants AMD (average min-
imum distances) and PDD (pointwise distance distribution) are complete for lat-
tices, though they make sense for general periodic and ﬁnite point sets [28, 29]. ",math.MG,C,-0.40521163,-0.49877882,-0.15924399
http://arxiv.org/pdf/2201.05150v3,Mathematics of 2-dimensional lattices,"46                                          Vitaliy Kurlin

8 New mathematical structures on lattices, conclusions, and discussion

This section ﬁrst connects the recent invariants of more general periodic point sets

with the complete invariants of lattices. Then we discuss linear operations, scalar
products, CAT(0) property of LIS(R2) and ﬁnally describe the future work. Below we prove that other continuous isometry invariants AMD (average min-
imum distances) and PDD (pointwise distance distribution) are complete for lat-
tices, though they make sense for general periodic and ﬁnite point sets [31, 32]. ",math.MG,C_centroid,-0.40370047,-0.5070685,-0.1507987
http://arxiv.org/pdf/2201.10543v1,A complete isometry classification of 3-dimensional lattices,"This metric part
of Problem 1.1 is postponed to the next paper, because the invariant part is already
hard in R3. The orientation-aware equivalences (rigid motion and orientation-
preserving similarity) are also postponed for future work. Fig. ",math.MG,A,-0.26745382,-0.029821668,-0.074255556
http://arxiv.org/pdf/2202.05566v1,"Generalized Lipschitz numbers, fine differentiability, and quasiconformal mappings","This indicates the possibility of proving (6.12) also in quite

general metric measure spaces. We will return to this and related questions in future work. References

 [1] G. Alberti, Rank one property for derivatives of functions with bounded variation, Proc. ",math.MG,A_centroid,-0.49531323,0.68409216,-0.28247017
http://arxiv.org/pdf/2202.05566v2,"Generalized Lipschitz numbers, fine differentiability, and quasiconformal mappings","This indicates the possibility of proving (6.12) also in quite

general metric measure spaces. We will return to this and related questions in future work. References

 [1] G. Alberti, Rank one property for derivatives of functions with bounded variation, Proc. ",math.MG,A,-0.49531323,0.68409216,-0.28247017
http://arxiv.org/pdf/2202.05566v3,"Generalized Lipschitz numbers, fine differentiability, and quasiconformal mappings","This indicates the possibility of proving (6.12) also in quite
general metric measure spaces. We will return to this and related questions in future work. References

        [1] G. Alberti, Rank one property for derivatives of functions with bounded variation, Proc. ",math.MG,A,-0.49531323,0.68409216,-0.28247017
http://arxiv.org/pdf/2202.10797v1,Ball packings in hyperbolic space,"Using appropriate weights he could prove, besides the incircles
of the tiling (4, 4, 8), the solidity of several other packings. The work of Heppes
inspired further research. Weighted density of packings has also been studied for
its own sake (see Ha´rs [1990, 1992]). ",math.MG,C,-0.20797543,-0.35315716,-0.20033327
http://arxiv.org/pdf/2202.11358v1,Packing and covering in higher dimensions,"A systematic study of constructions of ball pack-

ings based on error-correcting codes was initiated by Leech and Sloane [1975]. Their work inspired further research, which led to more constructive lower bounds

for the packing density of special classes of convex bodies, approaching, and in some

cases also improving the Minkowski-Hlawka bound. Let Bpn denote the n-dimensional unit superball, that is, the ball for the lp-

norm ( ni=1|xi|p)1/p. ",math.MG,C,-0.3123008,-0.27749756,-0.068665534
http://arxiv.org/pdf/2202.11366v1,Miscellaneous problems about packing and covering,"This last statement is quite non-trivial,

but it follows from Theorem II of Bambah and Woods [1994], see also Makai and

Martini [2016], where a gap in the proof of this theorem was ﬁlled. The observation of Heppes inspired further research. Hausel [1992], Henk and

Zong [2000], Henk, Ziegler and Zong [2002] and Henk [2005] estimated the

greatest number k(n) with the property that for every lattice packing of the n-

dimensional ball there exists a “free k-dimensional plane”, that is, a k-dimensional

plane contain√ed in the complement of the packing. ",math.MG,C,-0.30431104,-0.2538687,-0.083679795
http://arxiv.org/pdf/2204.08089v1,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros","In this case, however, the numerical examples also suggest that the largest root is the
correct one, as well as the one returned by Cardano’s formula. This should facilitate
further analysis, but would require that the analysis be performed separately for Ω1 = 0,
Ω2 = 0 & Ω3 = 0. Yet another approach is to use Eq. ",math.MG,B_centroid,0.8072874,0.04407848,-0.1267991
http://arxiv.org/pdf/2204.08089v2,"An Extension of Heron's Formula to Tetrahedra, and the Projective Nature of Its Zeros","In this case, however, the numerical examples also suggest that the largest root is the
correct one, as well as the one returned by Cardano’s formula. This should facilitate
further analysis, but would require that the analysis be performed separately for Ω1 = 0,
Ω2 = 0 & Ω3 = 0. Yet another approach is to use Eq. ",math.MG,B,0.8072874,0.04407848,-0.1267991
