url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00002v1,Time-Dependent Duhamel Renormalization method with Multiple Conservation and Dissipation Laws,"In such scenarios,
a close control over the conserved quantities of the dynamical system can prove vital to ensure long time accuracy
of the solution. The application of the TDSR to this ﬁeld thus seems natural and is kept for future work. REFERENCES

 [1] Mark J Ablowitz. ",math.NA,C,0.20054847,-0.004808057,-0.28980368
http://arxiv.org/pdf/2201.00498v1,Variational Inverting Network for Statistical Inverse Problems of Partial Differential Equations,"As for the MFVI, the approximate prob-
ability measure may be inaccurate for some highly nonlinear problems. Hence, generalizing
the semi-conjugate VI methods to the inﬁnite-dimensional setting and constructing the cor-
responding DNN-based inference method is worthy to be investigated in future work. For
the current preliminary studies on numerical aspects, we only employ the classical U-Net,
which is not designed for particular inverse problems. ",math.NA,A,-0.19894876,0.085843556,-0.1606294
http://arxiv.org/pdf/2201.00513v1,Affine Iterations and Wrapping Effect: Various Approaches,"The main diﬃculty is to perform products such as Q.Q or U .U ,
without replacing them by the identity, but in a certiﬁed and tight way. As the
SVD-based approach seems more promising, our future work will concentrate on the
use of a certiﬁed SVD factorization, as proposed by van der Hoeven and Yakoubsohn
in [11]. We also plan to consider an interval version of the matrix, using the results
in [5] to keep guarantees on the singular quantities involved in the computations. ",math.NA,A,-0.25106093,0.095790155,0.016402815
http://arxiv.org/pdf/2201.00883v1,Finite-Element Domain Approximation for Maxwell Variational Problems on Curved Domains,"Finally, we were able to consider integer degrees of regularity only in theorems 5.9 and 5.13
(s ∈ {1 : k}). This stems from the same deﬁciency in lemma A.2 and further improvements are left
as future work as well as extensions to more speciﬁc and varied Maxwell variational problems such
as problems in periodic media, FEM/BEM couplings and applications in uncertainty quantiﬁcation
[6, 5, 36]. 23
Acknowledgments

The authors would like to thank Dr. José Pinto and Dr. Fernando Henríquez for their invaluable
comments on earlier versions of this manuscript. ",math.NA,C,0.26709247,0.27582616,-0.15311241
http://arxiv.org/pdf/2201.00888v1,"GP-HMAT: Scalable, ${O}(n\log(n))$ Gaussian Process Regression with Hierarchical Low-Rank Matrices","One major advancement is parallelizing the factorization of
oﬀ-diagonal blocks. Recursive factorization of these blocks in a hierarchical semisep-
arable format is another advancement that we plan to pursue in our future work. Another limitation is the range of applicability with respect to various kernels. ",math.NA,A,-0.278134,0.022732481,0.15633322
http://arxiv.org/pdf/2201.00904v1,Deep neural networks for smooth approximation of physics with higher order and continuity B-spline base functions,"4. Conclusions and future work

    In terms of research objectives, the results of this paper are as follows:

   1. Investigating the viability of using NN for approximating coeﬃcients
       of base B-spline functions used in IGA. ",math.NA,C,0.035778444,0.00457503,0.1903975
http://arxiv.org/pdf/2201.01617v1,Nonlinear lumped-parameter models for blood flow simulations in networks of vessels,"to the fully 1D networks, even for long term simulations, and that the results will be signiﬁcantly improved
with respect to the fully 0D networks, still preserving the topology of the original 1D network and without
losing any essential information with respect to the full 1D model. For this purpose, future work will include
to ﬁnd relevant a-priori model selection criteria to deﬁne an adaptive model selection strategy that will allow
to determine, given a network, the most suitable model to be used for each vessel of the network, either the 1D
model or the newly derived nonlinear 0D models. Moreover, we will consider purely 0D and hybrid 1D-0D couplings in order to ﬁnd appropriate coupling condi-
tions between 1D/0D vessels that do not require any restrictions on the admissible 0D vessel types converging
at a junction. ",math.NA,C,0.027453594,0.09243648,0.0107553415
http://arxiv.org/pdf/2201.01906v1,A Divergence-Conforming Hybridized Discontinuous Galerkin Method for the Incompressible Magnetohydrodynamics Equations,"Finally, we demonstrated our method is energy
stable using the Kelvin-Helmholtz instability problem. In future work, there are several directions that could be explored. While the method and theoretical results
appearing in this paper apply to both two- and three-dimensional incompressible MHD, it would be valuable
to numerically conﬁrm the spatial accuracy, temporal accuracy, pressure robustness, and energy stability of
our method for three-dimensional incompressible MHD. ",math.NA,B,0.24276671,-0.15994698,-0.03467651
http://arxiv.org/pdf/2201.01970v1,Parallel Multi-Stage Preconditioners with Adaptive Setup for the Black Oil Model,"In the future,
parallel performance of the adaptive SETUP multi-stage preconditioners needs to be further
Li Zhao, Chunsheng Feng, Chensong Zhang and Shi Shu  17

improved. This paper only considers OpenMP and CUDA implementations for the proposed
parallel GS algorithm and further research will be conducted for MPI parallelism. Acknowledgments. ",math.NA,B,-0.2500533,-0.27416736,0.12095916
http://arxiv.org/pdf/2201.01970v2,Parallel Multi-Stage Preconditioners with Adaptive Setup for the Black Oil Model,"In the future, the parallel performance of
the adaptive SETUP multi-stage preconditioners needs to be further improved. This paper
only considered OpenMP and CUDA implementations for the proposed parallel GS algorithm,
so further research will be conducted for MPI parallelism. Acknowledgments. ",math.NA,B,-0.2558704,-0.27749678,0.13889988
