url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00501v1,Squares of the form $\prod_{k=1}^n (2k^2+l)$ with $l$ odd,"Conjecture 8.1 is quite diﬃcult to prove as it requires more thorough analysis on the bounds
of the p-adic valuation of P2,l(n). We leave further research concerning Conjecture 8.1 to the
interested reader. References

 [1] T. Amdeberhan, L. Medina, and V. Moll, Arithmetical properties of a sequence arising from an arctangent
      sum, J. ",math.NT,A_centroid,-0.07710736,0.066315025,0.0074942503
http://arxiv.org/pdf/2201.01464v1,On some mod $p$ representations of quaternion algebra over $\mathbb{Q}_p$,"It would be interesting to describe the precise structure of JL(ρ). We plan to
come back to this question in future work. We now give a brief overview of the contents of each section. ",math.NT,B,0.12682925,-0.23826995,0.107087895
http://arxiv.org/pdf/2201.01464v2,On some mod $p$ representations of quaternion algebra over $\mathbb{Q}_p$,"It would be interesting to describe the precise structure of JL(ρ). We plan to come back
to this question in future work. We now give a brief overview of the contents of each section. ",math.NT,B,0.12682925,-0.23826995,0.107087895
http://arxiv.org/pdf/2201.02078v1,Eisenstein degeneration of Euler systems,"discussed below. We hope to pursue this further in a future work. We have also included an extensive section devoted to recall the main results around the Euler systems
discussed in this note. ",math.NT,B,-0.15168189,-0.079913214,-0.001231706
http://arxiv.org/pdf/2201.02663v1,Remainder in Modified Mertens Formula and Ramanujan Inequality,"3; in Section 2 all needed
auxillaries and the main Lemma are adduced; in Sect. 4 some corollaries and
directions of further research are given. 2. ",math.NT,C,0.36733267,0.14315385,0.052183915
http://arxiv.org/pdf/2201.03270v1,The Fourier-Jacobi Periods : The case of $Mp(2n+2r) \times Sp(2n)$,"This theorem is expected to hold in general without such hypotheses (see Conjecture 1.) We will
meditate on removing these two hypotheses in the future work. This paper is organized as follows. ",math.NT,C,0.2936976,0.41837308,0.036838267
http://arxiv.org/pdf/2201.06939v1,On Power Values of Sum of Divisors function in Arithmetic Progressions,"Theorem 2. For any given integers a ≥ 1, b ≥ 0 and k ≥ 2, either σ(an+b)
is not a perfect kth power for any natural number n or σ(an + b) is a perfect
kth power for inﬁnitely many natural numbers n.

   In the ﬁnal section, we give few open questions for further research. 2. ",math.NT,A,-0.19313355,0.24408326,-0.3020478
http://arxiv.org/pdf/2201.06939v2,On Power Values of Sum of Divisors function in Arithmetic Progressions,"Theorem 2. For any given integers a ≥ 1, b ≥ 0 and k ≥ 2, either
σ(an+b) is not a perfect kth power for any natural number n or σ(an+
b) is a perfect kth power for inﬁnitely many natural numbers n.

   In the ﬁnal section, we give few open questions for further research. 2. ",math.NT,A,-0.19313355,0.24408326,-0.3020478
http://arxiv.org/pdf/2201.07431v1,Some identities and properties on degenerate Stirling numbers,"degenerate Stirling numbers of the second kind; degenerate r-Stirling numbers of the second
                                          kind; degenerate Stirling numbers of the ﬁrst kind; unsigned degenerate Stirling numbers of the ﬁrst kind. 1
2                                    TAEKYUN KIM AND DAE SAN KIM

The aim of this paper is by using generating functions to further study some identities and proper-
ties on the degenerate Stirling numbers of the second kind, the degenerate r-Stirling numbers of the
second kind, the degenerate Stirling numbers of the ﬁrst kind and the unsigned degenerate Stirling
numbers of the ﬁrst kind. The outline of this paper is as follows. ",math.NT,B,-0.3871513,0.07544315,-0.02126524
http://arxiv.org/pdf/2201.10124v1,"Asymptotic expansions for a class of generalized holomorphic Eisenstein series, Ramanujan's formula for $ζ(2k+1)$, Weierstrass' elliptic and allied functions","Subsequent
research was made by Berndt [1], who especially treated in this respect a class of gener-
alized Dedekind eta function and Dedekind sums. Berndt [3] made further research into
this direction in connection with Euler’s and Ramanujan’s formulae for speciﬁc values of
ζ(s), while he [2] also studied certain character analogues of FZ2(s; α, β; 0, 0; z) to show
Ramanujan type formulae for Dirichlet L-functions. Matsumoto [19], on the other hand,
more recently derived complete asymptotic expansions for F (s; z) when both z → 0 and
z → ∞ through H+; the former can be viewed as a prototype of our Theorem 2. ",math.NT,B,-0.34222612,-0.04501825,0.31865537
http://arxiv.org/pdf/2201.10124v2,"Asymptotic expansions for a class of generalized holomorphic Eisenstein series, Ramanujan's formula for $ζ(2k+1)$, Weierstrass' elliptic and allied functions","Subsequent
research was made by Berndt [1], who especially treated in this respect a class of gener-
alized Dedekind eta function and Dedekind sums. Berndt [3] made further research into
this direction in connection with Euler’s and Ramanujan’s formulae for speciﬁc values of
ζ(s), while he [2] also studied certain character analogues of FZ2(s; α, β; 0, 0; z) to show
Ramanujan type formulae for Dirichlet L-functions. Matsumoto [19], on the other hand,
more recently derived complete asymptotic expansions for F (s; z) when both z → 0 and
z → ∞ through H+; the former can be viewed as a prototype of our Theorem 2. ",math.NT,B,-0.34222612,-0.04501825,0.31865537
http://arxiv.org/pdf/2201.11077v1,Bounds on the number of rational points of curves in families,"In addition to this local statement, we require uniform control of the number of
points x for which ρx is not semisimple. This can either come from the proof by Faltings that in fact
all ρx are semisimple [Fal83, Satz 3] or from further analysis of the period map:

PROPOSITION 5.3 Let F be a number ﬁeld and S be a ﬁnite set of primes. Then there exists a constant
C′′ = C′′(F, S, g) such that

                                      {x ∈ C(OF,S) | ρx is not semisimple} ≤ C′′

for all smooth projective curves C/OF,S. ",math.NT,C,0.4167722,0.025598751,0.020553384
http://arxiv.org/pdf/2201.11077v2,Bounds on the number of rational points of curves in families,"In addition to this local statement, we require uniform control of the number of
points x for which ρx is not semisimple. This can either come from the proof by Faltings that in fact
all ρx are semisimple [Fal83, Satz 3] or from further analysis of the period map:

PROPOSITION 5.4 Let F be a number ﬁeld and S be a ﬁnite set of primes. Then there exists a constant
N ′′ = N ′′(F, S, g) such that

                                 {x ∈ C(OF,S) | ρx is not semisimple} ≤ N ′′

for all smooth projective curves C/OF,S. ",math.NT,C,0.40768778,0.031769596,0.024492934
http://arxiv.org/pdf/2201.12783v1,On a problem of Romanoff type,"1
2                YUCHEN DING

and V (x) = |V ∩ [1, x]|. In 2014, Chen and Yang [8] proved that
                                             V (x) ≫ x
                                                        log log x

and they posed the following problem for further research. Problem 1 (Chen–Yang). ",math.NT,C,-0.0077590626,0.54467106,-0.03766325
http://arxiv.org/pdf/2201.12783v2,On a problem of Romanoff type,"1
2  YUCHEN DING

and V (x) = |V ∩ [1, x]|. In 2014, Chen and Yang [8] proved that
                                             V (x) ≫ x
                                                        log log x

and they posed the following problem for further research. Problem 1 (Chen–Yang). ",math.NT,C,-0.007759124,0.54467094,-0.03766323
http://arxiv.org/pdf/2201.12783v3,On a problem of Romanoff type,"1
2                YUCHEN DING

and V (x) = |V ∩ [1, x]|. In 2014, Chen and Yang [7] proved that
                                             V (x) ≫ x
                                                        log log x

and posed the following problem for further research. Problem 1 (Chen–Yang). ",math.NT,C,-0.0006639641,0.5457151,-0.027526125
http://arxiv.org/pdf/2202.00611v1,Series representation of arborified zeta values,"Instead, this series representation of AZVs deﬁned by iterated integrals
should be seen as a new generalisation of MZVs deﬁned as iterated series. It is not the purpose of
this paper to explore their algebraic structures and we left that for further research. Instead, we
will focus on relating this new generalisation to other generalised MZVs. ",math.NT,B,-0.18385904,0.081732035,0.4131103
