url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00797v1,On Tempered Discrete and Lévy White Noises,"We ﬁnally used the discrete characterization
in our analysis of the tempered Lévy white noises in Theorem 2. In future works, we
plan to extend the proposed considerations to new spaces of generalized functions, including
tempered ultra-distributions [39] and Fourier hyperfunctions [23]. References

 [1] S. Aziznejad and J. Fageot. ",math.PR,C,0.047948457,0.38497442,-0.1576601
http://arxiv.org/pdf/2201.01514v1,Local limit theorem for complex valued sequences,"The three hypotheses we presented above will be crucial in the rest of the paper. Some of them could maybe

be less restrictive, but this would be consideration for future works. Finally, by deﬁning the discrete Dirac mass δ = (δj,0)j∈Z, we introduce the so-called temporal Green’s
function deﬁned by

                                                  ∀n ∈ N∗, ∀j ∈ Z, Gjn := (Lanδ)j . ",math.PR,C,0.08164321,0.13216591,-0.016947782
http://arxiv.org/pdf/2201.01514v2,Local limit theorem for complex valued sequences,"The three hypotheses we presented above

will be crucial in the rest of the paper. Some hypotheses might be relaxable, but this would be considerations

for future works. Finally, by deﬁning the discrete Dirac mass δ := (δj,0)j∈Z, we introduce the so-called temporal Green’s

function deﬁned by

                                                      ∀n ∈ N, ∀j ∈ Z, Gjn := (Lanδ)j . ",math.PR,C,0.072364494,0.1276944,-0.0014149463
http://arxiv.org/pdf/2201.02041v3,Accuracy criterion for mean field approximations of Markov processes on hypergraphs,"Section
4 discusses further reductions of NIMFA to more simple approximations used
throughout the literature. Section 5 contains a summary of this paper along
with the limitations of these results and possible directions for further research. Finally, proofs are contained in Section 6. ",math.PR,B,0.10272734,-0.17286174,0.10457645
http://arxiv.org/pdf/2201.03283v1,An application of the splitting-up method for the computation of a neural network representation for the solution for the filtering equations,"Secondly, more numerical studies have to be performed to accurately evaluate the capabil-
ities of neural networks in situations of higher practical relevance than the synthetic study
we have performed in this work. We plan to investigate this topic further in future work. 1.1 Notation

Throughout this paper, N denotes the natural numbers without zero and N0 is the set of

natural numbers including zero. ",math.PR,A,-0.09346108,-0.12964258,0.07722489
http://arxiv.org/pdf/2201.03315v1,Edge and vertex flippings in regular and bipartite graphs,"Its eigenvalues and stationary distributions for some cases are identiﬁed in the same
                                                  paper. We further study its spectral properties to show a lower bound for the rate
                                                  of convergence in the case of regular graphs. In particular, we show a cutoﬀ of order
                                                  n4 log n for the edge ﬂipping on the complete graph. ",math.PR,A,-0.22856146,-0.07068216,-0.19270536
http://arxiv.org/pdf/2201.03315v2,Mixing time bounds for edge flipping on regular graphs,"In the same paper, its eigenvalues and
                                                     stationary distributions for some classes of graphs are identiﬁed. We further study its spectral
                                                     properties to show a lower bound for the rate of convergence in the case of regular graphs. Moreover, we show that a cutoﬀ occurs at 14 n log n for the edge ﬂipping on the complete
                                                     graph by a coupling argument. ",math.PR,A,-0.21788898,-0.10071806,-0.2092948
http://arxiv.org/pdf/2201.03315v3,Mixing time bounds for edge flipping on regular graphs,"In the same paper, its eigenvalues and
                                                      stationary distributions for some classes of graphs are identiﬁed. We further study its spectral
                                                      properties to show a lower bound for the rate of convergence in the case of regular graphs. Moreover, we show that a cutoﬀ occurs at 14 n log n for the edge ﬂipping on the complete
                                                      graph by a coupling argument. ",math.PR,A,-0.21788898,-0.10071806,-0.2092948
http://arxiv.org/pdf/2201.03406v1,A Unified Stochastic SIR Model,"Figure 5: E-M scheme simulation 3 of system (3.3) illustrating disease persistence. 5 Conclusion and future work

In this paper, we propose and investigate the uniﬁed stochastic SIR model given by the system
(1.3). We have presented two forms of the model–one for population proportions and the other
for population numbers. ",math.PR,A,-0.34720007,-0.08237025,0.1363793
http://arxiv.org/pdf/2201.03882v2,A fully nonlinear Feynman-Kac formula with derivatives of arbitrary orders,". , ∂xλ1n1 · · · ∂xλdnd u(t, x) , also depending on (t, x) ∈ [0, T ] × Rd, is
possible while making the description of the algorithm signiﬁcantly more cumbersome, and

is the object of future work. In the sequel we will use the following version of the multivariate Fa`a di Bruno formula,
which follows from Theorem 2.1 in [CS96]. ",math.PR,C,-0.02619144,0.33991712,0.28052354
http://arxiv.org/pdf/2201.05029v1,A probabilistic analysis of shotgun sequencing for metagenomics,"6. Discussion and future work

   This research paper is designed to explore the basic requirements for shotgun DNA
reconstruction in the metagenomics case. We obtain these results by considering
a blind reconstruction of a set of genomes under an IID model. ",math.PR,B,0.035995148,-0.18721944,0.06696011
http://arxiv.org/pdf/2201.05085v1,The free energy of a box-version of the interacting Bose gas,"It is certainly desirable to overcome this assumption. The method developed
in the present paper seems to give a suitable ansatz to do so in future work. 4. ",math.PR,B,0.26608792,-0.071007885,0.14992408
http://arxiv.org/pdf/2201.05377v1,Localization of a one-dimensional simple random walk among power-law renewal obstacles,"Using standard tools from the theory of random walks in random environment,
       one can thus establish that as x → ∞,

          x2                                (γ < 1)
                                            (1 < γ < 2)
                                             (2 < γ). (1.25)  E(Hx|σ > Hx) ∼ (cst)  x2/γ
                                          x

     Letting x = τℓ0−1, this leads to an estimate for the expected hitting time of the
     optimal gap that is much smaller than n. We postpone to future work a more precise
     study of Hτℓ0−1 under P(·|σ > n). (5) (Bernoulli obstacles) The case of Bernoulli obstacles has been extensively studied
     in the literature. ",math.PR,A,-0.33633137,-0.08304423,-0.11699106
http://arxiv.org/pdf/2201.05859v1,On Merging of Stochastic Flow of Semi-Markov Dynamics,"It is clear that the results of Section 4 cannot be extended in

a straight forward manner for this general case. We wish to pursue further research in these directions. Appendix A.

Lemma A.1. ",math.PR,B,0.42400002,-0.23870048,0.09500927
http://arxiv.org/pdf/2201.05859v2,On Merging of Stochastic Flow of Semi-Markov Dynamics,"It is clear that the results of Section 4 cannot be extended
in a straight forward manner for this general case. We wish to pursue further research in these directions. Acknowledgement

The authors are grateful to Professors Mrinal K. Ghosh, and Gopal K. Basak for some helpful discussions. ",math.PR,B,0.330753,-0.28269297,0.17750093
http://arxiv.org/pdf/2201.05859v3,On Merging of Stochastic Flow of Semi-Markov Dynamics,"It is clear that the results of Section 4 cannot be extended
in a straight forward manner for this general case. We wish to pursue further research in these directions. Acknowledgement

The authors are grateful to Professors Mrinal K. Ghosh, and Gopal K. Basak for some helpful discussions. ",math.PR,B,0.330753,-0.28269297,0.17750093
http://arxiv.org/pdf/2201.05876v1,"Brownian motion, martingales and Itô formula in Clifford analysis","As a practical
application of tools of stochastic Cliﬀord analysis developed in this paper, we
have illustrated how classical results in Cliﬀord analysis, such as solvability
of a Dirichlet problem for monogenic functions and Liuville’s theorem, can be
proved from the stochastic point of view. Further, the Itoˆ formula introduced
in this paper, is a basis for addressing stochastic partial diﬀerential equations
in Cliﬀord analysis, which is the scope of our future work. Acknowledgement

We thank sincerely the reviewers for providing excellent constructive com-
ments and suggestions, which have helped improving the paper. ",math.PR,C,0.0008335151,0.27136546,-0.042342324
http://arxiv.org/pdf/2201.05886v1,Large N limit of the Yang-Mills measure on compact surfaces II: Makeenko-Migdal equations and planar master field,"We show here that the ﬁrst hurdle can be
        overcome, allowing to reduce the problem, completely in the torus case and partially
        when g ≥ 2, to the class of loops considered in [16]. We leave the completion of this
        program for all compact surfaces to a future work. The paper is organised as follows. ",math.PR,B,0.11875379,-0.18483187,0.1611077
http://arxiv.org/pdf/2201.06156v1,Universality for low degree factors of random polynomials over finite fields,"This data seems to support the idea that at least for low degree factors, most of
the error seems to come from roots of low order. It also seems like the error should
note really deteriorate for large p, which warrants further study since our methods
are unsuited for this. 8.2. ",math.PR,B,0.051302988,-0.24771169,0.24874488
http://arxiv.org/pdf/2201.06156v2,Universality for low degree factors of random polynomials over finite fields,"The black line indicates 1i , which is a
good approximation for the expected value under the uniform model

for large p.

   This data seems to support the idea that at least for low degree factors, most of
the error seems to come from roots of low order. It also seems like the error should
note really deteriorate for large p, which warrants further study since our methods
are unsuited for this. 32  JIMMY HE, HUY TUAN PHAM, AND MAX WENQIANG XU

    0 0.2 0.4 0.6 0.8 1  0 0.2 0.4 0.6 0.8 1   0 0.2 0.4 0.6 0.8 1

          (a) p = 11     (b) p = 10, 000, 079  (c) Poisson-Dirichlet

    Figure 8.4. ",math.PR,A,-0.15810762,-0.15309605,0.24811676
