url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.01146v1,A triangular system for local character expansions of Iwahori-spherical representations of general linear groups,"Thus,
Theorem 1.1 follows from a computation of the triangular basis transition matrix, which
is a combinatorial exercise handled in Section 2.1. We hope that our result may be extended in future work into a more general un-
derstanding of the elusive links between Harish-Chandra–Howe character distributions,
Iwahori–Hecke algebra representation theory and invariants arising from degenerate Whit-
taker models. In that context we mention a related work of Ciubotaru–Mason-Brown–
Okada [CMBO21] on the role of Arthur packets in the description of the wavefront set for
Iwahori-spherical representations. ",math.RT,B,-0.24851191,-0.138719,-0.08120954
http://arxiv.org/pdf/2201.01998v2,"Cellularity for weighted KLRW algebras of types $B$, $A^{(2)}$, $D^{(2)}$","(b) The construction of the middle is then crucial. This part in noncanonical, although mostly dictated
      by Remark 4A.1 and we hope to explain a more general approach in future work. Note that
      additional dots might be necessary to prevent basis elements being annihilated by (3A.3) and to
      have the analog of Lemma 5C.18. ",math.RT,C,0.027971275,0.20039433,0.054363787
http://arxiv.org/pdf/2201.03347v1,Homotopy reductions of dg morphism spaces between Rouquier complexes,"Those CW complex and their combinatorics are somehow reminiscent of the
associahedron

    The homotopy category of the Hecke category is also used in [1] as a modular
replacement for the mixed derived category of sheaves on the (aﬃne) ﬂag variety. In future work we will apply these same techniques to study morphism spaces
between objects in this category that correspond to Wakimoto sheaves in the A˜1
case. These lift the lattice part of the aﬃne Hecke algebra and the understanding
of their subcategory is a ﬁrst step towards a Bernstein presentation of the aﬃne
Hecke category. ",math.RT,B,-0.05833283,0.002806943,0.3194626
http://arxiv.org/pdf/2201.04930v1,Reduction Theorems for Generalised Block Fusion Systems,"This theorem is very useful, since

Bonnaf´e, Dat and Rouquier prove in [2] that the fusion system of an arbitrary block
of XF is equivalent to the fusion system of a block of NF covering a unipotent block
of GF in many cases. Thus, Theorem 1.6 will likely ﬁnd applications in future work

concering Conjectures 1.1 and 1.2. In the next section we recall some deﬁnitions and results about fusion systems,

in particular also block fusion systems and generalised block fusion systems. ",math.RT,A,-0.11988343,0.30089736,0.18403384
http://arxiv.org/pdf/2201.06870v1,RoCK blocks for double covers of symmetric groups and quiver Hecke superalgebras,"However, in the hope of being useful to future study in the area, we prove that the
derived equivalences in Proposition 5.2.21(ii) give rise to splendid derived equiva-
lences between blocks. In particular, this will be helpful for any future work on the
strengthening of Brou´e’s conjecture for double covers from a derived equivalence to
a splendid derived equivalence. Let G be a ﬁnite group and b a block idempotent of FG with corresponding
defect group Q ≤ G. A source idempotent of FGb is a primitive idempotent i ∈
(FGb)Q such that BrQ(i) = 0. ",math.RT,C,0.1000085,0.4743669,0.42816624
http://arxiv.org/pdf/2201.06870v2,RoCK blocks for double covers of symmetric groups and quiver Hecke superalgebras,"However, in the hope of being useful to future study in the area, we prove that the
derived equivalences in Proposition 5.2.21(ii) give rise to splendid derived equiva-
lences between blocks. In particular, this will be helpful for any future work on the
strengthening of Brou´e’s conjecture for double covers from a derived equivalence to
a splendid derived equivalence. Let G be a ﬁnite group and b a block idempotent of FG with corresponding
defect group Q ≤ G. A source idempotent of FGb is a primitive idempotent i ∈
(FGb)Q such that BrQ(i) = 0. ",math.RT,C,0.1000085,0.4743669,0.42816624
http://arxiv.org/pdf/2201.06870v3,RoCK blocks for double covers of symmetric groups and quiver Hecke superalgebras,"However, in the hope of being useful to future study in the area, we prove that the
derived equivalences in Proposition 5.2.21(ii) give rise to splendid derived equiva-
lences between blocks. In particular, this will be helpful for any future work on the
strengthening of Brou´e’s conjecture for double covers from a derived equivalence to
a splendid derived equivalence. Let G be a ﬁnite group and b a block idempotent of FG with corresponding
defect group Q ≤ G. A source idempotent of FGb is a primitive idempotent i ∈
(FGb)Q such that BrQ(i) = 0. ",math.RT,C,0.1000085,0.4743669,0.42816624
http://arxiv.org/pdf/2201.06870v4,RoCK blocks for double covers of symmetric groups and quiver Hecke superalgebras,"However, in the hope of being useful to future study in the area, we prove that the
derived equivalences in Proposition 5.2.21(ii) give rise to splendid derived equiva-
lences between blocks. In particular, this will be helpful for any future work on the
strengthening of Brou´e’s conjecture for double covers from a derived equivalence to
a splendid derived equivalence. Let G be a ﬁnite group and b a block idempotent of FG with corresponding
defect group Q ≤ G. A source idempotent of FGb is a primitive idempotent i ∈
(FGb)Q such that BrQ(i) = 0. ",math.RT,C,0.1000085,0.4743669,0.42816624
http://arxiv.org/pdf/2202.03098v4,Mock theta functions and characters of N=3 superconformal modules,"Corollary 8.1. When m = 4, the modiﬁed character and supercharacter

    (±)

chH(Λ[K(4),1])(τ, z) are holomorphic functions of (τ, z) ∈ C+ × C.

                                                        (+)

    The modiﬁed character chH(Λ[K(4),0])(τ, z) cannot be obtained by the argu-
ment in this section, but further analysis via another approach suggests the
following:

                                       (+)

Conjecture 8.1. chH(Λ[K(4),0])(τ, z) will be written in the form

     (+)                                 1               C1(τ )ϑ01(τ, z)2 + C2(τ )ϑ10(τ, z)2
chH(Λ[K(4),0])(τ, z) = η( τ2 )η(2τ )                                                                       (8.3)

where  Ci(τ )  are      holomorphic      functions       in   τ  ∈  C+  satisfying        C1  (−  1  )  =  − C2(τ ). τ

9 Honest characters in the case m = 4

For m ∈ N and s ∈ 12 Z, we deﬁne the functions P [m,s](τ, z) and Q[m,s](τ, z) as
follows:

           P [m,s](τ, z)      :=         Φ  [  m  ,  s]  2τ,  z+ τ,     z− τ,  0                           (9.1a)
                                               2                                                           (9.1b)
                                                                    2     2

           Q[m,s](τ, z)       :=         Φ  [  m  ,  s]  2τ,  z + τ − 1,  z − τ + 1,                 0
                                               2
                                                                    22         22
                                                                                                                                                                         34

Lemma 9.1. ",math.RT,A,-0.27564526,0.06348795,-0.2737766
http://arxiv.org/pdf/2202.08271v1,Modular Products and Modules for Finite Groups,"In particular, we are motivated to ask: Can the twisted Siegel theta lift,

reg               (τ, v+)Fˇ(τ ) dτ1dτ2 ,        (1.4.3)

   Θ(m)
          D1 ,r1  τ2
F

that is studied in [BO10], be lifted to the level of G-modules too? We oﬀer this question as a
focus for future work. 1.5 Overview

The structure of this paper is as follows. ",math.RT,C,-0.023271646,-0.06695298,-0.053973343
http://arxiv.org/pdf/2202.08277v1,Two New Avatars of Moonshine for the Thompson Group,"We note that the discussion of § 5 of [DHR22a] provides evidence that the TSM construction
we present here may be generalized so as to invert the application of SQ to the penumbral
Thompson moonshine module W˘ (−3,1) (and in fact, invert its application to any of the modules
of penumbral moonshine), and it is on the strength of this that we include an arrow from right
to left in the bottom of Figure 1. However, we leave the details of this to future work. Two New Avatars of Moonshine for the Thompson Group                                                   13

1.8 Two Questions

Probably the most important question arising from this work is the elucidation of the algebraic
structures and physical notions that underpin the avatars of Thompson moonshine represented
in Figure 1. ",math.RT,B,-0.16123088,-0.14431122,0.056825444
http://arxiv.org/pdf/2202.10192v1,convex characteristics of quaternionic positive definite functions on abelian groups,"So we are

forced to ﬁnd another way to achieve our aims. And we leave the further discussion

on the above approach to the possible future work. We now turn to the ﬁst main question for the group of integers: ‘how to char-

acterize the extreme boundary of the convex set of normalized quaternion-valued

positive deﬁnite functions’. ",math.RT,A,-0.34786484,0.12083369,-0.19875422
http://arxiv.org/pdf/2202.12022v1,Diagram supermodules for $0$-Hecke-Clifford algebras,"8. Future directions

   We conclude with some directions for future work on diagram modules. 8.1. ",math.RT,C,0.0185301,-0.0764439,0.23730035
http://arxiv.org/pdf/2203.02137v1,Product structure and regularity theorem for totally nonnegative flag varieties,"The J-total positivity for the full ﬂag variety of any Kac-Moody group will also be applied
to the study of the total positivity in many other spaces, such as the double ﬂag varieties, the
Bott-Samelson varieties, the double Bruhat cells and the wonderful compactiﬁcations. This will
be done in future works. 1.5. ",math.RT,C,-0.059408046,0.061455965,0.09664931
http://arxiv.org/pdf/2203.03530v1,A geometric model for blocks of Frobenius kernels,"Note that in [ABBGM] the authors provide a third incarnation of the same

category, in terms of perverse sheaves on a semi-inﬁnite aﬃne ﬂag variety. It is likely

that a similar description can be obtained in our setting of positive-characteristic

coeﬃcients; this question will be the subject of future work. 1.5. ",math.RT,C,-0.060801227,0.043165106,0.2585021
http://arxiv.org/pdf/2203.04190v1,Centres of centralizers of nilpotent elements in Lie superalgebras $\mathfrak{sl}(m|n)$ or $\mathfrak{osp}(m|2n)$,"In this paper, we deal with Lie superalgebras sl(m|n) and osp(m|2n), while the other
                                         deals with exceptional Lie superalgebras D(2, 1; α), G(3) and F (4). Research on the centralizer and the centre of centralizer of nilpotent elements in simple Lie algebras
                                         has been developed over the years since Springer [20] considered the centralizer Gu of a unipotent
                                         element u in a simple algebraic group G. For G is of exceptional type, further study of Gu was carried
                                         out in [2], [21], [18], [19], [12] and[13]. A description of the structure of the centralizer ge of nilpotent
                                         elements in classical Lie algebras can be found in Jantzen’s monograph, [8]. ",math.RT,B,-0.07408498,-0.27793717,0.011645336
