url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.01074v1,Gaussian Process Regression in the Flat Limit,"11. There are ways of tapering the matched
approximation to prevent divergence, but we leave the details for future work. Finally, in the introduction we described the ﬂat limit in terms of the family of ﬁts, seen as a
parametric curve (parameterised by γ). ",math.ST,C,-0.25345194,0.011401663,0.15042788
http://arxiv.org/pdf/2201.01074v2,Gaussian Process Regression in the Flat Limit,"11. There are ways of tapering the matched
approximation to prevent divergence, but we leave the details for future work. Finally, in the introduction we described the ﬂat limit in terms of the family of ﬁts, seen as a
parametric curve (parameterised by γ). ",math.ST,C,-0.25345194,0.011401663,0.15042788
http://arxiv.org/pdf/2201.04092v1,Topology-based goodness-of-fit tests for sliced spatial data,"We stress that the present work is to be considered only
as the ﬁrst step towards using the tools from TDA to develop statistical tests for slice-based datasets. We discuss now possible avenues for further research. First, motivated by the shape of the speciﬁc dataset, we established the asymptotic normality for
domains that are largein the x- and y-direction but are ﬁxed in the z-direction. ",math.ST,B,0.2957734,-0.13918762,-0.026421912
http://arxiv.org/pdf/2201.04457v1,Half-Trek Criterion for Identifiability of Latent Variable Models,"The question is how to
identify eﬀects between observed variables in this case, or, even more, what can be
said in terms of identifying causal eﬀects between latent variables. A diﬀerent task for future work is to derive a non-trivial necessary condition
for rational identiﬁability in the form of an eﬃcient graphical criterion. A starting
point would be to study the Jacobian matrix of the parametrization ϕGL in order
to better understand the dimension of the model. ",math.ST,A,0.12117109,-0.14427829,-0.024485156
http://arxiv.org/pdf/2201.04457v2,Half-Trek Criterion for Identifiability of Latent Variable Models,"In Lemma 2.5 we gave a simple necessary condition for the parametrization map to be
generically ﬁnite-to-one. In future work, we hope to obtain more powerful necessary condi-
tions for generic identiﬁability in the form of efﬁcient graphical criteria. This will amount to
studying the Jacobian matrix of the parametrization ϕGL , taking into account the algebraic
geometry of the cone of latent covariance matrices. ",math.ST,A,-0.020350387,-0.066472396,-0.06931703
http://arxiv.org/pdf/2201.06169v1,On Well-posedness and Minimax Optimal Rates of Nonparametric Q-function Estimation in Off-policy Evaluation,"(2021). We leave details to future work. 22
A Notation

Unless speciﬁed, for any transition tuple (S, A, S′), the probability density of (S, A) is ∼ dπb
and the probability density of S′ given (S, A) is q. ",math.ST,B,-0.053869776,0.0101627465,0.4912085
http://arxiv.org/pdf/2201.06169v2,On Well-posedness and Minimax Optimal Rates of Nonparametric Q-function Estimation in Off-policy Evaluation,"(2021). We leave details to future work. 22
A Notation

Unless speciﬁed, for any transition tuple (S, A, S′), the probability density of (S, A) is ∼ dπb
and the probability density of S′ given (S, A) is q. ",math.ST,B,-0.053869776,0.0101627465,0.4912085
http://arxiv.org/pdf/2201.06169v3,On Well-posedness and Minimax Optimal Rates of Nonparametric Q-function Estimation in Off-policy Evaluation,"(2021). We leave details to future work. 22
A Notation

Unless speciﬁed, for any transition tuple (S, A, S′), the probability density of (S, A) is ∼ dπb
and the probability density of S′ given (S, A) is q. ",math.ST,B,-0.053869776,0.0101627465,0.4912085
http://arxiv.org/pdf/2201.06277v1,Risk bounds for PU learning under Selected At Random assumption,"As a future perspective, it would be interesting to study how some assumptions made
on the propensity could be relaxed. In particular, future work could assess whether or not
the theoretical guaranties proved in this paper still hold when the propensity is estimated. Likewise, we may wonder if these results could be extended if the lower bound on the
propensity only holds with high probability. ",math.ST,A,0.11969356,-0.048758395,0.21532498
http://arxiv.org/pdf/2201.07329v1,On the minimax rate of the Gaussian sequence model under bounded convex constraints,"It will be interesting if this connection is studied more closely — in
particular if there exist suﬃcient conditions for K under which the two estimators are suﬃciently
close. Furthermore, throughout the paper we assumed that the model is well-speciﬁed, i.e., that
µ ∈ K. In future work we would like to see whether the techniques proposed here can capture the
misspeciﬁed case. Finally an exciting question that remains is whether knowledge of σ2 is necessary
for the unbounded sets case. ",math.ST,C,-0.19113481,0.036055766,-0.017880648
http://arxiv.org/pdf/2201.07329v2,On the minimax rate of the Gaussian sequence model under bounded convex constraints,"It will be interesting if this connection is studied more closely — in
particular if there exist suﬃcient conditions for K under which the two estimators are suﬃciently
close. Furthermore, throughout the paper we assumed that the model is well-speciﬁed, i.e., that
µ ∈ K. In future work we would like to see whether the techniques proposed here can capture the
misspeciﬁed case. Finally an exciting question that remains is whether knowledge of σ2 is necessary
for the unbounded sets case. ",math.ST,C,-0.19113481,0.036055766,-0.017880648
http://arxiv.org/pdf/2201.07329v3,On the minimax rate of the Gaussian sequence model under bounded convex constraints,"It will be interesting if this connection is studied more closely — in

                                                               22
particular if there exist suﬃcient conditions for K under which the two estimators are suﬃciently
close. Furthermore, throughout the paper we assumed that the model is well-speciﬁed, i.e., that
µ ∈ K. In future work we would like to see whether the techniques proposed here can capture the
misspeciﬁed case. Finally an exciting question that remains is whether knowledge of σ2 is necessary
for the unbounded sets case. ",math.ST,C,-0.19032708,0.026503567,-0.01975748
http://arxiv.org/pdf/2201.07329v4,On the minimax rate of the Gaussian sequence model under bounded convex constraints,"It will be interesting if this connection is studied more closely — in
particular if there exist suﬃcient conditions for K under which the two estimators are suﬃciently
close. Furthermore, throughout the paper we assumed that the model is well-speciﬁed, i.e., that
µ ∈ K. In future work we would like to see whether the techniques proposed here can capture the
misspeciﬁed case. Another interesting open question is whether one can borrow ideas from this
analysis to study the minimax risk under diﬀerent loss functions, such as ℓp norms e.g. ",math.ST,C_centroid,-0.3662005,-0.074072614,-0.17801422
http://arxiv.org/pdf/2201.07329v5,On the minimax rate of the Gaussian sequence model under bounded convex constraints,"It will be interesting if this connection is studied more closely — in
particular if there exist suﬃcient conditions for K under which the two estimators are suﬃciently
close. Furthermore, throughout the paper we assumed that the model is well-speciﬁed, i.e., that
µ ∈ K. In future work we would like to see whether the techniques proposed here can capture the
misspeciﬁed case. Another interesting open question is whether one can borrow ideas from this
analysis to study the minimax risk under diﬀerent loss functions, such as ℓp norms e.g. ",math.ST,C,-0.3662005,-0.074072614,-0.17801422
http://arxiv.org/pdf/2201.07401v1,Multiway Spherical Clustering via Degree-Corrected Tensor Block Models,"Nevertheless, our bound (14) is already tighter than the pervious work (Ke et al., 2019). The
investigation of the gap between upper bound p− K/2 and the lower bound p−K/2 for Bernoulli
tensors will be left as future work. Extension for general dTBMs. ",math.ST,C,-0.1954966,0.13058986,-0.10458514
