url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.02071v1,Simplicial cascades are orchestrated by the multidimensional geometry of neuronal complexes,"In particular, simplicial cascades allow for the modeling of “multidimen-
sional cascades” in which the states of individuals inﬂuence the states of groups, and vice versa, and such interactions cannot
be appropriately represented by graph-based models. Herein, the states of higher-dimensional simplicies are immediately deter-
mined by vertices’ states, and it would be interesting in future work to explore more complicated dependencies such as allowing
time lags between when a vertex becomes active and when its adjacent higher-dimensional simplices subsequently become
active. By studying STM cascades over “noisy geometric complexes”—a family of spatially embedded simplicial complexes that
contain both short- and long-range k-simplices—our work reveals the interplay between higher-order dynamical nonlinearity
and the multidimensional geometry of simplicial complexes to be a promising direction for research into how complex systems
                                                                                                                                                       12

organize the spatio-temporal patterns of cascade dynamics. ",nlin.AO,C,0.5202501,-0.28961968,-0.14293213
http://arxiv.org/pdf/2201.02071v2,Simplicial cascades are orchestrated by the multidimensional geometry of neuronal complexes,"In particular, simplicial cascades allow for the modeling of “multidimensional cascades” in which
the states of individuals inﬂuence the states of groups, and vice versa, and such interactions cannot be appropriately represented
by graph-based modeling. Herein, the dynamical states of higher-dimensional simplicies are inherited by their associated ver-
tices’ states, and it would be interesting in future work to explore more complicated dependencies such as allowing time lags
between when a vertex becomes active and when its adjacent higher-dimensional simplices subsequently become active. Such
multidimensional models remain an exciting open avenue for research. ",nlin.AO,C_centroid,0.59158015,-0.264304,-0.047019422
http://arxiv.org/pdf/2201.02071v3,Simplicial cascades are orchestrated by the multidimensional geometry of neuronal complexes,"In particular, simplicial cascades allow for the modeling of “multidimensional cascades” in which
the states of individuals inﬂuence the states of groups, and vice versa, and such interactions cannot be appropriately represented
by graph-based modeling. Herein, the dynamical states of higher-dimensional simplices are inherited by their associated ver-
tices’ states, and it would be interesting in future work to explore more complicated dependencies such as allowing time lags
between when a vertex becomes active and when its adjacent higher-dimensional simplices subsequently become active. Such
multidimensional models remain an exciting open avenue for research. ",nlin.AO,C,0.59171104,-0.26221037,-0.05815191
http://arxiv.org/pdf/2201.06161v1,Coupled metronomes on a moving platform with Coulomb friction,"The force of friction must be independent of speed to yield a
                                                                  linear decay of the platform’s oscillation amplitude. When the
   We leave the analysis of the stability and bifurcations of     platform is moving, this force of kinetic friction is described
the antiphase state to future work, along with a full bifurca-    by the Coulomb force law discussed in Section II,
tion analysis of all other aspects of the slow ﬂow. We suspect
that much remains to be discovered here, especially in light of           F¯ = −µ¯ Mg sign(x¯ ),          (18)
what we see in experiments with real metronomes, to which
we now turn. ",nlin.AO,A,-0.24579695,-0.02660597,0.17968857
http://arxiv.org/pdf/2201.06161v2,Coupled metronomes on a moving platform with Coulomb friction,"In        imation. Next, we carry out the calculations that allow us to
future work, it would be interesting to solve for the in-phase     compute the force of friction from these experiments. solution and analyze its linear stability and bifurcations. ",nlin.AO,A,-0.19606495,-0.0063691325,0.1122129
http://arxiv.org/pdf/2201.07675v1,Emergent noise-aided logic through synchronization,"1 and 2 using the Euler-Maruyama      (I1, I2, η1, η2) and collect high throughput voltage data
method. For the bistable potential, we use the simple        (V1, V2) for further analysis. All signal generation and
cubic function F (xi) = 4(xi − 5x3i ). ",nlin.AO,B,-0.18446761,0.110747196,-0.30236804
http://arxiv.org/pdf/2201.09914v1,Tiered synchronization in coupled oscillator populations with interaction delays and higher-order interactions,"Moreover, taking real an imaginary parts, we
natural frequencies and time delays are distributed via a   obtain
Lorentzian distribution and an exponential distribution,
respectively. While these choices were made in order to     cos(φ(2) − 2ψ) = √ 1             ,                  (A11)
facilitate analytical treatment of the system, speciﬁcally                       1 + 4T 2Ω2                     (A12)
aiding in the derivation of the low dimensional dynamics,
it remains to be seen whether diﬀerent choices of natural   sin(φ(2) − 2ψ) = √ −2T Ω ,
frequency distributions and/or interaction delays quali-                             1 + 4T 2Ω2
tatively change the macroscopic dynamics, a task left for
future work. which can be used along with Eqs. ",nlin.AO,B,-0.18106362,-0.095126554,-0.09233132
http://arxiv.org/pdf/2201.09914v2,Tiered synchronization in coupled oscillator populations with interaction delays and higher-order interactions,"Bifurca-

tion curves indicate Hopf and saddle-node bifurcations,

labeled accordingly. In fact, the pair of saddle-node bi-

furcations are born at a codimension-two point, indicated
                                                                                                         8

facilitate analytical treatment of the system, speciﬁcally  obtain
aiding in the derivation of the low dimensional dynamics,
it remains to be seen whether diﬀerent choices of natural           cos(φ(2) − 2ψ) = √ 1  ,              (A11)
frequency distributions and/or interaction delays quali-            1 + 4T 2Ω2                           (A12)
tatively change the macroscopic dynamics, a task left for
future work. sin(φ(2) − 2ψ) = √ −2T Ω ,
                                                                                             1 + 4T 2Ω2

ACKNOWLEDGMENTS                                             which can be used along with Eqs. ",nlin.AO,B,-0.2122738,-0.29135644,-0.035443112
http://arxiv.org/pdf/2202.05499v1,Targeted influence maximization in complex networks,"In contrast, Δ 1 can potentially select local hubs that are close to target nodes. Further

analyses are needed to test this hypothesis in future works. R.Zhang et al. ",nlin.AO,C,0.22005925,0.093723536,-0.04731316
http://arxiv.org/pdf/2202.08707v2,Synchronization induced by directed higher-order interactions,"An attempt in this direction has been made for oriented simplicial complexes [39], where it is highlighted
that a simplex and its boundary can have either concordant or opposite orientation. The deﬁnition and the study of directed
simplicial complexes are beyond the purpose of the present paper, and thus left as future work. Directed higher-order interactions can change stability behavior

   Using the above introduced approach, we now illustrate the eﬀect of the higher-order directionality on synchronization by
using a paradigmatic example of chaotic oscillator, i.e., the Ro¨ssler system [48]. ",nlin.AO,C,0.32727492,-0.38693297,-0.033470828
http://arxiv.org/pdf/2202.10807v1,Symmetry breaking yields chimeras in two small populations of Kuramoto-type oscillators,"This happens                                                                                                  16
either  when  one   of  the  equalities                   π  ,              is  vio-
                                                αs  =  ±  2     αn  =    0             tions [30, 52, 53]. For future work, it would be interesting
lated or when the parameter A leaves the interval [A∗, 1/A∗]:                          to investigate how our ﬁndings extend to the dynamic behav-
If A reaches the bifurcation value A∗ or 1/A∗ (Fig. 8(c)), the                         ior of such larger system sizes, particularly regarding invariant
conservative region collapses onto the one-dimensional hete-                           subspaces and how they are affected by the symmetry break-
roclinic cycle (between two saddles that belong to ψ1 = 0 or                           ing mechanism leading to weak chimera states. ",nlin.AO,B,-0.28400457,-0.29266942,0.26528737
http://arxiv.org/pdf/2202.10807v2,Symmetry breaking yields chimeras in two small populations of Kuramoto-type oscillators,"This happens                                                                                                  16
either  when  one   of  the  equalities                   π  ,              is  vio-
                                                αs  =  ±  2     αn  =    0             tions [30, 52, 53]. For future work, it would be interesting
lated or when the parameter A leaves the interval [A∗, 1/A∗]:                          to investigate how our ﬁndings extend to the dynamic behav-
If A reaches the bifurcation value A∗ or 1/A∗ (Fig. 8(c)), the                         ior of such larger system sizes, particularly regarding invariant
conservative region collapses onto the one-dimensional hete-                           subspaces and how they are affected by the symmetry break-
roclinic cycle (between two saddles that belong to ψ1 = 0 or                           ing mechanism leading to weak chimera states. ",nlin.AO,B,-0.28400457,-0.29266942,0.26528737
http://arxiv.org/pdf/2203.00339v1,Synchronization in the Kuramoto model in presence of stochastic resetting,"In such a state, a macroscopic
                                         the simple protocol of stochastic resetting, a theme of ac-     number of oscillator phases evolve in time while maintaining
                                         tive research in the arena of modern statistical physics, be-   a constant phase difference among them. The original model
                                         sides providing a genesis for future work on emergence of       that involves a bunch of coupled limit-cycle oscillators deﬁned
                                         intriguing stationary states when purely deterministic dy-      by their phases is premised on a number of assumptions in-
                                         namics is juxtaposed with the stochastic dynamics of re-        cluding that there is weak coupling among the oscillators, that
                                         setting in many-body nonlinear dynamical systems. everyone is coupled to everyone else with equal strength, and
                                                                                                         that the interaction between any pair of oscillators depends si-
                                            Keywords: Spontaneous synchronization, Kuramoto              nusoidally on the difference of the phases among them1. ",nlin.AO,B,-0.07521649,-0.25257897,0.13672331
http://arxiv.org/pdf/2203.00339v2,Synchronization in the Kuramoto model in presence of stochastic resetting,"1. In this regard, a more detailed investigation is required,
st√reng√th of the bare Kuramoto model Kc is given by Kc =          which is planned for future work. 2 2/ π ≈ 1.59582. ",nlin.AO,B,-0.22677433,0.18823369,-0.14750129
http://arxiv.org/pdf/2203.01663v1,Estimating asymptotic phase and amplitude functions of limit-cycle oscillators from time series data,"(a) Evolution of the phase diﬀerences for the case with                                                           der to evaluate its accuracy. Our future work is to apply
periodic input obtained from the estimated PSF and ASF                                                                   the method to real-world observed data such as ECGs [7]. (red solid), for the case with input obtained from true PSF                                                              To this end, we plan to further develop a method of pre-
and ASF (green dotted), and for the case without amplitude                                                               processing for the time series to mitigate the eﬀect of
suppression (blue dashed). ",nlin.AO,B,-0.3509431,0.0139749395,-0.22405353
http://arxiv.org/pdf/2203.03060v2,Do higher-order interactions promote synchronization?,"Our results suggest that simplicial complexes
and hypergraphs cannot always be used interchangeably                   (Springer, 2022). and future work on higher-order interactions should con-           [9] M. T. Schaub and S. Segarra, Flow smoothing and de-
sider the inﬂuence of the chosen representation when in-
terpreting their results. noising: Graph signal processing in the edge-space, in
                                                                        2018 IEEE Global Conference on Signal and Information
   Do the lessons obtained here for phase oscillators carry             Processing (GlobalSIP) (IEEE, 2018) pp. ",nlin.AO,C,0.4151107,-0.30507958,-0.24857879
http://arxiv.org/pdf/2203.05473v1,Scale-free behavioral cascades and effective leadership in schooling fish,"∞
   Different venues of future research stem from the results                t =1(1 − Q)Qt
presented here. From an empirical perspective, it would be in-                                                             (A3)
teresting to further study the nature of the avalanches observed
in real schools, and to correlate them with other physical prop-   where we consider that avalanches have a minimal duration
erties measured in similar systems [42, 43], as well as with
other measures of leadership devised in other contexts of col-     of one frame. That is, in the uncorrelated null model, the
lective motion [38]. ",nlin.AO,A,0.037084453,0.30575505,0.16495785
http://arxiv.org/pdf/2203.05473v2,Scale-free behavioral cascades and effective leadership in schooling fish,"(4). Interestingly,       teresting to further study the nature of the avalanches observed
the exponents D and z appear to be rather detail independent,       in real schools, and to correlate them with other physical prop-
taking the approximate values D 2 and z 1/2 for any                 erties measured in similar systems [43, 44], as well as with
value of η and ϕth, which would indicate that avalanches in         other measures of leadership devised in other contexts of col-
this model are compact [29]. lective motion [38]. ",nlin.AO,A_centroid,-0.037699733,0.2445328,0.064242706
http://arxiv.org/pdf/2203.10191v1,Sync and swarm: solvable model of non-identical swarmalators,"The rate of con-       state). If you think of vit as a heterogeneous ﬁeld acting
vergence is however quite slow, so more exhaustive nu-          on the couplings, then what has happened is oscillators
merics are needed which we leave for future work. have been (exactly) tuned to the ﬁeld frequency vi. ",nlin.AO,B,-0.1559044,-0.099722385,0.16313927
http://arxiv.org/pdf/2203.10191v2,Sync and swarm: solvable model of non-identical swarmalators,"Note, the erratic red dots correspond to an unsteady state in which W± oscillate. We intend to explore this state and its bifurcations (we suspect it is a SNIC) as well as the other states of the model
in future work. The Mathematica notebook containing this analysis is available at [? ",nlin.AO,A,-0.17815718,-0.13869506,0.10907939
http://arxiv.org/pdf/2203.12237v1,Disassortative mixing of bounded rationality in socio-ecological systems,"Finally, in section VI we discuss our results,  which is a very strong assumption. summarise our conclusions and point some directions for
future work. A. Prisoner’s dilemma game

                        II. ",nlin.AO,C,0.19600719,0.2660995,0.6215888
http://arxiv.org/pdf/2203.12237v2,Disassortative mixing of boundedly-rational players in socio-ecological systems,"Finally, in section VI we discuss our results,  which is a very strong assumption. summarise our conclusions and point some directions for
future work. A. Prisoner’s dilemma game

                        II. ",nlin.AO,C,0.19600719,0.2660995,0.6215888
