url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.02674v1,Quantum reflection of dark solitons scattered by reflectionless potential barrier and position-dependent dispersion,"This is due to not
including radiation in the analytical calculation. While the inclusion of radiation complicates the calculations, we
believe it is worth investigating in a future work, as this will result in an accurate analytical formula that predicts
the threshold of quantum reﬂection. The above study is fully oriented to the quantum reﬂection, but in general such interactions lead to many other
interesting phenomena such as multi-ejection, snake trapping, and tree-ejection which are possible by controlling the
system parameters. ",nlin.PS,B,-0.025763154,0.10220685,0.41560292
http://arxiv.org/pdf/2201.02678v1,Bound states spectrum of the nonlinear Schrödinger equation with Pöschl-Teller and square potential wells,"As an alternative procedure, we suggest
that, exciting such trapped modes may be achieved through the phase imprinting method, where the phase extracted
from the corresponding analytical solution, is imprinted initially on a stationary soliton located at the potential well. This is left to be investigated in a future work. ACKNOWLEDGMENT

   The authors acknowledge the support of UAE University through grants No. ",nlin.PS,C,-0.31674784,0.051460035,-0.15739024
http://arxiv.org/pdf/2201.10591v1,Nonlinear Anti-(Parity-Time) symmetric dimer,"This can be done both in one- but also in higher dimensions. Furthermore, here, we have concerned
ourselves with cubic Kerr-type nonlinearities, yet some of the above settings seem to be well-suited for
different types of nonlinear terms, including four-wave-mixing ones [25], with the latter being another
topic worthwhile of further study. Such considerations are currently in progress and will be reported in
future publications. ",nlin.PS,B,-0.26814812,-0.048093535,-0.15053934
http://arxiv.org/pdf/2201.11054v1,Superfluid vortex multipoles and soliton stripes on a torus,"Studies along these lines are outside the scope of the
homoclinic orbit. The top-right panel depicts a typical         present paper and will be presented in future work. destabilization for the Q3 dipole. ",nlin.PS,B,-0.24758112,-0.13755918,0.25149482
http://arxiv.org/pdf/2201.13051v1,A Spectral Analysis of the Nonlinear Schroedinger Equation in the Co-Exploding Frame,"To
corroborate the relevant results, we performed direct numerical simulations in the renor-
malized frame, verifying (in line with earlier computations) the attractivity of the relevant
waveforms. Naturally, this analysis raises a number of interesting questions for further research. Un-
derstanding the dynamics (and the potential role of self-similarity) slightly below the critical
point σd = 2 is an example of this type. ",nlin.PS,B,-0.10539838,-0.015242653,0.07937377
http://arxiv.org/pdf/2202.10512v1,Breather modes of fully nonlinear mass-in-mass chains,"Q(y, τ ) = Q(z), W (y, τ ) = W (z), where z = y − cτ ,
                                                                     then we obtain the system of ODEs
   In addition to illustrating properties of the solution
for various choices of the masses, we have given simpli-             (mc2 − 1)q′′ + ρW = h2  1   h2q′′′′  +  3b(q′2)q′′  −  αW  2  ,
ﬁed asymptotic forms for the solution in the cases where                  µmc2q′′ − ρW = h2  12
the ratio of the inner to outer masses is extremely small                                                                   (A7)
or extremely large. In future work [1], we propose to use
numerical techniques to investigate the stability, robust-                                   αW 2 + µmc2W ′′ . (A8)
ness, and other properties of breather solutions in this
system, in both the cases a = 0 and a = 0. ",nlin.PS,B,-0.33985317,-0.38630068,-0.13223746
http://arxiv.org/pdf/2202.10512v2,Breather modes of fully nonlinear mass-in-mass chains,"In addition to illustrating properties of the solution               If we assume a TW of the form q(y, τ ) = q(z),
for various choices of the masses, we have given simpli-
ﬁed asymptotic forms for the solution in the cases where             Q(y, τ ) = Q(z), W (y, τ ) = W (z), where z = y − cτ ,
the ratio of the inner to outer masses is extremely small            then we obtain the system of ODEs
or extremely large. In future work [1], we propose to use
numerical techniques to investigate the stability, robust-           (mc2 − 1)q′′ + ρW = h2  1   h2q′′′′  +  3b(q′2)q′′  −  αW  2  ,
ness, and other properties of breather solutions in this                  µmc2q′′ − ρW = h2  12
system, in both the cases a = 0 and a = 0. (A7)

                          Acknowledgements                                                   αW 2 + µmc2W ′′ . ",nlin.PS,B,-0.31357163,-0.38628417,-0.12623873
http://arxiv.org/pdf/2203.03760v1,"Snow topography on undeformed Arctic sea ice captured by an idealized ""snow dune"" model","On deformed ice, the situation may be          rameters as the LiDAR scans. This suggests that our
       more complicated and further study is required. model may capture the horizontal properties of snow on
                                                                 such large scales. ",nlin.PS,C,-0.08779958,0.29301828,-0.10493192
http://arxiv.org/pdf/2203.03892v1,Coarsening and wavelength selection far from equilibrium: a unifying framework based on singular perturbation theory,"It is an  each component. For example, in binary mixtures with
                                                              two particle species A and B, phase-separation dynamics
interesting question for future work whether a transition     must respect that both densities ρA,B(x, t) follow a con-
                                                              tinuity equation. Under an incompressibility constraint
to mesa patterns generally occurs near the threshold to       for the whole ﬂuid system the well-known Cahn–Hilliard
                                                              (model B) dynamics follows. ",nlin.PS,B,-0.03581299,0.007307644,0.03648028
http://arxiv.org/pdf/2203.06530v1,Forced symmetry breaking as a mechanism for rogue bursts in a dissipative nonlinear dynamical lattice,"(1) possesses a substantial
wealth of additional possible states as the relevant parameters vary [31, 32]. In this light, a further study how such
additional ﬁxed points (especially so in the invariant subspace at inﬁnite amplitude) may aﬀect the dynamics of a
diﬀusively coupled lattice system is certainly merited, as is a study of the eﬀect of random coupling strengths between
adjacent nodes, be these quenched or stochastically varying in time [38–40]. Moreover, the mechanism of extreme
                                                                                                                                                       14

event production put forth herein is not restricted to one-dimensional lattices (as is often the case for integrable
Hamiltonian systems) but generalizes naturally to higher dimensions, a topic also worth exploring in its own right. ",nlin.PS,C,0.1359277,0.26727393,0.3277892
http://arxiv.org/pdf/2204.00153v1,An Ising machine based on networks of subharmonic electrical resonators,"Panels (b) and (d) show the steady-state circuit response
B "">6                                                                                                        yielding the respective ground states of energy E = −8. "">""

  7"">6

   3""""      36""           """"                                        6""      D""""            D6""  $""""

                               %&'()*',-                                                                     clearly be an interesting topic for further study. Furthermore, in order to attain the ground states, in
FIG. ",nlin.PS,B,0.037478868,-0.28693998,0.32588995
http://arxiv.org/pdf/2204.06311v1,Data-driven soliton solutions and model parameters of nonlinear wave models via the conservation-law constrained neural network method,"Compared
with the traditional physics-informed neural network method, this new method can more
accurately predict solutions and parameters of some specific nonlinear wave models even when
less information is needed, for example, in the absence of the boundary conditions. This provides
a reference to further study solutions of nonlinear wave models by combining the deep learning
and the integrable theory. Keywords: Conservation-law constraint; neural network; flexible learning rate; nonlinear
Schrödinger equation; Korteweg-de Vries and modified Korteweg-de Vries equations. ",nlin.PS,B,-0.107751206,-0.20093802,-0.3234481
http://arxiv.org/pdf/2204.10409v1,Band-type resonance: non-discrete energetically-optimal resonant states,"We can (i) define the initial state as multiharmonic (ܴ ് 0)
instead of single-harmonic (ܴ = 0), or (ii) choose an alternative generative ODE, ‫ݔ‬ሷ = ℎሺ‫ݔ‬ሻ:
e.g., ℎሺ‫ݔ‬ሻ ∝ − sgn ‫|ݔ| ݔ‬௡, 0 < ݊ ≤ 1, which generates increases in frequency over a sine wave
(݊ = 1). There is scope for a theoretical treatment of the relationship between ℎሺ‫ݔ‬ሻ and the
frequency-band resonant states it generates – we leave such a treatment to future work. Page 15 of 37
control, which is consistent with similar control behaviour observed in insects. ",nlin.PS,B,0.021881584,-0.21807545,-0.09477281
http://arxiv.org/pdf/2204.11349v1,Revisiting Multi-breathers in the discrete Klein-Gordon equation: A Spatial Dynamics Approach,"In addition, our
results showcased the crucial diﬀerence between the soft sine-Gordon equation and the hard
φ4 equation; in the latter case, the Floquet spectral pattern depends in addition on whether
the distances in lattice points between consecutive copies of the primary breather are even
or odd, while in the former case, it does not (see also, e.g., the analogy with the interaction
of dark solitons in the defocusing DNLS model of [57]). Avenues of further research include exploring breathers and multi-breathers either in Klein-
Gordon lattices with asymmetric potentials, such as the Morse potential, or in other models
involving beyond-nearest-neighbor interactions, discussed, e.g., in [49] and references therein. One class of models which would be interesting to study is equations in which the potential
involves oﬀ-site terms, such as the FPUT lattice. ",nlin.PS,C,-0.26921344,0.15533933,0.17614318
