url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.13133v1,Machine-assisted discovery of integrable symplectic mappings,"Mappings that contain a ﬁxed point still can have unstable trajectories at larger amplitudes. If for some
       initial condition we detect a trajectory with an unbounded growth of the radial distance from the ﬁxed point
          (q − q∗)2 + (p − p∗)2, such mapping is excluded from further analysis. 3. ",nlin.SI,A,0.5123879,-0.391308,-0.4354955
http://arxiv.org/pdf/2201.13133v2,Machine-assisted discovery of integrable symplectic mappings,"Mappings that contain a ﬁxed point still can have unstable trajectories at larger amplitudes. If for some
       initial condition we detect a trajectory with an unbounded growth of the radial distance from the ﬁxed point
          (q − q∗)2 + (p − p∗)2, such mapping is excluded from further analysis. 3. ",nlin.SI,A,0.5123879,-0.391308,-0.4354955
http://arxiv.org/pdf/2201.13133v3,Machine-assisted discovery of integrable symplectic mappings,"Stability Mappings with ﬁxed point still can have unstable trajectories at larger amplitudes. If for some initial
   condition we detect an unbounded growth of the radial distance from the ﬁxed point, ∃ i : |ζi − ζ∗| > rmax, the
   map is excluded from further analysis. 4. ",nlin.SI,A_centroid,0.45181012,-0.44431907,-0.35784745
http://arxiv.org/pdf/2202.02642v1,Computation of generating symmetries,"In the
case of equations with the third order Lax Pair nine essential GSs were found. Directions for further research:

    • Discovering GSs for more equations, including higher dimensional equations, for
       example KP and the Calogero–Bogoyavlensky–Schiﬀ equation [33]. • Expansion of obtained GSs into hierarchies of symmetries. ",nlin.SI,B,-0.28073412,0.17098562,0.10304763
http://arxiv.org/pdf/2202.02642v2,Computation of generating symmetries,"In the
case of equations with the third order Lax pair nine essential GSs were found. Directions for further research:

    • Discovering GSs for more equations, including higher dimensional equations, for
       example KP and the Calogero–Bogoyavlensky–Schiﬀ equation [34]. • Expansion of obtained GSs into hierarchies of symmetries. ",nlin.SI,B,-0.27919397,0.1717023,0.103089
http://arxiv.org/pdf/2202.03412v1,Hierarchies of compatible maps and integrable difference systems,"Thus we obtain explicitly the

non-Abelian lattice-modiﬁed and the lattice-(Q3)0 Gel’fand-Dikii hierarchies. Finally in Section
5, we present some ideas on further research. We conclude this article with Appendix A where we

present non-Abelian forms of the lattice-potential KdV equation. ",nlin.SI,B,-0.17242596,0.036054067,0.13685878
http://arxiv.org/pdf/2202.07588v1,On a coupled Kadomtsev-Petviashvili system associated with an elliptic curve,"Both are elliptic integrable systems that play roles of the master
equations in their respective classes. How these particular elliptic systems and their discrete analogues are related to
this elliptic family remains a problem for future work. Acknowledgments

   This project was supported by the National Natural Science Foundation of China (grant no. ",nlin.SI,B_centroid,-0.4221279,-0.08212746,-0.16799268
http://arxiv.org/pdf/2202.07588v2,On a coupled Kadomtsev--Petviashvili system associated with an elliptic curve,"Both are elliptic integrable systems that play roles of the master equations in
their respective classes. How these particular elliptic systems and their discrete analogues are related to this elliptic
family remains a problem for future work. The ﬁrst step towards this goal might be searching for a discrete analogue
of the elliptic coupled KP system (1.1), since the integrability of the discrete (non-elliptic) coupled KP system has
been studied in [12] which we believe would bring us insights into its elliptic extension. ",nlin.SI,B,-0.4835155,-0.11716283,-0.23513374
http://arxiv.org/pdf/2202.07588v3,On a coupled Kadomtsev--Petviashvili system associated with an elliptic curve,"Both are elliptic integrable systems that play roles of the master equations in their
respective classes. How these particular elliptic systems and their discrete analogues are related to
this elliptic family remains a problem for future work. The ﬁrst step towards this goal might be
searching for a discrete analogue of the elliptic coupled KP system (1.1), since the integrability of the
discrete (non-elliptic) coupled KP system has been studied in [16] which we believe would bring us
insights into the elliptic case. ",nlin.SI,B,-0.48232728,-0.11652412,-0.24923109
http://arxiv.org/pdf/2202.07588v4,On a coupled Kadomtsev--Petviashvili system associated with an elliptic curve,"Both are elliptic integrable systems that play roles of the master equations in their
respective classes. How these particular elliptic systems and their discrete analogues are related to
this elliptic family remains a problem for future work. The ﬁrst step towards this goal might be
searching for a discrete analogue of the elliptic coupled KP system (1.1), since the integrability of the
discrete (non-elliptic) coupled KP system has been studied in [16] which we believe would bring us
insights into the elliptic case. ",nlin.SI,B,-0.48232728,-0.11652412,-0.24923109
http://arxiv.org/pdf/2202.08990v1,Integrable nonlinear Klein-Gordon systems with $\mathcal{PT}$ nonlocality and/or space-time exchange nonlocality,"(9), (16) (18), (20),
(22) includes four various types of integrable systems related to the KG equations. More
research, such as the multisoliton solutions, the superposition formula of the integrable
models should be done in future work. Acknowledgement

The authors acknowledge the support of NNSFC (No. ",nlin.SI,B,-0.4054783,0.1319938,0.010639395
http://arxiv.org/pdf/2202.08990v2,Integrable nonlinear Klein-Gordon systems with $\mathcal{PT}$ nonlocality and/or space-time exchange nonlocality,"(9), (16) (18), (20),
(22) includes four various types of integrable systems related to the KG equations. More
research, such as the multisoliton solutions, the superposition formula of the integrable
models should be done in future work. Acknowledgement

The authors acknowledge the support of NNSFC (No. ",nlin.SI,B,-0.4054783,0.1319938,0.010639395
http://arxiv.org/pdf/2202.09094v1,Generalization of the $ε$-BBS and the Schensted insertion algorithm,"This follows from the fact that the birational transformation (13)–(17)
preserves the image of geometric Schensted insertion by Noumi and Yamada [10]. There are several problems left for future work. The linearization of the generalized ǫ-BBS
is possible in principle by combining the birational transformation (13)–(17) and the rigged
conﬁguration map of type A(n1) (see [8] for the linearization of the A(n1) automata). ",nlin.SI,B,0.18613753,0.18157771,0.083055794
http://arxiv.org/pdf/2203.00498v1,Eigenfunctions of the van Diejen model generated by gauge and integral transformations,"This can also be directly observed in special cases where the
integrals have known evaluations; see Section B.3. A thorough investigation of the
requirements for the functions ϕ(y) is left for future work. The restriction on ϕ(y) in Proposition 5.1, i.e. ",nlin.SI,A,0.35447267,-0.3031355,0.6327512
http://arxiv.org/pdf/2203.00498v2,Eigenfunctions of the van Diejen model generated by gauge and integral transformations,"This can also be directly observed in special cases where the integrals have known
evaluations; see Section B.3. A thorough investigation of the requirements for the
functions ϕ(y) is left for future work. The restriction on ϕ(y) in Proposition 5.1, i.e. ",nlin.SI,A,0.35447267,-0.3031355,0.6327512
http://arxiv.org/pdf/2203.12396v1,Dynamics of higher-order lumps in the Davey-Stewartson II equation,"Besides, though we just discussed solutions up to the third-order, nth-order lumps can be
obtained by using the n-fold DT (9). Generalizing the results obtained herein to arbitrary n
would be an interesting topic for further study. Our results show that there exists a quite rich dynamics for rational solutions of DS II, which
can be a basis for corresponding observations in areas of application where the DS II is relevant,
including most notably in nonlinear optics and plasma physics, among others. ",nlin.SI,B,-0.04553798,-0.050139513,0.07481166
http://arxiv.org/pdf/2203.12396v2,Asymptotic dynamics of higher-order lumps in the Davey-Stewartson II equation,"Besides, though we just discussed solutions up to the third-order, nth-order lumps can be

                                                                               14
obtained by using the n-fold DT (9). Generalizing the results obtained herein to arbitrary n
would be an interesting topic for further study. Our results concerning the dynamics for rational solutions of DS II can be a basis for cor-
responding observations in areas of application where the DS II is relevant, including most
notably in nonlinear optics and plasma physics, among others. ",nlin.SI,B,0.010088304,-0.029394154,0.08685902
http://arxiv.org/pdf/2203.13593v1,Integrable quadratic structures in peakon models,"Excitingly, the quadratic structures we have found open the path to a quantized version of
peakon models, in the form of ABCD algebras, following the lines developed in [5]. We hope
to come back on this point in a future work. 16
Finally in this same extended integrable peakons the still open problem of full understanding
of the unavoidably dynamical r-matrix structure remains a challenge. ",nlin.SI,B,0.044986546,0.1925123,-0.013764646
http://arxiv.org/pdf/2204.07872v1,Classification of KPI Lumps,"While this is true when n = 1, the actual number of independent real parameters

in τP is less than 2(m1 + m2 + · · · + mn) if n > 1. This will be clear from further analysis of the τ -function in

(2.13a), which will be done next. Before proceeding further, it is convenient to introduce a total (lexicographic) ordering for the multi-index

sets l := (l1 · · · ln), 0 ≤ l1 < l2 · · · < ln ≤ mn, deﬁned as follows. ",nlin.SI,A,0.23256917,-0.04773008,0.27560538
http://arxiv.org/pdf/2204.09663v1,Lagrangian multiforms on Lie groups and non-commuting flows,"Its full understanding requires to
investigate the solutions of the non-commutative AKNS hierarchy. As mentioned above,
this is left for future work. 6. ",nlin.SI,B,-0.104487784,0.27892807,0.18373628
http://arxiv.org/pdf/2204.13063v3,Semi-discrete Lagrangian 2-forms and the Toda hierarchy,"However,

the system of Equations (4.12)–(4.13) is integrable in the sense of existence of an auto-

Bäcklund transformation, given by Equation (4.2): if q solves both PDEs , then so does
q¯ = q + log 12 (q2 + q11 − q12) , as can be veriﬁed by a long but elementary calculation. A detailed investigation of Equation (4.13), as part of the hierarchy of higher equations

which can presumably be obtained in an analogous way, is left for future work. 5 Semi-discrete potential KdV

As another example of a system of interacting particles on a line, we consider the semi-
discrete potential KdV equation. ",nlin.SI,B,-0.27179885,-0.055941194,-0.058346793
