url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.04191v1,A search for neutron to mirror neutron oscillation using neutron electric dipole moment measurements,"Consequently, there were many experiments that have searched for n − n oscillation,
                                                                                 and imposed constraints upon the parameters that describe it. Recently, further analysis on some of
                                                                                 these results have identiﬁed anomalies which could point to the detection of n − n oscillation. All
                                                                                 the previous efforts searched for n − n oscillation by comparing the relative number of ultracold
                                                                                 neutrons that survive after a period of storage for one or both of the two cases: (i) comparison of zero
                                                                                 applied magnetic ﬁeld to a non-zero applied magnetic ﬁeld, and (ii) comparison where the orientation
                                                                                 of the applied magnetic ﬁeld was reversed. ",nucl-ex,A,-0.30924338,-0.19114104,-0.07624147
http://arxiv.org/pdf/2201.04191v2,A search for neutron to mirror neutron oscillation using neutron electric dipole moment measurements,"Consequently, there were many experiments that have searched for n − n oscillation,
                                                                                 and imposed constraints upon the parameters that describe it. Recently, further analysis on some of
                                                                                 these results have identiﬁed anomalies which could point to the detection of n − n oscillation. All
                                                                                 the previous efforts searched for n − n oscillation by comparing the relative number of ultracold
                                                                                 neutrons that survive after a period of storage for one or both of the two cases: (i) comparison of zero
                                                                                 applied magnetic ﬁeld to a non-zero applied magnetic ﬁeld, and (ii) comparison where the orientation
                                                                                 of the applied magnetic ﬁeld was reversed. ",nucl-ex,A,-0.30924338,-0.19114104,-0.07624147
http://arxiv.org/pdf/2201.13003v1,An overview of recent STAR jet measurements,"3. Jet  mass                         distributions             for         diﬀerent                           pT,jet       and          jet                  R    in  p+p      collisions        at         √    =  200  GeV.5
                                                                                                                                                                                                                     s

predictions help further study diﬀerent hadronization models for the higher-order
QCD corrections at RHIC energy. 2.2. ",nucl-ex,C,0.1408444,0.13852258,-0.22285214
http://arxiv.org/pdf/2202.00815v1,Measurement of beauty production via non-prompt ${\rm D}^{0}$ mesons in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,"[29]. About 1.0 × 108 and 8.5 × 107 events in
the 0–10% and 30–50% centrality classes were selected for further analysis, corresponding to integrated
luminosities (Lint) of about 130 µb−1 and 56 µb−1, respectively [20]. The correction factors for the detector acceptance and the signal reconstruction and selection efﬁciency
wmeurletipolbictaitiyneadndbydemteecatonrsoocfcuMpoannctey,Cuanrdloerl(yMinCg)Psbim–Publaetivoennst.s aInt √orsdNeNr =to5d.0e2scTriebVe wtheerechsaimrguelda-tpedarwticitlhe
the HIJING v1.383 generator [95]. ",nucl-ex,A,-0.10362364,-0.13314384,0.1555905
http://arxiv.org/pdf/2202.01880v1,Directional-dependence of the event-by-event neutron-$γ$ multiplicity correlations in $^{252}$Cf(sf),"A recent
investigation [5] showed that the optical model of the nucleus can predict much larger values
of the neutron orbital angular momentum, but more evidence is needed. In light of these
considerations, the intrinsic angular correlations are not explicitly discussed in this paper,
and will be investigated in future work. III. ",nucl-ex,A,-0.14023498,0.08627618,-0.16864756
http://arxiv.org/pdf/2202.04776v1,Coherent photoproduction of the neutral pion and eta meson on the deuteron at incident energies below 1.15 GeV,"Because of the uncertain sign       of the γd → π0ηd reaction (impulse approximation plus
of Re[aηd], it is not clear whether a bound or a virtual        interaction in the ﬁnal state). Therefore, further research
ηd state is generated. The existing microscopic theories        in this area is highly desirable. ",nucl-ex,C,0.12361589,0.1852664,-0.26075113
http://arxiv.org/pdf/2202.04776v2,Coherent photoproduction of the neutral pion and eta meson on the deuteron at incident energies below 1.15 GeV,"These large uncertainties also make it diﬃ-          of the γd → π0ηd reaction (impulse approximation plus
                                                                  interaction in the ﬁnal state). Therefore, further research
cult to determine aηd more or less precisely. The value of        in this area is highly desirable. ",nucl-ex,A,0.029000921,0.15886873,-0.08677062
http://arxiv.org/pdf/2202.08241v1,Nuclear Data to Reduce Uncertainties in Reactor Antineutrino Measurements: Summary Report of the Workshop on Nuclear Data for Reactor Antineutrino Measurements (WoNDRAM),"These new measurements provide
yet further value for elucidating the quality of summation predictions if energy resolution of a few percent
or better can be achieved. To enable future pursuit of direct constraints on reactor antineutrino production
below the 1.8 MeV IBD threshold, further research and development (R&D) on reactor-based coherent
neutrino scattering (CEvNS) and electron scattering detectors must be performed. Thus, performance of
improved new high-precision antineutrino spectrum and flux measurements at HEU and LEU reactors,
preferably in a systematically correlated manner, was highly recommended (recommendation 2 and 6). ",nucl-ex,A,-0.18472233,-0.21084641,0.08369191
http://arxiv.org/pdf/2202.08594v1,Evidence of a dibaryon spectrum in coherent $π^0π^0 d$ photoproduction at forward deuteron angle,"For a given event, all combinations where two π0
due to the large momentum transfer to the deuteron. The data is        from the four photons could be reconstructed were retained for
intended to shed more light on the contrasting interpretations of      further analysis. earlier observed structures and thus on the possible existence of
genuine dibaryon resonances. ",nucl-ex,A,-0.038990907,0.2277185,-0.358752
http://arxiv.org/pdf/2202.08594v2,Evidence of a dibaryon spectrum in coherent $π^0π^0 d$ photoproduction at forward deuteron angles,"The data is        mately 2.5σ). For a given event, all combinations where two π0
intended to shed more light on the contrasting interpretations of      from the four photons could be reconstructed were retained for
earlier observed structures and thus on the possible existence of      further analysis. genuine dibaryon resonances. ",nucl-ex,A,-0.060276095,0.20696828,-0.20165178
