url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00834v1,Symmetry breaking of Gamow-Teller and magnetic-dipole transitions and its restoration in calcium isotopes,"This task requires a development of the deformed rela-
                                                                tivistic QRPA and intensive computations. We aim to
   Before closing our discussion, we check the mirror sym-      address this topic in our future work. metry in terms of the M1 and GT transitions. ",nucl-th,C,-0.04794147,0.07386117,0.042753257
http://arxiv.org/pdf/2201.00834v2,Symmetry breaking of Gamow-Teller and magnetic-dipole transitions and its restoration in calcium isotopes,"The IV-spin-M1 and GT strength distributions of       QRPA and intensive computations. We aim to address
42Ca and 42Ti obtained with the DD-PC1 plus IV-PV in-           this topic in our future work. teraction with αIV−PV = 1.7 fm2. ",nucl-th,A,0.066984706,-0.07684931,-0.08993221
http://arxiv.org/pdf/2201.00998v1,The Coulomb interaction and the single-particle space-momentum angle distribution effect on two-pion HBT correlation,"And this single-particle space-momentum correlation may be aﬀected by
the anomalies near the CEP, it is possible to see some non-monotonic behaviors through
the HBT analysis. With further research, the HBT analysis may help us learn more
about the critical eﬀect of single-particle space-momentum correlation. References

 [1] Hanbury Brown R and Twiss R 1956 Nature 178 1046–1048
 [2] Goldhaber G, Goldhaber S, Lee W and Pais A 1960 Phys. ",nucl-th,C,-0.0047509847,-0.0075912178,0.08762641
http://arxiv.org/pdf/2201.00998v2,The Coulomb interaction and the single-particle space-momentum angle distribution effect on two-pion HBT correlation,"And this single-particle space-momentum correlation may be aﬀected by
the anomalies near the CEP, it is possible to see some non-monotonic behaviors through
the HBT analysis. With further research, the HBT analysis may help us learn more
about the critical eﬀect of single-particle space-momentum correlation. References

 [1] Hanbury Brown R and Twiss R 1956 Nature 178 1046–1048
 [2] Goldhaber G, Goldhaber S, Lee W and Pais A 1960 Phys. ",nucl-th,C,-0.0047509847,-0.0075912178,0.08762641
http://arxiv.org/pdf/2201.00998v3,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,"The changing pattern for these two situations are similar, it is
reﬂected in these little close ﬁt results, while the diﬀerences of them are caused by
the Coulomb interaction, which has bigger inhibition for the strength of the transverse
momentum dependence of Rs at high collision energies, and this phenomenon is also
shown in Figure 5. With further research, the chosen values and ﬁt results can be
improved by adding more collision energies and more accurate ﬁts. Conclusions

     With the string melting AMPT model, we calculate the HBT radius Rs for π+
in two situations, with and without Coulomb interaction. ",nucl-th,A,-0.012302438,-0.21267575,-0.22676973
http://arxiv.org/pdf/2201.00998v4,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,"Fit results for parameters µ and ν

                                           n=1                       n=2

                    µ11 −0.0004 ± 0.0003 −0.00004 ± 0.00003

   m=1              µ12              3.3 ± 0.5                       4.7 ± 0.4
   m=2
                    ν11 −0.086 ± 0.004                        −0.084 ± 0.003

                    ν12 −0.68 ± 0.09                          −0.94 ± 0.08

                    µ21 −0.024 ± 0.003                        −0.014 ± 0.003

                    µ22              2.3 ± 0.3                       3.2 ± 0.3

                    ν21 −0.021 ± 0.004                        −0.012 ± 0.002

                    ν22              2.4 ± 0.3                       3.3 ± 0.3

momentum dependence of Rs at high collision energies, and this phenomenon is also
shown in Figure 5. With further research, the chosen values and ﬁt results can be
improved by adding more collision energies and more accurate ﬁts. 15

Conclusions

     With the string melting AMPT model, we calculate the HBT radius Rs for π+
in two situations, with and without Coulomb interaction. ",nucl-th,A,0.05690939,-0.26014766,-0.24581547
http://arxiv.org/pdf/2201.00998v5,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,"Fit results for parameters µ and ν

          n=1                                n=2

     µ11 −0.0004 ± 0.0003 −0.00004 ± 0.00003

m=1  µ12  3.3 ± 0.5      4.7 ± 0.4
m=2
     ν11 −0.086 ± 0.004  −0.084 ± 0.003

     ν12 −0.68 ± 0.09    −0.94 ± 0.08

     µ21 −0.024 ± 0.003  −0.014 ± 0.003

     µ22  2.3 ± 0.3      3.2 ± 0.3

     ν21 −0.021 ± 0.004  −0.012 ± 0.002

     ν22  2.4 ± 0.3      3.3 ± 0.3

momentum dependence of Rs at high collision energies, and this phenomenon is also
shown in Figure 5. With further research, the chosen values and ﬁt results can be
improved by adding more collision energies and more accurate ﬁts. Conclusions

     With the string melting AMPT model, we calculate the HBT radius Rs for π+
in two situations, with and without Coulomb interaction. ",nucl-th,A,0.057434656,-0.2594919,-0.24036258
http://arxiv.org/pdf/2201.00998v6,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,"We improve
the ﬁt parameters and it makes our numerical correlation applied to the experiment
closer. With further research, the experiment data can be directly used to study the
single-particle space-momentum correlation. 13

Table 1. ",nucl-th,B,-0.049533922,-0.062951624,0.10893343
http://arxiv.org/pdf/2201.00998v7,The single-particle space-momentum angle distribution effect on two-pion HBT correlation with the Coulomb interaction,"We improve the ﬁt parameters and it makes our numerical
correlation applied to the experiment closer. With further research, the experiment data
can be directly used to study the single-particle space-momentum correlation. 13

−0.25                                                    −0.25

−0.3                                                     −0.3

b                                                        b

−0.35                                                    −0.35

−0.4 with Coulomb interaction                            −0.4                       with Coulomb interaction
           without Coulomb interaction                            0.5               without Coulomb interaction

               4.5        5                   5.5                           1       1.5             2     2.5

                          k1                                                        j1

                    (a)                                                        (b)

−0.25                                                    −0.25

−0.3                                                     −0.3

b                                                        b

−0.35                                                    −0.35

−0.4                      with Coulomb interaction       −0.4          with Coulomb interaction
           −2             without Coulomb interaction
                                                                       without Coulomb interaction

                    −1.8                −1.6       −1.4                1.4     1.6       1.8           2

                          k2                                                        j2

                    (c)                                                        (d)

Figure 12. ",nucl-th,B,-0.06402492,-0.18926544,-0.0921958
http://arxiv.org/pdf/2201.01955v1,Proto-neutron star evolution with improved charged-current neutrino-nucleon interactions,"(2020b) has quan-                                                                     5
tiﬁed the eﬀect of muonic charged-current processes on the
neutrino luminosities. We will consider the impact of muonic       does not occur at the point where chemical potentials ful-
processes on PNS evolution in a future work. ﬁl the usual β-equilibrium condition for cold neutron stars
                                                                   (µn = µp + µe which stems from the Fermi surface approx-
3.1 Direct Urca processes                                          imation, indicated by the red dashed line in Fig. ",nucl-th,A,0.27686387,0.21819457,-0.004151715
