url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.07895v1,European Strategy for Particle Physics -- Accelerator R&D Roadmap,"The analysis and planning have
been conducted by ﬁve expert panels, with membership from the European and international ﬁeld. The
panels have in turn consulted with a wide cross-section of the accelerator physics and particle physics
communities, and relied upon their input and views for the identiﬁcation, prioritisation and organisation
of the future work plan. 255
    9. ",physics.acc-ph,A,-0.22236654,-0.43852687,-0.06959748
http://arxiv.org/pdf/2201.07895v2,European Strategy for Particle Physics -- Accelerator R&D Roadmap,"The analysis and planning have
been conducted by ﬁve expert panels, with membership from the European and international ﬁeld. The
panels have in turn consulted with a wide cross-section of the accelerator physics and particle physics
communities, and relied upon their input and views for the identiﬁcation, prioritisation and organisation
of the future work plan. 253
    9. ",physics.acc-ph,A_centroid,-0.2171915,-0.44135302,-0.08085208
http://arxiv.org/pdf/2201.07895v3,European Strategy for Particle Physics -- Accelerator R&D Roadmap,"The analysis and planning have
been conducted by ﬁve expert panels, with membership from the European and international ﬁeld. The
panels have in turn consulted with a wide cross-section of the accelerator physics and particle physics
communities, and relied upon their input and views for the identiﬁcation, prioritisation and organisation
of the future work plan. 253
    9. ",physics.acc-ph,A,-0.2171915,-0.44135302,-0.08085208
http://arxiv.org/pdf/2201.08097v1,"Calculations of neutron fluxes and isotope conversion rates in a thorium-fuelled MYRRHA reactor, using GEANT4 and MCNPX, Nuclear Engineering and Design","Minor actinide production is decreased by a factor of ∼ 100 when using
thorium based in place of uranium based fuels. 7 Conclusions and future work

       1. The reactor geometry has been successfully implemented using GEANT4. ",physics.acc-ph,B,0.06130258,0.030998182,0.16815911
http://arxiv.org/pdf/2201.09655v1,Multiple scattering of channeled and non-channeled positively charged particles in bent monocrystalline silicon,"This suggests the presence of oscillations similar to those observed in [24]. The problem touched upon here requires further study. C. Multiple scattering in the channeling range

   Figs. ",physics.acc-ph,C_centroid,0.25549775,0.61311895,-0.11126672
http://arxiv.org/pdf/2201.09655v2,Multiple scattering of channeled and non-channeled positively charged particles in bent monocrystalline silicon,"This suggests the presence of oscillations similar to those observed in [24]. The problem touched upon here requires further study. C. Multiple scattering in the channeling range

   Figs. ",physics.acc-ph,C,0.25549775,0.61311895,-0.11126672
http://arxiv.org/pdf/2201.12012v1,High Frequency Structure Design and RF Stability Analysis of A 4-Vane Radio Frequency Quadrupole with Pi-Mode Stabilizer Loops (PISLs),"In an ideal RFQ, we will have Ci = C and Li = L, by defining the cutoff frequency = 1 ∕ √ . For
further analysis of Eq. (3) and (4), we can consider a slice quadrant of a 4-vane RFQ structure. ",physics.acc-ph,B,0.044302,0.29284874,0.12638274
http://arxiv.org/pdf/2202.05610v1,Explainable Machine Learning for Breakdown Prediction in High Gradient RF Cavities,"trend data in section IV
and event data in section V. With explainable-AI, we
state that a pressure rise are the ﬁrst signs of a break-
down, and validate it empirically. The strengths and the
limitations of our methodology are discussed, together
with an outlook for possible future work in section VI. Finally, we conclude our research in section VII. ",physics.acc-ph,A,-0.44007123,0.37176448,0.2518888
http://arxiv.org/pdf/2202.05610v2,Explainable Machine Learning for Breakdown Prediction in High Gradient RF Cavities,"V. With
explainable AI, we state that a pressure rise is the first sign of
a breakdown and validate it empirically. The strengths and
the limitations of our methodology are discussed, together
with an outlook for possible future work in Sec. VI. ",physics.acc-ph,A,-0.4952197,0.19706383,0.30150697
http://arxiv.org/pdf/2202.07709v1,PIC Simulations of One-side Multipactor on Dielectric,"Fermi National Accelerator Laboratory                                                                                        12
PIC simulations of one-side multipactor on dielectric  Gennady Romanov

                                                    Summary

    This work is to summarize the results of PIC simulations of one-side multipactor on dielectric and to accumulate
the observations of the features of the process, some of which are banal, some are not understood in full yet. Therefore,
the following list of the observations is rather a list of suppositions that require further study and verifications than
something conclusive. • At any DC field there is always a synchronous secondary electron with appropriate initial velocity due to
continuous PDF. ",physics.acc-ph,B,0.06393092,-0.047969487,-0.2561291
http://arxiv.org/pdf/2203.01605v1,Design of the AWAKE Run 2c transfer lines using numerical optimizers,"This method could be adapted for use with
perform compared to the resolution scaling. The BPMs         the Run 2c seeding electron line and even developed into
with the largest horizontal jitters also demonstrate the     an application to give real-time predictions of the rela-
poorest horizontal predictions, requiring further study. tive alignment between the proton and electron beams. ",physics.acc-ph,A,-0.13337414,-0.029943932,-0.104435846
http://arxiv.org/pdf/2203.03811v1,Considerations for a TeV Collider Based On Dielectric Laser Accelerators,"3(b). The physics of the beam recombination mechanism at the IP requires further study, but for the
purposes of Table 1 we assume a linear emittance scaling with number of parallel beamlines. In
these examples, DLA meets the desired luminosity, and with a small (few percent) beamstrahlung
energy loss. ",physics.acc-ph,C,0.030391274,0.15750292,-0.31628326
http://arxiv.org/pdf/2203.04391v1,Adaptive Machine Learning for Time-Varying Systems: Towards 6D Phase Space Diagnostics of Short Intense Charged Particle Beams,"A broad overview of recent developments and the state of the art in adaptive controls and
machine learning for particle accelerators can be found in the proceedings of the 2019 Advanced Control
Methods for Particle Accelerators (ACM4PA) workshop18. In future work, the goal is to develop coupled
adaptive ML-based controls and ML-based online diagnostics19 that can utilize recently developed model-
independent methods for the optimal control of unknown systems, such as accelerators and their beams20,
based on virtual diagnostics. The use of virtual diagnostics to guide automatic LPS control was recently
studied in simulation for FACET-II21. ",physics.acc-ph,A,-0.49571005,-0.19900241,0.11722413
