url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00251v1,Phonon condensation and cooling via nonlinear feedback,"Looking
                                                                for better feedback strategies, especially with the help of
                                                                the fast-developing machine learning models, is a promis-
                                                                ing direction [42]. Besides, the eﬀect of a time delay and
                                                                phase diﬀerence in the feedback loop is an interesting
                                                                topic and deserves further study. 0

0.95  1  1.05                                                   Appendix A: Comparison of our model and
                                                                                     Fr¨ohlich’s model

FIG. ",physics.app-ph,C,0.19885325,-0.17817375,0.40746346
http://arxiv.org/pdf/2201.01801v1,Electrical readout microwave-free sensing with diamond,"The main focus of this work is to
                                                               demonstrate an electrical-readout NV-based magnetome-
   For noise measurements, the LIA output is recorded for      ter and to discuss the underlying physics and potential
1 s. The data are passed through a fast Fourier transform      routes for improvement, the sensitivity will be optimized
as displayed in Fig. 4 (b), from which we can establish the    in future work. noise-ﬂoor and the sensitivity spectrum. ",physics.app-ph,B,0.17133242,0.13787186,-0.14732505
http://arxiv.org/pdf/2201.02153v1,Scalable CMOS-BEOL compatible AlScN/2D Channel FE-FETs,"For AlScN the study of this effect is nascent. Therefore, further study of its polarization
switching mechanism and dynamics is necessary and is a subject of our ongoing investigations. Beyond 5000 cycles, both MW and ON/OFF gradually decrease again and abruptly disappear in
the end. ",physics.app-ph,B,0.2329155,-0.03118283,0.023442142
http://arxiv.org/pdf/2201.02891v1,"""Knees"" in lithium-ion battery aging trajectories","Both experimental and modeling eﬀorts
can improve our understanding of knee fundamentals and reveal other knee pathways and
internal state trajectories not captured in this work. In particular, the “covering layer” phe-
nomenon observed concurrently with knees in many studies deserves further study. Second,
larger battery aging datasets over a variety of cell designs and use cases will aid fundamen-

                                                         64
tal, modeling, and prediction eﬀorts to capture a variety of knee pathways and internal state
trajectories. ",physics.app-ph,C,-0.19263843,-0.06401886,0.22355133
http://arxiv.org/pdf/2201.03066v1,Phase field fracture predictions of microscopic bridging behaviour of composite materials,"Once the results from the baseline model have been
established, we proceed to investigate the role of the ﬁbre toughness Gf , the ﬁbre volume
fraction fg, and the ﬁbre-matrix interface toughness GNI . The sample dimensions are kept

                                                          19
ﬁxed and thus the investigation of phenomena such as the in-situ thickness eﬀect is left for
future work [54, 55]. (a)                                (b)  A-A

     Baseline

                                        CMOD

(c)            Cross-section: A-A

Figure 10: 3D large-scale bridging: (a) the role of ﬁbre bridging on the R-curve of composite materials, where
Gf = 13.5 J/m2; (b) the phase ﬁeld damage contour within the embedded cell; and (c) the cross-sectional
view of the phase ﬁeld damage at diﬀerent crack extensions. ",physics.app-ph,C,-0.31046635,-0.08547923,0.15903515
http://arxiv.org/pdf/2201.03420v1,Measurement and theory of gravitational coupling between resonating beams,"The combination with well-established resonance control can improve measurement speed and
accuracy. Motivated by the work of Sinsky/Weber20, future work can also contain a non-resonant transmitter
such as one or several rotating bars, which enables to use higher harmonics of the dynamic
gravitational forces. We think that this work shows the high potential of fully characterized dynamical gravitational
experiments. ",physics.app-ph,B,0.310113,-0.12679654,-0.086268306
http://arxiv.org/pdf/2201.03722v1,Recent advance in phase transition of vanadium oxide based solar reflectors and the fabrication progress,"Furthermore, we sputtered VOx by V2O5 target with Rfo between 0.042 to
0.6 at temperature 300̊C and higher and measured it with XRD method, which resulted in forming the V2O3 on the
thick oxide on silicon wafer. For future work, it is recommended to sputter the thin film VOx on sapphire or silicon
substrate with V2O3, since VO2 grows smoothly on sapphire in comparison with the thick thermal SiO2. Thin films
thermochromic vanadium dioxide is currently attracting much attention in areas such as microelectronics and
spacecraft control systems for their electronic behaviors in MIT. ",physics.app-ph,A_centroid,-0.29018104,0.47255665,-0.017570069
http://arxiv.org/pdf/2201.03722v2,Recent advance in phase transition of vanadium oxide based solar reflectors and the fabrication progress,"Furthermore, we sputtered VOx by V2O5 target with Rfo between 0.042 to
0.6 at temperature 300̊C and higher and measured it with XRD method, which resulted in forming the V2O3 on the
thick oxide on silicon wafer. For future work, it is recommended to sputter the thin film VOx on sapphire or silicon
substrate with V2O3, since VO2 grows smoothly on sapphire in comparison with the thick thermal SiO2. Thin films
thermochromic vanadium dioxide is currently attracting much attention in areas such as microelectronics and
spacecraft control systems for their electronic behaviors in MIT. ",physics.app-ph,A,-0.29018104,0.47255665,-0.017570069
http://arxiv.org/pdf/2201.04559v1,Dual-polarization multiplexing amorphous Si:H grating couplers for silicon photonic transmitters in the photonic BiCMOS backend of line,"[16] low-loss a-Si:H rib waveguides were realized by CMP-planarization of the waveguide top
surface. In future work, this approach could be pursued for loss reduction of our waveguides. We analyze in more detail first a-Si:H 2D grating couplers, realized at the Metal2 level. ",physics.app-ph,B,0.03234189,0.2681045,-0.1078244
http://arxiv.org/pdf/2201.05526v1,Amplitude-dependent edge states and discrete breathers in nonlinear modulated phononic lattices,"7 (the two edge states and the discrete breather of branch III). Although these results are not formal proof of stability [48, 58], which as a task that for
now is left for future work, they undoubtedly conﬁrm the existence of the predicted modes
as possible periodic solutions. V. DISCUSSION AND CONCLUSIONS

   In this paper, we investigate the amplitude-dependent behavior of nonlinear modulated
phononic lattices. ",physics.app-ph,B,0.11279109,-0.14506459,-0.11397086
