url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.02902v1,Collisional EPR Frequency Shifts in Cs-Rb-Xe Mixtures,"Allowing the OptiGrate laser to warm up for more
than 12 h worked well enough for these short measure-
ment times to improve precision signiﬁcantly in Case 2. In future work on spin-exchange rate coeﬃcients, we will
describe a “locking in the dark” technique that enables
stable frequency-locking measurements over longer time
scales that are impervious to light-shift eﬀects. Knowledge of the alkali-metal densities in our cells was
not necessary for these experiments, and we did not di-
rectly measure them. ",physics.atom-ph,B_centroid,-0.2540315,-0.15512927,0.4728971
http://arxiv.org/pdf/2201.02902v2,Collisional EPR Frequency Shifts in Cs-Rb-Xe Mixtures,"Allowing the OptiGrate laser to warm up for more
                                                                 than 12 h worked well enough for these short measure-
                                                                 ment times to improve precision signiﬁcantly in Case 2. In future work on spin-exchange rate coeﬃcients, we will
                                                                 describe a “locking in the dark” technique that enables
                                                                 stable frequency-locking measurements over longer time
                                                                 scales that are impervious to light-shift eﬀects. Knowledge of the alkali-metal densities in our cells was
                                                                 not necessary for these experiments, and we did not di-
                                                                 rectly measure them. ",physics.atom-ph,B,-0.2540315,-0.15512927,0.4728971
http://arxiv.org/pdf/2201.04083v3,Analyzing the Rydberg-based omg architecture for $^{171}$Yb nuclear spins,"a calibrated map via a polarimeter. Although we leave a
                                                                                                                  careful study of this eﬀect for future work, we note that
  Similar to the calculation for the radial direction in                                                          trapped ion systems have been engineering solutions to
Appendix G and assuming a Gaussian beam proﬁle with                                                               such problems for over a decade [83]. ﬁxed waist-Rayleigh length relationship, we assume an
axial trap frequency in the tweezer of ωz = 2π × 17 kHz                                                                 APPENDIX K: Technical limitations for the
[corresponding to the same tweezer parameter in the                                                                                         Rydberg transition
main text; see Fig. ",physics.atom-ph,C,-0.18847385,-0.06441884,-0.28519243
http://arxiv.org/pdf/2201.05909v1,Hamiltonian engineering of spin-orbit coupled fermions in a Wannier-Stark optical lattice clock,"Due to very strong s-wave interactions on this transition, we observe a signiﬁcant
dependence on local density. While this dependence merits further study, here we operate
the system in a relatively low density regime compared to our density shift measurements
to determine a near optimal coherence. Fitting a single exponential time decay to the
contrast, we measure an atomic coherence time of 20(1) s. The regions of study are
selected by ﬁtting a Gaussian to the atomic distribution and selecting two regions from
the center to 1.5 times the Gaussian RMS width. ",physics.atom-ph,B,0.0055019,0.031699356,0.24413659
http://arxiv.org/pdf/2201.09070v2,New Measurement Resolves Key Astrophysical Fe XVII Oscillator Strength Problem,"ac-
neglected blending of satellite lines [34, 86]. Nevertheless, a       knowledges the support by an appointment to the NASA
signiﬁcant discrepancy remains between even the most care-            Postdoctoral Program at the NASA Goddard Space Flight
ful measurements and calculations of collision strength ratios,       Center, administered by Oak Ridge Associated Univer-
which remains to be solved in future work [17, 49]. sities under contract with NASA and by Max-Planck-
                                                                      Gesellschaft (MPG). ",physics.atom-ph,A,0.50508463,-0.12232314,-0.2038466
http://arxiv.org/pdf/2201.09070v3,New Measurement Resolves Key Astrophysical Fe XVII Oscillator Strength Problem,"C.S. ac-
discrepancy remains between even the most careful measure-           knowledges support by an appointment to the NASA Post-
ments and calculations of collision strength ratios, which re-       doctoral Program at the NASA Goddard Space Flight Cen-
mains to be solved in future work [47, 49]. ter, administered by Oak Ridge Associated Universities under
                                                                     contract with NASA and by Max-Planck-Gesellschaft (MPG). ",physics.atom-ph,A,0.54382426,-0.10901129,-0.15523076
http://arxiv.org/pdf/2201.12461v1,Matter Wave Analog of a Fiber-Optic Gyroscope,"pact rotation sensing performance because the rotation
rate can be obtained through a diﬀerential measurement            Since a detailed study of the fringe contrast supported
with multiple Sagnac areas [7]. by an appropriate noise model might reveal factors lim-
                                                               iting the system, static mode fringes for our standard set
   The behavior of both the underlying and average fringe      of T = 20 ms, 40 ms and 80 ms with many repetitions per
                                                               interferometer phase were collected over several hours to
                                                               produce a large data set for further analysis (Fig. 3). ",physics.atom-ph,B,0.009040961,-0.39509618,-0.04257309
http://arxiv.org/pdf/2202.01480v1,Characterization of the electronic ground state of Mg$_2^+$ by PFI-ZEKE photoelectron spectroscopy,"In con-
       ωe     215.25(14)      5.70      5.69                       trast, the electronic ground state of Mg22+ is unstable
    ωexe         1.102(16)    0.154     0.155                      overall, and a local minimum in the Coulomb-repulsion-
    ωeye         0.0015(6)              0.0011                     type potential-energy function is predicted to support
                 5.684(9)                                          several metastable vibrational states [36]. Rydberg se-
       Re        0.1554(5)                                         ries of Mg+2 converging to these metastable Mg22+ levels
       Be        0.001 20(5)                                       should exhibit potential-energy functions and dynamical
       αe                                                          properties very diﬀerent from those of MgAr+, and their
                                                                   systematic investigation is a perspective of future work. a Estimated using De = D0 + ωe/2 − ωexe/4 + ωeye/8
b The potential-well depth of 10532 cm−1 reported in Ref. ",physics.atom-ph,C,-0.1498156,0.42469108,-0.2662909
http://arxiv.org/pdf/2202.01480v2,Characterization of the electronic ground state of Mg$_2^+$ by PFI-ZEKE photoelectron spectroscopy,"Rydberg se-
(EI(Mg)/(hc) = 61671.05(3) cm−1 [5, 55]). ries of Mg+2 converging to these metastable Mg22+ levels
                                                                   should exhibit potential-energy functions and dynamical
   The present value of the dissociation energy is in agree-       properties very diﬀerent from those of MgAr+, and their
                                                                   systematic investigation is a perspective of future work. ment with, but 500 times more accurate than, the only
                                                                                   V. ACKNOWLEDGEMENTS
other experimental value we could ﬁnd in the literature
(10 200(300) cm−1 [25]). ",physics.atom-ph,C,-0.08556466,0.49771094,-0.25380886
http://arxiv.org/pdf/2202.04763v1,MAGIS-100 Environmental Characterization and Noise Analysis,"We have characterized the temperature and seismic environment of the MAGIS-100 installation
site and examined the expected magnitudes of the systematic noise that arises from environmental
ﬂuctuations. We plan to actively monitor the environment around the shaft to further study the
impact and mitigation strategies being developed for MAGIS-100 noise sources. These studies

                                                    – 17 –
have and will continue to guide research and development of various crucial engineering and design
choices for the optical system, the atom sources, and the vacuum pipe. ",physics.atom-ph,B,-0.0060955184,-0.2873299,-0.21620923
http://arxiv.org/pdf/2202.09143v1,Dissociative recombination and rotational transitions of D$_2^+$ in collisions with slow electrons,"However, to our knowledge, only
                                                  tational and vibrational quantum numbers of the cation                     [23] have explicitly introduced multiple deuterated com-
                                                  and ε/ε the kinetic energy of the incident/scattered elec-                 pounds in this context, including D+2 , HD+2 and D+3 and
                                                  trons. conclude their paper by emphasizing the large uncertain-
                                                                                                                             ties present in their deuterium chemistry and claim for
                                                     Recently, in the Le Havre group, several studies were                   additional studies on the topic. As an example, they sug-
                                                  performed on the electron-induced reactions of H+2 and                     gest that the dissociative recombination rate coeﬃcient
                                                  HD+ [6–11]. ",physics.atom-ph,C,0.19144097,0.38286594,-0.0798493
