url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.02589v1,Fractional calculus modeling of cell viscoelasticity quantifies drug response and maturation more robustly than integer order models,"All these methods involved speciﬁc alterations of
the cytoskeleton and the mechanical make-up of the cell. The biomedical signiﬁcance of these ex-
periments and results engenders the need for further analysis, simulations, curve-ﬁtting and modeling
which we now describe in detail in the next section. 2.3. ",physics.bio-ph,B_centroid,-0.20861518,0.28320903,0.015503645
http://arxiv.org/pdf/2201.04551v1,Entrainment of a van der Pol-type circadian pacemaker to daylight cycle,"In addition, it is important to note that noise, which
is unavoidable in biological systems, was not included in our study. We wish to underline that a
random term should be included in future work more complete models. 11
 [1] Manpreet Kaur, Amy Ng, Pyonghwa Kim, Casey Diekman, and Yong-Ick Kim: CikA Modulates
      the Effect of KaiA on the Period of the Circadian Oscillation in KaiC Phosphorylation. ",physics.bio-ph,C,-0.276259,-0.00039018877,-0.22290704
http://arxiv.org/pdf/2201.05519v1,Dose and Fluence Distributions of the Primary and Secondary Particles in Biological Material Irradiated by $^{252}$Cf Fission Neutrons and d-Be Generated Neutrons,"The PHITS code
predicted very small secondary photon dose contributions (<0.03%) for the geometry and tissue
volumes considered. In future work the calculations made here could be augmented with photon
shielding or to consider cages that hold mice or other equipment in an exposure room. The photon
dose contribution will play a larger role for acute effects where the neutron relative biological
effectiveness (RBE) factors are modest (<5), however as noted by Storer et al. ",physics.bio-ph,C,-0.15881008,-0.37079751,-0.013228129
http://arxiv.org/pdf/2201.05795v1,Optimized structures for vibration attenuation and sound control in Nature: a review,"(a-c) SEM
images of B. alcinoe scales: (a) Partly disrupted tiling of scales; (b) perforated top lamina of a scale;
(c) cross-section of a fractured scale revealing the intertrabecular sinus between the two laminae. (d-
f) Confocal microscopy of the scale: (d)Individual scale used for further analysis. (Magnification
20×.) ",physics.bio-ph,B,0.057285793,-0.07058227,0.35153726
http://arxiv.org/pdf/2201.06215v1,The Effect of Geometry on Survival and Extinction in a Moving-Boundary Problem Motivated by the Fisher-KPP Equation,"The stability of
inward-moving fronts in a hole-closing geometry [20] is also yet to be analysed. We plan to
investigate this stability problem using analytical and numerical methods in future work. 14
Acknowledgements

    Computational resources and services used in this work were provided by HPC and
Research Support Group, Queensland University of Technology, Brisbane, Australia. ",physics.bio-ph,A,0.54867065,-0.22477397,-0.1464152
http://arxiv.org/pdf/2201.09609v1,Random walk diffusion simulations in semi-permeable layered media with varying diffusivity,"This has provided useful insights into the behaviour of

                                                                                                                                                                 14/23
both model for multiple applications. In future work, we plan to extend the thorough validation performed here into higher
dimensions. For example, there exists an analytical solution in 2D using radial coordinates39 and the ﬁnite volume method
offers a well-understood reference solution38. ",physics.bio-ph,A_centroid,0.5679101,-0.36446732,0.03695997
http://arxiv.org/pdf/2201.09609v2,Random walk diffusion simulations in semi-permeable layered media with varying diffusivity,"This has provided useful insights into the behaviour of

                                                                                                                                                                 13/22
both model for multiple applications. In future work, we plan to extend the thorough validation performed here into higher
dimensions. For example, there exists an analytical solution in 2D using radial coordinates38 and the ﬁnite volume method
offers a well-understood reference solution37. ",physics.bio-ph,A,0.55018806,-0.37284058,0.058476046
http://arxiv.org/pdf/2201.12092v1,Infrared nanospectroscopic mapping of DNA molecules on mica surface,"Indeed, to prepare DNA network we
condensated DNA with spermidine, which bind strongly to DNA, and we detected the presence of
spermidine on IR spectrum. We believe that achievement of high AFM-IR sensitivity of deposited
DNA molecules on mica surface are prerequisite for IR-AFM nanospetroscopic characterization
of DNA-protein complexes in future work leading for instance to the identification of protein in
muti-components assembly. 10
FIGURES

  Figure 1. ",physics.bio-ph,C,-0.2847646,-0.05926952,0.22241373
http://arxiv.org/pdf/2202.00492v1,Specific interactions of peripheral membrane proteins with lipids: what can molecular simulations show us?,"with polarizable force fields (Figure 3B). A key area of future work will be to see how membrane association affects the PMP itself. This is more challenging to address than simple site identification, in part because it typically
 requires far longer time scales for the effects to be observed, and the restrictive nature of
 coarse-graining on protein structure, including the elastic network in the Martini force field
 (79), means that AA simulations are likely necessary. ",physics.bio-ph,B,-0.13733214,0.09137307,0.021804824
http://arxiv.org/pdf/2202.02114v1,Muscle pre-stimulation tunes viscous-like perturbation rejection in legged hopping,"is sufﬁcient to indicate that an intricate interplay among the
Several different arrangements of such mechanical elements         neuro-tuneable visco-elastic characteristics of muscle ﬁbres
exist, all being in series or parallel to the ﬁbre formulation. may have been overlooked by previous research, and that
The model used here additionally includes an explicit damper       muscular damping mechanisms require further analysis. element (SDE) in series to the contractile element (CE). ",physics.bio-ph,B,0.12347357,0.36254323,-0.066361144
