url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.02389v1,Hyperparameter Search using Genetic Algorithm for Surrogate Modeling of Geophysical Flows,"Section IV discusses
the experimental results and their analysis. Finally, in Section V, conclusions and future works are outlined. II. ",physics.comp-ph,A,-0.22121054,0.10796308,0.15546744
http://arxiv.org/pdf/2201.04731v1,Physics-Informed Deep Learning for Solving Phonon Boltzmann Transport Equation with Large Temperature Non-Equilibrium,"It can be a powerful tool in
studying multiscale thermal transport for applications like thermoelectrics and electronics thermal
management. While being accurate and efficient in predicting multiscale thermal transport, the current
scheme still has limitations, which warrants further research. In particular, our framework is
designed for steady-state problems, and modifications are required in order to capture the transient
thermal transport. ",physics.comp-ph,B,0.084429786,-0.21895678,-0.13214485
http://arxiv.org/pdf/2201.09829v1,Training Data Selection for Accuracy and Transferability of Interatomic Potentials,"Figure 3 B) also shows that NN models surprisingly do
not overﬁt to the training data even when NDoF ≥ NTraining,           In order to assess the relative transferability of the models
where one could expect the RMSE value of the validation set        trained on the different datasets, we select three models for
to increase. This is presumably caused by the non-convex           further analysis: the NN-A1, NN-B1 and a quadratic SNAP
nature loss function which makes it more difﬁcult to access        model, all using an angular momentum limit of Jmax = 3
very low loss minima that would lead to overﬁtting. In addi-       which corresponds to D = 30. ",physics.comp-ph,C,-0.045996975,0.33704084,-0.070036024
http://arxiv.org/pdf/2201.09829v2,Training Data Selection for Accuracy and Transferability of Interatomic Potentials,"rations in the training set, a point that we will expand on the
following paragraphs. In order to assess the relative transferability of the models
                                                                 trained on the different datasets, we select three models for
   Figure 3 B) also shows that NN models surprisingly do         further analysis: the NN-A1, NN-B1 and a quadratic SNAP

                                                                 4/13
A)                                                               B)

Figure 3. RMSE validation errors for as a function of the number of degrees of freedom for different types of models trained
and tested on distinct random samples from their respective dataset. ",physics.comp-ph,C,-0.029673433,0.43036366,-0.006929775
http://arxiv.org/pdf/2201.10686v1,A hybrid adaptive multiresolution approach for the efficient simulation of reactive flows,"The current work opens a number of avenues for future research. For example, we expect HAMR to oﬀer increased
gains with the increased problem complexity, and therefore it would be of interest to further study the dependence of
the eﬃciency on the application type. Also, as most high ﬁdelity simulations are performed on large, parallel computer
systems, the load balancing characteristics of AMR solvers equipped with the solver adaptive component are expected
to change and may require optimization. ",physics.comp-ph,B,-0.033767167,-0.04642231,-0.19204834
http://arxiv.org/pdf/2202.04552v1,Benchmark problems for transcranial ultrasound simulation: Intercomparison of compressional wave models,"Diﬀerences of this level are on par with experi-         These results build conﬁdence in the use of computa-
mental repeatability and reproducibility measurements         tional modeling to support transcranial ultrasound ther-
conducted using similar ultrasound transducers and a          apies. The benchmark deﬁnitions and associated data
range of hydrophones.81 Compared to KWAVE, seven mod-         ﬁles, simulation results, and codes to compute the inter-
els have maximum diﬀerences in the focal pressure across      comparison metrics are all freely available.8,9 This allows
all benchmarks of less than 10%, and ﬁve models have          the results to be replicated or further analysis to be con-
median diﬀerences across all benchmarks on the order of       ducted. Additional model results can also be easily added
1% or less (see Fig. ",physics.comp-ph,A,-0.037585303,0.2542304,-0.0064071305
http://arxiv.org/pdf/2202.04944v1,Supervised machine learning to estimate instabilities in chaotic systems: estimation of local Lyapunov exponents,"We test the ability of some popular supervised ML algorithms to perform this task in two prototypical low-
dimensional chaotic dynamical systems. This study is concerned solely with the predictive capability of ML methods:
the task of optimising the computational cost of making predictions is left for future work. We anticipate that the
latter task will be largely dependent on the speciﬁc use-case and computing hardware. ",physics.comp-ph,C,0.33486396,0.40386832,-0.19260155
http://arxiv.org/pdf/2202.04944v2,Supervised machine learning to estimate instabilities in chaotic systems: estimation of local Lyapunov exponents,"In this feasibility study, we test the accuracy of some popular supervised ML algorithms in this task in two proto-
typical low-dimensional chaotic dynamical systems. This study is concerned solely with the predictive capability of ML
methods: the task of optimising the computational cost of making predictions is left for future work. We anticipate
that the latter task will be largely dependent on the speciﬁc use-case and computing hardware. ",physics.comp-ph,C,0.32235903,0.40421325,-0.19335353
http://arxiv.org/pdf/2202.05183v2,Discovering Quantum Phase Transitions with Fermionic Neural Networks,"ciently ﬂexible to fully describe the two-electron corre-
These results show that FermiNet is capable of learning      lations in the Wigner crystal without help from the one-
wave functions in both the gas and Wigner crystal states     electron stream. Improving the ﬂexibility of the two-
to very high accuracy without any hand-crafted features      electron stream will be the focus of future work. We do
indicating whether the wave function should be localized     not believe that these issues impact the central conclu-
or diﬀuse, any speciﬁc designation of crystal sites, or any  sion of the present work, and stress that in real condensed
other information that a transition should occur. ",physics.comp-ph,A,-0.27429724,-0.00022496097,-0.0048468458
http://arxiv.org/pdf/2202.05183v3,Discovering Quantum Phase Transitions with Fermionic Neural Networks,"This suggests that the two-electron stream is insuﬃ-
These results show that FermiNet is capable of learning      ciently ﬂexible to fully describe the two-electron corre-
wave functions in both the gas and Wigner crystal states     lations in the Wigner crystal without help from the one-
to very high accuracy without any hand-crafted features      electron stream. Improving the ﬂexibility of the two-
indicating whether the wave function should be localized     electron stream will be the focus of future work. We do
or diﬀuse, any speciﬁc designation of crystal sites, or any  not believe that these issues impact the central conclu-
other information that a transition should occur. ",physics.comp-ph,A,-0.29230222,0.013254419,0.01677423
http://arxiv.org/pdf/2202.07366v1,An Ampére-Nernst-Planck Framework for Modeling Charge Dynamics,"With such a gradient ﬂow structure, it is desirable to design numerical methods

that are able to preserve energy dissipation at discrete level. Structure-preserving

numerical methods for the ANP model will be studied in future works. 3.2. ",physics.comp-ph,B_centroid,0.3523805,-0.3889401,-0.2628226
http://arxiv.org/pdf/2202.07366v2,A Maxwell-Ampère-Nernst-Planck Framework for Modeling Charge Dynamics,"With such a gradient ﬂow structure, it is desirable to design numerical methods
that are able to preserve energy dissipation at discrete level. Structure-preserving
numerical methods for the MANP model will be studied in future works. 3.2. ",physics.comp-ph,B,0.33260083,-0.41268444,-0.24946211
http://arxiv.org/pdf/2202.07366v3,A Maxwell-Ampère Nernst-Planck Framework for Modeling Charge Dynamics,"With such a gradient ﬂow structure, it is desirable to design numerical methods
that are able to preserve energy dissipation at discrete level. Structure-preserving
numerical methods for the MANP model will be studied in future works. 3.2. ",physics.comp-ph,B,0.33260083,-0.41268444,-0.24946211
http://arxiv.org/pdf/2202.07366v4,A Maxwell-Ampère Nernst-Planck Framework for Modeling Charge Dynamics,"With such an energy dissipative law, it is desirable to design numerical methods
that are able to preserve energy dissipation at discrete level. Structure-preserving
numerical methods for the MANP model will be studied in future works. 3.2. ",physics.comp-ph,B,0.3145924,-0.45264393,-0.1819521
http://arxiv.org/pdf/2202.07926v1,Hybrid Finite Difference with the Physics-informed Neural Network for solving PDE in complex geometries,"3) How can we combine traditional PDE solving methods
to improve the generalization and prediction accuracy of PINN? These interesting discussions will be further
explored in future work. Acknowledgments

    This work was supported by the National Natural Science Foundation of China (No.11725211, 52005505,
and 62001502). ",physics.comp-ph,B,0.16820335,0.00948647,-0.10284988
http://arxiv.org/pdf/2202.08631v2,Analysis of Population Control Techniques for Time-Dependent and Eigenvalue Monte Carlo Neutron Transport Calculations,"Finally, a recent
analysis of neutron clustering in k-eigenvalue transport calculation demonstrates that
sampling source sites without replacement (which is a variation of DD) versus with
replacement (which is SS) can greatly reduce the degree of clustering [32]. Studying
how the diﬀerent PCTs (particularly those who are not included in [32], i.e., SR, CO,
and COX) aﬀect the clustering phenomenon can be a potential future work as well. Acknowledgements

This work was supported by the Center for Exascale Monte-Carlo Neutron Transport
(CEMeNT) a PSAAP-III project funded by the Department of Energy, grant number
DE-NA003967. ",physics.comp-ph,A,-0.32581627,-0.04856263,-0.17972457
http://arxiv.org/pdf/2202.09232v1,Feynman's Sum-over-Paths method applied in wave optics and for calculating the quantum probability current,"[2]. The further analysis of the
                                                             probability current per unit area was not performed in
                                                             their publication. It is quite remarkable that the results in [2] can be
                                                             obtained simply by evaluating the stationary case
                                                             figured out in our paper. ",physics.comp-ph,A,-0.15216379,-0.10662314,0.25926113
http://arxiv.org/pdf/2202.09232v2,Feynman's Sum-over-Paths method applied in wave optics and for calculating the quantum probability current,"[2]. The further analysis of the
                                                             probability current per unit area was not performed in
                                                             their publication. It is quite remarkable that the results in [2] can be
                                                             obtained simply by evaluating the stationary case
                                                             figured out in our paper. ",physics.comp-ph,A,-0.15216379,-0.10662314,0.25926113
http://arxiv.org/pdf/2202.09232v3,Feynman's Sum-over-Paths method applied in wave optics and for calculating the quantum probability current,"[2]. The further analysis of the
the differential equations at a relatively small distance. probability current per unit area was not performed in
The probability profile automatically results by             their publication. ",physics.comp-ph,A,-0.036832243,-0.10805443,0.17845923
http://arxiv.org/pdf/2202.10275v1,A conservative level-set method based on a posterior mass correction preserving distance property for incompressible multiphase flows simulations,"Quantitative
study indicates that the conservation error is reduced to the order of machine
accuracy by employing the present method and the extra computational cost is
negligible. In future work, we plan to add a phase change model in the present
method to simulate the icing of droplets. 6. ",physics.comp-ph,B,0.15410599,-0.16628364,-0.21553165
http://arxiv.org/pdf/2202.11571v1,SporTran: a code to estimate transport coefficients from the cepstral analysis of (multivariate) current time series,"The program out-
puts a PDF ﬁle with several plots, and textual or binary ﬁles containing the raw results of the
calculation. Those ﬁles can be easily used for further analysis. --input-format {table,dict,lammps}  input format
-k MAINFLUXKEY                      the header of the J0 ﬂux column
-j ADD_CURRENTS                     header of additional current (optional)
-C {electric,heat,stress}           the type of current
u {real,metal,qepw,GPa...}          units
-t TIMESTEP                         timestep in fs
--VOLUME VOLUME                     volume of the system in Å3
--TEMPERATURE TEMPERATURE           temperature of the system in K
-r                                  resample the time series with the speciﬁed FSTAR
--FSTAR FSTAR                       maximum frequency to analyse in THz
-w PSD_FILTERW                      size of the moving average ﬁlter used in the plots,

--help                                 for visualisation purposes (THz)
--list-currents                     show the complete help
INPUTFILE                           list all the currents and units implemented in the code
                                    input ﬁle

Table 1: List of important command line parameters. ",physics.comp-ph,A,-0.16609071,-0.18846357,0.29331416
http://arxiv.org/pdf/2202.11571v2,SporTran: a code to estimate transport coefficients from the cepstral analysis of (multivariate) current time series,"The program
outputs a PDF ﬁle with several plots, and textual or binary ﬁles containing the raw results of the
calculation. Those ﬁles can be easily used for further analysis. --input-format {table,dict,lammps}  input format
-k MAINFLUXKEY                      the header of the J0 ﬂux column
-j ADD_CURRENTS                     header of additional current (optional)
-C {electric,heat,stress}           the type of current
-u {real,metal,qepw,GPa...}         units
-t TIMESTEP                         timestep in fs
--VOLUME VOLUME                     volume of the system in Å3
--TEMPERATURE TEMPERATURE           temperature of the system in K
-r                                  resample the time series with the speciﬁed FSTAR
--FSTAR FSTAR                       maximum frequency to analyse in THz
-w PSD_FILTERW                      size of the moving average ﬁlter used in the plots,

--help                                 for visualisation purposes (THz)
--list-currents                     show the complete help
INPUTFILE                           list all the currents and units implemented in the code
                                    input ﬁle

Table 1: List of important command line parameters. ",physics.comp-ph,A_centroid,-0.16203603,-0.18383296,0.2997427
http://arxiv.org/pdf/2202.11571v3,SporTran: a code to estimate transport coefficients from the cepstral analysis of (multivariate) current time series,"The program
outputs a PDF ﬁle with several plots, and textual or binary ﬁles containing the raw results of the
calculation. Those ﬁles can be easily used for further analysis. --input-format {table,dict,lammps}  input format
-k MAINFLUXKEY                      the header of the J0 ﬂux column
-j ADD_CURRENTS                     header of additional current (optional)
-C {electric,heat,stress}           the type of current
-u {real,metal,qepw,GPa...}         units
-t TIMESTEP                         timestep in fs
--VOLUME VOLUME                     volume of the system in Å3
--TEMPERATURE TEMPERATURE           temperature of the system in K
-r                                  resample the time series with the speciﬁed FSTAR
--FSTAR FSTAR                       maximum frequency to analyse in THz
-w PSD_FILTERW                      size of the moving average ﬁlter used in the plots,

--help                                 for visualisation purposes (THz)
--list-currents                     show the complete help
INPUTFILE                           list all the currents and units implemented in the code
                                    input ﬁle

Table 1: List of important command line parameters. ",physics.comp-ph,A,-0.16203603,-0.18383296,0.2997427
