url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.07586v1,RAMANMETRIX: a delightful way to analyze Raman spectra,"In the
shown example, two out of 8 possible filters are enabled. As a result, only spectra that have correlation with the average
pretreated (calibrated) spectrum above 0.9 and the background intensity below 2000 will be used in further analysis. The filtered-
out spectra are marked as “Failed quality spectra” in subsequent mean spectra plots (Figure 10). ",physics.data-an,A,-0.02091453,-0.21684358,-0.04016689
http://arxiv.org/pdf/2202.08488v1,Adaptive Model Refinement Approach for Bayesian Uncertainty Quantification in Turbulence Model,"The 90% credible interval considering posterior uncertainty and
model error overlaps with the experimental data. However, the experimental data cannot be covered only by perturbing
the coefficients of the SST model, which indicates the necessity for further analysis of uncertainties arising from other
sources. Although the effectiveness and efficiency of the proposed approach are convincing, the time cost of multiple
inferences is considerable. ",physics.data-an,C,-0.036519453,0.3164152,0.07873039
http://arxiv.org/pdf/2203.00330v1,Machine Learning for Particle Flow Reconstruction at CMS,"However, for MET, we observe a misreconstructed
high-MET tail that is most prominent for the QCD sample not used in training. This could
potentially be attributed to limited training statistics for high-energy neutral particles, which
are correspondingly not well reconstructed by the MLPF algorithm in the current iteration and
require further study. We report the computational performance of the model on a single stream on a single GPU
in ﬁg. ",physics.data-an,C,-0.04048885,-0.0871467,-0.03743366
http://arxiv.org/pdf/2203.02831v1,The detection matrix as a model-agnostic tool to estimate the number of degrees of freedom in mechanical systems and engineering structures,"ses regarding the applicability of the detection matrix. Third,
                                                                 numerical results presented thus far only entail isostatic sys-
   We analytically demonstrated that the approach never over-    tems, thereby calling for further research on hyperstatic en-
estimates the number of DOFs and yields exact inferences un-     gineering structures, bending-dominated frames, and random
der broad conditions on the quality and quantity of measure-     beam lattices. ments for linear dynamics without noise. ",physics.data-an,B,0.013657253,-0.16405927,0.12442754
http://arxiv.org/pdf/2203.05391v1,A Note on A Priori Forecasting and Simplicity Bias in Time Series,"The methods we describe are general and can apply to
other prediction systems. In future work it would be interesting to combine universal prediction methods like
SB with other machine learning methods to predict time series (eg [46] where one would be interested in why
this sort of methods is eﬃcient), potentially aiding or improving the predictions (see also early [47, 48] and
recent [49, 50] studies on Kolmogorov complexity connections to machine learning). An important direction
may be to use the SB bound as a prior in the Bayesian sense, as Hutter has described [51, 52], and even in a
general theory of learning [52]. ",physics.data-an,C,-0.14758301,0.036734708,-0.47851682
http://arxiv.org/pdf/2203.05391v2,A Note on A Priori Forecasting and Simplicity Bias in Time Series,"The methods we describe are general and can apply to
other prediction systems. In future work it would be interesting to combine universal prediction methods like
SB with other machine learning methods to predict time series (e.g. [51] where one would be interested in why
this sort of method is eﬃcient), potentially aiding or improving prediction (see also early [52, 53] and recent
[54–56] studies on Kolmogorov complexity connections to machine learning). ",physics.data-an,C,-0.103635594,0.004031891,-0.5682664
http://arxiv.org/pdf/2203.12107v1,Permutation Jensen-Shannon distance: A versatile and fast symbolic tool for complex time series analysis,"Actually, noise-induced chaos has already
total of 41 values of r) and noise levels σ between 0.0005         been conﬁrmed for some of the bifurcation parameter val-
and 0.002 with step ∆σ = 0.0005 (giving a total of 40              ues our analysis highlights, namely r = 3.63, r = 3.74
values of σ) are ordinally contrasted against their noise-         and r = 3.83 [74]. Although further research is needed
free counterparts via the PJSD. More precisely, average            to conﬁrm the chaotic nature of the noisy realizations, we
                                                                                                                                                             9

       10-3                                                             10-3                                                      emphasize that the idea of implementing ordinal related
                                                            0.3                                                              0.6  tools as a way of assessing the irreversibility of a time se-
                                                                                                                                  ries is not new and has been recently explored by Zanin et
0.5                                                              0.5                                                              al. ",physics.data-an,C,-0.003175887,0.018145163,-0.05320092
http://arxiv.org/pdf/2203.16457v1,TSUBASA: Climate Network Construction on Historical and Real-Time Data,"relations suffices in scenarios such as stock market data [23]. For
This line of work considers threshold queries for similarity search      future work, we plan to extend our problem definition to unaligned
in time-series databases and often involve calculating a function        time-series, develop a pairwise correlation pruning algorithm based
over two or more streams and reporting when the threshold is             on a threshold, and consider further optimization of the parallel
crossed. Time-series similarity search problems in the community         TSUBASA by fine-tuning. ",physics.data-an,B,0.06274213,-0.21047223,-0.36469942
http://arxiv.org/pdf/2204.03264v1,Deficit hawks: robust new physics searches with unknown backgrounds,"We will use a signed likelihood
gion is known to be free of unknown background. Sec-          ratio:
tion IV discusses potential objections and limitations,
and section V concludes with a summary and sugges-            t(s) = u(s) · sign(µ(sˆ) − µ(s)),       (3)
tions for further research. The appendices prove some
properties of likelihood ratios used in the text (A), dis-    which is positive for excesses (µ(sˆ) > µ(s)) and nega-
cuss computational costs and ways to reduce it (B), and       tive for deﬁcits. ",physics.data-an,A,-0.10604565,-0.19573274,0.06072344
http://arxiv.org/pdf/2204.03264v2,Deficit hawks: robust new physics searches with unknown backgrounds,"Sec-            If s controls a signal strength, it is useful to distinguish
tion IV discusses potential objections and limitations,      excesses and deﬁcits. We will use a signed likelihood
and section V concludes with a summary and sugges-           ratio:
tions for further research. The appendices prove some
properties of likelihood ratios used in the text (A), dis-   t(s) = u(s) · sign(µ(sˆ) − µ(s)),                 (3)
cuss computational costs and ways to reduce it (B), and
show performance tests for additional background sce-        which is positive for excesses (µ(sˆ) > µ(s)) and negative
narios (C). ",physics.data-an,A,-0.05594208,-0.17884137,0.12408024
