url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00243v1,"Education dimensions of MGI: a question of multidisciplinarity, purpose, and equality","This paper proposes a lab-to-market classroom continuum with the theory-experiment-data intersection as
the conceptual and content framework where the MGI is likely to unfold. 1
Introduction

Scientific initiatives have often proven to be efficient motivators in the realm of education to adequately train
future workforce. Indeed, starting over a decade ago, nanotechnology has demonstrated that the seemingly
disparate disciplines of physics and biology need interfacing. ",physics.ed-ph,A,-0.021322653,-0.13649186,-0.25963438
http://arxiv.org/pdf/2201.08682v1,How to Teach a Teacher: Challenges and Opportunities in Physics Teacher Education in Germany and the USA,"Despite all these commonalities, neither country seems to have found an all-
encompassing solution to these problems. Therefore, a strategy for further research
could be comparative analyses, taking also high-achieving countries in assessments
like PISA and TIMSS into account. But it would also be promising to examine
differences between physics teacher education in Germany and in the U.S. more
closely at the level of concrete program design than is possible in this short chapter. ",physics.ed-ph,B,-0.009462656,-0.13234444,-0.176692
http://arxiv.org/pdf/2201.12145v1,Investigating students` views of experimental physics in German laboratory classes,"Finally, this low response rate led to a relatively small
dataset to analyse for the GE-CLASS. In an ideal world,          In the future, we hope to use the GE-CLASS to an-
we would wait to collect enough data from the University      swer additional research questions using an expanded
of Potsdam to be able to split the data into FY and           dataset collected from both the University of Potsdam
BFY datasets. However, due to the pandemic and low            and many additional institutions across Germany. ",physics.ed-ph,B,-0.04916207,0.30003208,0.18595697
http://arxiv.org/pdf/2202.01849v1,"Ethics education in the quantum information science classroom: Exploring attitudes, barriers, and opportunities","We hope this preliminary study will be the ﬁrst step
toward incorporating ESR into QIS classrooms at our institution and beyond. In the meantime,
we identify two key limitations of this study that ought to be addressed in future work. First, though QIS faculty perspectives are undoubtedly important in developing effective
resources for ethics education, they are far from the only voices that matter. ",physics.ed-ph,B,0.00942148,0.063974336,0.23226029
http://arxiv.org/pdf/2202.07718v1,Students' perspectives on computational challenges in physics class,"That said, this study only provides an initial win-
                                                               dow into how these frameworks relate to one another,
                                                               and we suggest future research speciﬁcally focus on how
                                                               each framework ﬁts with one another in this context,
                                                               how theory-based interventions might impact students’
                                                               perceptions, and how these frameworks might be lever-
                                                               aged to better understand computation-integrated class-
                                                                       20

rooms. We view the presence of many angles as a way to              Joyce shared how she felt like she learned the physics
identify jumping-oﬀ points for further research on aﬀect-        concepts better by coding the formulas and variables. In
based learning and challenges, which is sorely needed and        the second part of her quote, Joyce talked about the ex-
which we highlight in the discussion section. ",physics.ed-ph,B_centroid,-0.1282683,-0.41954038,-0.07461121
http://arxiv.org/pdf/2202.07718v2,Students' perspectives on computational challenges in physics class,"integrated classrooms. We view the presence of many angles
as a way to identify jumping-off points for further research        Joyce: By actually coding the formula and what vari-
on affect-based learning and challenges, which is sorely               ables go in, I think it helps in learning the concepts. needed and which we highlight in the discussion section. ",physics.ed-ph,B,-0.2940137,-0.26552594,0.006631747
http://arxiv.org/pdf/2202.07756v2,Quantum Games and Interactive Tools for Quantum Technologies Outreach and Education,"In subsection 3.3, we provide
Explorable Explanations as an example of how added interactivity can play a practical role in
science communication. Finally, in subsection 3.4 we discuss the challenge of evaluating
quantum games and provide some suggestions for future work to be done in this arena. 3.1 Interactive tools

A number of different computer-based quantum tools have been developed for educational
purposes. ",physics.ed-ph,C,0.42312998,-0.25034797,0.30935553
http://arxiv.org/pdf/2202.07756v3,Quantum Games and Interactive Tools for Quantum Technologies Outreach and Education,"In subsection 3.3, we provide
Explorable Explanations as an example of how added interactivity can play a practical role in
science communication. Finally, in subsection 3.4 we discuss the challenge of evaluating
quantum games and provide some suggestions for future work to be done in this arena. 3.1 Interactive tools

A number of different computer-based quantum tools have been developed for educational
purposes. ",physics.ed-ph,C,0.42312998,-0.25034797,0.30935553
http://arxiv.org/pdf/2202.08940v1,Defining the quantum workforce landscape: a review of global quantum education initiatives,"Although overall they offer great ma-
      terial, a stronger link with industry and business is needed to ensure the candidates
      are ready to join the quantum workforce. 5 Overview of global educational and training resources available for the develop-
      ment of the current and future workforce. The ﬁgure is divided in the four cate-
      gories described in the paper: online courses and material, workshops and events
      such as conferences and hackathons, games, and community-building initiatives. ",physics.ed-ph,C,0.53269887,0.12445399,-0.17213675
http://arxiv.org/pdf/2202.08940v2,Defining the quantum workforce landscape: a review of global quantum education initiatives,"4 Number of master’s programs with a focus in quantum technologies across the
           world. 5 Overview of global educational and training resources available for the develop-
           ment of the current and future workforce. 6 The components of a strategy to create a quantum-ready workforce (short, medium,
           and long-term) in the current industry landscape. ",physics.ed-ph,C_centroid,0.67205137,0.07235023,-0.16397646
