url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00181v1,The complementary Betz Theory,"A constant yield on a larger range of wind speeds and low startup velocity would appear to be other significant characteristics
of this model turbine. We count on the present theoretical work to stimulate the discussion within the community and address further research and
proof of concept towards the improvement of numerical design tools and the development of future generations of wind turbines. 13
Acknowledgements

I am grateful to the D.I.M.E., the Department of Mechanical and Energy Engineering of the University of Genoa, Italy, for the
stimulating discussions and the preliminary CFD simulation provided by Prof. Pietro Zunino and his collaborators. ",physics.flu-dyn,A,0.12821214,0.2572144,0.11075936
http://arxiv.org/pdf/2201.00320v1,Computational fluid dynamic simulation of hull reservoir wave energy device,"Moreover, at lower internal water levels and also at very high internal water levels the device would
exhibit a lower performance than its parent case excluding water. Hence it is vital to do further research
on what internal fluid levels to be maintained. 6 Conclusion
The study was done on a recently introduced wave energy device which is shortly called the Hull
Reservoir Wave Energy Converter and its performance was analyzed using CFD tools which provide
numerous benefits where analysis under fluid motion is considered. ",physics.flu-dyn,B,0.057283346,0.09147796,0.23680654
http://arxiv.org/pdf/2201.00320v2,Computational fluid dynamic simulation of hull reservoir wave energy device,"Moreover, at lower internal water levels and also at very high internal water levels the device would
exhibit a lower performance than its parent case excluding water. Hence it is vital to do further research
on what internal fluid levels to be maintained. 6 Conclusion
The study was done on a recently introduced wave energy device which is shortly called the Hull
Reservoir Wave Energy Converter and its performance was analyzed using CFD tools which provide
numerous benefits where analysis under fluid motion is considered. ",physics.flu-dyn,B,0.057283346,0.09147796,0.23680654
http://arxiv.org/pdf/2201.00361v1,Resolvent-based tools for optimal estimation and control via the Wiener-Hopf formalism,"Control formulations using a linearization around the mean ﬂow may follow
the methods in [69] or [71], with various mean ﬂows used in succesive linearisations of the system
as control gains are progressively increased. Integrating these approaches into the control law is
beyond the scope of this study, and will be considered in future work. 5 Conclusions

Causal resolvent-based estimation and control methods based on the Wiener-Hopf framework
have been presented. ",physics.flu-dyn,C,0.21439563,0.016288012,-0.18578011
http://arxiv.org/pdf/2201.00423v1,Less can be more: Insights on the role of electrode microstructure in redox flow batteries from 2D direct numerical simulations,"We thank Michael Aziz, Meisam Bahari, and Kiana Amini
   We want to remark that several extensions have already               for useful discussions on redox ﬂow batteries. We thank
been implemented within the AMReX framework, and they                   Michael Aziz and Michael Emanuel for critical feedback on
can be explored in future works on RFBs. These include                  the manuscript. ",physics.flu-dyn,C,0.093771845,-0.32513142,-0.0053796377
http://arxiv.org/pdf/2201.00530v1,Non-equilibrium Ensembles for the 3D Navier-Stokes Equations,"The gray band indicates a
                                                              10% deviation from 1. The red vertical bar indicates the
   A further analysis can be seen in Fig. 8 where all mean    order of magnitude of the Kolmogorov scale, estimated as
and standard deviation ratios of the timeseries have been     kν = νε3 1/4. ",physics.flu-dyn,B,0.04106307,-0.27021134,-0.18324426
http://arxiv.org/pdf/2201.00530v2,Non-equilibrium Ensembles for the three-dimensional Navier-Stokes Equations,"2. Energy spectrum
   A further analysis can be seen in Fig. 8 where all mean
and standard deviation ratios of the time series have been        With respect to the energy spectrum at the hydrody-
collected for (a) ν = 10−2 and (b) ν = 10−3 for diﬀerent       namic regime, we ﬁrst present the distributions at low k.
values of N and m. In Fig. ",physics.flu-dyn,B,-0.017875165,-0.16221914,-0.17042013
http://arxiv.org/pdf/2201.00898v1,PeleLM-FDF Large Eddy Simulator of Turbulent Combustion,"With its high ﬁdelity
and computational aﬀordability, the new PeleLM-FDF simulator as developed here
provides an excellent tool for computational simulations of complex turbulent com-
bustion systems. At this point it is instructive to provide some suggestions for future work in continu-
ation of this research:

       1. The hydrodynamic SGS closure adopted here is based on the zero-order model
          of Vreman [79]. ",physics.flu-dyn,A,0.0129906535,0.21938792,0.002212979
http://arxiv.org/pdf/2201.01085v1,Dynamical Mode Recognition of Triple Flickering Buoyant Diffusion Flames: from Physical Space to Phase Space and to Wasserstein Space,"Fourth, the Wasserstein distance quantifies the
“closeness” of two distribution functions so that a small Wasserstein distance indicates the
similarity of two phase portraits and the identification of the same dynamical mode. The present
calculation results validate the proposed methodology, and three rules for mode recognition
were also established and will be further verified in future work. Acknowledgement

      This work is financially supported by the National Natural Science Foundation of China
(No. ",physics.flu-dyn,B,0.026977468,-0.22987348,-0.2374025
http://arxiv.org/pdf/2201.01287v1,VCNN-e: A vector-cloud neural network with equivariance for emulating Reynolds stress transport equations,"Furthermore, we will evaluate the proposed network on more complicated, three-dimensional ﬂows. Finally, current input only used vectors; how to include tensor quantities (e.g., strain-rate and rotation-rate) of the
mean ﬂow in the input for nonlocal constitutive modeling is an interesting question to explore in future work. ACKNOWLEDGMENTS

   The computational resources used for this project were provided by the Advanced Research Computing (ARC) of
Virginia Tech, which is gratefully acknowledged. ",physics.flu-dyn,C,0.2909258,-0.020780519,-0.030132886
