url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.01868v1,Bayesian inference and Markov chain Monte Carlo based estimation of a geoscience model parameter,"In section 4, we present the results from our investigation. In section 5, we
present conclusions and outlook for future work. 2. ",physics.geo-ph,A,0.1330824,-0.20643413,0.106120504
http://arxiv.org/pdf/2201.01869v1,Earthquake Nowcasting with Deep Learning,"The current TFT implementation was
not set up to nowcast all the time intervals covered by the other models and so this model is
absent in some cells of Table 5 and in the later figures for 2-year and 4-year nowcasts. This is
not intrinsic to the TFT model and will be addressed in future work using larger memory
machines to train networks. Normalized Nash Sutcliffe Efficiency NNSE

                                   Science      LSTM        TFT  Science
                                   Transformer  Validation
Time Period  LSTM Train TFT Train  Train                    Validation Transformer

 2 weeks                                                         Validation

             0.903  0.915          0.893        0.868       0.875 0.856

4 weeks 0.895                      0.916        0.867            0.884

8 weeks 0.886                      0.913        0.866            0.881

14 weeks 0.924      0.963          0.919        0.893       0.905 0.881
26 weeks 0.946   0.956  0.954  0.897  0.892 0.896

52 weeks 0.919   0.957  0.955  0.861  0.871 0.876

104 weeks 0.923         0.937  0.853  0.83

208 weeks 0.935         0.921  0.811  0.77

Table 5. ",physics.geo-ph,A,0.20963389,-0.024933115,0.051297143
http://arxiv.org/pdf/2201.01871v3,Direct multi-modal inversion of geophysical logs using deep learning,"(2019). The current architecture gave sufficiently good results for this pre-study, but
                     further hyper-parameter optimization to improve the model performance remains a part of future work. 3.4. ",physics.geo-ph,B,0.29404843,0.04762295,0.01777315
http://arxiv.org/pdf/2201.03477v1,PCA-MRM model to forecast TEC at middle latitudes,"At the
first stage the TEC data obtained for a certain time interval L (e.g., previous 20-40 days)
are decomposed with PCA into several modes each one representing a specific type of
daily variation (PCs). Only two first modes, which have highest variance fractions and are
responsible for most of the TEC variability, are used for further analysis [20]. One of the
advantages of the model is that there is no need for any assumption on the phase and
amplitude or seasonal/regional features of TEC daily variations: the daily variations of
correct shapes are extracted automatically by PCA from the input TEC data. ",physics.geo-ph,A,-0.067794695,-0.143732,0.15470266
http://arxiv.org/pdf/2202.06126v1,On the Use of the Microtremor HVSR for Tracking Velocity Changes: A case study in Campo de Dalías basin (SE Spain),"After observing
 the relationship between the groundwater levels of the shallower aquifer (AQ1 Fig. 5) and the other
 MHVSR peak parameters in NBAL and EJDN stations, variations from MHVSR trough in SWBS
 station are an open question for further research. The cycles of discharge of the aquifers in Campo
 de Dalías are in no way natural due to the heavy pumping rates for agriculture and urban demands. ",physics.geo-ph,A,-0.26631075,-0.2583664,-0.021379393
http://arxiv.org/pdf/2202.09607v1,Eötvös balance and earthquake detection,"There are a lot of unanswered
questions, a clarification requires further observations and modeling. Our further research goal is to reproduce this observation, and also to understand the origin
and the conditions of the detection. To this end we should explore the environmental,
geophysical and technological factors that influence the modernized torsion balance. ",physics.geo-ph,A,-0.17100346,-0.07697291,0.114285454
http://arxiv.org/pdf/2202.11274v1,Forward and inverse modeling of water flow in unsaturated soils with discontinuous hydraulic conductivities using physics-informed neural networks with domain decomposition,"4 of the main text). Therefore, we only
                                                 used the L-LAAF algorithm in the study for further analysis. 1.3 Finite difference method

                                                 A ﬁnite difference method was implemented on Matlab R2020b to solve the one-dimensional RRE to evaluate the performance
                                                 of PINNs. ",physics.geo-ph,C,0.30273175,-0.01452636,-0.18250054
http://arxiv.org/pdf/2203.05021v1,LSTM-driven Forecast of CO2 Injection in Porous Media,"The
LSTM-based network gave an overall better performance than the feed forward network. As
a perspective for future work, we will investigate LSTM-based inversion of 1D core ﬂood
experimental data, i.e., inference of the rock and ﬂuid properties that were considered as
inputs to the simulated datasets. Future work may also include extensions to two and three
spatial dimensions. ",physics.geo-ph,B,0.032773368,0.37346184,0.19131872
http://arxiv.org/pdf/2203.06347v1,Combining Deep Learning with Physics Based Features in Explosion-Earthquake Discrimination,"While this application was to explosion discrimination, we envision a similar
approach of incorporating physics-based features could be extended to other problems (e.g., noise
and seismic discriminant in earthquake early warning, landslides classification and so on). Additional work combining physics and data learning is an exciting direction for future work. Adding physics-based features does sacrifice the automated nature of the deep learning, however,
it leverages prior human knowledge about what features are important and broadly applicable. ",physics.geo-ph,B,0.011945872,0.47763324,0.13050699
http://arxiv.org/pdf/2203.12351v2,Bayesian Physics-Informed Neural Networks for the Subsurface Tomography based on the Eikonal Equation,"The overthrust model is a 3-D geological model proposed as
                                                                                 a result of collaboration by over ﬁfty organizations. It is built
   To further study the noise inﬂuence on the performance                        with erosional truncation and sediment that cover the basement
of BPINNs, we test the proposed method over the observed                         blocks. The overthrust model includes complex structures
                                                                                 like reverse faults and converging thrusts. ",physics.geo-ph,B,-0.13846695,0.22399744,-0.23683977
