url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00483v2,First operation of undoped CsI directly coupled with SiPMs at 77 Kelvin,"C 79(4), 363 (2019)
tain, also reduce heating inside the cryostat, and will be tried   7. G. Angloher, P. Carniti, L. Cassina, L. Gironi, C. Gotti,
out in our future work. A. Gu¨tlein, M. Maino, M. Mancuso, L. Pagnanini,
10 Conclusion                                                          G. Pessina, F. Petricca, S. Pirro, F. Pro¨bst, R. Puig,
                                                                       F. Reindl, K. Scha¨ffner, J. Schieck, W. Seidel, J. In-
The light yield of an undoped CsI crystal coupled to two               strum. ",physics.ins-det,A,0.02668319,-0.32678586,-0.2430709
http://arxiv.org/pdf/2201.00699v4,Radon Emanation from Dust of Varying Composition and Size,"The range of observed radon

                                                  emanation fractions is (3.7 ± 2.0)% to (16.2 ± 0.9)%. Four of the ﬁve samples are standardized

                                                  samples available commercially, so additional investigations of these samples may be readily carried

                                                  out. K     : Radon Emanation, HPGe, Ultra-low Background Experiments

                                                  A X P : 2201.00699

                                                     Corresponding author. ",physics.ins-det,C,-0.16619897,-0.1834486,-0.04538123
http://arxiv.org/pdf/2201.00699v5,Radon Emanation from Dust of Varying Composition and Size,"The range of observed radon

                                                 emanation fractions is (3.7 ± 2.0)% to (16.2 ± 0.9)%. Four of the ﬁve samples are standardized

                                                 samples available commercially, so additional investigations of these samples may be readily carried

                                                 out. K     : Radon Emanation, HPGe, Ultra-low Background Experiments

                                                 A X P : 2201.00699

                                                    Corresponding author. ",physics.ins-det,C,-0.16619897,-0.1834486,-0.04538123
http://arxiv.org/pdf/2201.02961v1,Identification of the anomalous fast bulk events in a p-type point contact germanium detector,"Below 1 keVee, it is a challenge to extract FBE on the con-
   FBEs with extremely fast rise time have been observed in              ditions of SE penetration and low background statistics, and
several CDEX experiments. An extensive work was carried                  further research on preampliﬁer noise reduction, data analy-
out to better understand the wave formation, characteristics             sis method, as well as the optimization of the parameters ex-
and location distribution of FBE by means of a semiconductor             tracting FBEs is under way. In the high energy region, better
electric ﬁeld and pulse shape simulation compared with the               spatial resolution is expected due to the relatively small inﬂu-
source calibration experiment. ",physics.ins-det,A,0.11927527,-0.16824514,0.20053524
http://arxiv.org/pdf/2201.02961v2,Identification of the anomalous fast bulk events in a p-type point contact germanium detector,"main background sources in dark matter experiments. Below
1 keVee, extraction of FBEs is challenging under the condi-               The simulations and measurements presented here improve
tions of SE penetration and low background statistics, and             our understanding of the anomalous bulk effect in pPCGe de-
further research on preampliﬁer noise reduction, data analy-           tectors. They serve as a basis for better identiﬁcation of FBEs
sis methods, and the optimization of the parameters for ex-            as background in rare-event searches with germanium detec-
tracting FBEs is underway. ",physics.ins-det,B,-0.014804861,0.119376525,-0.0029165857
http://arxiv.org/pdf/2201.05638v1,Real-time Inference with 2D Convolutional Neural Networks on Field Programmable Gate Arrays for High-rate Particle Imaging Detectors,"The resulting optimized and quantized CNN (Q-
CNN02-DS-OP) has been shown to ﬁt within available DUNE FD upstream DAQ readout FPGA
resources, and to be executable with suﬃciently low latency such that the need for signiﬁcant
buﬀering resources in the DUNE FD upstream DAQ system can also be relaxed. We note, however,
that the pre-processing resource requirements and latency have not been explicitly evaluated, and
this will be the subject of future work, as they need to be considered in tandem with the proposed
CNN algorithm. The ﬁndings further motivate future LArTPC readout designs that preserve the physical map-
ping of readout channels to a contiguous interaction volume as much as possible, in order to
minimize pre-processing needs, and preserve spatial correlations that exist within 2D projected
views of the interaction volume. ",physics.ins-det,B,0.37644953,0.12889285,0.092218496
http://arxiv.org/pdf/2201.05644v1,New high-tech flexible networks for the monitoring of deep-sea ecosystems,"Similarly, Gerhard & Gunsch

                                                                                                                 18
(2019) used a random forest based approach for selecting the relevant
biomarkers for classification of ocean, harbor and ballast water samples. LeCun,
(2015) used a deep recurrent neural network (approach for a base calling
application on portable sequencing machines (Merelli at al., 2018), where
meaningful results were sent to a cloud service through an Internet of Things
framework for further analysis (Čolaković & Hadžialić, 2018). Along with molecular based monitoring tools, other chemical sensing
applications may complement DNA probing (Ishida et al., 2012) and sequencing. ",physics.ins-det,B,0.2599246,0.11369674,0.1668062
http://arxiv.org/pdf/2201.06288v1,Development of a resource-efficient FPGA-based neural network regression model for the ATLAS muon trigger upgrades,"Verifying these results with a
more accurate detector simulation model and developing new          [10] Juliette Alimena, Yutaro Iiyama, and Jan Kieseler. FPGA trigger algorithms for new particle searches will be                  “Fast convolutional neural networks for identifying
the subject of our future work. long-lived particles in a high-granularity calorimeter”. ",physics.ins-det,B,0.21468134,0.35741654,-0.12642407
http://arxiv.org/pdf/2201.08384v1,"OpenMetBuoy-V2021: an easy-to-build, affordable, customizable, open source instrument for oceanographic measurements of drift and waves in sea ice and the open ocean","Our small buoy, by contrast, has a typical size of
10 cm, which implies that even a ""bad"" hydrodynamic response, leading to a displacement response in waves of several
tens of percents of the buoys size, is still only a few centimeters in amplitude, well below typical stochastic noise and
uncertainty of stochastic wave measurements in the open ocean. 4 Conclusion and future work

This work introduces a new design of waves in ice instrument. This instrument is able to perform measurements of
sea ice drift using a GNSS module, and to measure waves in ice up to a high degree of accuracy (the noise threshold
corresponds to a signiﬁcant wave height of around 0.1 cm for waves with period 16 s, as demonstrated in the laboratory
experiments), using an inexpensive 9-degree-of-freedom sensor and extensive signal processing and noise reduction
techniques. ",physics.ins-det,A,0.1800483,-0.20293494,0.19792598
http://arxiv.org/pdf/2201.09275v1,Dialing back time on Timepix3: A study on the timing performance of Timepix3,"The clusters on the DUT are excluded from the ﬁtting of the track to not bias
the position of the track. After all tracks are processed, the desired data is written
to a ROOT ﬁle for further analysis by the user. This data includes values such as
the global position of the tracks, the clusters and their timestamp associated to the
track, the intersection point of the track with the DUT, and the associated triggers
5.3. ",physics.ins-det,B,0.16008933,0.15595451,0.37471622
