url,title,further research,primary category,label,x,y,z
http://arxiv.org/pdf/2201.00499v1,Quantum electrodynamic effects on counter-streaming instabilities in the whole \textbf{k} space,"When particles oscillate in
the ﬁrst order growing ﬁelds, they may emit gamma photons which in turn trigger pair
production [37, 38]. These eﬀects should arguably be worked out in future works. V. ACKNOWLEDGMENTS

   A.B. ",physics.plasm-ph,A,0.13178876,-0.16434318,0.43303043
http://arxiv.org/pdf/2201.01291v1,AVIP: a low temperature plasma code,"Robust schemes are also needed for the reactive Navier-Stokes equations and Riemann solvers have been implemented
in both AVIP and AVBP where its ability to solve shocks could be interesting in other areas than just plasma assisted
combustion. Now that robust schemes have been developed and validated for both plasmas and gas mixtures, plasma assisted
combustion can be carried out and will be released in future work. Acknowledgments

This work was supported by the ANR projects PASTEC (ANR-16-CE22-0005) and GECCO (ANR-17-CE06-0019). ",physics.plasm-ph,B,-0.13939686,0.0403101,-0.39677423
http://arxiv.org/pdf/2201.01291v2,AVIP: a low temperature plasma code,"Robust schemes are also needed for the reactive Navier-Stokes equations and Riemann solvers have been implemented
in both AVIP and AVBP where its ability to solve shocks could be interesting in other areas than just plasma assisted
combustion. Now that robust schemes have been developed and validated for both plasmas and gas mixtures, plasma assisted
combustion can be carried out and will be released in future work. Acknowledgments

This work was supported by the ANR projects PASTEC (ANR-16-CE22-0005), GECCO (ANR-17-CE06-0019) and
was performed using HPC resources from GENCI-TGCC (Grant 2021- A0112B10157). ",physics.plasm-ph,B,-0.10872217,0.03239061,-0.36318034
http://arxiv.org/pdf/2201.01506v1,A novel approach to radially global gyrokinetic simulation using the flux-tube code $\texttt{stella}$,"This, however, comes at the cost of only allowing global simulations
of systems with a monotonic q proﬁle. We thus choose q as the radial coordinate for global stella, though alternative
formulations of the parallel boundary condition will be investigated in future work. For global simulations, the radial coordinate x (equivalently, q) can be related to the physical location r using

                   q − q0 = x˜ρ∗ aBref = q′(r0)(r − r0) + q′′(r0) (r − r0)2 + · · ·                            (23)
                          ψ′                                               2

where x˜ x/ρref and (17) has been used for the ﬁrst equality. ",physics.plasm-ph,A,0.34881037,0.181446,-0.35056746
http://arxiv.org/pdf/2201.01506v2,A novel approach to radially global gyrokinetic simulation using the flux-tube code $\texttt{stella}$,"This, however, comes at the cost of only allowing global simulations
of systems with a monotonic q proﬁle. We thus choose q as the radial coordinate for global stella, though alternative
formulations of the parallel boundary condition will be investigated in future work. For global simulations, the radial coordinate x (equivalently, q) can be related to the physical location r using

                   q − q0 = x˜ρ∗ aBref = q′(r0)(r − r0) + q′′(r0) (r − r0)2 + · · ·                            (23)
                          ψ′                                               2

where x˜ x/ρref and (17) has been used for the ﬁrst equality. ",physics.plasm-ph,A,0.34881037,0.181446,-0.35056746
http://arxiv.org/pdf/2201.01623v1,Density-Functional-Theory Perspective on the Non-Linear Response of Correlated Electrons Across Temperature Regimes,"(1)-(4) are illustrated in Appendix
5.1. The exchange-correlation (XC) functional in our KS-DFT simulations is the local den-
sity approximation (LDA) in the Perdew-Zunger parametrization.73 Recently, it was demon-
strated for θ = 1 that commonly used GGA functionals such as PBE ,74 PBEsol,75 AM0576
and the meta-GGA functional SCAN77 are not able to provide a superior description com-
pared to LDA in the case of the free electron gas perturbed by an external ﬁeld with ﬁxed
wave number q when ∆n/n0 < 1.78,79 We do not aim to further study this problem in this
work. Therefore, we do not consider other types of XC functionals beyond LDA. ",physics.plasm-ph,A,0.27758107,-0.2536346,-0.07322047
http://arxiv.org/pdf/2201.01705v1,Insensitivity of a turbulent laser-plasma dynamo to initial conditions,"sembly is embedded inside a pulsed magnetic-ﬁeld generator
                                                                   (the ‘magneto-inertial fusion electrical discharge system’, or
   One ﬁnding of previous turbulent-dynamo experiments that        MIFEDS38,39). When utilised, the MIFEDS generates a mag-
merited further study was the ratio of the magnetic to turbu-      netic ﬁeld with a magnitude of ∼150 kG at the target foil and
lent kinetic energy-density, which was observed to be ﬁnite,       ∼80 kG at the target’s centre that is oriented approximately
but still quite small (εB/εK,turb ≈ 3-4%)31,32. This prompted      parallel to the axis which passes through the geometric centres
the question of whether the characteristic post-ampliﬁcation       of the foils and grids, and also along which both plasma jets
strength of magnetic ﬁelds in these turbulent laser-plasmas is     propagate (‘the line of centres’); Figure 1 shows a schematic
determined by the plasma’s turbulent kinetic energy alone, or      of the magnetic ﬁeld lines generated by the MIFEDS between
was in fact not fully saturated and thus might be expected to be   the two grids. ",physics.plasm-ph,C,-0.43766713,0.172493,0.04023436
http://arxiv.org/pdf/2201.02416v1,"Laser-Driven, Ion-Scale Magnetospheres in Laboratory Plasmas. II. Particle-in-cell Simulations","A. Crawford, L. Silva, L. Gar-
   In conclusion, the simulations were consistent with the             gat´e, and R. Bingham, “Minimagnetospheres above the Lunar
LAPD experimental results, and the multiple parameter                  Surface and the Formation of Lunar Swirls,” Physical Review
scans performed dictated the formation conditions of the               Letters 109, 081101 (2012), arXiv:1207.2076.
main features of mini-magnetospheres. For future works,
we intend to exploit the features present in the sides of            12R. J. Lillis, S. Robbins, M. Manga, J. S. Halekas, and H. V. Frey,
the dipole, exploit anti-parallel magnetic ﬁeld conﬁgura-              “Time history of the Martian dynamo from crater magnetic ﬁeld
tions, perform 3D simulations, and consider even more                  analysis,” Journal of Geophysical Research E: Planets 118, 1488–
realistic properties of the driver. ",physics.plasm-ph,C,-0.06860976,0.42764437,0.12966406
http://arxiv.org/pdf/2201.03376v1,Collisionless relaxation of a Lynden-Bell plasma,"It seems likely that there exist regimes where
the ﬂuctuations are larger still, and therefore a full nonlinear solution to the two-point
correlation function of the phase-space density is required. What these regimes are, and
whether there is a limit in which they recover the microgranulation ansatz, will be the
subject of future work. Note. ",physics.plasm-ph,A,0.33822882,0.051406406,-0.04785134
http://arxiv.org/pdf/2201.03471v1,A Parallel Low-Rank Solver for the Six-Dimensional Vlasov-Maxwell Equations,"However, the low-rank method allows
much higher velocity space resolutions than the full grid solver and therefore
also has less issues with numerical heating. The design of an energy-conserving
low-rank solver will be an important aspect of future work in this direction. 4. ",physics.plasm-ph,A,0.20523003,0.17018276,-0.14233562
